date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,17000,17450,16900,17100,144491,2470796100,1.1834,-26331,10941,12550,8128,-1627,-2458,-2319,0,10826,3240,-400,0
2016-05-26,16950,17350,16950,17250,91752,1582722000,0.8772,-22115,15613,6704,7701,-2323,1170,-1154,0,1310,-2,-200,0
2016-05-27,17400,17500,17050,17100,75850,1297035000,-0.8696,-6133,-3557,9682,86,-2392,38,-879,0,12829,-1,9,0
2016-05-30,16850,17100,16650,17100,97007,1658819700,0.0,-9614,-3102,12817,15826,1304,0,-1264,0,-3049,-1,-100,0
2016-05-31,16900,17450,16900,17450,148438,2590243100,2.0468,-38341,23746,14596,19674,379,60,3811,0,-9328,-1,0,0
2016-06-01,17250,17400,16850,17150,125858,2158464700,-1.7192,4251,19242,-18776,7979,5233,978,4227,0,-37193,68,-4785,0
2016-06-02,17050,17300,16900,17000,91575,1556775000,-0.8746,-37686,26598,13168,7988,9036,1669,5687,0,-11212,209,-2289,0
2016-06-03,17100,17350,16950,17350,95235,1652327250,2.0588,-66574,41883,24489,0,4719,3425,5490,0,10855,-1,203,0
2016-06-07,17350,17450,17150,17250,109036,1880871000,-0.5764,4643,915,-5635,9420,-333,-14000,1158,0,-1880,77,0,0
2016-06-08,17350,17700,17300,17650,160977,2841244050,2.3188,-64024,51973,12058,11305,2067,-211,-6653,0,5550,-1,-6,0
2016-06-09,17800,18000,17550,18000,286136,5150448000,1.983,-94158,67763,27314,20190,-6801,-13738,-5570,1114,32119,-966,47,0
2016-06-10,18050,18200,17900,18000,127056,2287008000,0.0,-46465,22172,24114,351,-4435,241,-2371,0,30328,-1,180,0
2016-06-13,18000,18200,17700,18000,129865,2337570000,0.0,-40229,13163,25655,21987,-5020,-347,-73,2200,6908,991,420,0
2016-06-14,18050,18200,17700,17850,115414,2060139900,-0.8333,198,7335,-7419,6151,-4731,-691,1762,0,-9910,1,-115,0
2016-06-15,17750,17900,17150,17200,129513,2227623600,-3.6415,27530,15697,-38225,-15904,-707,-777,-85,0,-20752,-4602,-400,0
2016-06-16,17200,17350,17000,17100,79948,1367110800,-0.5814,-12028,9472,2527,3498,352,1156,-249,0,-2230,19,10,0
2016-06-17,17300,17550,17000,17200,106809,1837114800,0.5848,12735,-523,-12256,647,1606,-8313,-76,0,-6120,44,0,0
