date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2025-02-05,60500,61900,54900,55800,11928487,665609574600,0.0,3162551,-505927,-2643501,146904,-769349,-1188522,-185920,-193707,-263178,-24302,11179,-189729
2025-02-06,56400,58000,55000,57700,4504009,259881319300,3.405,91424,-260970,152083,117619,36207,-38923,38170,0,12347,18610,-1147,-13337
2025-02-07,57700,58300,56200,57200,2240564,128160260800,-0.8666,22968,-2098,33327,9350,7998,-33,15554,0,1358,-59836,5639,-900
2025-02-10,56400,57700,55700,55700,1547194,86178705800,-2.6224,129332,-87476,-36317,5196,-1438,-43451,2098,0,1578,-8963,3424,-300
2025-02-11,56100,56300,54200,54400,1517341,82543350400,-2.3339,108770,-49780,-65475,-41414,3439,-36450,2472,0,-5363,10594,-4109,11841
2025-02-12,54200,55700,53800,54300,987535,53623150500,-0.1838,-18839,12785,6387,16547,1230,-17231,5109,0,232,4444,-4777,500
2025-02-13,55200,56800,54700,55700,1574873,87720426100,2.5783,-146148,122797,19786,17533,-482,-14150,1586,914,16949,4232,-667,-2564
2025-02-14,55400,55500,54300,54500,929423,50653553500,-2.1544,137993,-90048,-61169,-16885,-37441,-7187,-7127,0,5471,13188,36,2000
2025-02-17,54600,54600,53100,53200,965351,51356673200,-2.3853,106344,-58738,-87430,-47312,-24963,-12138,1117,-3106,665,39631,193,-1693
2025-02-18,53300,53600,52000,52100,1021817,53236665700,-2.0677,84000,-85016,-73462,-20707,-1695,-25455,-23322,-1835,2760,73157,1321,-3208
2025-02-19,52800,53200,52200,52300,803215,42008144500,0.3839,53212,4305,-57595,-42188,-4633,-3372,-6501,0,-620,871,-793,-281
2025-02-20,52200,52700,51200,51300,735273,37719504900,-1.912,-16006,17276,-57530,-38449,-1777,-4901,-2502,0,-624,56285,-25,-9277
2025-02-21,51500,52200,51200,51700,526764,27233698800,0.7797,25470,-52865,11227,7272,-1854,2841,-1247,0,4315,15005,1163,-100
2025-02-24,50900,51400,50100,50300,666499,33524899700,-2.7079,72895,-72797,-15803,1133,-708,-13676,0,0,-2193,14218,1487,-359
2025-02-25,50200,51100,49750,50700,622991,31585643700,0.7952,43074,-3624,-39365,1490,1826,-10175,-18904,1509,-16318,-321,236,1207
2025-02-26,50400,50700,49950,50100,387046,19391004600,-1.1834,83306,-36962,-49558,288,-4323,-7287,2233,0,-35537,3072,142,-4932
2025-02-27,50200,50200,49400,49950,584305,29186034750,-0.2994,17392,-77537,38905,57370,-5,-5902,902,0,-14923,23986,-2746,1463
2025-02-28,49300,49400,48350,48350,719821,34803345350,-3.2032,89366,-61456,-16098,14950,-1923,-8116,-3448,0,-17804,-12043,231,243
2025-03-04,47850,47900,46550,46550,743054,34589163700,-3.7229,-42320,28444,11970,36251,-5702,-1862,-616,0,-10143,2686,-780,-5958
2025-03-05,47000,47800,46500,47400,672430,31873182000,1.826,79773,43022,-122284,14222,-14403,-112732,-30,0,-2492,-777,266,-6849
2025-03-06,47700,51300,47400,51000,2214248,112926648000,7.5949,-299537,75794,337720,308264,9437,-2367,21347,1571,-1073,-115913,1936,541
2025-03-07,50300,51700,50300,51200,865391,44308019200,0.3922,-207827,-48099,256735,187896,-749,26047,35790,8037,-1097,-564,-245,811
2025-03-10,51000,51100,49800,50500,441922,22317061000,-1.3672,-24300,-32930,55416,116833,-5419,-52309,-830,0,-2859,1709,105,0
2025-03-11,48950,51500,48800,50700,526969,26717328300,0.396,-65965,-34089,91958,112218,-12788,-5599,36,-208,-1612,9853,-1757,-89
2025-03-12,51200,52900,51000,52200,982245,51273189000,2.9586,-271413,54969,201217,149238,1178,17484,12695,-214,20836,11937,3290,0
2025-03-13,52600,52700,51000,51700,462240,23897808000,-0.9579,-60057,-53154,122693,126456,-395,127,-1745,0,-250,-9664,182,-1500
2025-03-14,51700,52600,51300,51700,320626,16576364200,0.0,-15268,-28235,47279,57209,-1225,63,1233,0,-10001,-3282,-494,0
2025-03-17,51700,52300,51200,51200,380336,19473203200,-0.9671,-85453,3213,84851,76404,-788,-13,-269,0,-1283,-431,-2180,10800
2025-03-18,51600,52400,51400,51700,346065,17891560500,0.9766,-75153,38724,34172,46003,-8430,-6292,-194,0,3085,2229,28,0
2025-03-19,52000,53400,51800,52800,851039,44934859200,2.1277,-180698,74222,136727,146367,6122,-13014,766,-2877,-637,-31809,1558,0
2025-03-20,53300,53300,52300,52400,386265,20240286000,-0.7576,-12120,-100157,100167,106899,1052,-4792,-1377,0,-1665,12847,-737,50
2025-03-21,52300,52900,52100,52200,265520,13860144000,-0.3817,-36103,-6395,53509,70563,2319,-19243,688,0,-556,-10931,-80,-262
2025-03-24,51800,52400,51600,52000,191469,9956388000,-0.3831,-16344,-2913,17784,51728,-1275,-22798,-2833,0,-5059,2000,-527,-1979
2025-03-25,51900,52200,51600,51600,209816,10826505600,-0.7692,-38383,-2026,36885,55052,-945,-1820,187,-1031,-5561,3600,-76,-8997
2025-03-26,51700,52600,51100,52000,281388,14632176000,0.7752,-47414,25035,21898,55629,4718,-16587,-25451,0,-7111,-110,591,10700
2025-03-27,51500,51900,51100,51100,178120,9101932000,-1.7308,-9971,-32174,44344,46857,-3835,226,1695,-2526,-6073,-536,-1663,8000
2025-03-28,51100,51500,49800,49800,309677,15421914600,-2.544,-52330,39773,16578,39846,453,-21807,297,-1603,499,-6139,2118,-1107
2025-03-31,48750,49750,48750,49000,220463,10802687000,-1.6064,-12739,-6443,15758,42395,296,-24203,-2269,0,-461,1128,2296,0
