date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,53600,53700,52600,53000,637123,33767519000,0.0,80950,-144519,47220,22970,51901,13921,2664,500,-44225,16612,-263,-511
2016-05-26,53200,54600,53000,53400,638944,34119609600,0.7547,-76748,11345,53624,-35806,20205,15998,2713,-500,51014,12114,-335,0
2016-05-27,54000,55800,53900,55600,1153816,64152169600,4.1199,-240695,293991,-31975,-43345,2516,16441,4320,-3950,-8441,-20282,-1039,484
2016-05-30,56100,56400,55000,55700,767791,42765958700,0.1799,48617,-127716,62267,28417,29190,7201,22835,0,-25376,16656,176,0
2016-05-31,56300,56500,55300,56100,933757,52383767700,0.7181,-134871,44238,91994,87462,30001,6845,3178,0,-35492,-1320,-41,0
2016-06-01,56100,57000,56000,56100,544499,30546393900,0.0,-59391,97462,-37628,22979,-122,-3754,-10188,1800,-48343,-323,-120,0
2016-06-02,55900,56000,54400,54500,647427,35284771500,-2.852,116139,-49740,-68857,-23956,-19765,-8362,-19626,-10010,16125,2446,12,-3263
2016-06-03,54300,55400,53500,54500,562951,30680829500,0.0,-31189,11612,18925,286,-4232,-25312,626,0,47557,2072,-1420,0
2016-06-07,54600,55200,54100,54300,655930,35616999000,-0.367,43653,-32616,-9303,-28717,2902,2667,-4835,0,19208,-1668,-66,-528
2016-06-08,54100,54400,53300,54400,887520,48281088000,0.1842,6186,62518,-70864,-12486,-21860,-52493,-1793,-3133,20901,2144,16,0
2016-06-09,55300,57300,55100,56400,1539831,86846468400,3.6765,-444533,365714,78881,13129,-1465,59928,-3831,0,11708,14,-76,-588
2016-06-10,56900,57200,56100,56400,502108,28318891200,0.0,-34328,-41928,75441,25959,-38617,7391,-8610,-5,89323,847,-32,0
2016-06-13,55800,56400,55500,55800,392941,21926107800,-1.0638,-67760,-13570,81399,-12203,20043,24138,-1938,-1840,53226,24,-93,-27
2016-06-14,55700,55800,54300,54600,548243,29934067800,-2.1505,127450,-104007,-24900,-353,5959,-13958,-12665,0,-3883,1494,-37,0
2016-06-15,54700,55200,53500,54200,589932,31974314400,-0.7326,69835,-62870,-6843,59570,-2884,-7576,-3855,0,-52098,27,-149,0
2016-06-16,54600,54800,53500,53600,430753,23088360800,-1.107,28673,27028,-54198,5444,7417,-8627,3155,0,-51587,-1461,-42,-10000
2016-06-17,53800,54500,53400,53900,500452,26974362800,0.5597,-136330,167951,-30287,-17745,4614,16438,-26456,2540,-3968,-1509,175,-5710
2016-06-20,54800,56200,54600,56100,691974,38819741400,4.0816,-234151,253295,-17786,-20021,20501,1762,137,0,-20165,-1413,55,0
2016-06-21,55500,55800,55000,55700,399103,22230037100,-0.713,-29660,3277,26033,1473,37529,116,-13024,14524,-14416,628,-278,-169
2016-06-22,55600,55600,54500,54900,501106,27510719400,-1.4363,106371,-91525,-12822,-14460,17142,-16211,-22756,0,23805,-1979,-45,-342
2016-06-23,54800,55600,54400,55200,436187,24077522400,0.5464,-76483,106319,-29325,-37909,-5156,-32,-9698,0,23424,-570,59,46
2016-06-24,55900,55900,52000,52300,1291330,67536559000,-5.2536,156900,-147997,-25038,-22177,-14389,-651,-821,-4181,17478,15476,659,-297
2016-06-27,50900,52600,50600,52000,832384,43283968000,-0.5736,-103627,2038,102140,-934,86924,-41098,3727,10,52975,-595,44,536
2016-06-28,51900,53400,51600,53000,557900,29568700000,1.9231,-64887,121671,-49724,-15884,-30810,3234,1184,0,-7133,-7234,174,-315
2016-06-29,53500,54200,52800,53700,377468,20270031600,1.3208,-54067,65597,-16213,23141,1979,-6354,-3143,0,-29209,4692,-9,-2627
2016-06-30,54100,54200,53300,53900,440683,23752813700,0.3724,7503,141831,-147672,-23586,-39595,-33159,399,0,-51631,-1385,-277,-100
2016-07-01,54500,55200,54100,55100,609842,33602294200,2.2263,-199441,120538,69378,15901,6309,-8086,96769,0,-37709,-13332,22857,-3806
2016-07-04,54700,56300,54300,56300,606923,34169764900,2.1779,-234371,22821,192864,26911,-14494,118229,68902,-6,-6678,-1144,19830,0
2016-07-05,56000,56500,55500,55900,457414,25569442600,-0.7105,-78452,-25933,96528,30670,41643,-11897,35794,0,318,1750,6107,0
2016-07-06,55800,56600,54700,55100,557909,30740785900,-1.4311,-32059,-1618,32888,37855,43976,-49176,22162,-12,-31344,803,-14,9427
2016-07-07,55500,56900,55000,56400,725132,40897444800,2.3593,-267158,146460,115149,109403,82092,-56943,50244,635,-70833,5739,-190,551
