date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,8630,8732,8584,8586,54076,464296536,-1.0602,484,-1240,400,0,0,0,0,0,400,156,200,0
2016-05-27,8686,8686,8492,8632,52944,457012608,0.5358,-3615,3615,0,0,0,0,0,0,0,0,0,0
2016-05-30,8630,8826,8622,8770,84112,737662240,1.5987,-5465,5890,0,0,0,0,0,0,0,475,-900,0
2016-05-31,8806,9122,8732,9058,150674,1364805092,3.2839,884,-884,0,0,0,0,0,0,0,0,0,0
2016-06-01,9066,9132,8918,8994,71809,645850146,-0.7066,5699,-6199,0,0,0,0,0,0,0,500,0,0
2016-06-02,8956,9048,8956,8984,57525,516804600,-0.1112,3387,-3932,0,0,0,0,0,0,0,545,0,0
2016-06-03,8992,9132,8928,9040,125512,1134628480,0.6233,-15478,14478,0,0,0,0,0,0,0,0,1000,0
2016-06-07,9132,9410,8946,8994,240358,2161779852,-0.5088,3893,-4673,0,0,0,0,0,0,0,780,0,0
2016-06-08,8974,9178,8862,9076,94881,861139956,0.9117,-1934,1684,0,0,0,0,0,0,0,250,0,0
2016-06-09,9038,9168,8983,9076,69434,630182984,0.0,7740,-7740,0,0,0,0,0,0,0,0,0,0
2016-06-10,9076,9234,8992,9086,54764,497585704,0.1102,-1164,1164,0,0,0,0,0,0,0,0,0,0
2016-06-13,9038,9094,8882,9068,62038,562560584,-0.1981,7355,-7691,86,0,0,0,0,0,86,250,0,0
2016-06-14,9010,9048,8854,8882,62691,556821462,-2.0512,6331,-6541,82,0,0,0,0,0,82,128,0,0
2016-06-15,8826,9010,8779,9002,43274,389552548,1.351,-2293,2293,0,0,0,0,0,0,0,0,0,0
2016-06-16,9010,9252,8834,9086,58117,528051062,0.9331,6797,-6908,111,0,0,0,0,0,111,0,0,0
2016-06-17,9085,9140,9038,9086,43734,397367124,0.0,4234,-4721,115,0,0,0,0,0,115,372,0,0
2016-06-20,9085,9234,9076,9178,126767,1163467526,1.0125,10687,-11087,0,0,0,0,0,0,0,400,0,0
2016-06-21,9113,9113,8714,9012,123698,1114766376,-1.8087,4463,-5263,0,0,0,0,0,0,0,800,0,0
2016-06-22,9010,9132,8918,8994,25911,233043534,-0.1997,-380,-20,0,0,0,0,0,0,0,400,0,0
2016-06-23,9085,9085,8760,8956,42888,384104928,-0.4225,194,-705,0,0,0,0,0,0,0,0,511,0
2016-06-24,8946,9085,8065,8530,150883,1287031990,-4.7566,-9192,7248,0,0,0,0,0,0,0,1944,0,0
2016-06-27,8111,8575,8111,8437,66252,558968124,-1.0903,4683,-4422,0,0,0,0,0,0,0,250,-511,0
2016-06-28,8325,8834,8325,8743,45407,396993401,3.6269,-4933,4897,0,0,0,0,0,0,0,36,0,0
2016-06-29,8854,9187,8752,9030,102392,924599760,3.2826,-5180,5480,0,0,0,0,0,0,0,-300,0,0
2016-06-30,9085,9085,8992,9021,26429,238416009,-0.0997,-3679,3679,0,0,0,0,0,0,0,0,0,0
2016-07-01,9140,9224,9038,9197,73279,673946963,1.951,-7545,7545,0,0,0,0,0,0,0,0,0,0
2016-07-04,9456,9456,9224,9364,104396,977564144,1.8158,-3495,3495,0,0,0,0,0,0,0,0,0,0
2016-07-05,9410,9549,9224,9364,107163,1003474332,0.0,-5583,9071,0,0,0,0,0,0,0,-3488,0,0
2016-07-06,9270,9502,9168,9503,115829,1100722987,1.4844,-8238,7696,0,0,0,0,0,0,0,90,452,0
2016-07-07,9502,10197,9502,9967,318519,3174678873,4.8827,-3158,7781,0,0,0,0,0,0,0,-4623,0,0
2016-07-08,9965,11264,9965,10523,678651,7141444473,5.5784,64169,4055,2520,0,0,0,0,1210,1310,-82444,11700,0
2016-07-11,10522,10893,10476,10662,221529,2361942198,1.3209,-8006,22629,3389,0,0,0,0,1300,2089,-18011,-1,0
2016-07-12,10754,10754,10476,10708,144444,1546706352,0.4314,-13184,14056,4177,0,0,0,0,1360,2817,-4447,-602,0
2016-07-13,10708,11867,10708,11636,488869,5688479684,8.6664,5067,29000,2640,0,0,0,0,1340,1300,-36207,-500,0
2016-07-14,11820,13582,11820,12702,963875,12243140250,9.1612,6531,5944,2710,0,0,0,0,1260,1450,-14800,-385,0
2016-07-15,12840,13304,12608,13072,392615,5132263280,2.9129,-25296,13859,3960,0,963,0,0,1240,1757,7977,-500,0
2016-07-18,13164,13304,12655,12934,189891,2456050194,-1.0557,-14652,15610,-980,0,0,0,0,0,-980,22,0,0
2016-07-19,12933,13906,12933,13722,411011,5639892942,6.0925,-60609,56660,0,0,0,0,0,0,0,3959,-10,0
2016-07-20,13906,14185,12794,13258,396505,5256863290,-3.3814,15749,5985,-21502,0,0,0,0,0,-21502,-85,-147,0
2016-07-21,13026,13072,12237,12563,533771,6705765073,-5.2421,-41264,35854,0,0,0,0,0,0,0,5410,0,0
2016-07-22,12562,13674,12423,13629,309789,4222114281,8.4852,-5974,10754,-176,0,0,0,0,0,-176,-4604,0,0
2016-07-25,13721,13814,13164,13258,174162,2309039796,-2.7221,10317,-16917,0,0,0,0,0,0,0,-2300,8900,0
2016-07-26,13118,13304,12747,12980,113575,1474203500,-2.0968,-12500,11996,1080,0,0,0,0,0,1080,-576,0,0
2016-07-27,12979,13350,12794,12980,104780,1360044400,0.0,6647,-4185,0,0,0,0,0,0,0,-2462,0,0
2016-07-28,12840,13442,12840,13119,85192,1117633848,1.0709,2956,-7422,-534,0,0,0,0,0,-534,5000,0,0
2016-07-29,13118,13210,12840,12887,89412,1152252444,-1.7684,94,-10513,0,0,0,0,0,0,0,5348,5071,0
2016-08-01,12979,13536,12840,13398,112741,1510503918,3.9652,-7199,7199,0,0,0,0,0,0,0,0,0,0
2016-08-02,13582,13906,13072,13212,244355,3228418260,-1.3883,51910,-51710,0,0,0,0,0,0,0,-200,0,0
