date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,74737,74812,71369,71369,971903,69363745207,-3.5437,101577,-90321,-12942,0,-2293,-300,7,0,-10356,1584,102,0
2016-05-27,71816,73389,71142,72418,622816,45103089088,1.4698,-8298,8082,1900,0,-136,437,1189,-750,1160,-726,-958,0
2016-05-30,73686,73986,72713,72718,577032,41960612976,0.4143,6666,4952,-13541,4115,-5134,411,-1893,6,-11096,2441,-518,50
2016-05-31,72638,74436,72188,74216,1174065,87134408040,2.06,-124603,104216,22041,1619,8917,1988,22307,0,-12692,-1358,-296,-98
2016-06-01,74362,75636,73762,73915,675934,49961661610,-0.4056,-409,21313,-21979,-2487,-29,2402,-238,-1,-10126,8,1067,-11500
2016-06-02,73838,74213,72866,73541,478505,35189736205,-0.506,-30301,40765,-12745,43,-10818,-3750,105,0,1675,2166,115,0
2016-06-03,73985,74136,72712,72792,509693,37101572856,-1.0185,82051,-68755,-12602,0,-11741,0,-1206,-1,346,205,-899,0
2016-06-07,72788,73387,72413,72792,535888,39008359296,0.0,81977,-53651,-25033,0,-39,-4204,-1220,-1,-19400,-2375,-918,-169
2016-06-08,72938,73088,71815,72044,673244,48503190736,-1.0276,63279,-65680,-943,0,4062,-4531,4372,0,-4846,3184,160,0
2016-06-09,72491,73689,72265,73541,952114,70019415674,2.0779,-84846,83471,2813,0,18341,-14518,1363,0,-2548,-1227,-211,175
2016-06-10,73687,73836,72937,73616,462435,34042614960,0.102,-19487,14657,6020,-105,6308,0,-223,-150,190,148,-1338,0
2016-06-13,72790,73314,71967,71968,583001,41957415968,-2.2386,51195,-49656,-6443,0,-2089,-32,0,6,-4328,5337,-433,0
2016-06-14,71514,72339,70766,71219,579480,41269986120,-1.0407,7003,-8488,2391,0,-8146,-2,-301,5,10835,-1005,99,0
2016-06-15,71294,71593,70469,70771,510106,36100711726,-0.629,7696,-15300,6772,2123,-12400,1013,-4774,0,20810,735,97,0
2016-06-16,70991,72413,70466,70546,638850,45068312100,-0.3179,-8026,373,7147,-6750,3414,3915,-1852,0,8420,441,65,0
2016-06-17,71143,71443,69644,69797,588515,41076581455,-1.0617,41551,-52058,9700,-195,-209,2992,0,0,7112,626,181,0
2016-06-20,70994,71443,70618,70771,382966,27102886786,1.3955,-31517,6470,23311,-350,3325,-1000,55,0,21281,1371,365,0
2016-06-21,71139,71439,70165,71144,489977,34858923688,0.5271,31562,-27244,1407,0,-7819,4719,1059,5,3443,-5772,47,0
