date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,19700,20050,19700,19900,57039,1135076100,1.0152,-9699,5514,4187,4221,-6095,1193,1173,0,3695,-2,0,0
2016-05-27,19700,19850,19250,19750,97772,1930997000,-0.7538,-33325,12389,21973,2974,7515,2013,1669,0,7802,-1037,0,0
2016-05-30,19750,19900,19550,19750,41710,823772500,0.0,-8511,15749,-7373,-1989,-62,0,-3287,-56,-1979,135,0,0
2016-05-31,19750,20500,19600,20150,232829,4691504350,2.0253,-9158,12668,-3298,25727,-376,-14006,-9442,0,-5201,-1301,1089,0
2016-06-01,20150,20800,19950,20750,160772,3336019000,2.9777,-54166,31991,23552,-5882,33218,5893,-1992,0,-7685,-1278,-99,0
2016-06-02,20900,20900,20600,20700,85115,1761880500,-0.241,-19912,4172,15722,-1463,19680,9,2928,0,-5432,3,15,0
2016-06-03,20750,21050,20500,20800,155743,3239454400,0.4831,-40276,35149,7106,8284,5865,1349,-9495,0,1103,21,-2000,0
2016-06-07,20850,21050,20600,20900,115985,2424086500,0.4808,-27714,21180,5047,-6843,16678,2636,-13782,1435,4923,922,565,0
2016-06-08,20900,21900,20800,21700,294304,6386396800,3.8278,-65578,65466,3581,-13451,-6185,10982,2430,0,9805,-2077,-1392,0
2016-06-09,21750,21900,21400,21550,169148,3645139400,-0.6912,-19093,12085,9423,6324,-11029,2313,-9908,0,21723,-2215,-200,0
2016-06-10,21500,21750,21350,21650,114058,2469355700,0.464,-15246,7366,11747,9104,-494,-348,-10581,0,14066,-3907,40,0
2016-06-13,21450,22200,21450,21750,174620,3797985000,0.4619,-867,18407,-16402,-6467,-6112,-123,-13215,-128,9643,-157,-981,0
2016-06-14,21650,21750,20750,20750,244877,5081197750,-4.5977,9413,69735,-79082,4885,-76546,-6592,-20179,0,19350,-64,-2,0
2016-06-15,20650,21350,20650,20850,170762,3560387700,0.4819,-23802,53577,-30100,-24273,12382,-368,-10390,906,-8357,-5,330,0
2016-06-16,20750,21350,20450,20950,95753,2006025350,0.4796,-25783,23336,2488,-4626,16557,5771,-10507,0,-4707,-3,-38,0
