date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,95600,99400,95300,98000,134194,13151012000,2.5105,-56601,28270,29048,7943,12486,1453,-231,0,8297,-495,-222,-900
2016-05-27,98700,101000,96900,96900,94688,9175267200,-1.1224,-3156,1614,1675,3573,-108,-151,-6070,0,5931,-113,-20,-1500
2016-05-30,96400,101500,96300,100000,128235,12823500000,3.1992,-17502,1638,16972,8082,4614,-1754,1180,0,5850,-340,-768,-1000
2016-05-31,100500,102000,99000,100000,75701,7570100000,0.0,-11545,-282,11843,1103,5862,110,3348,0,1420,31,-47,0
2016-06-01,99500,109500,99500,108000,223105,24095340000,8.0,-56674,7544,49545,2831,19746,16496,8258,0,4214,180,-595,-2000
2016-06-02,108500,115000,107000,114000,275406,31396284000,5.5556,-63189,-7956,71879,-8912,18574,23448,150,0,38619,-603,-131,0
2016-06-03,112500,115500,110000,113000,181893,20553909000,-0.8772,-9649,-14567,25958,10649,14726,-3420,1439,0,2564,-1716,-26,0
2016-06-07,113500,120000,110500,114500,226567,25941921500,1.3274,10509,3623,-14905,6315,-2450,-1387,-2114,0,-15723,715,58,454
2016-06-08,114000,114500,108500,111500,226149,25215613500,-2.6201,-10833,12115,-1462,20499,-5745,3826,-2635,-26000,8593,180,0,0
2016-06-09,111500,115500,107500,109000,227064,24749976000,-2.2422,-5129,16026,-11312,15484,-12785,-1668,-3900,0,-6443,367,48,-2000
2016-06-10,109000,113500,105500,112500,174366,19616175000,3.211,-26963,23285,-1215,1111,-12621,-3857,6259,-9000,16893,3891,1002,0
2016-06-13,110500,112500,106000,107000,125382,13415874000,-4.8889,20942,-9020,-18185,-18795,-4785,2250,-2151,-5000,11250,5002,1261,-954
2016-06-14,105500,107000,101500,106000,126622,13421932000,-0.9346,-11240,17913,-11361,4101,-9639,358,-1453,0,-4728,4881,-193,0
2016-06-15,105000,107500,103000,104500,72484,7574578000,-1.4151,7233,8016,-15326,-1582,-4175,-2039,-2711,0,-4936,111,-34,117
