date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,133000,133500,131000,132000,37950,5009400000,-1.1236,8177,4841,-13033,-8416,-2774,-4042,-1779,0,3978,0,15,0
2016-05-27,131500,133000,130500,132000,59412,7842384000,0.0,3815,16026,-19848,-12147,-3066,-3647,-2016,0,178,0,7,850
2016-05-30,131000,132000,129500,130500,91560,11948580000,-1.1364,12805,31561,-48009,-18566,-5086,-8521,-6561,-123,-9044,3643,0,-108
2016-05-31,132000,133000,130500,132500,114517,15173502500,1.5326,-4887,39383,-35469,-9161,-1733,-1448,-3790,0,-19337,1000,-27,0
2016-06-01,131500,132000,129000,130000,84593,10997090000,-1.8868,23501,22630,-45823,-26987,-7941,-395,-3453,-2484,-4563,-312,4,0
2016-06-02,129500,130500,128000,128500,62336,8010176000,-1.1538,9073,16123,-24475,-21352,-158,-3146,-2003,3200,-893,-731,10,-123
2016-06-03,128000,131000,128000,128500,69923,8985105500,0.0,-2795,-7188,9977,-1455,6120,1345,-68,0,4085,0,6,-50
2016-06-07,130000,134000,129000,133000,74262,9876846000,3.5019,-21878,5431,16442,14676,2036,1163,-4310,0,2877,0,5,0
2016-06-08,133000,135000,130500,134500,73254,9852663000,1.1278,-7305,504,5307,4047,-578,113,-1397,0,3122,1464,30,0
2016-06-09,134000,136000,132500,132500,71029,9411342500,-1.487,3467,3393,-6977,-8467,-9380,2015,-1021,0,9876,117,0,0
2016-06-10,133000,133500,131500,133000,62337,8290821000,0.3774,-201,-22722,23218,-8907,31545,-60,-2862,0,3602,-295,0,-100
2016-06-13,133000,135500,131500,134500,75512,10156364000,1.1278,-11398,-23144,35368,13353,26873,-163,-3563,0,-1132,-826,0,0
2016-06-14,134500,135000,132500,133000,52898,7035434000,-1.1152,-470,-3810,4357,4674,884,802,-872,0,-1131,-143,66,0
2016-06-15,132500,132500,130500,130500,41385,5400742500,-1.8797,3799,-5026,4222,-870,5683,-1813,2781,0,-3659,-3111,116,2100
2016-06-16,131000,135500,130500,131500,63369,8333023500,0.7663,-6606,11789,-5177,-107,3226,-5506,3441,0,-6231,-6,0,0
