date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,43250,43650,42750,43650,156476,6830177400,0.4603,-7811,29845,-25009,-4508,-1430,-1502,-13037,0,-4532,2913,62,0
2016-05-27,43650,43800,43250,43650,202118,8822450700,0.0,-3845,12463,-8707,114,6910,-6042,-10230,-53,594,40,49,0
2016-05-30,43500,44950,43350,44550,263382,11733668100,2.0619,-48951,50928,-1937,8184,-7821,-16535,11624,-1504,4115,-40,0,0
2016-05-31,44150,44650,44050,44650,277909,12408636850,0.2245,4074,31893,-37597,-7501,-5267,1292,-17041,2500,-8258,10,1620,-3322
2016-06-01,44650,44900,43650,44050,136440,6010182000,-1.3438,12555,46477,-59052,-2521,-7526,-1423,-26191,0,-21391,0,20,0
2016-06-02,43800,44050,43250,43900,103413,4539830700,-0.3405,-8624,36338,-28277,-3261,-5406,-1062,-7106,0,-9841,50,513,-1601
2016-06-03,43900,43950,42800,43350,188274,8161677900,-1.2528,8349,-19514,11186,8626,-5386,2739,-15956,0,20837,1,-22,326
2016-06-07,43000,43300,42500,43050,224714,9673937700,-0.692,27979,-6208,-21771,-17937,-9539,300,4344,3805,-2744,0,0,0
2016-06-08,43050,44350,42650,44350,184251,8171531850,3.0197,-34080,51124,-17106,-3648,9017,2689,-28916,0,252,0,62,3500
2016-06-09,44700,46050,44400,45900,333580,15311322000,3.4949,-50180,83829,-52164,-20701,-27232,-794,-13440,0,14503,18515,0,-4500
2016-06-10,45950,45950,44850,45400,181741,8251041400,-1.0893,10746,-8191,-9747,-2934,-9944,428,-12788,-15,17535,7192,0,-2029
2016-06-13,44900,44900,43950,44650,158701,7085999650,-1.652,-5329,18440,-12530,-4591,-1886,-337,-12461,-11,7031,-582,1,-275
2016-06-14,44150,44650,43350,43700,166934,7295015800,-2.1277,20357,25933,-47803,-8170,-9455,-1583,-23780,0,-4815,1518,-5,0
2016-06-15,43300,43550,43050,43250,168440,7285030000,-1.0297,11158,15072,-19464,-2041,-8111,-1,-1015,0,-12896,-6663,-103,4600
2016-06-16,43200,43200,42000,42100,207715,8744801500,-2.659,38310,-8019,-13687,-5474,-6015,1467,-1295,0,-14100,-16513,-91,11730
2016-06-17,42900,43100,42000,42200,144862,6113176400,0.2375,8676,-6347,-2301,-152,-1008,-1476,-6388,0,4427,1,-29,2296
2016-06-20,42800,43350,42350,43200,100683,4349505600,2.3697,-4421,-5775,10196,11974,-4747,2576,2206,0,-1813,0,0,0
2016-06-21,43350,43700,42800,43700,96899,4234486300,1.1574,-19267,24045,-4341,936,-2261,-405,2472,0,-4945,-437,0,-138
2016-06-22,43800,44000,43100,43600,126242,5504151200,-0.2288,-503,-7955,9668,-3423,-17,9430,-4648,-706,9496,-1173,-37,-464
2016-06-23,43500,44200,43350,44050,89721,3952210050,1.0321,-25663,32624,-6893,-12662,-459,-29,943,0,5314,0,-68,0
2016-06-24,44400,44600,41650,42350,235574,9976558900,-3.8593,-11466,15168,-1837,174,-19379,-2634,931,-2320,-1415,-1798,-67,22806
2016-06-27,41950,42250,40800,41050,177467,7285020350,-3.0697,34954,-40566,5119,-6422,-5916,-4825,-17807,-2523,30512,493,0,12100
2016-06-28,40000,40950,39550,40600,179831,7301138600,-1.0962,35372,-11626,-20334,-9697,1613,-4978,-28696,-2601,13055,-3412,0,10970
2016-06-29,41200,41700,40600,41650,180992,7538316800,2.5862,-4466,48297,-43751,-57791,4119,17381,1802,-1295,-8820,-80,0,853
2016-06-30,41800,42250,41450,42100,139817,5886295700,1.0804,-8731,34588,-25857,-12030,-7850,100,6788,-63,-12802,0,0,0
2016-07-01,42250,44000,42250,43550,177384,7725073200,3.4442,-45019,72471,-22511,-10443,2382,24,6238,0,-20712,-4000,-941,0
2016-07-04,43700,43700,42900,43200,114147,4931150400,-0.8037,6594,35374,-42872,-1006,-8087,-1309,-33091,-26,647,164,740,0
2016-07-05,43250,43400,42800,43000,70888,3048184000,-0.463,-9086,35392,-25544,-9668,-15806,-1060,-4421,0,5411,-822,60,0
2016-07-06,43000,43050,41750,42550,173026,7362256300,-1.0465,-2624,45249,-42692,-8420,-16703,-21223,-3872,0,7526,6,61,0
2016-07-07,43000,43650,42450,43350,74425,3226323750,1.8801,-15952,18133,-2068,-6098,3174,-97,3391,0,-2438,0,-113,0
2016-07-08,42900,43200,42050,42400,326815,13856956000,-2.1915,11986,-19936,8147,-3900,3937,3929,2000,-21,-2498,-197,0,4700
2016-07-11,43150,44100,43100,43800,138611,6071161800,3.3019,-24921,38615,-11590,-19603,2017,4872,-3112,0,6176,-1243,-861,-1940
2016-07-12,43800,44500,43200,43500,136379,5932486500,-0.6849,5269,9824,-13193,-32585,12715,-770,-10522,0,19921,-2000,100,-1952
2016-07-13,43850,45000,43850,44450,172571,7670780950,2.1839,-19861,53887,-30026,1803,23131,-830,1932,374,-39102,-4000,0,-17334
2016-07-14,44700,45250,44200,44600,125314,5589004400,0.3375,3496,17887,-22729,2720,-7827,-1411,10003,-25,7585,1307,39,-33774
2016-07-15,44950,45700,44750,45050,127486,5743244300,1.009,-12632,28144,-15309,-3194,-2763,229,2448,0,-10458,-69,-134,-1571
2016-07-18,44650,44950,44400,44750,75688,3387038000,-0.6659,3043,-11518,12298,0,-6704,3534,-4313,-11,19792,0,-3823,0
2016-07-19,44400,45100,44000,44300,93292,4132835600,-1.0056,-1789,33873,-32162,3491,-23271,-9672,3347,0,-6057,13,65,0
2016-07-20,44200,45000,43900,44600,102710,4580866000,0.6772,-734,-2290,1250,1991,19003,3839,-6627,0,-16956,-13,1787,0
2016-07-21,44650,45450,44650,44900,98439,4419911100,0.6726,-12078,12865,-763,1733,11404,455,5645,-34,-18876,0,-24,-1090
2016-07-22,45250,45950,44650,45700,133284,6091078800,1.7817,3489,18401,-21224,-6646,-889,-7932,19075,421,-6632,-887,221,-18621
2016-07-25,45950,46600,45800,46450,242134,11247124300,1.6411,-37638,12386,29366,9667,25768,11904,-25712,0,19819,-4112,-2,-12080
2016-07-26,46400,46950,45900,46300,107900,4995770000,-0.3229,3959,7011,-11536,-9795,-2218,-859,-6566,-25,9607,552,14,-1680
2016-07-27,46350,47050,46050,46500,112579,5234923500,0.432,-26748,51857,-19328,-1309,-3670,-1347,-10980,-19,-514,-5681,-100,-1489
2016-07-28,46450,46700,45900,46300,92215,4269554500,-0.4301,10774,12775,-23609,-1659,-10526,-178,-3522,0,-6312,60,0,-1412
2016-07-29,46050,46900,45700,46900,185392,8694884800,1.2959,-10819,37369,-25116,426,-16790,551,-20601,0,11298,-1434,0,0
2016-08-01,47000,47500,46900,47050,110809,5213563450,0.3198,-9879,24060,-14181,1314,-2472,-1600,3325,0,-14748,0,0,0
2016-08-02,47100,47200,45300,45650,196058,8950047700,-2.9756,7470,82853,-90716,-1310,-43182,-11235,-14479,-2942,-10954,392,1,-6614
2016-08-03,45000,45400,43250,44100,206076,9087951600,-3.3954,35027,35180,-70242,-8227,-18819,-31087,-52676,-4000,44567,33,2,0
2016-08-04,44150,44550,43900,44250,90027,3983694750,0.3401,-402,12144,-11066,-5472,-1885,-9398,-6724,0,12413,-726,50,0
2016-08-05,44050,44500,42150,42350,241330,10220325500,-4.2938,16992,-11401,-5636,-18095,13328,-4694,-8846,4640,8031,44,1,0
2016-08-08,42600,43500,42200,43250,291810,12620782500,2.1251,-5351,17435,-11984,-85864,14888,-3110,17458,0,44644,0,-100,0
2016-08-09,43300,43300,42400,43250,135145,5845021250,0.0,9537,-25607,16597,-1370,9270,1930,-22504,0,27387,-527,0,1884
2016-08-10,43000,43600,43000,43350,115286,4997648100,0.2312,-8599,8424,1046,19570,-12664,-15988,-12643,-1927,27424,-871,0,-2726
2016-08-11,43450,43450,42400,43150,158412,6835477800,-0.4614,24071,3919,-28180,10651,-20919,-25565,-7351,0,15004,190,0,0
2016-08-12,43100,44100,42700,43300,131517,5694686100,0.3476,19084,-1588,-17028,-18896,1877,-17430,-1102,788,17735,-468,0,0
2016-08-16,43700,43800,43000,43100,81821,3526485100,-0.4619,15376,-1456,-13627,265,-6073,-17743,-2498,0,12422,-293,0,0
2016-08-17,42800,43350,42700,42800,127571,5460038800,-0.6961,-7935,53297,-43359,-38599,-2571,-7891,-3555,-7033,16290,-2003,0,0
2016-08-18,42800,42800,41600,41800,209864,8772315200,-2.3364,55483,484,-55990,-7973,-19795,-27140,-10739,-3330,-2813,22,1,15800
2016-08-19,41800,42150,41450,42000,155169,6517098000,0.4785,6200,66348,-71437,-26400,-3481,-9622,-995,0,-33856,-1181,70,2917
2016-08-22,42150,42150,41500,41550,139342,5789660100,-1.0714,8006,65,-7723,-1026,-6949,-8987,4431,-6000,-2292,-348,0,13100
2016-08-23,41550,41700,41150,41200,69814,2876336800,-0.8424,14976,-15218,271,5791,-3159,-238,-13343,0,3161,-29,0,8059
2016-08-24,41100,41450,41000,41300,65127,2689745100,0.2427,7176,4227,-11313,4743,-6641,2761,-1528,-12522,1818,-90,0,56
2016-08-25,41700,42100,41400,41850,110872,4639993200,1.3317,-7590,13618,-6502,4431,-20505,975,-8614,0,17211,474,0,0
2016-08-26,41300,42050,41300,41700,84271,3514100700,-0.3584,6693,933,17974,4287,-6321,-1095,-1120,0,19723,0,-25600,2500
2016-08-29,41450,41450,40900,41150,76807,3160608050,-1.3189,10508,-7030,-3459,-1367,-13963,1544,-8333,0,4160,-19,0,14500
2016-08-30,41000,41900,41000,41150,56069,2307239350,0.0,8064,4366,-12430,-2935,-9642,-498,-9285,0,9930,0,0,0
2016-08-31,41200,41250,40100,40100,205450,8238545000,-2.5516,38680,-31856,-6552,-2322,-22022,457,-20120,0,22943,-273,1,14512
2016-09-01,40050,40500,39850,40350,139375,5623781250,0.6234,16891,61326,-78478,-3503,-48211,-22741,-17111,0,3997,260,1,9091
2016-09-02,40200,40350,39900,40050,108717,4354115850,-0.7435,20112,768,-20931,-13653,-3150,4457,-13808,0,-8977,50,1,14200
2016-09-05,40100,41850,40100,41450,115738,4797340100,3.4956,-49362,20325,29082,-2066,17099,-2072,-3593,0,20423,-45,0,-709
2016-09-06,41600,41900,41450,41700,88809,3703335300,0.6031,-2648,31163,-28565,420,-14418,-986,-7511,0,-1324,-50,100,-4746
2016-09-07,41500,42450,41500,42050,122935,5169416750,0.8393,-24299,37641,-13366,-643,-9701,-5345,-741,0,3064,24,0,0
2016-09-08,41950,42350,41500,42000,146109,6136578000,-0.1189,849,70181,-71030,-6493,-45163,-9422,-6135,0,-2557,0,0,-1260
2016-09-09,42000,42200,41600,41750,105166,4390680500,-0.5952,4261,7558,-11819,2674,-17293,-4957,15685,0,-7928,0,0,0
2016-09-12,41750,41900,41350,41350,70085,2898014750,-0.9581,-4034,4744,-615,3277,-23818,346,5564,0,14016,-109,14,0
2016-09-13,41700,42200,40800,40800,120593,4920194400,-1.3301,20880,32101,-52991,-12853,-1050,-901,-12097,473,-33663,10,0,7100
2016-09-19,40150,40800,40150,40550,81265,3295295750,-0.6127,16312,-4807,-11515,-4327,8781,-35,-12221,0,-8263,20,-10,4550
2016-09-20,41100,41100,40200,40600,93775,3807265000,0.1233,15364,25135,-40496,-11122,-6441,1503,-9429,0,-21007,-3,0,6000
2016-09-21,40350,41000,40300,40800,72983,2977706400,0.4926,2160,-13916,11756,15273,-4238,1508,3686,0,-5673,0,0,1200
2016-09-22,41150,41550,40700,40800,78787,3214509600,0.0,9622,23782,-33404,-13182,-18025,561,-5105,-876,2173,0,0,1050
2016-09-23,41250,41650,40800,41200,128706,5302687200,0.9804,-10032,42004,-30692,-1813,-24640,3425,-21341,0,13677,0,-1280,0
2016-09-26,41350,41500,40800,41050,55238,2267519900,-0.3641,8671,1176,-9857,-1610,-1793,5048,-19850,672,7676,0,10,0
2016-09-27,41000,41150,40250,40800,120636,4921948800,-0.609,16881,13835,-30756,-1513,-34037,-2366,-13703,0,18363,10,30,2500
2016-09-28,40900,40900,40550,40550,51156,2074375800,-0.6127,12642,-12214,972,0,-5457,-976,-2338,0,7243,-1400,0,2500
2016-09-29,40900,41400,40650,41400,58652,2428192800,2.0962,-8919,14557,-5596,604,-5986,-4303,-1379,0,5468,-12,-30,0
2016-09-30,40900,41150,40650,40750,97542,3974836500,-1.57,5422,-12328,6906,-4747,-15582,5383,-3671,-4,23527,0,0,2000
2016-10-04,40600,40850,40400,40450,112321,4543384450,-0.7362,31482,-38686,7184,-10868,42,7708,1332,704,866,0,20,7400
2016-10-05,40250,40700,40200,40400,102592,4144716800,-0.1236,21828,5355,-27152,-3347,-15263,1900,-4927,0,-10132,-14,-17,4617
2016-10-06,40400,40500,40150,40150,119186,4785317900,-0.6188,33579,29412,-63131,-29871,-7849,-10737,-3469,0,-13705,0,140,2500
2016-10-07,40100,40350,40000,40150,172318,6918567700,0.0,14843,56237,-71086,-37413,-53800,-17425,-8612,0,43664,6,0,2500
2016-10-10,40350,40800,40000,40100,136332,5466913200,-0.1245,26384,31244,-56940,-24680,-31251,-12736,-11043,0,18811,-548,-140,3959
2016-10-11,40550,40900,40200,40300,86632,3491269600,0.4988,-19260,-2072,22158,4735,-5539,-1035,340,0,23657,-826,0,0
2016-10-12,40600,40700,40150,40400,86994,3514557600,0.2481,5400,-2466,-1238,-661,-14234,2593,-7528,0,18592,-1696,0,0
2016-10-13,40200,40450,40050,40050,94200,3772710000,-0.8663,6100,5783,-11646,-4581,-5248,4882,183,0,-17263,-237,0,10381
2016-10-14,40100,40600,40100,40600,70509,2862665400,1.3733,-12654,-5136,17776,-8345,20847,1772,-401,0,3903,14,0,0
2016-10-17,40750,40900,40200,40250,97131,3909522750,-0.8621,20055,-4444,-15615,-5397,-5394,-2091,-5327,0,-1895,18,-14,4489
2016-10-18,40500,41150,40300,41150,86190,3546718500,2.236,-35912,30687,5196,-589,-10622,2534,-635,0,14508,5,24,0
2016-10-19,41150,41600,40750,41300,110621,4568647300,0.3645,-17266,20538,-3277,6512,9155,3877,-11563,0,-11258,0,5,0
2016-10-20,41500,41900,41350,41600,64437,2680579200,0.7264,-13516,11176,2348,8681,-10018,802,-1305,0,4188,2,-10,0
2016-10-21,41800,41800,41100,41650,130539,5436949350,0.1202,7550,2849,-10399,9068,-14320,654,-5606,0,-195,0,0,0
2016-10-24,41350,42000,41150,42000,82005,3444210000,0.8403,-30075,-1686,31761,8094,7822,3205,812,0,11828,0,0,0
2016-10-25,41600,42050,41550,41800,67910,2838638000,-0.4762,-9705,-22378,32107,14132,-1792,5954,4523,0,9290,0,-24,0
2016-10-26,41800,41850,41000,41300,61438,2537389400,-1.1962,-1750,-11514,15129,5939,-1194,2597,569,0,7218,-1865,0,0
2016-10-27,41100,41700,40800,41700,65680,2738856000,0.9685,-4078,19830,-15752,1572,-13092,3452,-712,0,-6972,0,0,0
2016-10-28,41250,41650,41000,41000,56518,2317238000,-1.6787,9840,1035,-10875,225,-4809,8111,-6896,0,-7506,0,0,0
2016-10-31,40650,41250,40550,41100,59085,2428393500,0.2439,-19993,-1637,21623,1092,3522,9638,630,0,6741,7,0,0
2016-11-01,41000,41150,40250,40700,78607,3199304900,-0.9732,8910,-47,-8871,-10496,1743,1894,-11958,0,5606,8,0,4340
2016-11-02,40850,40850,40300,40500,74517,3017938500,-0.4914,-30401,1225,29176,-3370,706,1242,16797,0,7801,0,0,6000
2016-11-03,40750,40750,40100,40150,83539,3354090850,-0.8642,14589,-33665,19061,16279,2774,-983,-11826,0,11621,15,0,1196
2016-11-04,40200,40450,40000,40450,68438,2768317100,0.7472,-788,-9725,11046,-7649,1593,2050,-7803,0,17255,-533,0,5600
2016-11-07,40900,41150,40300,41050,64521,2648587050,1.4833,-16881,-30045,45187,26536,490,2261,-3922,0,19822,1739,0,0
2016-11-08,41050,41900,40950,41900,70450,2951855000,2.0706,-43015,38518,3906,-1460,357,1516,2146,0,1347,591,0,0
2016-11-09,41900,41900,39650,40500,165311,6695095500,-3.3413,9882,-31692,21781,-185,4114,2491,11002,0,4259,29,0,100
2016-11-10,40900,41800,40700,41450,115470,4786231500,2.3457,-21982,-23535,45547,22489,5190,-77,-1626,0,19571,-30,0,0
2016-11-11,41600,42700,41600,41850,123805,5181239250,0.965,-8741,-15622,18614,-6753,2446,5493,5181,0,12247,-1337,7086,0
2016-11-14,41900,42300,41550,42200,81538,3440903600,0.8363,-13967,-10578,23146,-3465,1804,8108,3295,0,13404,10,1389,0
2016-11-15,42500,43350,41650,43350,101431,4397033850,2.7251,-45063,6248,38872,2442,11434,7255,9897,0,7844,-12,-45,0
2016-11-16,43550,43550,42950,43400,101112,4388260800,0.1153,-17327,27830,-10491,25,3535,4722,-6995,0,-10977,-2,-10,-801
2016-11-17,43350,43350,42650,43000,62662,2694466000,-0.9217,7310,16959,-24293,2555,361,-1573,-11101,0,-14535,-1,25,0
2016-11-18,42700,42900,40700,40750,208463,8494867250,-5.2326,74259,55906,-128011,-4739,-47328,-34970,-26754,-1637,-13304,-2120,-34,721
