date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,68900,70900,68900,70500,9790,690195000,2.4709,-4696,4236,547,900,-31,-4,-2011,0,894,-87,0,799
2016-05-27,70000,70400,69100,69700,7958,554672600,-1.1348,1991,-179,-1912,0,990,-1068,-1815,0,-19,100,0,0
2016-05-30,69700,70100,69100,69700,4897,341320900,0.0,-1531,2391,-858,0,-732,-62,0,0,-64,-2,0,0
2016-05-31,69000,70800,69000,69900,8955,625954500,0.2869,976,-674,-301,585,-326,0,140,0,-700,-1,0,0
2016-06-01,70700,70900,69600,70700,7632,539582400,1.1445,-2649,1331,1448,-27,1909,-17,-246,0,-171,-130,0,0
2016-06-02,70700,71500,70000,71000,7065,501615000,0.4243,-2301,-444,2536,1804,1377,270,-920,0,5,209,0,0
2016-06-03,71400,72100,70000,71800,16960,1217728000,1.1268,-6155,-1440,9089,3516,-49,0,-1802,7418,6,-1494,0,0
2016-06-07,71100,71900,70300,70900,13112,929640800,-1.2535,2070,1501,-2763,1935,-3432,0,-2327,9,1052,-808,0,0
2016-06-08,70400,71700,70000,70900,12663,897806700,0.0,-3461,-964,5348,4760,2317,497,-2265,0,39,-923,0,0
2016-06-09,70400,71700,70400,71000,10974,779154000,0.141,-2314,5204,135,-1212,2966,5,-1106,0,-518,-3025,0,0
2016-06-10,71400,71900,70300,71000,8888,631048000,0.0,3582,-678,-2908,-1037,-2244,-593,0,0,966,4,0,0
2016-06-13,70900,71300,70200,70500,5819,410239500,-0.7042,-127,35,93,-1305,828,-59,-55,0,684,-1,0,0
2016-06-14,70500,70500,65900,66100,43886,2900864600,-6.2411,15855,5624,-16421,-7476,-1698,-2085,-1,-1172,-3989,-5058,0,0
2016-06-15,66100,67200,65300,65400,18482,1208722800,-1.059,1383,2337,-3680,0,702,-2697,50,163,-1898,96,-136,0
2016-06-16,65500,65500,62400,63700,21526,1371206200,-2.5994,-1903,1204,527,2084,36,0,0,349,-1942,172,0,0
2016-06-17,63700,65500,63700,64900,15707,1019384300,1.8838,-3304,587,2369,0,-150,800,-1010,0,2729,348,0,0
2016-06-20,64900,67500,64900,67400,9588,646231200,3.8521,-4926,524,4090,0,750,-56,87,0,3309,312,0,0
2016-06-21,67000,67300,65800,66400,7336,487110400,-1.4837,1669,-1437,-883,-2000,-427,0,0,0,1544,651,0,0
2016-06-22,66000,67800,66000,67500,7761,523867500,1.6566,-2720,460,3244,-1000,439,0,34,0,3771,-984,0,0
2016-06-23,67500,67500,66500,66700,4934,329097800,-1.1852,2391,-83,-1201,-1000,-224,0,56,21,-54,-1107,0,0
2016-06-24,66600,67400,64100,64600,13167,850588200,-3.1484,3170,530,-3707,-1781,-688,-754,63,0,-547,7,0,0
2016-06-27,63300,66500,63000,66500,6345,421942500,2.9412,-290,-686,981,-313,287,0,22,0,985,-5,0,0
2016-06-28,66000,66200,65200,65600,6660,436896000,-1.3534,2215,-3805,1601,0,334,0,94,20,1153,-11,0,0
2016-06-29,65500,66300,65500,66000,5369,354354000,0.6098,660,995,-1655,-1000,-617,0,51,-89,0,0,0,0
2016-06-30,66000,66100,65100,65100,6299,410064900,-1.3636,2336,-2303,-33,-1000,655,0,62,0,250,0,0,0
2016-07-01,65100,65800,64900,65500,4960,324880000,0.6144,1275,1388,-2629,-1000,-486,-23,-1151,41,-10,-34,0,0
2016-07-04,65600,65600,64200,65400,15364,1004805600,-0.1527,7389,453,-7842,-349,-8559,2599,-1166,0,-367,0,0,0
2016-07-05,65000,65000,64000,64500,9550,615975000,-1.3761,4689,1756,-6194,-1000,-4283,-28,-859,0,-24,-264,13,0
2016-07-06,64100,64700,62900,63400,15828,1003495200,-1.7054,8743,963,-7114,-1000,-3136,-1342,-850,-958,-301,-2650,58,473
2016-07-07,63600,63900,62500,62700,12993,814661100,-1.1041,7193,386,-7446,-2104,-3252,0,-144,0,-1946,-177,44,0
2016-07-08,62800,62900,62400,62700,6108,382971600,0.0,3856,-298,-3356,-2104,18,236,7,0,-1513,-202,0,0
2016-07-11,63000,63000,62600,62800,7674,481927200,0.1595,2067,-26,-1615,-2104,118,0,0,0,379,-388,-38,-8
2016-07-12,63300,64000,62500,64000,11460,733440000,1.9108,-441,4210,-2700,-1765,-446,31,0,0,-520,-1101,32,0
2016-07-13,64000,64600,63700,63800,9300,593340000,-0.3125,382,281,-1047,-744,-557,0,-123,-18,395,-146,530,0
2016-07-14,63800,64300,63600,64200,9859,632947800,0.627,-1570,2969,-282,-567,252,12,37,-20,4,-1113,-4,0
2016-07-15,64500,64700,64200,64400,11021,709752400,0.3115,1960,1337,-2489,-1104,-1697,-15,-148,599,-101,-784,-24,-23
2016-07-18,64800,65900,64400,65800,14072,925937600,2.1739,-6419,2597,3837,0,3346,0,0,56,435,-15,0,0
2016-07-19,65800,66200,65600,66000,5223,344718000,0.304,-637,-889,1575,880,572,-20,-56,0,199,-49,0,0
2016-07-20,66000,66700,65900,66200,6892,456250400,0.303,-1256,352,1704,880,1294,0,0,0,-470,0,-800,0
2016-07-21,66500,66800,65100,66000,14405,950730000,-0.3021,-2945,-4371,7296,5762,3229,74,0,0,-1769,20,0,0
2016-07-22,66000,66400,65600,66000,4891,322806000,0.0,2093,-795,-1248,0,462,-1,-1723,19,-5,-50,0,0
2016-07-25,66100,66200,65300,65400,7510,491154000,-0.9091,3702,-775,-2585,-11,-141,71,-10,0,-2494,-342,0,0
2016-07-26,65500,66200,65100,66200,4341,287374200,1.2232,374,-30,-269,0,-2,0,0,0,-267,-75,0,0
2016-07-27,65600,66700,65600,66300,4726,313333800,0.1511,440,590,-1006,0,-875,0,-97,0,-34,-24,0,0
2016-07-28,66000,66800,66000,66500,2685,178552500,0.3017,-786,879,-382,0,-249,-42,-102,0,11,289,0,0
2016-07-29,66500,67300,66100,67100,7528,505128800,0.9023,-4445,582,1352,0,-83,0,-5,11,1429,2511,0,0
2016-08-01,67300,67500,67100,67200,6199,416572800,0.149,-367,-107,-381,0,-389,-48,34,0,22,855,0,0
2016-08-02,66600,67200,65700,66400,7670,509288000,-1.1905,-487,-355,1044,-63,-313,-85,1506,0,-1,-202,0,0
2016-08-03,66200,66400,65400,65500,11797,772703500,-1.3554,5329,-4929,-360,0,-190,-39,1520,0,-1651,-39,-1,0
2016-08-04,65500,67000,65000,66900,5886,393773400,2.1374,-2332,44,2286,0,-136,0,1568,0,854,2,0,0
2016-08-05,67100,67500,67000,67400,7217,486425800,0.7474,-4192,2223,2054,0,-46,0,1514,0,586,-84,-1,0
2016-08-08,67600,67700,66400,66800,5915,395122000,-0.8902,1769,102,-1696,-2402,-311,225,334,0,458,-175,0,0
2016-08-09,66800,66900,66000,66100,7345,485504500,-1.0479,2797,-144,-2767,-2393,-389,-134,174,0,-25,114,0,0
2016-08-10,66300,67100,66000,67100,9233,619534300,1.5129,-39,3043,-2617,-2734,-73,0,100,-87,177,-387,0,0
2016-08-11,67300,67800,65900,67800,8458,573452400,1.0432,-1458,-489,2082,251,-350,0,0,0,2181,-135,0,0
2016-08-12,68000,68000,67200,67800,7077,479820600,0.0,-1156,-635,1843,0,-227,0,175,0,1895,-52,0,0
2016-08-16,68100,68300,67500,67500,6903,465952500,-0.4425,-1924,-808,2474,0,2110,0,242,0,122,258,0,0
2016-08-17,68000,68000,66300,66600,9038,601930800,-1.3333,1997,-301,-1639,-1642,-81,0,49,0,35,-57,0,0
2016-08-18,66600,66800,65700,66600,11176,744321600,0.0,7218,-1007,-6211,-4882,-1439,0,-29,0,139,0,0,0
2016-08-19,66500,66700,65900,66400,5257,349064800,-0.3003,2650,-2832,142,0,-100,0,34,-41,249,40,0,0
2016-08-22,66400,66400,64900,65000,10658,692770000,-2.1084,4864,-4053,-767,0,0,0,43,-56,-754,-44,0,0
2016-08-23,65000,65300,63900,64600,9716,627653600,-0.6154,3325,-4280,851,945,85,0,-73,-38,-68,104,0,0
2016-08-24,64500,64900,64000,64400,10059,647799600,-0.3096,6414,-5630,-258,-209,-72,-122,136,-53,62,-526,0,0
2016-08-25,64400,64500,63800,64500,8953,577468500,0.1553,6122,-5557,-565,-607,-181,0,85,0,138,0,0,0
2016-08-26,63900,64500,63900,64300,5760,370368000,-0.3101,3813,-3800,6,-17,11,-6,-12,0,30,-19,0,0
2016-08-29,64200,64200,63100,63100,9876,623175600,-1.8663,5518,-3387,-2013,-2067,14,-1,50,0,-9,-119,1,0
2016-08-30,63200,63500,62800,63000,9935,625905000,-0.1585,5108,-3383,-1669,-1736,-8,16,14,0,45,-56,0,0
2016-08-31,63000,64600,62900,64600,8603,555753800,2.5397,586,-2620,2076,96,441,0,0,0,1539,-42,0,0
2016-09-01,64500,64600,63300,64200,10089,647713800,-0.6192,6932,-2665,-4188,-1777,-1631,-251,-20,0,-509,-79,0,0
2016-09-02,64300,64300,63300,63900,10661,681237900,-0.4673,6392,-1582,-4371,-2196,-1562,35,1,-240,-409,-439,0,0
2016-09-05,64100,64200,63300,63900,10345,661045500,0.0,2692,-1279,-1023,-584,6,-246,-2,-160,-37,-390,0,0
2016-09-06,64100,64100,63100,63700,14754,939829800,-0.313,7725,-2282,-5198,0,585,-4642,-1044,0,-97,-245,0,0
2016-09-07,63600,63700,63200,63600,11311,719379600,-0.157,2401,-2307,411,0,276,0,200,0,-65,-505,0,0
2016-09-08,63600,64000,63000,64000,12013,768832000,0.6289,-425,244,558,1625,-1180,-205,322,0,-4,-377,0,0
2016-09-09,64000,64000,63200,63600,6904,439094400,-0.625,2184,-3068,1257,722,13,18,400,-29,133,-373,0,0
2016-09-12,63200,63800,63200,63700,4663,297033100,0.1572,2014,-2664,650,302,137,0,127,0,84,0,0,0
2016-09-13,63700,63900,63300,63600,6947,441829200,-0.157,3640,-4135,601,0,285,-17,50,0,283,-106,0,0
2016-09-19,63800,64200,63200,63800,7778,496236400,0.3145,3925,-4167,42,0,-20,13,-66,0,115,200,0,0
