date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,163399,163399,128068,129549,230703,29887342947,-25.6756,55,9,0,0,0,0,0,0,0,0,-64,0
2016-05-27,139845,163694,128657,151926,163185,24792044310,17.273,-6616,0,0,0,0,0,0,0,0,6629,-13,0
2016-05-30,163692,176647,157807,167825,67120,11264414000,10.465,-15340,0,0,0,0,0,0,0,0,15340,0,0
2016-05-31,167821,218172,167821,218172,158107,34494520404,29.9997,-19163,0,0,0,0,0,0,0,0,19163,0,0
2016-06-01,283527,283527,283527,283535,177291,50268203685,29.9594,-100,0,0,0,0,0,0,0,0,0,100,0
2016-06-02,352717,366262,290296,330939,3784378,1252398270942,16.7189,62907,0,0,0,0,0,0,0,0,-63705,798,0
2016-06-03,310917,318570,248790,252620,2034837,514040522940,-23.6657,498,0,0,0,0,0,0,0,0,0,-498,0
2016-06-07,276761,317978,254680,256448,1794012,460070789376,1.5153,-2517,0,0,0,0,0,0,0,0,0,2517,0
2016-06-08,262625,302081,244079,247909,685956,170054666004,-3.3297,-5000,0,0,0,0,0,0,0,0,0,5000,0
2016-06-09,258209,258209,215519,219055,222666,48776100630,-11.6389,-8880,0,0,0,0,0,0,0,0,0,8880,0
2016-06-10,220822,282646,207571,232305,827236,192171058980,6.0487,14000,0,0,0,0,0,0,0,0,0,-14000,0
2016-06-13,232592,255565,213162,219644,297445,65332009580,-5.4502,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,219641,228472,206980,211400,70785,14963949000,-3.7533,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,213453,220229,201381,201390,69153,13926722670,-4.7351,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,203736,203736,176942,180191,57380,10339359580,-10.5263,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,180189,191377,169590,182252,103675,18894976100,1.1438,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,179599,203154,175769,183429,198217,36358746093,0.6458,-671,471,0,0,0,0,0,0,0,0,200,0
2016-06-21,185486,185486,178709,180191,46520,8382485320,-1.7653,-1619,-4381,0,0,0,0,0,0,0,0,6000,0
2016-06-22,180190,198147,179011,180485,146928,26518300080,0.1632,2724,3276,0,0,0,0,0,0,0,0,-6000,0
2016-06-23,183719,186657,177826,179013,33076,5921033988,-0.8156,4126,-4126,0,0,0,0,0,0,0,0,0,0
2016-06-24,176650,184015,163694,164586,62981,10365790866,-8.0592,-340,340,0,0,0,0,0,0,0,0,0,0
2016-06-27,159282,167819,155747,164292,36249,5955420708,-0.1786,-16940,10940,0,0,0,0,0,0,0,0,6000,0
2016-06-28,164284,175177,158988,175185,65014,11389477590,6.6303,11065,-5065,0,0,0,0,0,0,0,0,-6000,0
2016-06-29,188133,197561,173410,174891,168931,29544511521,-0.1678,9490,-9490,0,0,0,0,0,0,0,0,0,0
2016-06-30,177830,179008,170464,173713,30078,5224939614,-0.6736,-2985,3285,0,0,0,0,0,0,0,0,-300,0
2016-07-01,170470,188721,170167,176952,75616,13380402432,1.8646,4461,-3211,0,0,0,0,0,0,0,-1250,0,0
2016-07-04,177240,180186,172534,174302,46304,8070879808,-1.4976,-2768,2768,0,0,0,0,0,0,0,0,0,0
2016-07-05,174883,176356,172239,174302,51304,8942389808,0.0,-3813,-203,0,0,0,0,0,0,0,0,4016,0
2016-07-06,226408,226408,199318,226416,765573,173337976368,29.8987,5874,-1958,0,0,0,0,0,0,0,0,-3916,0
2016-07-07,248490,288536,241427,271464,2103721,571084517544,19.8961,-358,-463,0,0,0,0,0,0,0,0,821,0
2016-07-08,276463,322688,275580,284419,1164438,331188291522,4.7723,-832,433,0,0,0,0,0,0,0,52,347,0
2016-07-11,281466,283823,256439,257920,439489,113353002880,-9.3169,-371,-2107,0,0,0,0,0,0,0,0,2478,0
2016-07-12,254976,335060,237895,335061,2477097,829978597917,29.9089,294,3738,0,0,0,0,0,0,0,-52,-3980,0
2016-07-13,344478,397472,319745,338594,3426733,1160271233402,1.0544,6000,-4881,0,0,0,0,0,0,0,0,-1119,0
2016-07-14,341534,354490,321507,323283,595856,192630115248,-4.5219,-66,0,0,0,0,0,0,0,0,0,66,0
2016-07-15,296192,373330,296192,324461,857559,278244450699,0.3644,765,-180,0,0,0,0,0,0,0,800,-1385,0
2016-07-18,334466,356253,315029,318572,620339,197622635908,-1.815,-637,0,-12,0,0,0,0,0,-12,0,649,0
2016-07-19,316797,334467,302082,305618,272429,83259206122,-4.0663,-1497,0,0,0,0,0,0,0,0,-6304,7801,0
2016-07-20,305022,312093,288538,291191,157266,45794443806,-4.7206,-1580,0,0,0,0,0,0,0,0,0,1580,0
2016-07-21,291769,323868,282644,294429,630125,185527073625,1.112,6546,3518,0,0,0,0,0,0,0,0,-10064,0
2016-07-22,289131,317981,206100,206100,1500031,309156389100,-30.0001,237309,1513,-256383,0,0,0,0,-256383,0,-1635,19196,0
2016-07-25,0,0,0,206100,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-26,0,0,0,206100,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-27,0,0,0,206100,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-28,0,0,0,206100,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-29,0,0,0,206100,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,0,206100,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-02,267923,267923,171356,173713,8379309,1455594904317,-15.7142,1567092,-4036,-898896,0,0,0,0,-898896,0,-663741,-419,0
2016-08-03,188426,191372,140433,154281,5254320,810641743920,-11.1863,1256106,0,-870671,0,0,0,0,-870671,0,-396442,11007,0
2016-08-04,151920,163697,145446,148392,2913425,432328962600,-3.8171,580931,13806,-350000,0,0,0,0,-350000,0,-252457,7720,0
2016-08-05,148387,153388,139556,144270,1882532,271592891640,-2.7778,332469,-442,-330850,0,0,0,0,-330850,0,-1680,503,0
2016-08-08,142793,143677,126015,126899,2454528,311477148672,-12.0406,488338,5493,0,0,0,0,0,0,0,-489330,-4501,0
2016-08-09,126013,136906,124834,130138,1222987,159157082206,2.5524,2381,-1759,0,0,0,0,0,0,0,0,-622,0
2016-08-10,128364,130427,124837,126310,819126,103463805060,-2.9415,-17774,16396,0,0,0,0,0,0,0,828,550,0
2016-08-11,127784,143974,126311,135437,2001766,271113181742,7.2259,-3520,5387,0,0,0,0,0,0,0,0,-1867,0
2016-08-12,136610,136610,131601,132493,611679,81043185747,-2.1737,1827,3116,0,0,0,0,0,0,0,-5258,315,0
2016-08-16,129248,131016,125720,126310,665401,84046800310,-4.6667,-4466,4302,0,0,0,0,0,0,0,-570,734,0
2016-08-17,116004,122478,110112,116594,1380554,160964313076,-7.6922,4178,-4003,0,0,0,0,0,0,0,0,-175,0
2016-08-18,117764,120711,113647,116300,450401,52381636300,-0.2522,-11455,10587,0,0,0,0,0,0,0,0,868,0
2016-08-19,123657,151041,123657,128371,12167031,1561893936501,10.3792,22399,-24549,0,0,0,0,0,0,0,0,2150,0
2016-08-22,127779,127779,118646,120127,1064387,127861617149,-6.422,-23740,18656,0,0,0,0,0,0,0,0,5084,0
2016-08-23,120120,152800,117174,141326,8458102,1195349723252,17.6472,37477,-23969,0,0,0,0,0,0,0,0,-13508,0
2016-08-24,141023,146621,127191,129549,2614046,338647045254,-8.3332,-31543,14394,0,0,0,0,0,0,0,0,17149,0
2016-08-25,132779,143672,131895,133671,1610151,215230494321,3.1818,5730,-3335,0,0,0,0,0,0,0,0,-2395,0
