date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,8140,8360,8090,8190,759459,6219969210,0.9864,39315,-83206,130006,85438,5786,6796,8617,0,21008,-85352,-763,2361
2016-05-27,8170,8270,8010,8100,843828,6835006800,-1.0989,344996,87529,136322,87958,2655,4224,2186,0,34099,-568839,-8,5200
2016-05-30,8190,8310,8180,8310,517580,4301089800,2.5926,-22605,-28112,26569,40385,-557,-12345,3426,0,1816,24750,-602,-6156
2016-05-31,8350,8440,8220,8440,744573,6284196120,1.5644,-118138,102050,16084,37175,17806,447,-8116,0,-29228,4,0,-2000
2016-06-01,8360,8410,8240,8300,539857,4480813100,-1.6588,166699,-155973,-9753,75935,-15205,-2881,4980,0,-71582,-863,-110,-1000
2016-06-02,8250,8460,8250,8420,574421,4836624820,1.4458,1428,-36193,-788,65693,-35057,-10872,-1508,0,-36144,36167,-614,17100
2016-06-03,8500,9020,8450,9020,2010517,18134863340,7.1259,-293871,144024,153212,57489,-16360,-10376,-13305,0,136864,-2230,-1135,-1100
2016-06-07,9170,9880,9170,9880,2820371,27865265480,9.5344,-344753,254370,166414,22479,296,25590,-20664,0,147713,-74031,-2000,-9000
2016-06-08,10350,11250,10300,10850,6594644,71551887400,9.8178,-806518,1357855,-224599,-319053,-9867,60763,-12885,0,82443,-328790,2052,-26000
2016-06-09,10600,10750,9960,10150,5220005,52983050750,-6.4516,1102228,844989,62080,-66160,-17036,12657,-15724,-355,145698,-2012656,3359,3000
2016-06-10,10350,10400,9760,10100,2720226,27474282600,-0.4926,361138,-20605,56410,-4166,1723,712,-16936,-372,83449,-396756,-187,-8000
2016-06-13,9950,10100,9750,9800,1344945,13180461000,-2.9703,190911,-105870,17355,47230,-24270,-156,289,0,-7738,-102278,-118,2000
2016-06-14,9670,9910,9490,9800,1656123,16230005400,0.0,-21728,-80793,102284,101070,2403,-89,17579,0,-24679,-291,528,6000
2016-06-15,9810,9890,9620,9790,836466,8189002140,-0.102,197012,-153265,-38295,9750,385,132,-2864,0,-46698,-4370,-1082,1000
2016-06-16,9810,9940,9550,9600,1277376,12262809600,-1.9408,86552,7371,-131804,29638,-10569,2204,-8676,0,-144401,38104,-223,0
2016-06-17,9620,9910,9460,9700,932030,9040691000,1.0417,34066,-4121,-39576,-4588,-12527,256,-6638,0,-16079,9650,-19,0
2016-06-20,9740,9830,9660,9720,556897,5413038840,0.2062,78035,-91684,11365,17000,2136,626,-285,0,-17112,2274,10,9000
2016-06-21,9750,9750,9600,9680,557098,5392708640,-0.4115,20301,-59566,38243,-11105,31902,412,20557,0,-523,126,896,-3000
2016-06-22,9610,9910,9580,9860,870513,8583258180,1.8595,-48221,-29549,158854,53195,50088,0,29118,0,17453,-80834,-250,9000
2016-06-23,9800,9990,9780,9840,760218,7480545120,-0.2028,151455,-61034,42074,-6040,1168,0,6111,0,42835,-132495,0,-2000
2016-06-24,9920,9920,8930,9260,2612867,24195148420,-5.8943,121070,-65065,43467,2455,45529,6492,16288,0,-21297,-101183,1711,-6000
2016-06-27,9000,9440,9000,9440,1331176,12566301440,1.9438,51818,134449,44008,1575,5588,1040,4049,-351,32107,-231539,1264,0
2016-06-28,9300,9600,9260,9570,706910,6765128700,1.3771,133671,60233,9766,5166,1308,0,-123,0,3415,-205591,1921,0
2016-06-29,9600,9660,9520,9560,729846,6977327760,-0.1045,321000,-160743,-39852,854,643,-218,-3257,0,-34874,-120455,50,-3000
2016-06-30,9560,9600,9470,9550,590202,5636429100,-0.1046,131253,18786,-31836,39271,-3594,-8233,-317,0,-65963,-119531,1328,7000
2016-07-01,9560,9690,9470,9560,809541,7739211960,0.1047,251476,-110269,-23347,43013,-12584,-4193,-6693,0,-22890,-117195,-665,-20000
2016-07-04,9620,9640,9500,9550,549783,5250427650,-0.1046,161450,-22351,-71392,1831,119,-1729,-14508,0,-62105,-68212,505,5000
2016-07-05,9500,9560,9400,9560,388802,3716947120,0.1047,-10630,64322,10780,27771,-1686,-1948,-5683,0,-2674,-64472,0,-5000
2016-07-06,9580,10150,9510,9990,2313148,23108348520,4.4979,64553,-69825,127922,1169,12007,30934,7100,0,63219,-123020,370,13493
2016-07-07,10050,10050,9840,9950,1001730,9967213500,-0.4004,254201,-169474,14441,-6895,-3694,2557,10932,0,14034,-100000,832,-2493
2016-07-08,9910,9950,9720,9810,738380,7243507800,-1.407,136691,-107338,-22669,52069,6559,1873,-53890,0,-23280,-6184,-500,-6000
2016-07-11,9880,9880,9760,9810,533699,5235587190,0.0,28021,17932,10066,9037,-6784,-1300,-30360,0,46473,-56944,925,-7000
2016-07-12,9860,9960,9800,9890,496250,4907912500,0.8155,-12556,20092,-11206,13608,-2710,-13545,-18247,0,-4150,-4,3674,13838
2016-07-13,9850,10250,9830,10050,1702402,17109140100,1.6178,241374,81848,2480,50619,19570,-1531,-17752,0,-36588,-329901,4199,-11838
2016-07-14,9950,10050,9760,9780,1180587,11546140860,-2.6866,105847,-81769,-23945,-1,-313,10334,-30835,0,3605,867,-1000,-6735
2016-07-15,9730,9760,9480,9580,1086598,10409608840,-2.045,22963,4099,-32443,-194,-14258,-7230,4729,0,-18225,6829,-1448,2735
2016-07-18,9570,9580,9430,9430,608346,5736702780,-1.5658,54178,-4893,-51778,0,-5983,-12621,-24056,0,-10118,2491,2,1000
2016-07-19,9440,9500,9170,9450,967549,9143338050,0.2121,-83403,113932,-33660,-19,-4032,-6975,-19288,0,-28346,3481,-350,25000
2016-07-20,9440,9510,9380,9400,341538,3210457200,-0.5291,48680,-26745,-25849,0,-4590,1098,-758,0,-23699,3934,-20,2100
2016-07-21,9410,9530,9290,9500,343828,3266366000,1.0638,-28593,-23958,60849,1403,1249,1465,13958,0,43270,-2973,-5325,-496
2016-07-22,9490,9510,9370,9370,352578,3303655860,-1.3684,119825,-134937,14411,0,2406,2565,0,0,9440,101,600,0
2016-07-25,9370,9430,9290,9300,400616,3725728800,-0.7471,-86309,72158,9821,25000,-1042,-11899,-930,0,-2308,3929,401,1000
2016-07-26,9300,9460,9270,9440,416714,3933780160,1.5054,-49867,-32530,88250,26353,14629,2445,7057,0,35370,-6553,700,2396
2016-07-27,9440,9540,9430,9520,340665,3243130800,0.8475,1144,-103929,104985,32638,29346,3537,17298,0,22166,-2000,-200,0
2016-07-28,9520,9800,9520,9790,747827,7321226330,2.8361,-87178,58034,59147,5090,45572,3890,-275,0,-130,-30003,0,5000
2016-07-29,9800,9950,9690,9950,865658,8613297100,1.6343,-81369,11075,120498,86268,39938,-998,14505,0,-19615,-50204,0,400
2016-08-01,9990,10000,9850,9880,672837,6647629560,-0.7035,1350,70401,-39612,29654,-3204,-168,-64653,0,7159,-32938,799,-8400
2016-08-02,9870,9880,9650,9720,548760,5333947200,-1.6194,19751,-60571,41924,42378,2742,3051,16451,0,-24698,-1354,250,2000
2016-08-03,9520,9570,9270,9300,1222824,11372263200,-4.321,282672,-225291,-28865,68175,22824,-15789,-51507,0,-44568,-29896,1380,-8000
2016-08-04,9290,9340,9170,9200,588129,5410786800,-1.0753,241788,-146952,-31634,3000,-1324,-151,-6911,0,-23509,-63952,750,-2739
2016-08-05,9280,9500,9200,9500,713293,6776283500,3.2609,-167064,99948,81695,87814,40145,3870,-35048,0,-15086,-15800,1221,0
2016-08-08,9420,9550,9410,9530,345358,3291261740,0.3158,-43646,-1883,44927,14798,22305,16117,3822,0,-12115,302,300,0
