date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,51900,52400,51700,51900,124644,6469023600,0.5814,-16947,-31179,48875,41512,2531,3971,2759,0,-1898,-800,51,0
2016-05-27,51800,53400,51800,52900,204785,10833126500,1.9268,-30070,-60987,92739,59094,13078,2597,2332,0,12326,-1705,23,3312
2016-05-30,52800,53100,51900,52700,143573,7566297100,-0.3781,-21512,463,20948,-3903,13991,6787,44,0,4056,1,100,-27
2016-05-31,52600,52800,51700,52400,320661,16802636400,-0.5693,-37592,2553,35940,21534,5863,8057,13113,0,-12627,-748,-153,0
2016-06-01,52000,52600,51400,51500,211979,10916918500,-1.7176,38528,7374,-44793,-24664,14761,7167,-14326,-535,-27196,-1057,-52,0
2016-06-02,51200,52200,50900,51400,158463,8144998200,-0.1942,-6264,25852,-19613,9519,-2347,-1732,-6833,-545,-17675,0,25,0
2016-06-03,51500,51800,50500,51000,153289,7817739000,-0.7782,13124,-33425,16326,-22511,12788,574,-4074,-494,30043,3930,45,0
2016-06-07,51300,53000,50800,52800,239192,12629337600,3.5294,-53672,-6508,60339,40555,2995,3510,15262,-489,-922,-291,132,-572
2016-06-08,52800,52900,51700,52200,244817,12779447400,-1.1364,59308,-117160,57737,50829,-11272,6995,-9668,0,20853,85,30,0
2016-06-09,52500,52500,50800,51000,325226,16586526000,-2.2989,112158,-56578,-55383,3288,-61087,-8222,-14286,0,28846,-213,16,-3922
2016-06-10,51100,51500,50900,51300,152457,7821044100,0.5882,-12319,-3383,15615,13051,-15470,7082,-13229,-1,24182,87,0,0
2016-06-13,50900,52000,50800,51700,163287,8441937900,0.7797,-41971,29443,12648,15261,-623,-176,-3687,0,1873,0,-120,0
2016-06-14,51300,51700,50400,50700,256744,13016920800,-1.9342,36052,-3546,-32036,10092,-18721,-7814,4557,2,-20152,-364,-106,0
2016-06-15,50500,50600,49000,49350,313462,15469349700,-2.6627,77671,-74741,-5038,4024,8339,4067,-3728,439,-23179,2119,-11,5000
2016-06-16,49500,49600,48700,49000,169279,8294671000,-0.7092,42119,-9674,-33583,-3242,-2880,726,-5003,-979,-22205,1247,-109,0
2016-06-17,49200,49350,48850,49000,159041,7793009000,0.0,-3401,-29896,36465,1739,13736,2885,9007,0,5171,-3152,-16,3927
2016-06-20,49400,49650,48500,49150,178764,8786250600,0.3061,9990,-14830,4810,-20129,2664,3356,-8865,27983,-199,0,30,0
2016-06-21,49200,49300,48250,48250,230789,11135569250,-1.8311,53775,-22055,-31730,-49206,14250,222,-1307,4987,-676,-21,31,0
2016-06-22,48250,50000,48050,49750,246018,12239395500,3.1088,-55726,-26033,81758,-14945,11382,48,5416,59759,20098,1,0,0
2016-06-23,49450,49750,48850,49000,99889,4894561000,-1.5075,7577,-35659,27160,2843,1007,499,2985,-143,20001,872,50,-32
2016-06-24,49350,49400,47100,47500,333722,15851795000,-3.0612,6139,11418,-18556,14545,-6500,-404,1058,508,-27763,1114,-115,0
2016-06-27,45700,48000,45700,47800,188937,9031188600,0.6316,-32806,-7005,37179,-8790,19467,-3412,15075,-304,15143,2597,35,0
2016-06-28,47250,47700,46600,47150,194340,9163131000,-1.3598,51162,-29581,-22075,-1667,-8996,-1670,715,-28,-10429,446,48,0
2016-06-29,47500,48250,47200,47850,132337,6332325450,1.4846,-4002,37454,-33324,-13556,-2414,-1688,-481,-119,-15066,-150,22,0
2016-06-30,48400,48450,47250,47450,154073,7310763850,-0.8359,60777,-37534,-23153,3331,-1323,-1353,-4435,1888,-20509,-38,-52,-752
2016-07-01,47450,48650,47400,48450,163353,7914452850,2.1075,-35240,-5484,33813,-3937,-4627,-1376,59082,0,-15329,413,6498,0
2016-07-04,48450,50200,48450,49350,224855,11096594250,1.8576,-14278,-30933,37311,2377,-4842,1668,42851,0,-4743,230,7670,0
2016-07-05,49250,49600,47850,48050,261549,12567429450,-2.6342,134855,-50816,-84436,-34456,14976,-2467,-779,-60251,-1459,331,66,0
2016-07-06,47850,48250,46900,47100,244840,11531964000,-1.9771,62895,-76764,-456,-34480,38773,6747,12999,-24556,61,7,14318,0
2016-07-07,47250,47800,47150,47650,142753,6802180450,1.1677,-3317,8835,-5534,-10950,12699,1,-4629,0,-1605,16,0,-1050
2016-07-08,47100,47500,46650,47350,117499,5563577650,-0.6296,-6583,-21260,28256,-11770,18502,25,31512,0,-10013,-436,23,0
2016-07-11,47900,48400,47550,48050,143238,6882585900,1.4784,-39092,-13881,52973,5728,1408,1507,34693,-3,9640,0,0,0
2016-07-12,47850,48550,47650,48350,147853,7148692550,0.6243,-25395,-65187,90582,45488,20317,4505,13063,-2,7211,0,0,0
2016-07-13,48800,49200,47750,47850,290097,13881141450,-1.0341,105083,-53590,-52320,-1006,-26230,-15195,6698,-27,-16560,814,13,0
2016-07-14,48050,50200,47950,49800,487352,24270129600,4.0752,-212890,52945,160542,2967,162532,-6443,11153,-29,-9638,-1418,821,0
2016-07-15,50100,50600,49500,50000,218455,10922750000,0.4016,-33865,1212,18444,1819,-7602,1367,25881,-64,-2957,14267,-58,0
2016-07-18,49900,50400,49750,50000,152508,7625400000,0.0,-26439,-38001,60476,-9263,44473,60,14208,-2,11000,628,3336,0
2016-07-19,49900,49900,48800,49550,277235,13736994250,-0.9,22385,-98301,75280,-11152,78590,33564,2091,-1,-27812,605,31,0
2016-07-20,49400,49700,48600,49650,183526,9112065900,0.2018,11391,-62995,51413,23524,27015,-2097,6350,-1,-3378,191,0,0
2016-07-21,49450,49800,49100,49250,138528,6822504000,-0.8056,5734,-55556,49388,9124,19267,1973,5042,-1,13983,382,52,0
2016-07-22,49000,49500,49000,49200,113505,5584446000,-0.1015,5210,-5651,478,-6600,9372,-1488,-1877,-2,1073,0,-37,0
2016-07-25,49600,49600,49100,49250,136409,6718143250,0.1016,8296,-19551,11334,-21893,17032,11420,-3022,-3,7800,-123,44,0
2016-07-26,49200,49550,48200,48800,257710,12576248000,-0.9137,38747,-72244,33410,-18350,11336,12756,6464,0,21204,71,16,0
2016-07-27,48800,49150,48400,48700,215043,10472594100,-0.2049,26337,-37707,10330,-18362,27439,0,-7559,0,8812,1919,-879,0
2016-07-28,48700,48900,48000,48050,222919,10711257950,-1.3347,34870,-78702,42852,-8548,3356,122,33936,0,13986,910,70,0
2016-07-29,47800,48850,47800,48100,215146,10348522600,0.1041,8563,23650,-32669,-24239,-13519,-1595,28776,-10019,-12073,456,0,0
2016-08-01,48200,49600,48200,48300,319968,15454454400,0.4158,-53795,80785,-25114,-29720,-26216,-4331,36687,-7,-1527,-1879,3,0
2016-08-02,48050,48250,47200,47400,333322,15799462800,-1.8634,83331,-91362,7361,-53936,18487,18602,14294,0,9914,628,42,0
2016-08-03,47000,48100,46800,47250,225584,10658844000,-0.3165,-15555,-12622,28302,-55242,42028,19407,30205,3216,-11312,-201,76,0
2016-08-04,47900,48200,47550,48050,142087,6827280350,1.6931,3985,-12448,8184,-24714,15696,131,20656,-1,-3584,401,-122,0
2016-08-05,48150,48850,47850,48300,140127,6768134100,0.5203,-38276,-20535,59058,27820,1126,7632,30374,0,-7894,-1,-246,0
2016-08-08,48650,48800,47800,48400,96831,4686620400,0.207,12593,-17419,5539,-7924,2181,573,8837,-8,1880,-713,0,0
2016-08-09,48100,48850,48100,48650,120400,5857460000,0.5165,-12539,-13652,26596,-21716,6078,13301,21859,-1,7075,-405,0,0
2016-08-10,48650,49250,48500,48650,137820,6704943000,0.0,21723,-19062,-2664,-3485,-6340,-396,137,-78,7498,3,0,0
2016-08-11,48550,49300,48400,49100,131229,6443343900,0.925,-8410,-3881,12473,-6144,-681,-385,1847,-4,17840,-182,0,0
2016-08-12,49500,50900,49100,49750,427707,21278423250,1.3238,-62203,-6513,60752,-61792,61241,68842,-7389,1540,-1690,8084,-120,0
2016-08-16,50300,50300,49350,49450,211693,10468218850,-0.603,46325,-38408,-8737,-4680,-9836,-91,-5091,-4,10965,820,0,0
