date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,95500,95700,92000,92000,93458,8598136000,-3.5639,18937,-22520,2225,16638,435,-18216,1207,-447,2608,1356,2,0
2016-05-27,92900,98000,92500,97300,127081,12364981300,5.7609,-41617,10188,26448,5792,-1596,12404,5038,1251,-1933,5087,-106,5492
2016-05-30,98100,99700,97500,98000,99409,9742082000,0.7194,-9717,25680,-15703,7028,540,-31994,2900,1839,3068,-227,-33,916
2016-05-31,98000,99400,96500,99300,47352,4702053600,1.3265,-5217,5404,-175,2258,-6593,-1449,3254,1280,379,58,-70,696
2016-06-01,98600,99500,96100,97500,74874,7300215000,-1.8127,27227,-1662,-34208,-5475,-9172,-6565,-12254,565,-768,8573,70,-539
2016-06-02,96500,98600,96000,98400,48846,4806446400,0.9231,-6631,9616,-2985,-1527,-142,-3073,2642,2500,-2048,0,0,-1337
2016-06-03,98400,102500,97500,100000,135127,13512700000,1.626,-27919,39159,-10488,-2477,2052,-13579,128,2500,888,-737,-15,0
2016-06-07,100000,101500,98300,101000,49960,5045960000,1.0,-15788,18620,-2913,3037,-72,0,-961,0,-3769,-100,181,-1148
2016-06-08,101500,104000,100000,103500,76334,7900569000,2.4752,-32725,34880,-2971,-2153,958,-46,512,-1462,-780,820,-4,0
2016-06-09,102500,104500,102000,103500,55137,5706679500,0.0,-24983,28942,-2554,-6124,459,3293,-768,50,367,-1520,115,169
2016-06-10,103500,106000,102000,105000,67025,7037625000,1.4493,-25127,10759,15454,5068,4701,-9928,395,0,15218,-1126,40,0
2016-06-13,104000,106500,103000,104000,61113,6355752000,-0.9524,6243,11025,-17644,-1187,2334,-17364,-154,20,-1293,378,-2,0
2016-06-14,102500,104000,100500,103500,65686,6798501000,-0.4808,-5108,5833,-794,16978,-1975,-11951,-2009,-41,-796,-4,73,-1000
2016-06-15,102500,103500,99900,101500,69708,7075362000,-1.9324,2248,13284,-14470,9504,-3065,-21114,-400,0,605,-1063,1,0
2016-06-16,102000,102000,99000,99900,57783,5772521700,-1.5764,-8495,18422,-10325,2500,-1118,-6989,-2012,0,1118,400,-2,-3824
2016-06-17,100500,102000,100000,102000,204155,20823810000,2.1021,-12738,6810,4928,733,4126,-957,-64,0,1090,995,5,0
2016-06-20,103500,104500,102500,103000,38754,3991662000,0.9804,1822,-6239,3407,-9,-5390,6262,-105,50,2599,938,72,0
2016-06-21,104500,104500,99800,99900,63030,6296697000,-3.0097,8552,19344,-27974,-72,2054,-9642,-33,0,-20281,56,22,0
2016-06-22,100500,101000,98900,99000,55463,5490837000,-0.9009,6227,8213,-15760,-8706,69,568,-3477,-264,-3950,1240,80,0
2016-06-23,98100,99400,96400,96700,64623,6249044100,-2.3232,8952,-16482,8104,0,3979,13801,-4712,1310,-6219,-593,19,-55
2016-06-24,97700,98300,92800,94300,119630,11281109000,-2.4819,-6319,12778,-7761,-12810,6167,3157,-1962,-41,-2329,1274,28,57
2016-06-27,92000,99400,92000,96400,85183,8211641200,2.2269,-8567,-4590,11837,17300,2562,-2257,-2521,21,-3268,1000,320,0
2016-06-28,95100,99100,95100,96600,82467,7966312200,0.2075,-5372,183,11883,13485,3386,-6136,-356,-5000,6862,-6542,-152,-358
2016-06-29,98400,99600,97000,98500,92762,9137057000,1.9669,45255,-31106,-14532,-7991,-1577,-16069,191,0,12137,400,-17,-1223
2016-06-30,98100,99400,96100,97100,97723,9488903300,-1.4213,24709,-34375,7704,-3989,7378,5847,-5177,-54,3699,1951,11,0
2016-07-01,97000,97800,94900,96200,109739,10556891800,-0.9269,10920,-7675,-3265,-12755,-748,3132,1035,0,6071,5,15,0
2016-07-04,96700,96700,94000,94500,93985,8881582500,-1.7672,47673,-8931,-38060,-4940,-20688,-12036,732,0,-1528,-701,19,400
2016-07-05,94500,95800,93500,95700,58664,5614144800,1.2698,10372,7398,-17472,-5229,-441,-9801,-1134,0,-967,-300,2,100
2016-07-06,95500,95500,93300,94200,76646,7220053200,-1.5674,3799,5195,-11825,-618,-8207,-3298,42,0,256,2796,35,0
2016-07-07,94600,95100,94000,94800,55330,5245284000,0.6369,-1064,15199,-14415,-11133,-4827,0,722,0,1123,99,181,-300
2016-07-08,95200,102000,94500,96000,291676,28000896000,1.2658,25165,56727,-81459,-1902,6472,-83399,-2910,0,-720,-339,-94,1000
2016-07-11,97400,99400,97100,97700,150139,14668580300,1.7708,14585,1875,-18277,13166,9389,-43551,-668,0,4118,738,1079,-731
2016-07-12,97900,99300,97600,99000,84512,8366688000,1.3306,-23751,-5874,29811,20825,13955,-6122,2649,0,-1264,-100,-86,-232
2016-07-13,99400,99500,96600,96700,92190,8914773000,-2.3232,1820,-6824,4042,1962,6395,-4963,1076,0,-428,762,200,0
2016-07-14,98400,98400,96000,96500,55002,5307693000,-0.2068,5732,6632,-12377,-11215,238,-18,1289,0,-2671,0,13,0
2016-07-15,97100,97100,94500,95200,57740,5496848000,-1.3472,662,7425,-8067,-6018,-118,-5647,1610,0,2773,-45,25,-667
2016-07-18,95200,95700,94500,95400,39551,3773165400,0.2101,3274,10688,-14581,-5150,-2063,-6392,-388,0,-856,620,-1,268
2016-07-19,96000,96100,95000,95900,29329,2812651100,0.5241,-1347,8606,-7464,-9224,777,-90,-303,0,1244,205,0,132
2016-07-20,95500,99300,95500,99200,102586,10176531200,3.4411,-20439,14367,5753,-6240,5470,-1,1831,0,3093,302,17,1600
2016-07-21,101500,102000,99600,100000,116128,11612800000,0.8065,-17096,19632,-2742,-4796,4632,410,-1045,1435,-3378,241,-35,0
2016-07-22,98300,100500,98300,99300,1385573,137587398900,-0.7,32575,539603,-570264,91954,-366445,93842,26898,500,-417013,-1845,-69,0
2016-07-25,99900,102000,99500,101500,166973,16947759500,2.2155,-187,8360,-8393,-1203,-2483,-3820,-3525,0,2638,226,-6,0
2016-07-26,101500,101500,99400,100000,136148,13614800000,-1.4778,15294,-39251,21542,10891,9573,4388,-4334,0,1738,2325,90,-714
2016-07-27,100000,104000,99900,103500,108331,11212258500,3.5,-15811,1624,14683,15613,352,2242,872,0,-4396,-154,-342,0
2016-07-28,103000,105000,102500,103500,83648,8657568000,0.0,-8973,-23973,32360,17249,15830,560,-458,0,-222,590,-4,-599
2016-07-29,103500,106000,103000,104500,116874,12213333000,0.9662,-17569,11907,-3484,7750,12426,-3792,-15271,0,-4597,9141,5,0
2016-08-01,104000,106500,104000,105500,137775,14535262500,0.9569,-5944,15829,-12237,-2588,2491,-20472,3846,-1000,5486,2514,-162,0
2016-08-02,105000,106000,103500,105000,95895,10068975000,-0.4739,-14089,-14562,28689,12310,14186,-6047,5194,0,3046,0,-38,0
2016-08-03,105000,108000,103000,104000,350473,36449192000,-0.9524,20350,60088,-83598,-415,14351,-167517,1560,3500,64923,3163,-3,0
2016-08-04,103500,104500,101500,103500,88315,9140602500,-0.4808,37300,-4295,-30479,13268,-3423,-7696,191,-45,-32774,-2806,280,0
2016-08-05,102500,107000,102000,106000,142483,15103198000,2.4155,16609,-8831,-7471,9503,2290,-11812,3791,529,-11772,-307,0,0
2016-08-08,106000,107000,104000,104500,80327,8394171500,-1.4151,9725,14328,-23501,4500,-4130,-14921,3125,30,-11105,-553,1,-1000
2016-08-09,104500,105500,103000,104500,128210,13397945000,0.0,-18,34257,-31243,16470,-917,-52494,-3320,23,9742,-3022,26,-747
2016-08-10,104000,104500,103000,104000,77225,8031400000,-0.4785,3718,12096,-20280,418,-4921,-9696,-3338,0,-2743,4317,149,0
2016-08-11,104000,104500,102500,104000,55598,5782192000,0.0,-7529,-1207,4106,-632,-4362,2795,-1237,0,7542,4630,0,0
2016-08-12,104000,105000,103000,103000,48175,4962025000,-0.9615,-4899,17427,-11027,-6682,-3457,-1013,-285,-515,925,-1501,0,0
2016-08-16,93700,98200,93700,97000,332241,32227377000,-5.8252,72311,-38881,-40759,34934,-33807,-14592,-5693,-257,-21944,8829,-1500,600
2016-08-17,96900,96900,89200,92800,394690,36627232000,-4.3299,127729,-102995,-31259,-5128,-15197,3573,-15188,-2860,3441,5909,616,100
2016-08-18,92800,93100,90200,90600,217740,19727244000,-2.3707,40912,-40650,-1513,7470,-4797,-8402,-2499,954,5761,700,551,0
2016-08-19,90800,92300,90000,91300,147935,13506465500,0.7726,44061,17508,-61076,-45542,-16537,1206,-2212,420,1589,414,-907,0
2016-08-22,91300,91500,89800,89800,127151,11418159800,-1.6429,46717,16846,-65819,-52908,-6713,-3777,-796,675,-2470,2145,111,170
2016-08-23,90000,90700,87300,87600,174649,15299252400,-2.4499,64917,18693,-84777,-58319,-12616,-1315,-4324,600,-803,1096,71,-8000
2016-08-24,88600,89900,88400,89100,113657,10126838700,1.7123,30052,22893,-50492,-1599,-6568,-37212,-2712,0,-2401,1776,-4229,0
2016-08-25,89400,90800,89300,90500,63651,5760415500,1.5713,3166,1034,-2733,1906,-4228,-738,-62,0,389,-19,-1448,0
2016-08-26,90600,91000,89100,90400,36411,3291554400,-0.1105,-741,-8712,9453,-2213,-98,4528,-401,0,2637,0,0,5000
2016-08-29,90100,90200,87800,88500,99878,8839203000,-2.1018,19800,-4781,-14527,-716,-1547,2583,-1936,0,-13011,-513,21,100
2016-08-30,88200,90100,88200,88500,59454,5261679000,0.0,17900,1741,-18901,570,-5701,-13393,-920,0,543,-770,30,0
2016-08-31,88800,91800,88600,91600,96147,8807065200,3.5028,-8690,9952,1107,1236,15312,-2097,-114,0,-13230,-2277,-92,0
2016-09-01,91200,92800,91000,92100,63147,5815838700,0.5459,-15080,-715,16675,13431,2472,1543,180,0,-951,133,-1013,0
2016-09-02,92500,92500,90800,92300,71514,6600742200,0.2172,-12802,1380,12639,16992,-1961,-3341,-893,0,1842,-214,-1003,0
2016-09-05,92800,92800,91000,91000,69755,6347705000,-1.4085,18701,-15529,-3099,558,-2773,-1777,95,0,735,-224,151,63
2016-09-06,91000,91700,89300,90000,71774,6459660000,-1.0989,3418,-3573,175,9164,-1041,-3723,1879,-172,-5932,-21,1,0
2016-09-07,90000,90400,87200,87800,118570,10410446000,-2.4444,17957,-15742,-2479,8099,2116,-11970,-2309,5000,-3415,253,11,0
2016-09-08,87800,88300,82600,83500,258171,21557278500,-4.8975,65928,-28136,-42181,-6673,-3394,-19796,-5496,-2269,-4553,4289,100,0
2016-09-09,83600,85000,82900,84300,86142,7261770600,0.9581,11738,-8079,-3438,-1688,-653,-312,-1853,0,1068,-720,499,0
2016-09-12,83700,86100,83500,83500,94772,7913462000,-0.949,-11239,17007,-5194,3409,-37,-2863,802,63,-6568,-594,20,0
2016-09-13,84200,86700,84200,86300,66765,5761819500,3.3533,-21273,14663,7321,7015,3416,-3266,368,0,-212,0,-711,0
2016-09-19,87300,90000,86800,87700,123891,10865240700,1.6222,-21473,32606,-10583,-9048,1604,-1026,63,0,-2176,-470,-80,0
2016-09-20,87100,89300,86200,88500,69773,6174910500,0.9122,8158,-11742,7016,922,-317,463,3934,50,1964,-3506,74,0
2016-09-21,88000,88500,87100,87300,67237,5869790100,-1.3559,4500,19518,-24173,-5484,-16033,4,-845,0,-1815,-50,205,0
2016-09-22,87300,88100,87100,87200,67207,5860450400,-0.1145,-2027,38343,-36325,-22849,-10605,-1744,-386,0,-685,-37,46,-56
2016-09-23,87000,87000,82900,83500,248212,20725702000,-4.2431,46524,50740,-96878,4045,-44200,-39668,-5840,-2200,-9015,-550,164,0
2016-09-26,83400,84000,80700,80900,242733,19637099700,-3.1138,64052,-20504,-46157,9683,-18399,-26086,542,-2500,-9397,2507,102,0
2016-09-27,80900,83700,79800,82700,201495,16663636500,2.225,-19626,56378,-34960,-27470,1272,-12360,300,0,3298,-2010,218,0
2016-09-28,82700,83800,82500,82600,65244,5389154400,-0.1209,-7767,22645,-13478,-3367,-6576,59,-2711,-2000,1117,-1335,-65,0
2016-09-29,82000,84300,82000,83000,109913,9122779000,0.4843,-22334,-10446,35237,11818,10975,4260,559,0,7625,-2046,-411,0
2016-09-30,83100,83600,81100,82900,102313,8481747700,-0.1205,10186,-25579,15954,3361,7418,55,2062,0,3058,-566,5,0
2016-10-04,84000,85300,83800,85200,86534,7372696800,2.7744,-9575,29361,-19741,-9340,-4423,184,2453,0,-8615,68,-113,0
2016-10-05,84100,85000,81900,81900,96621,7913259900,-3.8732,48272,-42466,-6800,-3221,-4128,-823,-149,200,1321,600,394,0
2016-10-06,82600,82700,81600,81900,52139,4270184100,0.0,5692,-2234,-3742,-682,2108,289,-2934,249,-2876,-331,615,104
2016-10-07,82400,82400,80200,80400,87589,7042155600,-1.8315,15802,-5574,-8172,-3297,1430,-1692,-194,-150,-4269,-1982,-74,0
2016-10-10,80800,81400,80200,80300,49185,3949555500,-0.1244,12756,4238,-12990,-11993,-3757,2957,338,-620,85,-4030,26,0
2016-10-11,80500,82800,80400,81900,68623,5620223700,1.9925,-12225,26538,-12785,-11449,-2836,2784,1007,-100,-2191,-1120,-408,0
2016-10-12,81400,81500,79900,80100,141784,11356898400,-2.1978,58715,-41098,-18144,8370,-7978,-12572,-5038,0,-926,450,77,0
2016-10-13,80400,80500,76700,76700,181708,13937003600,-4.2447,48642,-27395,-23982,-4671,-11464,166,-4722,-63,-3228,2793,-58,0
2016-10-14,77500,79500,76300,78500,85586,6718501000,2.3468,-13978,12753,1258,3255,546,-10,1210,0,-3743,-7,-26,0
2016-10-17,78200,78900,76000,77300,83947,6489103100,-1.5287,12144,-3914,-9770,6323,-2875,-14264,-2737,0,3783,1589,-49,0
2016-10-18,77300,78600,76700,77600,51760,4016576000,0.3881,534,-3110,2575,7305,-3517,-2853,-2999,-50,4689,0,1,0
2016-10-19,78000,80100,78000,78200,85170,6660294000,0.7732,-5618,-22433,28057,12821,-2382,7600,-698,0,10716,-5,-1,0
2016-10-20,78700,80000,78200,78500,47696,3744136000,0.3836,1202,-5254,4354,8194,-6967,-1217,968,2000,1376,-313,11,0
2016-10-21,79100,79800,77900,79800,42710,3408258000,1.6561,-1854,5915,-4136,446,-4028,-204,-264,0,-86,50,25,0
2016-10-24,79900,80400,78200,78500,78728,6180148000,-1.6291,3492,14289,-18381,-15016,-424,-5309,-467,0,2835,600,0,0
2016-10-25,78500,79600,78000,79200,38685,3063852000,0.8917,-9533,526,8893,4960,439,482,7,0,3005,595,-481,0
2016-10-26,78500,79200,76400,77300,87306,6748753800,-2.399,6976,-5209,-1173,3555,-2897,1905,-6362,200,2426,-200,-394,0
2016-10-27,78200,78300,75200,76000,112377,8540652000,-1.6818,42585,-30021,-14905,7952,-8105,6779,-9959,0,-11572,850,1491,0
2016-10-28,76300,76800,75200,76500,73134,5594751000,0.6579,-10628,10875,3630,-14305,3913,13834,-43,0,231,-3861,-16,0
2016-10-31,76000,76400,73300,74000,134526,9954924000,-3.268,2809,26513,-15147,-9792,-4954,4408,-10970,420,5741,-14187,12,0
2016-11-01,73400,73500,69600,70300,229640,16143692000,-5.0,41757,47249,-87558,-27921,-8876,-25571,-9781,1451,-12184,-1334,-114,-4676
2016-11-02,70000,70000,65200,65500,285452,18697106000,-6.8279,14550,36411,-53698,-56957,-342,-4109,-5976,9223,4407,1564,1173,56
2016-11-03,65500,68800,64400,68000,227772,15488496000,3.8168,-28166,56133,-27423,-40397,16231,-12561,7667,1000,637,-589,45,0
2016-11-04,68200,73000,67800,71400,230144,16432281600,5.0,-36781,63509,-22401,-12720,-5085,-1795,-95,-3000,294,-3114,-1213,0
2016-11-07,72000,73800,72000,73500,93588,6878718000,2.9412,-3366,22274,-18917,-11591,1955,-9268,5718,-3500,-2231,10,-1,0
2016-11-08,74500,74500,71500,72000,41459,2985048000,-2.0408,8758,6190,-14741,-3125,31,-6231,-19,-3500,-1897,0,-207,0
2016-11-09,72900,81900,70400,76000,1003232,76245632000,5.5556,44028,-38649,-3729,-12684,29439,-25406,72225,1499,-68802,-736,-914,0
2016-11-10,76800,81300,76200,77500,401065,31082537500,1.9737,-33474,37244,-1466,-29716,15679,-39009,26368,8280,16392,-2152,-152,540
2016-11-11,77500,78900,72200,73700,232896,17164435200,-4.9032,5172,10342,-15338,-7396,-3737,-9511,6782,1345,-2821,-910,734,0
2016-11-14,72700,75700,71700,73600,129506,9531641600,-0.1357,-11449,42060,-28899,-27606,2671,-7044,846,-2204,4438,-1515,-197,0
2016-11-15,67600,73300,67400,72000,403825,29075400000,-2.1739,-27701,81402,-54377,11708,-9304,-74747,3027,-3649,18588,-955,1631,0
2016-11-16,72100,77200,72100,76600,185828,14234424800,6.3889,-39219,35737,3724,-11496,2122,4900,5250,-1604,4552,-217,-25,0
2016-11-17,77500,77600,74600,75700,74508,5640255600,-1.1749,3713,-19132,16018,2882,5339,5646,506,0,1645,-500,-99,0
2016-11-18,76600,76600,74300,74300,102546,7619167800,-1.8494,-16582,30955,-14375,-14440,-821,0,-28,0,876,0,2,38
2016-11-21,75200,75400,73500,75000,41434,3107550000,0.9421,-9832,7873,1966,9119,-1241,7,-126,0,-5793,3,-10,0
2016-11-22,75000,76700,74000,76100,52490,3994489000,1.4667,-9157,-12059,21211,14435,4219,2568,-50,0,39,6,-1,0
2016-11-23,76800,76900,74600,75000,47305,3547875000,-1.4455,4104,3057,-6542,-8129,19,5930,-40,100,-4422,-600,-19,0
2016-11-24,75600,75600,73000,73000,48406,3533638000,-2.6667,3616,6024,-9485,0,-325,-10152,88,0,904,-127,-28,0
2016-11-25,74200,77900,74200,77000,123571,9514967000,5.4795,-43520,51638,-7706,-6018,3452,-5495,-4233,1287,3301,-354,-58,0
2016-11-28,76800,76800,75200,75800,39894,3023965200,-1.5584,-4521,-1497,6054,-2143,-152,7430,806,0,113,-36,0,0
2016-11-29,75800,77300,74500,77000,74659,5748743000,1.5831,-12409,14755,-2339,-1748,487,1048,-774,0,-1352,0,-7,0
2016-11-30,77400,77500,75000,75400,71593,5398112200,-2.0779,2697,-14254,12760,11516,326,500,287,0,131,-1205,2,0
2016-12-01,76100,76400,74700,75900,32941,2500221900,0.6631,-1900,-4658,6314,10520,-764,265,277,-270,-3714,244,0,0
2016-12-02,76000,77100,75000,75500,77340,5839170000,-0.527,-3145,-16816,19974,14592,1207,321,4082,1338,-1566,0,-13,0
2016-12-05,76200,76400,74800,75100,40872,3069487200,-0.5298,-5059,-1043,6102,-5635,11661,-36,-169,0,281,0,0,0
2016-12-06,75000,75700,74800,75200,28107,2113646400,0.1332,-4958,54,4862,-1734,5106,474,537,0,479,42,0,0
2016-12-07,75200,75300,74100,75000,38223,2866725000,-0.266,-3459,16687,-9298,-4111,-975,-776,-3783,0,347,-3930,0,0
2016-12-08,76400,76400,74700,75000,51901,3892575000,0.0,2175,22924,-25099,-5794,1413,-6149,-10630,180,-4119,0,0,0
2016-12-09,74700,77400,74700,77100,46757,3604964700,2.8,-10275,10719,-244,-3188,486,1603,-1923,-280,3058,-200,0,0
2016-12-12,77700,79900,75900,79300,70677,5604686100,2.8534,-23700,1906,21797,7349,9378,8354,-1720,-1500,-64,0,-3,0
2016-12-13,78700,79500,76800,78800,80300,6327640000,-0.6305,-3080,14574,-10158,5145,-11777,25,4252,-4000,-3803,-1339,3,0
2016-12-14,79600,82300,79400,81900,147288,12062887200,3.934,-64225,42528,22676,15929,10691,9030,-6517,0,-6457,0,-979,0
2016-12-15,81500,82600,80500,82000,62331,5111142000,0.1221,-6110,-4579,10640,7316,-281,8569,695,102,-5964,203,-154,203
2016-12-16,82000,82000,80800,81900,45428,3720553200,-0.122,-4393,4542,-149,3035,-77,0,1299,0,-4406,0,0,0
2016-12-19,83300,83300,81600,81700,65082,5317199400,-0.2442,-2005,9112,-7607,-1995,169,-303,-4781,0,-697,500,0,0
2016-12-20,82000,83300,81900,82600,71987,5946126200,1.1016,-15293,28806,-13403,-2805,3250,-1833,-13279,0,1264,0,-110,0
2016-12-21,83100,83100,82000,82300,34858,2868813400,-0.3632,-6896,21365,-14268,-124,-7692,-124,-4901,0,-1427,-201,0,0
2016-12-22,81300,81900,80500,81100,44204,3584944400,-1.4581,-7811,21712,-13645,577,-4343,-4936,-6333,0,1390,-256,0,0
2016-12-23,80500,81500,80500,81100,33311,2701522100,0.0,-6011,18206,-12195,2777,-2451,-7786,-4683,0,-52,0,0,0
2016-12-26,81000,81100,79600,80100,55316,4430811600,-1.233,-10834,31634,-22222,294,-9912,34,-7652,93,-5079,1422,0,0
2016-12-27,81000,82000,80100,81100,31058,2518803800,1.2484,-14050,14662,-162,1765,-687,-1158,-169,-93,180,-438,-12,0
2016-12-28,81200,83300,80600,81100,50075,4061082500,0.0,-10740,18067,-7308,9959,-2667,-14400,913,0,-1094,0,-19,-19
2016-12-29,80500,81800,80200,80500,44704,3598672000,-0.7398,1686,20193,-21579,-2292,-2788,-15671,-861,0,33,-300,0,0
2017-01-02,79700,82000,79700,81700,19693,1608918100,1.4907,-1079,1904,-425,0,2056,-3368,-629,0,1516,-400,0,0
2017-01-03,82000,83000,81700,82900,39319,3259545100,1.4688,-7243,8230,-106,4177,-5228,-500,2240,0,-795,-865,-16,0
2017-01-04,83000,84300,82800,83800,64025,5365295000,1.0856,-35120,28297,7308,16148,-3571,-1833,7,0,-3443,-484,-1,0
2017-01-05,83500,84400,81400,82200,51601,4241602200,-1.9093,14051,-1899,-12123,3890,-6714,-3200,-5131,0,-968,-15,-14,0
2017-01-06,83000,84000,82300,83200,51331,4270739200,1.2165,-3800,17878,-13821,536,-11151,-700,-991,0,-1515,-257,0,0
2017-01-09,83200,83200,81300,81300,23869,1940549700,-2.2837,10644,-3703,-6941,0,-5108,-1504,-4548,4000,219,0,0,0
2017-01-10,81300,81300,79400,79800,82654,6595789200,-1.845,13753,38242,-51374,-13558,-10207,-14923,-12001,0,315,-625,4,-1000
2017-01-11,80200,80800,78500,79300,73780,5850754000,-0.6266,18108,19180,-37140,-15167,-7219,-13461,-2824,2000,-469,-151,3,0
2017-01-12,79600,82300,78100,82300,66236,5451222800,3.7831,-22527,36127,-13658,-6646,-430,2504,-3888,0,-5198,60,-2,0
2017-01-13,81900,82200,80000,80500,71964,5793102000,-2.1871,22869,13963,-37233,9724,-18246,-4350,-18227,-2517,-3617,400,1,0
2017-01-16,80500,80500,79200,79700,31267,2491979900,-0.9938,1429,7384,-8713,-985,-7276,-6,-296,100,-250,-100,0,0
2017-01-17,80400,80400,79000,79400,42616,3383710400,-0.3764,2596,18165,-20370,1075,-9859,-7314,-3807,-81,-384,-392,1,0
2017-01-18,80000,80300,78700,79700,40806,3252238200,0.3778,4500,14248,-18748,-1390,-4070,-4755,-7551,99,-1081,0,0,0
2017-01-19,80500,80800,79500,80700,42665,3443065500,1.2547,-7621,16580,-8959,3439,-7930,-1767,-3124,127,296,0,0,0
2017-01-20,80500,80700,79600,79800,41693,3327101400,-1.1152,-4001,15700,-10689,1893,-8763,-1011,34,10,-2852,-1010,0,0
2017-01-23,79900,80500,77100,77100,55491,4278356100,-3.3835,23978,-9063,-14615,-2341,-6082,-2517,-385,-2230,-1060,-302,2,0
2017-01-24,77600,77700,73900,75000,96178,7213350000,-2.7237,18819,-3989,-11285,15340,-13538,2287,-5990,-1087,-8297,-3567,22,0
2017-01-25,75000,75100,71100,71400,101155,7222467000,-4.8,37953,-16158,-22145,-1529,-15098,-1663,-2877,100,-1078,90,260,0
2017-01-26,71400,73200,71100,71300,72733,5185862900,-0.1401,45505,-5581,-39925,-12344,-14987,-1971,-2024,20,-8619,0,1,0
2017-01-31,71300,73100,70700,72400,56721,4106600400,1.5428,-11802,15839,-4166,-783,-7971,32,-1508,0,6064,122,7,0
2017-02-01,72400,73000,71300,72100,44618,3216957800,-0.4144,17336,-7586,-7432,-6457,-1807,435,-3,50,350,-18,-2300,0
2017-02-02,71500,72700,71500,72100,40830,2943843000,0.0,6077,-8701,2604,938,1260,726,-2046,0,1726,0,20,0
2017-02-03,72100,72200,70600,72000,40037,2882664000,-0.1387,-10658,17405,-6493,-3778,640,253,-165,-4000,545,-247,-7,12
2017-02-06,71600,71600,69800,70200,54757,3843941400,-2.5,13412,-7534,-5984,-1778,1857,-5266,6,0,-825,203,-97,22
2017-02-07,70300,71100,70100,70700,32289,2282832300,0.7123,7192,-2098,-4514,54,-4119,-1999,-150,0,1678,-580,0,22
2017-02-08,69500,69800,66800,67100,236276,15854119600,-5.0919,103688,-51833,-51987,-6806,-20725,-8521,-21712,2367,3692,5,127,-282
2017-02-09,67000,69000,66200,68000,74754,5083272000,1.3413,-528,7697,-6899,-542,-3091,-474,-6070,330,2286,-269,-1,662
2017-02-10,68200,68400,65600,66000,116272,7673952000,-2.9412,45087,1888,-47379,-11837,-16101,-11154,-15855,10,7425,400,4,133
2017-02-13,66900,68800,66800,68000,72224,4911232000,3.0303,-17585,10387,7199,-2510,-8002,1145,12457,71,3896,0,-1,142
2017-02-14,68800,70300,67500,70200,69603,4886130600,3.2353,-13235,2694,6163,-1589,-5276,10233,-9,153,2283,-820,5198,368
2017-02-15,70700,73000,70600,71700,92234,6613177800,2.1368,-29062,-570,29548,6145,2695,6840,4710,-50,6780,0,84,2428
2017-02-16,72500,72500,69400,70500,56265,3966682500,-1.6736,9933,-1372,-8629,-1223,-11732,5833,-77,0,-1430,0,68,0
2017-02-17,70500,71100,70300,71000,52177,3704567000,0.7092,221,6147,-6172,-5953,-2278,3192,-2499,0,1366,0,-196,0
2017-02-20,71000,72900,70500,70800,49901,3532990800,-0.2817,-2280,-4313,6542,6130,-6422,10228,-3850,0,456,50,1,0
2017-02-21,70900,70900,70200,70400,61908,4358323200,-0.565,18005,4101,-22075,-654,-7825,1402,-13293,-1855,0,30,-61,150
2017-02-22,70300,71400,70200,71000,105372,7481412000,0.8523,6011,17212,-23020,-12590,-4847,2590,-1180,0,-6993,-193,-10,0
