date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,18500,18500,18300,18400,22395,412068000,-0.5405,9469,-6974,-2669,0,-5665,-1037,1270,181,617,173,1,1965
2016-05-27,18360,18540,18360,18420,11804,217429680,0.1087,6752,-5299,-1646,567,-1653,-1146,1255,-2,-667,215,-22,0
2016-05-30,18420,18640,18400,18420,22988,423438960,0.0,9183,-6663,-3197,-1678,-3486,1456,-1450,214,1394,673,4,353
2016-05-31,18420,18460,18220,18340,41824,767052160,-0.4343,7206,-10120,1732,-344,-3493,404,7618,-700,254,1151,31,-2007
2016-06-01,18340,18660,18340,18440,26000,479440000,0.5453,5831,2312,-8770,-2961,-5747,831,371,0,-136,373,254,-1128
2016-06-02,18560,18560,18280,18340,16679,305892860,-0.5423,8503,-3770,-4586,-1106,-3412,265,2860,0,-18,-156,9,-3175
2016-06-03,18340,18360,18300,18360,12010,220503600,0.1091,7494,-7701,197,-2134,2036,-134,636,0,-207,10,0,0
2016-06-07,18360,18640,18340,18560,27075,502512000,1.0893,-468,-10528,10693,8834,2288,-65,-7,0,-84,56,247,-273
2016-06-08,18660,18740,18360,18520,18727,346824040,-0.2155,5479,-4301,1149,-193,2122,-15,519,0,-284,-2326,-1,-1000
2016-06-09,18380,18580,18320,18320,14888,272748160,-1.0799,3904,-3878,-335,1273,-150,-1454,198,0,-202,304,5,0
2016-06-10,18400,18420,18200,18240,31856,581053440,-0.4367,6744,-598,-7672,-3723,-4476,-138,747,-5,-77,1533,-7,0
2016-06-13,18240,18240,18020,18240,32762,597578880,0.0,9292,-4284,-4684,-3048,-8170,-1336,2002,-78,5946,-332,8,0
2016-06-14,18140,18240,18000,18000,28212,507816000,-1.3158,11974,-10974,-987,-3498,-7746,-116,7103,-69,3339,15,-28,0
2016-06-15,18000,18160,17900,18060,14423,260479380,0.3333,7920,-5195,-3486,-193,-2830,-102,55,-51,-365,568,193,0
2016-06-16,18080,18100,17880,17920,14600,261632000,-0.7752,6805,-7898,1254,-1502,76,314,2291,0,75,6,-167,0
2016-06-17,17920,17980,17820,17820,16532,294600240,-0.558,-2763,394,2022,602,88,-430,1889,2086,-2213,347,0,0
2016-06-20,17840,18100,17820,18100,8753,158429300,1.5713,-597,-1089,1700,-267,597,991,-42,-142,563,-14,0,0
2016-06-21,18080,18820,18080,18260,56678,1034940280,0.884,-7394,-14,7218,6851,-458,2386,-6,0,-1555,-160,350,0
2016-06-22,18300,18540,18200,18400,17577,323416800,0.7667,453,-341,561,-841,-891,1728,-57,0,622,0,-673,0
2016-06-23,18300,18480,18220,18300,16242,297228600,-0.5435,1003,3903,-4904,-2130,-2641,472,-467,0,-122,-2,0,-16
2016-06-24,18320,18340,17640,17920,27686,496133120,-2.0765,-3693,4100,1032,1163,349,-23,539,48,-306,669,-2108,-738
2016-06-27,17900,17980,17700,17740,23221,411940540,-1.0045,-94,6350,-6806,-5325,-1196,0,34,-7,-312,545,5,0
2016-06-28,17740,17960,17640,17800,39000,694200000,0.3382,-6096,9299,-3990,-1,-3977,1172,52,0,-1263,770,17,27
2016-06-29,17800,18040,17760,17900,12806,229227400,0.5618,589,748,-1725,2419,-4543,-70,748,0,-499,388,0,220
2016-06-30,17900,18180,17900,18180,15230,276881400,1.5642,-2327,3877,-1634,1226,-868,-16,-1923,0,-53,0,84,0
2016-07-01,18180,18540,18120,18380,19580,359880400,1.1001,-3960,5676,-1632,-5896,638,-21,3276,0,371,0,-84,0
2016-07-04,18480,18520,18160,18180,18079,328676220,-1.0881,2652,6549,-9572,450,-4518,0,-3250,0,-2254,371,0,0
2016-07-05,18360,18400,18060,18400,25632,471628800,1.2101,-9609,1260,8349,0,8919,-6476,2019,0,3887,0,0,0
2016-07-06,18400,18420,18300,18420,18647,343477740,0.1087,-6755,-4378,11132,417,7781,-516,-581,0,4031,1,0,0
2016-07-07,18420,18460,18360,18440,8829,162806760,0.1086,-1002,-314,1316,-2893,3329,0,-515,0,1395,0,0,0
2016-07-08,18600,18820,18560,18680,15726,293761680,1.3015,-4329,-5,4334,-1891,3435,2817,-1285,0,1258,0,0,0
2016-07-11,18800,18800,18280,18400,15798,290683200,-1.4989,-4998,3496,4521,327,5329,0,368,0,-392,-3019,0,-1111
2016-07-12,18640,18760,18620,18760,27890,523216400,1.9565,-5339,6101,5661,-3986,8673,2336,-167,0,-133,-6173,-250,-1062
2016-07-13,18780,18800,18000,18800,15289,287433200,0.2132,-1964,4122,-1595,316,2114,1382,-5392,0,422,-563,0,-437
2016-07-14,18820,18820,18420,18620,20940,389902800,-0.9574,2399,3272,-5675,-5489,-1886,1059,2674,-16,-2017,4,0,0
2016-07-15,18620,18740,18240,18260,20441,373252660,-1.9334,5032,6820,-11863,-3901,-382,-679,-6505,0,-396,11,0,0
2016-07-18,18260,18520,18220,18260,21527,393083020,0.0,-1180,10333,-9153,-7300,2834,0,-5973,-7,1293,0,0,0
2016-07-19,18040,18340,18040,18340,23274,426845160,0.4381,-495,5872,-5377,-13249,7982,1902,-3253,0,1241,0,0,0
2016-07-20,18260,18520,18260,18460,6732,124272720,0.6543,-123,3186,-3056,-1390,-120,-90,-684,0,-772,-7,0,0
2016-07-21,18500,18500,18240,18360,16477,302517720,-0.5417,3253,2179,-5383,4887,-4576,-9,-2938,-76,-2671,-49,0,0
2016-07-22,18420,18420,18160,18180,23974,435847320,-0.9804,6356,3295,-8666,-2046,-4005,-641,-930,-21,-1023,-785,-200,0
2016-07-25,18080,18160,17860,17880,57335,1025149800,-1.6502,15535,-7707,-7797,-2581,1546,2995,-13825,0,4068,5,-36,0
2016-07-26,18000,18020,17640,17700,33420,591534000,-1.0067,14324,153,-14438,-2718,-4491,-2281,-6891,-17,1960,-39,0,0
2016-07-27,17700,17720,17300,17660,65312,1153409920,-0.226,18115,-14873,-5770,-4719,-684,-1,-4057,133,3558,2505,23,0
2016-07-28,17680,17800,17400,17400,36996,643730400,-1.4723,7400,8187,-15469,632,-7218,-65,-4874,1614,1407,-95,-23,-6965
2016-07-29,17500,17760,17460,17680,17743,313696240,1.6092,-1519,-2139,3353,3582,327,0,487,18,-1084,305,0,23
2016-08-01,17600,17780,17400,17420,27601,480809420,-1.4706,-970,4212,-3180,-2049,-1886,-60,-5203,318,5700,-62,0,0
2016-08-02,17320,17580,17320,17480,23670,413751600,0.3444,2561,11939,-14437,-8325,-123,-1333,-5970,0,1314,-63,0,0
2016-08-03,17400,17500,17000,17460,94523,1650371580,-0.1144,-5679,-2449,5810,-14254,7269,1372,-1236,-147,12806,2318,0,0
2016-08-04,17420,17600,17120,17480,44286,774119280,0.1145,2320,1584,-4044,-11901,215,3809,-383,-7,4393,140,0,-170
2016-08-05,17560,17740,17380,17580,15582,273931560,0.5721,-1130,6278,-5148,-2113,259,383,-2761,0,-916,0,0,0
2016-08-08,17480,17680,17460,17620,18356,323432720,0.2275,-1181,-269,1516,-2000,-980,-378,5668,0,-828,-66,0,34
2016-08-09,17760,17980,17400,17780,37348,664047440,0.9081,-209,10196,-8122,587,-10604,15,8648,159,-300,-1865,0,-6627
2016-08-10,17800,18160,17420,18140,23188,420630320,2.0247,-10484,8833,1222,50,-377,-852,6058,39,-2879,429,0,-817
2016-08-11,18140,18160,17960,18160,17921,325445360,0.1103,690,6505,-7195,-6152,-1082,-53,455,-14,-349,0,0,0
2016-08-12,18180,18300,17980,18300,23770,434991000,0.7709,-8432,12156,-3602,23,-4973,-460,2883,-3,-1072,-122,0,0
2016-08-16,18300,18540,18200,18340,22682,415987880,0.2186,-8107,7998,412,0,-1111,1886,-778,0,415,-303,0,0
2016-08-17,18420,18960,18340,18960,45071,854546160,3.3806,-21859,13930,8379,-1622,5746,1409,2140,0,706,0,-450,0
2016-08-18,19160,19520,18880,19040,46929,893528160,0.4219,-8408,8376,342,-7846,-78,-844,-42,0,9152,-810,500,0
2016-08-19,19220,19540,19160,19520,46073,899344960,2.521,-16041,12399,8259,-5036,4435,7440,-1508,0,2928,-4603,-14,0
2016-08-22,19660,19700,19240,19420,39767,772275140,-0.5123,2030,10811,-12391,-10010,5753,-675,-7859,0,505,-450,0,-105
2016-08-23,19420,20000,19280,19880,39457,784405160,2.3687,-13654,9888,6066,-2110,4153,5171,2926,0,-4074,-2300,0,0
2016-08-24,20000,20200,19600,19900,42707,849869300,0.1006,-10549,12190,-734,-2632,11089,1301,4168,0,-14660,-907,0,0
2016-08-25,20100,20100,19640,19880,38536,766095680,-0.1005,-13201,14233,-1059,-11318,4698,4694,251,-3,619,27,0,0
2016-08-26,19860,20200,19720,20100,34386,691158600,1.1066,-6517,9974,-3176,-8086,347,5048,1473,0,-1958,-281,0,0
2016-08-29,20100,20200,19440,20000,63873,1277460000,-0.4975,-32018,12810,19472,21370,-1081,1320,-84,-7,-2046,-264,0,0
2016-08-30,20000,20300,19920,20100,28524,573332400,0.5,-2122,7596,-5485,815,443,-31,726,0,-7438,11,0,0
2016-08-31,19900,20300,19860,20100,28470,572247000,0.0,-5,12476,-11987,-458,-1401,-219,1217,0,-11126,-484,0,0
2016-09-01,19940,20100,19720,19800,25016,495316800,-1.4925,485,7491,-8057,-4423,-537,515,-2594,0,-1018,81,0,0
2016-09-02,19800,20000,19760,19980,34065,680618700,0.9091,-9938,25750,-15848,-9491,-2819,-101,-3855,-7,649,36,0,-224
2016-09-05,20000,20000,19540,19540,34318,670573720,-2.2022,5397,12972,-18639,-6229,-5558,-3151,-976,0,-1609,270,0,-1116
2016-09-06,19500,19740,19480,19580,9839,192647620,0.2047,-365,4208,-4043,-834,-1138,-168,-909,-791,-203,200,0,0
2016-09-07,19480,19560,19060,19400,16722,324406800,-0.9193,-2963,8289,-5526,-500,-4404,553,-408,-647,-120,200,0,0
2016-09-08,19380,19760,19020,19680,33467,658630560,1.4433,741,19400,-20441,-9881,-3944,168,-1005,0,-5388,300,0,-391
2016-09-09,19540,19700,18920,19380,53114,1029349320,-1.5244,392,5397,-9821,-7882,-8658,-874,-3612,0,11205,4032,0,0
2016-09-12,19000,19500,18960,18980,34625,657182500,-2.064,3995,11799,-15897,-4771,-13962,-210,1461,259,1208,103,0,118
2016-09-13,18940,19160,18700,18700,18967,354682900,-1.4752,2991,-3382,391,-1138,3392,-378,-514,0,-971,0,0,0
2016-09-19,18500,19160,18500,18880,16718,315635840,0.9626,-1905,7333,-5428,-2579,-3911,-82,1796,0,-652,0,0,0
2016-09-20,18680,19020,18600,18900,14041,265374900,0.1059,-2995,224,2771,1422,340,-383,1707,0,-315,0,0,0
2016-09-21,18840,19080,18700,18980,10046,190673080,0.4233,2772,-1446,-1623,1987,-1373,-19,-94,0,-2124,232,65,0
2016-09-22,18960,19200,18840,19080,11182,213352560,0.5269,1347,2409,-4306,-1000,184,2086,-546,0,-5030,590,-40,0
2016-09-23,19380,19380,18820,18960,24581,466055760,-0.6289,6130,7683,-14472,-10990,-1688,534,-2509,0,163,646,13,18
2016-09-26,18900,19040,18540,18640,20090,374477600,-1.6878,4141,3813,-5954,-3152,-861,1919,-899,0,-209,-2000,0,-2752
2016-09-27,18700,19440,18540,19280,23969,462122320,3.4335,-6361,2110,4278,-215,534,-69,4036,0,-8,0,-27,0
2016-09-28,19360,19600,19020,19020,19578,372373560,-1.3485,3896,-2511,-1357,-2107,4405,-469,-2934,0,-238,-28,0,-14
2016-09-29,19060,19260,18820,19020,15998,304281960,0.0,-1644,-1546,3190,0,3972,-114,-61,0,-607,0,0,0
2016-09-30,19100,19340,18700,19080,21779,415543320,0.3155,-1503,-599,2602,-3615,-15,-38,5106,-31,1195,0,-500,0
2016-10-04,19120,19580,19100,19580,36536,715374880,2.6205,-3072,14180,-11091,-8333,15,-2418,-97,0,-223,-17,0,-35
2016-10-05,19300,19720,19120,19700,25475,501857500,0.6129,415,2073,-2488,-3094,-870,-9,-1174,0,2659,0,0,0
2016-10-06,19760,19860,19340,19860,28053,557132580,0.8122,-7695,8055,279,-3206,6264,92,-938,0,-1925,-572,-67,-8
2016-10-07,20100,20100,19560,19760,39529,781093040,-0.5035,4506,866,-4768,-922,5076,3020,-5271,0,-6671,-604,0,0
2016-10-10,19800,19860,19620,19660,18845,370492700,-0.5061,-858,1140,-191,-4489,-157,2544,-420,0,2331,-91,0,0
2016-10-11,19660,19740,18420,19500,21126,411957000,-0.8138,-2081,4835,118,-2000,1800,576,-115,0,-143,-2872,0,0
2016-10-12,19500,19580,19200,19500,25778,502671000,0.0,-743,7881,-7138,-7716,442,2022,-1957,0,569,0,0,-498
2016-10-13,19520,19540,19220,19220,5460,104941200,-1.4359,1692,1235,-2927,-462,-22,-172,-1006,0,-1265,0,0,0
2016-10-14,19520,19540,18860,18980,11674,221572520,-1.2487,791,6351,-7126,-5077,43,-8,-2046,0,-38,-16,0,0
2016-10-17,19100,19180,18780,19120,10858,207604960,0.7376,-2011,6587,-4654,-3631,-453,-273,-154,0,-104,78,0,-39
2016-10-18,19020,19260,18820,19020,15863,301714260,-0.523,2055,6732,-8800,-3699,-1972,-1503,-149,0,-1477,-17,30,0
2016-10-19,19200,19560,19100,19100,16315,311616500,0.4206,-3350,8394,-6296,-2798,-112,-82,-3077,0,-227,-53,1305,0
2016-10-20,19320,19380,19080,19160,15775,302249000,0.3141,-1416,7139,-5195,-2443,-187,-49,-815,0,-1701,-328,-200,0
2016-10-21,19100,19420,18860,19000,24183,459477000,-0.8351,4183,2698,-7813,-6190,-1159,-614,-350,0,500,932,0,0
2016-10-24,19060,19060,18500,18640,29034,541193760,-1.8947,1972,16499,-18371,-12989,-2202,-71,-1425,0,-1684,0,-100,0
2016-10-25,18660,18720,18500,18520,14832,274688640,-0.6438,3423,-4076,603,-1003,1928,0,262,0,-584,50,0,0
2016-10-26,18680,18680,18360,18500,14878,275243000,-0.108,132,1511,-1722,-208,3419,-4909,37,0,-61,79,0,0
2016-10-27,18500,18680,18380,18580,13285,246835300,0.4324,55,-3008,1834,-569,4263,-793,-1061,0,-6,24,1095,0
2016-10-28,18760,18760,18020,18020,29910,538978200,-3.014,10203,2002,-11117,-891,-6896,-2247,-904,0,-179,-83,-1005,0
2016-10-31,18080,18160,17420,17440,72680,1267539200,-3.2186,-26038,14930,11190,-2625,9693,1689,-1741,0,4174,-82,0,0
2016-11-01,17280,17580,17180,17400,52901,920477400,-0.2294,1998,-9902,7986,-9322,30264,-4387,-5165,0,-3404,-82,0,0
2016-11-02,17580,17580,17080,17160,33330,571942800,-1.3793,-607,5758,-5262,-2222,-3780,3116,-3679,0,1290,60,51,13
2016-11-03,16800,17400,16780,16820,38805,652700100,-1.9814,9609,7113,-16602,-3012,-4464,-6318,-2755,0,-53,-120,0,0
2016-11-04,16720,16960,16580,16880,22498,379766240,0.3567,806,2771,-2577,-1606,-3861,35,4679,-123,-1701,-1000,0,0
2016-11-07,16900,16900,16660,16680,32555,543017400,-1.1848,5173,10779,-16052,-11998,-1766,29,15,0,-2209,100,0,-123
2016-11-08,16680,16720,16500,16600,32911,546322600,-0.4796,4581,11609,-16649,-6065,-2589,0,-2938,0,-4666,459,0,-391
2016-11-09,16640,16680,16000,16480,33595,553645600,-0.7229,-4165,7714,-2645,-899,-668,-312,-228,0,-538,-904,0,0
2016-11-10,16480,16780,16160,16280,26763,435701640,-1.2136,9783,6873,-16444,-6530,-662,-6798,-1685,0,-769,150,-362,0
2016-11-11,16300,16400,15919,16140,34165,551423100,-0.86,-391,4727,-6734,-7797,2636,-454,-1502,0,401,2350,48,-18
2016-11-14,16160,16400,15600,15920,66669,1061370480,-1.3631,9092,6025,-15097,-16359,-2656,574,4297,0,-929,610,-630,-24
2016-11-15,15840,15840,14980,15080,94502,1425090160,-5.2764,9282,2655,-16081,4402,-5718,-5910,-3918,-838,-4809,4039,105,710
2016-11-16,15080,15460,14420,15040,89828,1351013120,-0.2653,-11693,13132,-693,2520,1832,2166,-1104,0,-6107,-751,5,0
2016-11-17,15040,15040,14639,14700,60626,891202200,-2.2606,15085,-14087,-5700,-7823,-2144,1834,1814,0,271,4600,102,348
2016-11-18,14720,14900,14460,14560,47137,686314720,-0.9524,3098,-5953,-2140,-5603,869,-1327,3592,0,-221,4997,-2,550
2016-11-21,14620,14640,14160,14200,55224,784180800,-2.4725,4381,-18786,10185,-6608,1108,282,10766,710,3447,4220,0,480
2016-11-22,14220,14400,13720,13980,65601,917101980,-1.5493,332,-6005,2122,-2842,2909,1184,-3278,300,3259,3542,9,590
2016-11-23,13920,13960,13600,13740,110643,1520234820,-1.7167,42051,-62548,10065,-11068,959,1995,7796,910,8883,10373,59,590
2016-11-24,13740,13860,13400,13520,54130,731837600,-1.6012,6784,4875,-13792,-16756,2192,-3276,2085,661,1302,3223,-1090,0
2016-11-25,13520,13700,13460,13580,42172,572695760,0.4438,8443,-14063,4022,-7629,2519,9020,0,0,112,1606,-8,0
2016-11-28,13440,13700,13140,13380,95565,1278659700,-1.4728,25035,-38531,11617,2148,5835,-1914,-2465,1376,6616,1972,-93,21
2016-11-29,13240,13460,13080,13360,56055,748894800,-0.1495,3293,-10517,6622,2272,1852,-3177,5134,0,522,547,55,19
2016-11-30,13320,13460,12900,13400,113202,1516906800,0.2994,29550,-58071,25269,30310,3607,340,-6705,0,-2283,3186,66,0
2016-12-01,13440,13440,13020,13220,53361,705432420,-1.3433,4411,1938,-4854,2892,-6348,-1028,-828,124,244,-1495,0,90
2016-12-02,13260,13260,12660,13140,71114,934437960,-0.6051,4772,-4145,-1416,3424,-12405,4072,1392,887,977,772,17,237
2016-12-05,13000,13020,12360,12620,93360,1178203200,-3.9574,10935,-31871,14975,-3635,-2011,2849,6913,0,8137,5902,59,2722
2016-12-06,12360,12620,12360,12400,77660,962984000,-1.7433,8816,-9648,-101,-10098,3690,2948,1818,1994,-453,926,7,0
2016-12-07,12400,12560,12240,12320,58206,717097920,-0.6452,-5838,3467,-1883,-3686,-7216,442,1236,3578,3234,4062,192,529
2016-12-08,12440,12560,12339,12520,38814,485951280,1.6234,537,1960,-1616,6871,2748,-4000,1698,-11411,2156,-881,0,322
2016-12-09,12500,12720,12460,12660,46052,583018320,1.1182,8125,-16818,9339,3493,9638,0,-73,-2686,-1033,-646,0,0
2016-12-12,12660,13260,12660,13260,81813,1084840380,4.7393,-6771,-9895,20727,243,21647,-2773,1012,-5351,5988,-3833,-228,-39
2016-12-13,13260,13340,13020,13280,44899,596258720,0.1508,1255,-7667,7059,-3901,12516,-632,-185,0,-739,-663,16,0
2016-12-14,13540,13840,13380,13640,98757,1347045480,2.7108,14695,-14179,990,-10394,5724,9340,-91,-2000,-609,-1508,2,-980
2016-12-15,13660,13660,13420,13600,34027,462767200,-0.2933,4007,-4781,692,691,1084,-422,-109,0,-552,-68,150,0
2016-12-16,13620,13880,13320,13760,52319,719909440,1.1765,618,-7020,8793,5581,3446,-509,10,36,369,-2386,-5,-140
2016-12-19,13680,13800,13600,13780,18707,257782460,0.1453,-313,-1443,3027,1932,21,-1126,790,0,1410,-1271,0,0
2016-12-20,13780,14120,13680,13880,32044,444770720,0.7257,3587,-434,-3218,-237,1139,44,-4881,0,699,14,51,18
2016-12-21,13880,13920,13420,13880,49298,684256240,0.0,-2960,-6154,8754,-8132,15304,3630,988,0,-3053,331,29,17
2016-12-22,13820,13940,13560,13600,20946,284865600,-2.0173,2724,2627,-5216,275,599,156,-6228,0,-18,-120,-15,0
2016-12-23,13680,13940,13600,13800,16931,233647800,1.4706,-2780,6442,-3443,1974,18,-104,-2183,0,-2048,-220,1,-1100
2016-12-26,13680,13940,13680,13740,12909,177369660,-0.4348,-1113,386,851,2806,-240,860,-2648,0,573,-119,-5,-500
2016-12-27,13700,13960,13660,13960,14714,205407440,1.6012,-1812,-410,2273,3628,-314,-1439,863,0,-468,-55,4,3
2016-12-28,13960,14060,13760,14040,19878,279087120,0.5731,-2159,921,1458,-2811,3819,-227,102,0,588,-220,0,-13
2016-12-29,14060,14100,13860,14100,8997,126857700,0.4274,-2271,2682,-412,708,-126,77,-26,0,780,0,1,-1825
2017-01-02,14120,14180,13980,14180,10029,142211220,0.5674,-1247,202,1377,-200,3029,0,7,0,-307,-333,1,-1152
2017-01-03,14180,14200,14020,14080,14803,208426240,-0.7052,262,-3467,3897,-1055,4433,373,174,0,-28,-692,0,0
2017-01-04,14000,14120,13760,14100,22955,323665500,0.142,-2212,4165,-1048,-5500,5716,1640,289,0,-3193,-906,1,0
2017-01-05,13900,14180,13900,14120,32440,458052800,0.1418,-13779,9186,5561,-3560,10805,302,-533,0,-1453,-968,0,0
2017-01-06,14100,14300,13840,14300,27234,389446200,1.2748,-2176,9919,-7675,-8987,2292,-259,0,0,-721,-11,-57,0
2017-01-09,14320,14320,14000,14220,28991,412252020,-0.5594,-22,-4423,4233,-7263,10950,0,1500,0,-954,210,2,0
2017-01-10,14020,14060,13720,13720,54651,749811720,-3.5162,3538,-9263,758,5900,-214,5860,-9263,0,-1571,4868,99,46
2017-01-11,13840,13960,13520,13540,35014,474089560,-1.312,-7939,13090,-5194,-7463,2867,1231,-400,0,-1436,29,14,7
2017-01-12,13540,13900,13460,13820,27641,381998620,2.0679,-4362,9231,-3809,-7159,-416,3531,275,0,-40,-1060,0,0
2017-01-13,13840,13980,13660,13880,18051,250547880,0.4342,-2253,2804,1399,-1273,4665,2304,101,0,-4398,-1943,-7,0
