date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,1859,1864,1749,1855,2062562,3826052510,0.162,-77025,29339,47642,69412,78122,-1027,-2335,0,-96530,-1,45,0
2016-05-27,1872,1883,1829,1865,991609,1849350785,0.5391,119625,-79889,-42369,8435,709,-2089,0,0,-49424,-2,2635,0
2016-05-30,1869,1894,1859,1868,812911,1518517748,0.1609,71368,-52170,-16562,-3384,-9302,0,-850,0,-3026,-1,-2635,0
2016-05-31,1866,1940,1866,1895,2552467,4836924965,1.4454,378960,-121604,-273358,-185,-219072,0,-6341,0,-47760,15999,3,0
2016-06-01,1940,2045,1932,1986,3027223,6012064878,4.8021,145306,-4699,-140794,0,14,-3,5581,0,-146386,189,-2,0
2016-06-02,1994,2025,1959,1969,1469926,2894284294,-0.856,31443,6784,-38227,-655,-6942,0,9141,19800,-59571,0,0,0
2016-06-03,1970,2022,1965,1997,1304902,2605889294,1.422,-64207,-25616,83923,-420,8401,0,-16384,0,74313,5900,0,18013
2016-06-07,2000,2028,1970,1999,930561,1860191439,0.1002,145728,-144803,-5925,15,-1773,-802,-3716,0,351,5000,0,0
2016-06-08,1998,2060,1970,2024,1411682,2857244368,1.2506,-80397,92761,-53034,-508,-27133,0,-6544,0,-18849,40670,0,0
2016-06-09,2045,2126,2011,2070,4321745,8946012150,2.2727,175216,484578,-661067,-35534,-427881,-1469,-42838,0,-153345,0,1273,0
2016-06-10,2066,2071,2033,2056,690309,1419275304,-0.6763,-5118,9928,-9176,-3611,-8187,0,-1169,0,1791,4166,200,2000
2016-06-13,2022,2022,1949,1952,1511299,2950055648,-5.0584,139912,-42149,-84542,-8599,-716,-357,-3,0,-74867,-13000,-221,0
2016-06-14,1949,1956,1902,1934,1035010,2001709340,-0.9221,40452,-6039,-28737,-13377,-1495,0,-13619,0,-246,-5670,-6,0
2016-06-15,1932,1940,1899,1903,613389,1167279267,-1.6029,65355,-42521,-24834,-19778,-4461,0,0,0,-595,2000,0,0
2016-06-16,1904,1932,1825,1829,1337362,2446035098,-3.8886,-22266,44045,-21779,-19778,-977,0,-5350,0,4326,0,0,0
2016-06-17,1866,2052,1866,1958,2368377,4637282166,7.053,65432,-61700,-31832,-19867,-1584,0,0,0,-10381,28100,0,0
2016-06-20,1994,2020,1959,1993,1038027,2068787811,1.7875,-12162,8024,-7862,0,-172,-9922,0,0,2232,0,12000,0
2016-06-21,2022,2022,1952,2004,1002832,2009675328,0.5519,-31000,19540,-8540,-9555,-710,0,0,0,1725,-20000,40000,0
2016-06-22,2020,2101,2017,2087,2686726,5607197162,4.1417,-57329,74764,-45535,-18605,-41774,-19707,-9741,49300,-5008,18100,10000,0
2016-06-23,2083,2124,2052,2106,1898267,3997750302,0.9104,95867,-67612,-28299,-13377,-10197,-4780,0,0,55,44,0,0
2016-06-24,2138,2145,1834,1917,4457691,8545393647,-8.9744,18623,34731,-55301,-25818,719,0,-5000,-29068,3866,-10000,11947,0
2016-06-27,1820,1921,1820,1879,2297059,4316173861,-1.9823,195727,-47007,-149720,-66146,-6682,0,-53468,-26500,3076,0,1000,0
2016-06-28,1842,1926,1842,1925,1437015,2766253875,2.4481,54187,-27646,-30406,-12570,-4596,-236,0,0,-13004,0,3865,0
2016-06-29,1929,2022,1929,2015,1446536,2914770040,4.6753,-86081,91166,-19186,-6927,-2192,0,0,0,-10067,16101,-2000,0
2016-06-30,2025,2039,1924,1974,1228297,2424658278,-2.0347,71673,-45138,-9041,-9501,-119,0,0,0,579,-44,-17450,0
2016-07-01,2028,2058,2011,2052,1105961,2269431972,3.9514,-36639,53471,-15899,0,-15798,0,0,0,-101,0,-933,0
2016-07-04,2077,2143,2060,2103,2116662,4451340186,2.4854,51948,2905,-74485,0,-39799,-25861,0,2200,-11025,4932,14700,0
2016-07-05,2280,2460,2225,2243,13156357,29509708751,6.6572,114470,-327697,163974,-34415,235022,-28768,-2614,0,-5251,46547,2706,0
2016-07-06,2269,2350,2241,2349,5757888,13525278912,4.7258,-234993,191639,13221,0,22894,-16925,0,173,7079,29112,1021,0
2016-07-07,2377,2411,2329,2341,3558033,8329355253,-0.3406,-35385,-200870,235732,0,155431,80084,0,215,2,0,523,0
