date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,89034,91535,89034,90785,156072,14168996520,1.9655,-9592,14098,-4460,-16420,-1253,7775,1572,0,3657,-70,24,209
2016-05-27,90785,91285,89534,90285,130910,11819209350,-0.5508,14635,-163,-14487,-20653,3281,626,1448,774,-98,-46,61,135
2016-05-30,90785,90785,89284,90285,110098,9940197930,0.0,-2548,-1208,3756,-15944,14648,-2198,1992,0,5267,0,0,-9
2016-05-31,90035,92536,90035,91036,251292,22876618512,0.8318,-4422,9122,-4864,-25071,8826,5148,1783,3416,1034,164,0,0
2016-06-01,90785,91035,89035,89035,185496,16515636360,-2.198,30079,6367,-36461,-16069,-4807,2175,-11935,9609,-15177,-2,17,-257
2016-06-02,89534,91535,88784,90785,180438,16381063830,1.9655,-32243,13244,18944,-12393,31142,12770,-9396,4018,-7197,20,35,0
2016-06-03,90535,91786,89785,91286,96399,8799879114,0.5519,-14606,-12733,27614,1115,14357,895,563,2000,7674,75,-350,1010
2016-06-07,91285,92786,90785,92286,132641,12240907326,1.0955,-16673,-3330,20193,-7218,26513,2322,-4313,0,4294,100,-290,-1405
2016-06-08,92536,92786,90035,91036,166875,15191632500,-1.3545,10258,6844,-17394,-14521,-7676,-126,-1263,1006,5186,286,6,0
2016-06-09,91785,91785,89284,90535,266372,24115989020,-0.5503,20717,19619,-40393,-35640,-2289,-2317,-7449,-600,9202,56,1,-1300
2016-06-10,90285,90535,89785,89785,182117,16351374845,-0.8284,11044,18280,-29332,-5449,-38876,-2393,-5717,-3,23106,8,0,0
2016-06-13,89535,90285,89034,89535,132783,11888725905,-0.2784,-4791,28379,-23389,-21149,-1702,-592,-455,-1,2069,-199,0,-1559
2016-06-14,89034,90535,88284,90535,308141,27897545435,1.1169,6881,42453,-49552,-32203,-5199,-6088,-8438,6,2370,190,28,0
2016-06-15,90034,90785,89034,90535,210258,19035708030,0.0,-2410,15444,-17588,-27032,16875,-1063,-940,-4,-5424,4730,-176,0
2016-06-16,90285,90535,85783,86284,493464,42578047776,-4.6954,64216,69866,-129148,-81451,-7998,-6299,-25901,925,-5132,-4942,8,-3292
2016-06-17,87533,89034,87283,88284,165252,14589107568,2.3179,-21196,30924,-10032,-11598,10858,-512,-8463,-532,215,311,-7,0
2016-06-20,89034,89284,87283,87784,363390,31899827760,-0.5664,8428,5275,-13976,-16451,-545,1497,-4916,5000,1439,219,54,0
2016-06-21,88034,88284,86783,88034,153311,13496580574,0.2848,-47,16059,-15873,1552,-9368,-394,-5118,-70,-2475,-138,-1,0
2016-06-22,88284,88534,86533,87034,168645,14677848930,-1.1359,21778,14463,-30081,-28755,6438,-16,-7868,-2800,2920,-6053,-107,0
