date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,24850,25000,24600,24850,718330,17850500500,0.8114,-216439,158947,66562,17032,-5180,10262,10504,557,35887,-9000,-70,-2500
2016-05-27,24950,25300,24850,24950,1012063,25250971850,0.4024,-89676,70439,19303,-8708,-45467,7694,16790,462,48532,-168,102,0
2016-05-30,24950,25200,24650,25000,706500,17662500000,0.2004,-64296,51627,7900,-48008,-4456,32097,9119,467,28681,-5000,9769,-10000
2016-05-31,24900,25850,24750,25850,1807271,46717955350,3.4,-263110,168504,117944,-4760,49922,36598,49312,70,-7198,-23538,200,-6000
2016-06-01,25500,25650,25100,25150,874037,21982030550,-2.7079,142142,140245,-283159,-8097,-135682,11344,-38460,235,-112499,1043,-271,0
2016-06-02,25050,25400,24750,25050,709733,17778811650,-0.3976,2518,287302,-284523,-9051,-181547,782,5204,-716,-99195,-5180,-117,0
2016-06-03,24900,25100,24700,24950,489023,12201123850,-0.3992,-48170,60153,-18457,957,-87291,-19697,-11694,-242,99510,6746,-272,0
2016-06-07,24900,25150,24900,25100,1021629,25642887900,0.6012,-23542,48142,-24747,-45994,-32121,-3889,-28754,-42,86053,227,-80,0
2016-06-08,25050,25550,24850,25500,1125505,28700377500,1.5936,-85435,-115336,188554,-69831,57111,51279,48447,-2440,103988,12150,67,0
2016-06-09,25500,26400,25400,26150,1827492,47788915800,2.549,-579961,343432,222056,15881,99331,67002,31109,-586,45586,13853,620,-36267
2016-06-10,26100,26300,25450,25600,925402,23690291200,-2.1033,-57465,196022,-135136,-121889,-79554,4054,-58591,1870,118974,-3440,19,0
2016-06-13,25300,25500,24700,24750,805376,19933056000,-3.3203,100609,7114,-116334,-86578,-20029,-1441,-9906,30,2065,8717,-106,-475
2016-06-14,24650,24850,24150,24150,889840,21489636000,-2.4242,164803,-40505,-104858,-67412,106385,-9724,-57092,2499,-78770,-18853,-587,-744
2016-06-15,24150,24350,23400,23400,1028522,24067414800,-3.1056,475525,-100749,-377691,-108894,-45395,-255,-56756,272,-158663,3421,-506,-8000
2016-06-16,23750,23800,23200,23450,604964,14186405800,0.2137,62116,144698,-206567,-28630,-42615,-21899,-9640,534,-104317,-146,-101,0
2016-06-17,23700,23800,23300,23300,685789,15978883700,-0.6397,106289,-42396,-63787,-108280,-26037,16372,-2521,430,59742,-19,-87,-3493
2016-06-20,24000,24650,23750,24550,829661,20368177550,5.3648,-377154,147736,230027,-37685,99240,91979,7403,1073,68017,-66,-543,0
2016-06-21,24450,24450,23800,24100,571517,13773559700,-1.833,160117,-267003,104985,17564,82730,31788,15896,323,-49505,1848,53,6189
2016-06-22,24000,25050,23950,25000,782398,19559950000,3.7344,-295639,3525,292343,7320,127212,47206,23971,7817,73047,-41,-188,5770
2016-06-23,24750,25300,24750,25200,757416,19086883200,0.8,-255737,115829,141359,-7886,-14582,2835,28798,415,131779,-1000,-451,0
2016-06-24,25450,25700,23100,23350,2300292,53711818200,-7.3413,507111,-54646,-466887,39065,-40482,-94177,-107825,-19523,-244894,13308,1114,949
2016-06-27,23150,23300,22450,23200,1482699,34398616800,-0.6424,57067,86871,-157888,-50642,100387,-177374,-44856,775,18822,14590,-640,-5000
2016-06-28,22800,23200,22550,23200,965344,22395980800,0.0,250657,-314315,61643,11629,62147,-2923,-47413,9125,35077,1871,144,-5999
2016-06-29,23450,23800,23250,23700,890364,21101626800,2.1552,-13005,-97450,109761,-8576,91377,-6253,44626,-9095,-2318,1967,-1273,0
2016-06-30,23950,24050,23050,23250,891991,20738790750,-1.8987,359831,-212394,-142520,-48512,78241,3990,-39777,385,-131847,-6640,1723,-5000
2016-07-01,23350,23650,23300,23400,558304,13064313600,0.6452,-36989,68675,-32773,64387,21412,-5263,47530,1018,-156227,992,95,-5630
2016-07-04,23350,23800,23350,23700,507743,12033509100,1.2821,-162566,236284,-54583,-2925,1908,2001,-7690,606,-48483,369,-19504,0
2016-07-05,23600,23650,23150,23150,739383,17116716450,-2.3207,309783,-18846,-288825,-46107,-101166,-32210,-77812,123,-25786,-2304,192,-5867
2016-07-06,23000,23200,22400,22450,1155472,25940346400,-3.0238,425681,-245970,-166080,-30793,-103839,-8431,-65527,-2378,44888,-13616,-15,0
2016-07-07,22600,23150,22550,22950,469652,10778513400,2.2272,-112153,122800,-10107,-19953,833,402,-28615,1323,35903,-570,30,0
2016-07-08,22750,22900,22150,22450,1301241,29212860450,-2.1786,331229,-164276,-166472,-20664,-35044,3180,-92099,166,-22011,-356,-125,0
2016-07-11,22800,23000,22650,22700,663386,15058862200,1.1136,-103883,85078,73319,-2004,-22259,-593,-13595,-6246,121846,-54513,-1,-3830
2016-07-12,22800,23450,22650,23450,767961,18008685450,3.304,-324795,249331,87396,-2324,15593,6052,16807,539,54584,-11710,-222,-3855
2016-07-13,23400,23850,23300,23750,799788,18994965000,1.2793,-135031,155895,-25296,-7135,-16509,43301,-2605,1325,-31042,4410,22,-12631
2016-07-14,23700,23750,23400,23500,587001,13794523500,-1.0526,44858,149804,-194553,-15251,-80575,-36961,26995,881,-89642,-136,27,0
2016-07-15,23500,24300,23500,24300,1055761,25654992300,3.4043,-487170,374694,97176,17385,4568,-28922,1418,-582,103309,15979,-679,0
2016-07-18,24350,24600,24050,24550,601053,14755851150,1.0288,-204997,146730,58067,0,-2015,11830,36216,-451,12487,200,0,0
2016-07-19,24650,24900,24250,24700,760812,18792056400,0.611,-167354,145547,8977,66021,-63480,-10083,49543,-2568,-30456,-9535,22365,0
2016-07-20,24500,24750,24050,24550,541783,13300772650,-0.6073,-19316,62491,-41955,-19153,-8184,1643,41390,-124,-57527,-1042,-178,0
2016-07-21,24550,24850,24450,24850,538859,13390646150,1.222,-160103,153259,17882,-3843,-8403,-3093,-21817,138,54504,-10971,-67,396
2016-07-22,24900,25250,24700,25200,847271,21351229200,1.4085,-201462,44656,159199,93801,-14573,10149,20931,10451,37669,-2332,-61,771
2016-07-25,25950,27600,25700,27600,3592040,99140304000,9.5238,-1881122,1472289,500006,48825,133399,44788,76085,0,187602,-89005,-2168,9307
