date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,6430,6520,6350,6400,592409,3791417600,-1.2346,85296,-240629,155090,120090,2735,24765,-24355,0,31855,174,69,0
2016-05-27,6460,6470,6380,6400,397787,2545836800,0.0,97077,-90772,-6481,-23273,6343,4593,230,0,5626,-1,177,0
2016-05-30,6390,6450,6350,6390,561975,3591020250,-0.1562,48574,-72155,23581,28588,11339,4970,-14046,0,-7270,0,0,0
2016-05-31,6370,6460,6370,6390,1040731,6650271090,0.0,25060,-3289,-19647,102367,-7074,15505,-40101,0,-90344,-10000,7876,0
2016-06-01,6390,6460,6360,6440,859783,5537002520,0.7825,107427,-2407,-105825,19228,-8542,4909,69072,0,-190492,-700,1505,0
2016-06-02,6410,6540,6370,6480,899845,5830995600,0.6211,-76787,110851,-33045,98263,-63959,-3128,63283,0,-127504,-1,-1018,0
2016-06-03,6480,6540,6400,6420,934738,6001017960,-0.9259,97099,-164581,70057,-93481,-39857,6655,-6371,0,203111,0,-2575,0
2016-06-07,6370,6440,6330,6410,1432202,9180414820,-0.1558,68069,-320443,253095,261645,-17306,0,-26151,0,34907,-800,79,0
2016-06-08,6380,6430,6360,6410,1022964,6557199240,0.0,6599,-195139,187636,66869,-66638,-10609,-6212,0,204226,853,51,0
2016-06-09,6450,6460,6310,6400,3475093,22240595200,-0.156,202946,1945286,-2144014,-75810,-1628651,-105187,-407532,0,73166,20,-4238,0
2016-06-10,6370,6450,6350,6380,744205,4748027900,-0.3125,62024,27796,-89256,-129050,-133299,-3108,-30753,0,206954,-26,-538,0
2016-06-13,6380,6380,6270,6290,875165,5504787850,-1.4107,170942,-233053,60170,10750,-4646,-13576,-2422,-4000,74064,8,1933,0
2016-06-14,6230,6300,6150,6150,1075403,6613728450,-2.2258,343904,-257612,-86824,125634,-12799,-22300,-127431,0,-49928,-19,551,0
2016-06-15,6150,6180,6060,6060,1021035,6187472100,-1.4634,266112,-202336,-62565,-27178,-56148,-15172,-41527,0,77460,243,-1454,0
2016-06-16,6100,6120,6030,6060,672566,4075749960,0.0,203923,-99590,-101007,48206,-31791,5979,-15036,0,-108365,-567,-2759,0
2016-06-17,6110,6110,6000,6070,923978,5608546460,0.165,263012,-336325,73301,-55131,8488,-1517,-204,0,121665,10,2,0
2016-06-20,6140,6140,6060,6080,475831,2893052480,0.1647,152654,-240688,88384,-22823,71040,22327,-409,0,18249,0,-350,0
2016-06-21,6080,6170,6070,6160,706623,4352797680,1.3158,-59550,136518,-76962,-41805,2105,1635,-1988,0,-36909,-7,1,0
2016-06-22,6160,6200,6120,6170,636022,3924255740,0.1623,22610,-109000,86190,-9522,307,0,360,0,95045,0,200,0
2016-06-23,6130,6190,6130,6170,518859,3201360030,0.0,-41306,47304,-5998,-43669,6654,0,-82,0,31099,-1,1,0
2016-06-24,6160,6190,5920,5960,982640,5856534400,-3.4036,141017,-134024,-7136,-77129,38060,103273,535,0,-71875,-164,307,0
2016-06-27,5960,6000,5670,5850,959473,5612917050,-1.8456,-130828,116645,12784,-59619,9242,-48894,4582,0,107473,1389,10,0
2016-06-28,5710,5840,5700,5830,725044,4227006520,-0.3419,81391,-13030,-70143,-41930,29155,33956,-21019,0,-70305,1913,-131,0
