date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,417000,421500,408000,410500,73098,30006729000,-2.6097,24057,-12964,-10261,-2030,-2149,-290,-3359,0,-2337,-852,20,-96
2016-05-27,410500,413500,408500,413000,43793,18086509000,0.609,-3265,7243,-3006,2359,386,46,-1,0,-5796,-1011,39,0
2016-05-30,410000,419000,408500,418000,65993,27585074000,1.2107,-17836,12546,6301,10473,3483,-2720,845,0,-5780,-1001,-10,0
2016-05-31,413000,420500,412500,417500,134883,56313652500,-0.1196,-2575,4985,-2656,3736,488,1887,-921,100,-7946,282,-36,0
2016-06-01,412000,420000,412000,418500,73881,30919198500,0.2395,-5529,25053,-19467,-356,-1731,1611,-1982,141,-16562,-65,8,-588
2016-06-02,414500,428500,414500,426000,96491,41105166000,1.7921,-31398,11768,19587,9198,3593,20440,-2041,0,-11921,81,-38,318
2016-06-03,426000,428000,419500,423000,65401,27664623000,-0.7042,5889,-12917,7008,152,-1901,-208,-1854,100,10719,6,14,0
2016-06-07,423000,430000,422000,425000,92140,39159500000,0.4728,-12521,11016,1346,-3587,-1467,890,571,0,5299,154,5,-360
2016-06-08,423000,435000,422500,435000,101074,43967190000,2.3529,-35869,22329,16415,-897,-8149,20503,-1555,-332,6845,-2881,6,0
2016-06-09,433000,437000,430500,436000,148947,64940892000,0.2299,-5427,30759,-24443,-9640,-24675,-51,-7879,401,19404,-734,-155,-2003
2016-06-10,434500,434500,417500,421500,121331,51141016500,-3.3257,43315,-22612,-19313,-5191,-22367,-4435,-8943,-1563,24039,-985,-405,-853
2016-06-13,419500,420000,407500,410000,130247,53401270000,-2.7284,38698,-3843,-34704,-5574,-1044,-8617,-2699,1,-16628,-12,-139,-143
2016-06-14,410000,416000,402000,410500,89897,36902718500,0.122,-964,14061,-17040,1263,2931,-7403,1474,473,-15478,3948,-5,-300
2016-06-15,408500,413500,406000,409000,59450,24315050000,-0.3654,8404,14819,-23225,-8032,-3179,-4811,-834,-10,-6109,3,-1,-250
2016-06-16,412500,415000,409500,412500,58994,24335025000,0.8557,-9341,21118,-11818,160,112,1341,4091,-657,-16865,43,-2,0
2016-06-17,414000,417500,409500,412000,61657,25402684000,-0.1212,-404,4977,-4560,-271,-1498,-2686,-2031,0,1789,-11,-2,137
2016-06-20,417000,417000,409500,412500,59107,24381637500,0.1214,2292,-603,-1716,8,2588,1018,-1576,0,-3754,25,2,0
2016-06-21,416000,421000,413000,419000,57022,23892218000,1.5758,-18083,31330,-13030,-2059,1196,-744,-1678,239,-10641,-174,-43,657
2016-06-22,421500,424000,414000,418000,64400,26919200000,-0.2387,-2656,6411,-3847,2812,667,-9834,-781,0,3289,100,-8,0
2016-06-23,416000,422000,416000,418000,53369,22308242000,0.0,-4550,4198,228,7750,-532,-11110,-923,0,5011,117,7,32
2016-06-24,417000,423000,405000,414000,111071,45983394000,-0.9569,-14498,18999,-4527,14233,-5071,-6514,566,-714,-7027,-57,83,0
2016-06-27,413500,414500,405000,414500,67258,27878441000,0.1208,-10525,-10299,20775,7416,2240,23,660,-29,10383,49,0,82
2016-06-28,409000,423500,409000,423500,78673,33318015500,2.1713,-30503,27118,3533,9666,1250,1368,-1310,0,-7707,-57,-91,266
2016-06-29,421500,432000,421500,429000,101564,43570956000,1.2987,-20461,22743,-1620,7792,5683,-2057,6356,185,-19980,-571,-91,401
2016-06-30,431000,435000,426500,431500,84463,36445784500,0.5828,-14265,32185,-17372,6696,-2824,2001,963,-704,-23739,-548,0,235
2016-07-01,435000,439000,434000,434000,99366,43124844000,0.5794,-30189,34411,-5717,2081,-2598,1177,6024,174,-13050,-179,1674,475
2016-07-04,438000,440000,435500,439000,64836,28463004000,1.1521,-14423,29750,-11729,-2843,-3140,53,-2592,-1000,-2207,53,-3651,0
2016-07-05,435500,438000,433000,436000,62064,27059904000,-0.6834,1430,2833,-4854,2260,2517,-4418,-4251,-1001,39,532,59,0
2016-07-06,436500,439500,431000,439500,80648,35444796000,0.8028,-12178,20324,-7647,4396,-10856,-2013,-1911,0,2411,-461,-38,326
2016-07-07,440000,443000,437500,441000,55384,24424344000,0.3413,-11384,14019,-2514,5289,-4378,-466,-2172,-23,-764,-4,-117,0
2016-07-08,437500,442000,415500,421500,256012,107909058000,-4.4218,36314,47235,-81866,-10782,-20686,-14845,-13385,-291,-19791,-1681,-2,-2086
2016-07-11,420000,427500,413500,421500,188207,79329250500,0.0,1330,40186,-41596,-24954,-24152,165,-3532,-316,12388,25,55,-1195
2016-07-12,422000,424500,420000,423500,76123,32238090500,0.4745,-4080,26371,-23540,-14354,-9504,-1713,879,-7,2080,39,1210,-921
2016-07-13,423500,429500,422500,426000,108332,46149432000,0.5903,-4982,39348,-34270,927,-11583,-7390,-1430,76,-12268,-107,11,-2602
2016-07-14,426000,427500,420500,424000,81498,34555152000,-0.4695,1245,9530,-10704,5975,-14193,-874,538,-22,-2128,30,-101,0
2016-07-15,427000,429000,420000,424000,70417,29856808000,0.0,2392,25421,-27961,-8344,-8616,-6945,210,72,-3603,93,55,-735
2016-07-18,424500,427000,420000,423000,65878,27866394000,-0.2358,16129,-5732,-10474,-7457,-5785,-378,2002,-119,1505,100,-23,-242
2016-07-19,424000,425000,418500,420000,76916,32304720000,-0.7092,18179,24743,-44435,-7918,-13995,-10441,-3712,-724,-8147,1542,-29,502
2016-07-20,417500,422000,416000,422000,86357,36442654000,0.4762,3022,44973,-48166,-5127,-5467,-21108,-8673,0,-7589,143,28,-202
2016-07-21,420500,421000,410000,413000,164554,67960802000,-2.1327,36909,5493,-41985,-8436,-12665,-11580,-7948,-1446,602,-503,86,-512
2016-07-22,414500,418000,410000,414500,131494,54504263000,0.3632,235,57791,-58026,-10403,-12747,-33624,-5409,68,4089,0,0,0
2016-07-25,416000,417500,401000,403500,164199,66254296500,-2.6538,31068,32743,-64801,-44877,-8347,-15098,-15031,-96,20084,815,175,-1436
2016-07-26,405000,410500,402000,406500,90319,36714673500,0.7435,8878,44168,-53509,-40830,-8021,-200,-9667,0,6627,435,28,-1418
2016-07-27,408500,408500,389000,400500,311584,124789392000,-1.476,34239,99899,-131399,-47739,-35003,-24680,-19783,-106,-3658,-3747,1008,-430
2016-07-28,400000,402000,394500,400000,164224,65689600000,-0.1248,11083,18997,-30218,-16921,-472,-2351,-7933,0,-1646,835,-697,-895
2016-07-29,401500,401500,380000,388000,351338,136319144000,-3.0,37315,121391,-159057,-73061,-31469,-9211,-21927,-454,-22361,271,80,-574
2016-08-01,384500,384500,373500,380000,395967,150467460000,-2.0619,35469,66522,-102456,-72424,-42976,10263,-27708,-2424,33344,397,68,-531
2016-08-02,380000,386000,375500,379500,266858,101272611000,-0.1316,24628,16981,-42287,-31394,-8498,3910,-5050,0,-1280,447,231,25
2016-08-03,371500,378000,364000,369000,265676,98034444000,-2.7668,46038,-8645,-37612,-16475,-2886,418,-18273,-3,-393,93,126,0
2016-08-04,369000,377000,368500,373000,178215,66474195000,1.084,-4763,35880,-31334,-6591,-13426,-7559,5129,-5,-8882,79,138,0
2016-08-05,373000,373000,359500,363000,380494,138119322000,-2.681,13173,149851,-162749,-63373,-75230,7378,-19878,-96,-11305,-499,224,-245
2016-08-08,365000,380000,360000,379500,344886,130884237000,4.5455,-27633,46626,-18544,-43578,-2793,18008,2568,106,7505,-184,-265,-360
2016-08-09,383500,389000,373000,377000,215975,81422575000,-0.6588,26027,28071,-54206,-32769,-18129,4686,-7255,-1537,1334,-126,234,-536
2016-08-10,378500,396000,378500,394500,306998,121110711000,4.6419,-80551,115793,-28917,-15678,-9258,5896,-10001,-141,945,-6250,-75,-680
2016-08-11,398000,398500,386500,396500,134655,53390707500,0.507,12778,-160,-12582,-3,-8284,-4393,-8317,-33,8233,-53,17,215
2016-08-12,396500,396500,387500,389000,141749,55140361000,-1.8916,27847,17290,-44948,-26607,-15825,-7155,-6427,-260,11933,-181,-8,-607
2016-08-16,390000,395000,389000,389000,98027,38132503000,0.0,-11472,3216,8191,4717,-9864,5331,1370,0,6637,97,-32,0
2016-08-17,392000,396500,387000,391000,92932,36336412000,0.5141,-4757,618,3834,-3062,-986,1802,-1101,0,7181,336,-31,0
2016-08-18,394000,395500,383000,384000,101953,39149952000,-1.7903,6341,16617,-22272,-17328,-1357,8162,-2244,-1906,-7531,-659,-27,-68
2016-08-19,381000,384500,373000,375000,155191,58196625000,-2.3438,34296,-5836,-29343,-16472,-4510,8109,-3286,-506,-13025,857,26,347
2016-08-22,375500,380500,372000,377000,88321,33297017000,0.5333,1579,22479,-24170,-4036,-6081,-282,-739,1,-13033,9,103,0
2016-08-23,375000,390000,375000,387500,135734,52596925000,2.7851,-14634,22968,-8355,-2099,-12523,7281,903,130,-2138,21,0,91
2016-08-24,394000,394000,384500,384500,101438,39002911000,-0.7742,9077,-442,-8921,-275,-8020,6848,-3491,0,-3983,500,-214,0
2016-08-25,389000,389000,376000,377000,114578,43195906000,-1.9506,27695,-25379,-2275,5010,-11602,-8685,-6062,27,19178,-58,17,-141
2016-08-26,380500,385000,375000,381000,99235,37808535000,1.061,-12669,-5068,17729,12882,-4103,-1179,3940,-60,6249,-9,17,0
2016-08-29,384000,390000,382500,387000,114079,44148573000,1.5748,-26226,7869,18600,5445,-1184,14546,-2994,43,2744,-213,-30,0
2016-08-30,389000,391500,384000,388000,90985,35302180000,0.2584,-8194,7340,1182,-4123,-2639,9221,-4998,20,4735,-309,-19,-1034
2016-08-31,389500,390000,384000,386000,122939,47454454000,-0.5155,-2793,4208,-1418,1072,-1848,83,-832,-3,110,0,3,0
2016-09-01,388000,395500,388000,395500,157740,62386170000,2.4611,-44756,22306,21395,15788,5180,-979,4101,-199,-2813,1072,-17,317
2016-09-02,399500,407500,398500,406000,153804,62444424000,2.6549,-51544,32080,19344,7255,-3004,14117,4395,546,-4725,273,-153,760
2016-09-05,410000,412000,394000,396000,127978,50679288000,-2.4631,20534,-27066,5428,5866,-10327,4207,-5496,131,13152,1073,31,-2105
2016-09-06,399500,400500,396500,398000,71612,28501576000,0.5051,12,17608,-18226,1095,-4418,1006,-7961,94,-5697,611,-5,-2345
2016-09-07,397000,400500,390000,391000,80392,31433272000,-1.7588,6275,2987,-6977,-3692,-9601,2914,-4960,312,8458,-2258,-27,-408
2016-09-08,390000,399000,389000,399000,111682,44561118000,2.046,-12495,16832,-3168,-869,-6743,3865,-889,0,3934,-1122,-47,-2466
2016-09-09,396500,396500,388000,390000,57117,22275630000,-2.2556,16965,127,-17304,935,-4128,-705,-2479,0,-10883,200,12,-44
2016-09-12,393500,393500,382500,383500,81926,31418621000,-1.6667,13748,3759,-17145,1954,-19594,-6147,3644,133,2985,-395,33,-120
2016-09-13,383000,386000,377500,378000,106986,40440708000,-1.4342,26121,15915,-43179,2624,-11339,-8097,557,93,-27064,1118,25,47
2016-09-19,385000,390000,380000,389000,124466,48417274000,2.9101,-12140,38212,-26192,1880,-5170,5253,-9046,0,-19109,120,0,0
2016-09-20,385000,391000,382500,390000,99564,38829960000,0.2571,349,12317,-12611,2575,-2467,466,-2219,0,-10966,-25,-30,0
2016-09-21,384500,389000,383500,386000,98676,38088936000,-1.0256,9594,2611,-12961,-3948,-2295,156,41,0,-6915,750,6,0
2016-09-22,393500,395500,390000,394000,87511,34479334000,2.0725,-20090,21722,-1148,-4704,-6637,200,-3988,-441,14395,-211,-273,27
2016-09-23,399000,399000,395000,399000,72563,28952637000,1.269,-28551,25619,4851,3773,-3480,2904,-2531,-29,4214,-1250,-669,0
2016-09-26,402000,406500,396000,399000,93865,37452135000,0.0,-21450,45887,-24398,19,-2350,-22437,-969,0,1339,-50,11,0
2016-09-27,389000,403000,385000,400000,107817,43126800000,0.2506,-25236,22931,2665,8663,-11489,917,962,-52,3914,-278,-82,-250
2016-09-28,397000,400000,395500,396000,58512,23170752000,-1.0,-1026,6157,-4796,16,-4856,789,-1439,-146,1681,-324,-11,-841
2016-09-29,396000,399000,389000,390000,89536,34919040000,-1.5152,16720,12762,-25083,-6369,-11264,-3333,-7620,-218,4512,-4434,35,-791
2016-09-30,385500,392500,385000,389000,88624,34474736000,-0.2564,3431,-3951,458,2794,-7397,943,1820,-299,2715,62,0,-118
2016-10-04,394000,395000,392000,394500,74963,29572903500,1.4139,-1249,-7972,8962,2481,246,2535,4775,227,-877,261,-2,-425
2016-10-05,389500,393000,388500,389000,70994,27616666000,-1.3942,14418,-2386,-10921,1745,-8436,-1587,1091,329,-4237,-1113,2,174
2016-10-06,385500,389000,378000,381000,133928,51026568000,-2.0566,44857,34611,-82061,-14433,-18914,-5397,-27416,-157,-15681,2705,-112,-63
2016-10-07,380000,381000,358000,359500,248561,89357679500,-5.643,103207,-2948,-101856,-28391,-33573,-11268,-21136,-301,-6766,1159,438,-421
2016-10-10,365000,371500,364500,367000,188495,69177665000,2.0862,8593,11392,-20030,-11444,-11168,-5957,-9905,-50,18532,88,-43,-38
2016-10-11,368000,372500,368000,371000,186105,69044955000,1.0899,-8964,13741,-4022,-7320,-8314,-5027,-3617,0,20256,-666,-89,0
2016-10-12,373500,374500,369000,371000,144037,53437727000,0.0,13351,-1011,-11277,-19666,-5482,-4549,-5140,-496,24773,-1063,0,-717
2016-10-13,368000,373500,366500,373500,153881,57474553500,0.6739,-3453,40053,-37526,-2843,-4611,-5732,741,0,-25081,877,49,0
2016-10-14,374500,375000,367000,368000,118947,43772496000,-1.4726,23108,40882,-64406,-18635,-13701,-6115,-21030,-75,-4618,665,-249,-232
2016-10-17,371500,373500,367000,370000,98864,36579680000,0.5435,-2118,27610,-25491,310,-4232,510,-7410,0,-14669,0,-1,0
2016-10-18,370000,372500,368500,372000,118212,43974864000,0.5405,-12333,32922,-20587,-5577,-7161,206,-2714,0,-5341,0,-2,0
2016-10-19,370000,372500,366500,370500,127290,47160945000,-0.4032,7313,53134,-61307,-12771,-3784,-14998,-4450,0,-25304,860,0,0
2016-10-20,368500,370500,367500,370500,74483,27595951500,0.0,-576,23380,-23040,2150,-7464,-11824,-8441,-2,2541,443,-207,0
2016-10-21,372000,375000,370000,370000,57115,21132550000,-0.135,-2646,20440,-17797,-1068,-4169,-2699,-6342,-50,-3469,3,0,0
2016-10-24,370000,374000,370000,372000,71470,26586840000,0.5405,-8751,13000,-4314,-1202,-3118,-740,-4857,39,5564,144,-79,0
2016-10-25,350000,356000,331000,345500,762672,263503176000,-7.1237,111417,12301,-121769,-41065,-46987,-4819,-43884,-331,16692,-2352,403,-1375
2016-10-26,341000,358000,341000,357000,365415,130453155000,3.3285,-39682,64371,-24963,-3529,-16938,1975,-2957,-408,-3073,319,-45,-33
2016-10-27,363000,368000,360500,364000,133231,48496084000,1.9608,-30724,44457,-13678,7999,-2033,431,-4756,-12,-15307,-6,-49,0
2016-10-28,360500,367000,360000,360000,77192,27789120000,-1.0989,3059,13565,-16993,135,-3686,-5498,-4575,-1,-3241,366,3,-127
2016-10-31,358000,363000,355000,359000,143215,51414185000,-0.2778,-1493,33947,-32546,-11897,-8102,-7969,-3159,-10,-1054,86,6,-355
2016-11-01,350000,362000,339000,360500,305825,110249912500,0.4178,2887,27725,-30653,-7171,-7695,-4546,-3579,75,-6677,193,-152,-1060
2016-11-02,360000,360000,350000,350000,231247,80936450000,-2.9126,2183,59998,-62293,-25974,-25539,-6523,-5209,14,1567,116,-4,-629
2016-11-03,349000,359500,348000,357000,130421,46560297000,2.0,-9152,-7943,17057,-1043,1760,1017,3517,140,11640,6,32,26
2016-11-04,358000,361000,353500,357500,166192,59413640000,0.1401,-4652,-14724,19316,7529,2412,4836,3387,1240,-114,26,34,26
2016-11-07,365000,365000,354000,357500,89461,31982307500,0.0,3373,-8582,5274,-2902,-2627,214,157,-1,10456,-70,5,-23
