date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,6112,6191,5985,6025,1223175,7369629375,-1.1323,67533,-163977,72353,30170,31484,1667,1683,0,7349,24118,-27,0
2016-05-27,6005,6093,5956,5996,939063,5630621748,-0.4813,-16440,-42454,59898,43283,3351,2875,5321,-20000,25068,-1004,0,0
2016-05-30,6006,6035,5742,5850,1136279,6647232150,-2.435,-69183,-50481,110929,16846,-10663,0,87342,1088,-449,8735,0,16765
2016-05-31,5878,6152,5839,6152,1278892,7867743584,5.1624,-281883,211700,50096,-7271,-5011,-2679,111326,-20000,-26269,-27,20114,0
2016-06-01,6200,6435,6024,6025,3309771,19941370275,-2.0644,21647,-88937,65726,-543,35058,-6488,-6463,0,36162,-4390,5954,8000
2016-06-02,6054,6230,5986,6113,1335153,8161790289,1.4606,-110387,20529,73370,130504,1505,0,-26424,-20000,-12215,12361,4127,0
2016-06-03,6181,6181,6005,6123,756961,4634872203,0.1636,57234,-106015,52596,84603,-8103,-7909,-6075,0,-9920,-4260,445,0
2016-06-07,6152,6532,6142,6279,2831806,17780909874,2.5478,-30926,8232,22557,9538,-16302,-13642,6827,0,36136,-347,484,0
2016-06-08,6308,6308,6025,6084,1279972,7787349648,-3.1056,98940,17623,-112367,-56664,-35757,-25725,1715,-8943,13007,-2399,-1797,0
2016-06-09,6055,6084,5859,5977,1551688,9274439176,-1.7587,-20570,53350,-34151,137537,-79259,-39915,34385,0,-86899,1075,296,0
2016-06-10,5976,6015,5761,5791,1209615,7004880465,-3.1119,-72469,47438,27458,-5110,-8086,233,10201,0,30220,-2636,209,0
2016-06-13,5761,5859,5663,5693,759322,4322820146,-1.6923,-33500,7870,27877,14507,5896,858,1428,0,5188,-939,-1308,0
2016-06-14,5693,5830,5625,5752,922218,5304597936,1.0364,106431,-134375,7568,72416,-61559,-20410,29368,0,-12247,20489,-113,0
2016-06-15,5674,5967,5674,5889,944747,5563615083,2.3818,-175264,115393,61759,14914,11143,3060,16095,0,-13453,-1896,8,30000
2016-06-16,5956,6015,5634,5703,1050873,5993128719,-3.1584,137860,-140212,9063,17830,597,-9901,5453,0,-41916,-6806,95,37000
2016-06-17,5771,5986,5712,5830,934040,5445453200,2.2269,-169531,57537,105826,81654,18247,3119,1441,-1000,2365,6172,-4,0
