date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,150051,153987,148084,149068,382001,56944125068,0.6645,-73860,-28456,103273,27739,34140,17663,9392,429,15185,-1647,690,-1275
2016-05-26,150544,153987,149560,153496,237248,36416619008,2.9705,-63926,-4701,73029,39047,15252,11007,2307,953,4657,-4450,48,-194
2016-05-27,153988,161859,153496,159892,565873,90478565716,4.1669,-198534,12311,184282,118167,13130,20927,58544,-2454,-28674,2021,-80,4642
2016-05-30,160384,163335,156940,161860,267107,43233939020,1.2308,-63023,-1086,65637,20976,3060,28213,10111,-4,3249,-1475,-53,32
2016-05-31,160384,161367,158908,160876,368740,59321416240,-0.6079,-3677,-10285,13820,266,-2841,3995,-7606,1199,16300,112,30,2507
2016-06-01,159399,161367,154480,154972,229914,35630232408,-3.6699,57842,5208,-65051,-7339,-3404,-19715,-9962,-880,-24218,1994,7,467
2016-06-02,154480,157431,154480,154480,159524,24643267520,-0.3175,14259,18816,-30672,-9666,-2056,-5814,-804,-2397,-9121,-2414,11,-814
2016-06-03,154971,155463,151528,153496,191349,29371306104,-0.637,-79,-3830,4064,-8090,-5528,-5285,-3385,6240,20112,-156,1,0
2016-06-07,158416,159891,156448,159400,240248,38295531200,3.8464,-52144,-736,52214,1024,2077,4992,10159,727,33235,686,-20,0
2016-06-08,160875,161859,154972,157432,287343,45236983176,-1.2346,37664,-25150,-11822,-23310,-23839,1893,9603,-366,24137,-467,-225,60
2016-06-09,158907,158907,152512,152512,425361,64872656832,-3.1252,86721,-40116,-44645,-8518,-39835,-3620,-5047,1176,15430,-1793,-167,-4231
2016-06-10,153004,155463,151528,154480,195213,30156504240,1.2904,-35067,23374,11573,8212,-12256,-10076,-14206,-6449,47881,117,3,-1533
2016-06-13,151527,152511,148576,149560,202375,30267205000,-3.1849,56303,22617,-76427,-28378,-13777,-9516,-19282,-217,-5257,-362,-2131,0
2016-06-14,149068,150543,148084,149068,159780,23818085040,-0.329,17352,-27881,10812,27803,-1116,174,-2346,1532,-15235,30,-313,0
2016-06-15,148575,149067,142672,143656,399070,57328799920,-3.6306,89042,14246,-102451,-21698,-5339,-48632,-13694,1661,-15749,179,-1016,1000
2016-06-16,144640,146115,142672,144640,254292,36780794880,0.685,-4080,74738,-70334,-51790,-6804,-218,6317,-1281,-16558,-335,11,0
2016-06-17,146608,146608,139721,140213,357310,50099507030,-3.0607,68806,15950,-85658,-45857,-3125,-7320,-30841,-849,1944,935,-33,390
2016-06-20,142180,143164,137261,140705,404321,56889986305,0.3509,45463,-3040,-41987,-39597,6449,1115,-6786,-1449,-7795,-119,-317,6076
2016-06-21,142180,143164,135785,136277,463761,63199957797,-3.147,124204,-32765,-90128,-59256,-57280,21329,-24254,1768,26723,-1456,145,842
2016-06-22,136768,145131,136276,143656,1071919,153987595864,5.4147,-109864,36842,64454,7118,10931,17385,13258,-1912,20116,8342,226,-2442
2016-06-23,141689,143164,139721,142673,231077,32968448821,-0.6843,-3373,-35323,38577,4179,-5770,15481,2367,212,22108,119,0,0
2016-06-24,145624,145624,134309,136277,662999,90351514723,-4.483,71274,-119048,48188,36775,13572,7594,1286,563,-11719,-584,170,117
2016-06-27,132341,138244,128897,136277,492463,67111380251,0.0,-35946,-22913,56841,-41103,34621,62954,-17894,4682,11271,2036,-18,2310
2016-06-28,134801,139228,133325,138737,380226,52751414562,1.8051,-17091,20285,-5499,2917,-1749,-2479,-14838,10465,145,2305,0,40
2016-06-29,140212,141196,137261,138737,246613,34214347781,0.0,35783,-39699,3977,-5459,13061,-922,2585,5171,-10459,-73,12,0
2016-06-30,141688,141688,136277,138245,245469,33934861905,-0.3546,60945,2127,-63348,-32444,-6260,-3374,-8849,167,-12538,274,2,-50
2016-07-01,138736,139720,136277,137261,236956,32524817516,-0.7118,50201,30442,-80066,-31821,-1569,-2777,-30627,390,-9581,326,-903,-4081
2016-07-04,139228,144640,138244,144640,491792,71132794880,5.3759,-89467,-11541,100258,18766,31287,28524,3793,4141,12406,2753,-2003,1341
2016-07-05,144640,146608,140705,141197,306541,43282669577,-2.3804,102320,-75428,-25202,-22404,12570,-2446,101,-170,-14054,-1723,33,1201
2016-07-06,139720,142672,137261,138245,347997,48108845265,-2.0907,52044,-16344,-34317,-16258,-12534,-2441,-13420,102,9865,-1387,4,369
2016-07-07,139228,140212,137261,137261,234711,32216666571,-0.7118,30310,-59214,30858,7338,3930,-203,408,169,17516,-1935,-19,1700
2016-07-08,136768,137260,133817,134309,342989,46066509601,-2.1506,61283,-8569,-52989,-19598,-8828,2257,-8611,-80,-21929,265,10,3800
2016-07-11,135293,137260,133325,136277,289253,39418531081,1.4653,-9986,-17482,27198,3324,-4694,-329,-2785,800,33009,269,1,-2127
2016-07-12,136276,137260,134309,135785,275785,37447466225,-0.361,41756,-28239,-20023,-7923,-8053,-14552,3232,2000,9388,2654,3852,-4115
2016-07-13,139229,142180,138245,140705,518017,72887581985,3.6234,-65703,71767,-5336,20481,15010,-337,6574,-2150,-43732,-708,-20,-1182
2016-07-14,139228,144640,138244,144640,479816,69400586240,2.7966,-120758,26826,93021,15957,30895,2523,22334,-178,20490,802,109,1000
2016-07-15,145131,147591,143164,144640,374927,54229441280,0.0,-27516,56563,-29656,5995,6222,-2686,-1470,-3159,-32233,629,-20,-2325
2016-07-18,145131,146607,143656,144640,313640,45364889600,0.0,-11298,13155,-2799,9819,-6018,-1696,6349,31,-11284,169,773,0
2016-07-19,145131,145131,140704,143656,286648,41178705088,-0.6803,-15368,7719,7407,47568,-11227,-4321,-3267,-8,-21338,25,217,0
2016-07-20,143656,146115,143164,144640,256108,37043461120,0.685,-12199,52502,-40720,-16208,-9602,-2208,-2298,-15,-10389,420,-3,0
2016-07-21,145132,145132,141689,142181,155118,22054832358,-1.7001,12723,-6471,-3703,16947,-9305,-7704,-2746,716,-111,-2551,2,-1500
2016-07-22,140704,147592,140704,147592,274978,40584552976,3.8057,-86790,57700,23005,14660,-3098,1006,3078,-2075,7796,6096,-11,1638
2016-07-25,148084,149067,146116,148084,307115,45478817660,0.3334,-82855,89102,-6843,6121,-9929,302,2250,-2183,-4647,570,26,1243
2016-07-26,147100,149067,144148,147592,356898,52675289616,-0.3322,-1140,76343,-75047,-27420,-17822,-11884,-9573,-2500,-2846,66,-222,-3002
2016-07-27,148083,148083,144148,145624,280082,40786661168,-1.3334,54696,-8971,-41948,6199,-45517,1540,-3184,-243,-1047,-3725,-52,304
