date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,387000,394000,383500,387500,22729,8807487500,-0.8951,-5,416,14,-3109,-1562,363,-139,0,4461,-414,-11,0
2016-05-27,390000,390000,383000,385500,18509,7135219500,-0.5161,-334,2053,-1717,1845,-3290,1404,-1598,0,-78,8,-10,0
2016-05-30,384000,387500,379500,386500,22031,8514981500,0.2594,-1678,5707,-3997,-3673,-1037,1104,178,100,-669,-32,0,0
2016-05-31,383500,386000,381000,382500,51998,19889235000,-1.0349,2192,8378,-12304,-7298,1025,248,-4880,0,-1399,1734,0,0
2016-06-01,382000,387500,381000,384000,24388,9364992000,0.3922,-3964,3166,842,838,-1898,6487,-1748,150,-2987,-17,-27,0
2016-06-02,383000,384500,378500,380000,30266,11501080000,-1.0417,1906,4116,-6088,-6147,-579,412,-4961,2450,2737,48,18,0
2016-06-03,380000,382500,377500,380000,20906,7944280000,0.0,64,2946,-3795,-426,-136,8,-3941,-665,1365,863,-78,0
2016-06-07,382500,383000,376500,379000,37338,14151102000,-0.2632,2639,6731,-9480,-3335,-1503,-789,-8820,1300,3667,207,-97,0
2016-06-08,378500,385000,376500,383500,34222,13124137000,1.1873,-4467,8976,-4352,-1183,-1186,3028,-3863,0,-1148,3,-160,0
2016-06-09,380500,382500,377500,378000,50016,18906048000,-1.4342,4828,10274,-15075,-3051,-13711,759,-2750,1399,2279,-40,13,0
2016-06-10,378000,381500,376500,380500,23628,8990454000,0.6614,-1349,5654,-4372,-333,-5435,-2546,-663,-1,4606,66,1,0
2016-06-13,380000,380500,370500,373000,28797,10741281000,-1.9711,3466,2763,-6158,-4116,-4654,-1553,-1980,2600,3545,-132,61,0
2016-06-14,372500,374500,363500,367000,48692,17869964000,-1.6086,2700,9195,-8762,-399,232,-395,-5468,50,-2979,-2397,-736,197
2016-06-15,362500,366000,362500,364500,27792,10130184000,-0.6812,3233,3023,-4613,578,-1214,-1139,-1256,-2,-1542,-1508,-135,-38
2016-06-16,364500,367000,359000,361500,30195,10915492500,-0.823,4729,4067,-8939,-985,-1667,-2160,-2077,37,-2087,148,-5,0
2016-06-17,363000,368000,361500,365000,25758,9401670000,0.9682,2789,14,-2734,475,-3689,-498,191,-447,965,-56,-13,269
2016-06-20,370000,380500,364000,379000,61066,23144014000,3.8356,-1907,1050,1418,1166,4148,1670,-604,50,-5279,-401,-160,267
2016-06-21,381000,393000,375500,381500,78241,29848941500,0.6596,19309,-22340,-2727,-2579,-4073,1353,-2211,48,4182,5531,227,553
2016-06-22,380500,394000,380000,391000,60622,23703202000,2.4902,-15421,5211,12252,2358,-2170,5555,7852,82,-1506,-1973,-69,81
2016-06-23,390500,394500,385500,390000,39885,15555150000,-0.2558,-2982,-7743,8756,4956,-348,-944,3104,38,437,1970,-1,1513
2016-06-24,386000,398000,373500,385000,91367,35176295000,-1.2821,-29695,13119,18391,6544,913,-4785,3267,-374,12287,-1838,23,539
2016-06-27,381000,391000,375000,391000,37785,14773935000,1.5584,-9678,-373,10525,661,6148,1275,-1387,117,2486,-400,-74,1225
2016-06-28,384500,393000,384500,391000,29445,11512995000,0.0,359,-3513,3300,1965,3257,843,294,142,-3222,-146,0,21
