date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,30100,30500,29800,30250,85942,2599745500,0.8333,-26669,14245,12672,3949,-138,2776,3005,0,3080,-414,166,0
2016-05-27,30250,31050,30250,30850,178240,5498704000,1.9835,-36792,65742,-29135,-15967,-29524,15527,1470,-23050,22409,52,133,0
2016-05-30,31500,31800,29800,29950,241110,7221244500,-2.9173,83958,-39475,-42867,1480,-40846,-3141,-1425,-2823,4830,-1766,150,-942
2016-05-31,29950,30150,29150,29850,150446,4490813100,-0.3339,-2894,27871,-24977,10001,-26423,1624,-5378,0,-4801,0,0,0
2016-06-01,29850,30200,29150,29400,130939,3849606600,-1.5075,45946,8044,-53100,-13926,-1873,-3799,-22731,0,-8778,-756,-134,-1993
2016-06-02,29400,29750,29250,29350,89135,2616112250,-0.1701,-697,28557,-28431,-11929,-7335,-1465,-8953,0,1251,500,71,0
2016-06-03,29300,29600,28700,28950,124966,3617765700,-1.3629,41557,31741,-73231,-22024,-30932,-5958,-13338,0,-979,-140,73,0
2016-06-07,29100,30000,29100,29900,157250,4701775000,3.2815,-76960,28036,49075,27961,5165,7229,-2705,0,8562,-151,0,2863
2016-06-08,29900,30250,29100,30200,139230,4204746000,1.0033,-46138,39717,3951,2579,-3152,-1639,-2379,0,6042,2460,10,2500
2016-06-09,30150,30300,29500,29500,134976,3981792000,-2.3179,-3765,15329,-13421,10360,-12536,-4046,294,0,-6806,1857,0,-687
2016-06-10,29500,30350,29450,30100,114389,3443108900,2.0339,-24646,27582,-3301,-10558,-24221,5099,-1769,0,28148,365,0,0
2016-06-13,29800,30350,29150,30100,113484,3415868400,0.0,-28471,11209,17233,6195,850,4050,-1724,-867,6729,29,0,2000
2016-06-14,30100,30100,28500,29050,242406,7041894300,-3.4884,86051,-44002,-42219,-3570,112,-4795,-11877,-168,-18618,231,-61,-3303
2016-06-15,28650,29400,28600,29300,79128,2318450400,0.8606,-23786,29875,-6296,288,3147,-3456,4445,0,-10720,1,206,0
2016-06-16,29350,29900,28850,28950,77549,2245043550,-1.1945,-10919,8796,2272,7245,2957,72,-2703,0,-5289,-128,-21,-10
2016-06-17,29850,29850,28500,28650,131634,3771314100,-1.0363,48001,-84,-48091,-10670,-26762,-3428,-10072,0,2841,174,0,0
2016-06-20,29000,29450,28850,29250,64301,1880804250,2.0942,-18754,31281,-12377,-10640,1815,3707,-1950,0,-5309,0,-150,0
2016-06-21,29400,30100,29100,29900,137389,4107931100,2.2222,-48937,24983,23959,15232,7380,-180,3498,0,-1971,-4,-1,0
2016-06-22,29900,30450,29750,30350,118701,3602575350,1.505,-43224,-5038,49447,10491,2960,0,32296,0,3700,-1001,-184,0
2016-06-23,30200,30500,29950,30350,113860,3455651000,0.0,-63956,-3440,67397,26720,11153,0,26021,0,3503,-1,0,0
2016-06-24,30500,31050,29050,29350,316051,9276096850,-3.2949,-53741,83521,-27443,-8518,1871,-4862,6318,-11754,-7998,-2349,12,-2500
2016-06-27,28900,29250,28650,29250,129953,3801125250,-0.3407,-14377,179,15825,4170,4595,823,1467,0,4770,-1927,300,0
2016-06-28,28800,29300,28800,29150,66832,1948152800,-0.3419,9635,2167,-12039,5696,-12278,0,-6350,0,893,237,0,0
2016-06-29,29300,29900,29250,29800,127953,3812999400,2.2298,8548,2175,-10213,-10788,2080,3371,-2144,0,-2732,-500,-10,0
2016-06-30,30000,30100,28950,29150,127238,3708987700,-2.1812,46281,-20326,-26956,4784,-11745,460,-12649,236,-8042,1000,1,0
2016-07-01,29350,30200,29300,30000,140359,4210770000,2.916,-64664,61562,2847,1591,-12433,-1011,8707,0,5993,333,-78,0
2016-07-04,30200,30450,29350,29700,138581,4115855700,-1.0,58083,32555,-85617,-7674,-26368,-2872,-47119,0,-1584,-5041,20,0
2016-07-05,29850,30100,29550,29700,91227,2709441900,0.0,13565,17696,-31389,-1027,1906,-4734,3265,0,-29299,128,0,-1500
2016-07-06,29850,29850,28900,29150,115495,3366679250,-1.8519,26370,-26471,162,-5601,5371,3060,1731,0,-4399,0,-61,0
2016-07-07,29400,29850,29350,29850,99781,2978462850,2.4014,-53887,59395,-5406,4182,-1785,-475,-2341,0,-4987,0,-102,0
2016-07-08,29500,29850,29400,29650,39648,1175563200,-0.67,-2292,7727,-5432,-8105,2910,708,-1429,0,484,-3,0,0
2016-07-11,29950,30250,29900,30250,126854,3837333500,2.0236,-41545,46631,-6114,-1804,6607,4561,-21351,0,5873,1028,0,0
2016-07-12,30400,30900,29950,30900,198858,6144712200,2.1488,-52499,31131,38497,463,7701,23351,-5332,-661,12975,276,-17405,0
2016-07-13,31100,32000,31100,31800,430446,13688182800,2.9126,-147266,96210,51910,13319,21707,25698,-13914,-25464,25457,-834,-20,5107
2016-07-14,31950,32050,31050,31550,113964,3595564200,-0.7862,-7369,-16759,24258,-3068,-1184,12259,12686,-10000,13565,-130,0,0
