date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,34550,34550,33750,33900,423674,14362548600,-0.7321,-18787,-86481,105231,33516,17207,14712,11445,-1000,29351,-8,45,0
2016-05-27,34000,34400,33650,33650,770653,25932473450,-0.7375,15728,-100109,84283,11045,-2903,15770,-8005,0,68376,-4,102,0
2016-05-30,33400,33650,32700,33350,860223,28688437050,-0.8915,80495,-279191,198664,39108,84126,7981,-1226,2387,66304,20,12,-16
2016-05-31,33050,34350,33000,34100,1647794,56189775400,2.2489,-142748,-128181,268572,41599,209327,13759,47170,0,-43283,1162,1195,0
2016-06-01,33950,34350,33550,33800,818892,27678549600,-0.8798,-5916,99518,-93723,-32267,105684,14543,-43229,-420,-109029,93,28,-29005
2016-06-02,33850,34350,33450,33900,669095,22682320500,0.2959,-76235,-57686,138720,12928,136357,-1328,21530,0,-30767,-7,-4792,0
2016-06-03,33650,34050,33650,33800,585101,19776413800,-0.295,-13641,-296961,310476,-2457,-9200,606,66117,0,255410,-2,128,0
2016-06-07,33850,34150,33650,33750,844460,28500525000,-0.1479,18552,-163257,147277,10461,-43929,-17574,-10889,0,209556,-1023,-1549,-348
2016-06-08,33550,34650,33550,34650,983384,34074255600,2.6667,-261603,1817,262498,-37830,119183,33198,-5339,-1440,158181,-7,-2705,-3455
2016-06-09,34450,35900,34400,35500,1612991,57261180500,2.4531,-486899,309453,193628,-30804,-89240,3270,59350,615,294768,-11446,-4736,-44331
2016-06-10,35250,35600,34950,35000,944779,33067265000,-1.4085,-97932,-126584,226572,-86327,68148,-5325,-43414,-51,293541,-1976,-80,0
2016-06-13,34550,34900,33900,34200,736233,25179168600,-2.2857,42393,-312120,268252,20015,97235,-23070,-31259,0,205331,1469,6,0
2016-06-14,33900,34600,33850,34150,709937,24244348550,-0.1462,-29324,-63222,95508,28430,76278,-215,-7340,0,-1645,-1483,-1479,0
2016-06-15,33900,34050,33100,33100,825968,27339540800,-3.0747,228806,-308547,81819,-1169,83628,-21094,-23810,0,34264,1000,-3078,10000
2016-06-16,33250,33550,33000,33250,477281,15869593250,0.4532,9534,39366,-48510,10534,-11686,15723,-21457,-398,-41226,-56,-334,0
2016-06-17,33400,33800,33150,33250,622811,20708465750,0.0,144470,-181372,38346,7319,-10275,-10357,-38253,-28530,116984,-1205,-239,1458
2016-06-20,34000,34500,33700,34300,535612,18371491600,3.1579,-161642,2173,160690,4939,18641,31010,25281,0,73986,-1101,-120,6833
2016-06-21,33850,34150,33500,33600,461274,15498806400,-2.0408,106401,-251104,145029,15181,37611,-25514,2671,-318,112716,-359,33,2682
