date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,42050,42750,41800,42150,125221,5278065150,-0.2367,16010,-20672,4594,14847,-12197,515,-5087,-56,6572,41,27,0
2016-05-27,42800,43500,42150,42350,160086,6779642100,0.4745,37426,-17031,-20924,-14207,-6243,-3707,-293,0,3527,547,-18,-1
2016-05-30,42700,42700,41850,41900,129359,5420142100,-1.0626,21873,-3925,-18059,3318,-3815,-22733,4840,-34,389,86,25,-24
2016-05-31,41300,42100,41000,41950,201256,8442689200,0.1193,-26367,3644,25231,10161,26511,-13844,4887,0,-2079,-2262,-246,-405
2016-06-01,41600,42250,41600,41900,76609,3209917100,-0.1192,21058,-21787,1728,8200,8649,-127,-6833,-19,-8142,-905,-94,0
2016-06-02,42000,42150,41300,41350,74784,3092318400,-1.3126,9629,-12660,1276,4235,5558,-133,-2672,-101,-5611,1720,35,0
2016-06-03,41250,41950,40850,41000,89046,3650886000,-0.8464,15393,-31114,14914,-844,-86,5450,1789,1050,9772,657,150,-2217
2016-06-07,40600,41650,40600,40950,126635,5185703250,-0.122,5638,876,-6785,-15631,4516,2468,-6567,-99,8528,0,271,0
2016-06-08,40750,40950,39900,40200,286565,11519913000,-1.8315,68808,-38964,-31864,-9088,7273,-17370,-8793,-426,4030,1626,394,-7490
2016-06-09,40600,41750,40250,40600,242234,9834700400,0.995,-16388,36353,-19982,-12097,-10800,-3614,-4113,-429,15089,-71,88,-4018
2016-06-10,40700,41400,40550,41200,147363,6071355600,1.4778,9819,-58229,44715,11928,24816,4548,-12951,-34,16372,3280,415,36
2016-06-13,40600,41550,40300,40650,109797,4463248050,-1.335,13975,-39500,21432,7077,18113,3040,-9646,0,3210,3697,396,-362
2016-06-14,41000,41200,40450,40800,122590,5001672000,0.369,-2876,-15142,16543,3369,4729,3955,3416,1010,29,1155,320,35
2016-06-15,40700,40850,40250,40600,73422,2980933200,-0.4902,2473,-16970,13525,5617,5400,3816,6962,0,-8270,679,293,0
