date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,9015,9560,8991,9419,144577,1361770763,5.8671,-28291,-3270,31561,0,26419,0,5157,0,-15,0,0,0
2016-05-27,9489,9513,9204,9205,83990,773127950,-2.272,18800,-19950,0,0,0,0,0,0,0,1150,0,0
2016-05-30,9252,9963,9228,9751,127524,1243486524,5.9316,-34993,6892,29362,0,27992,0,1370,0,0,-1261,0,0
2016-05-31,9750,9987,9584,9656,101328,978423168,-0.9743,3688,-8168,4980,0,21130,0,1150,0,0,500,-1000,-17300
2016-06-01,9726,10035,9679,10012,73092,731797104,3.6868,-28921,4804,24117,0,21410,0,2707,0,0,0,0,0
2016-06-02,10106,10106,9797,9988,50029,499689652,-0.2397,-1703,-6938,8611,0,4482,0,726,3390,13,0,30,0
2016-06-03,9987,10082,9466,9632,52989,510390048,-3.5643,-2003,2297,306,0,0,0,301,0,5,-750,150,0
2016-06-07,9560,9987,9560,9940,64373,639867620,3.1977,-30476,9332,21324,0,12680,7808,841,0,-5,0,-180,0
2016-06-08,9987,10177,9750,10106,80198,810480988,1.67,679,-12995,11536,11500,0,0,0,0,36,480,300,0
2016-06-09,10129,10129,9703,9822,57910,568792020,-2.8102,8218,-14514,6296,5000,0,0,1389,0,-93,0,0,0
2016-06-10,9774,9869,9679,9846,36400,358394400,0.2443,-340,505,135,0,0,0,245,0,-110,0,-300,0
2016-06-13,9703,9821,9323,9371,69922,655239062,-4.8243,-1597,-6804,8354,0,-463,0,-744,0,9561,47,0,0
2016-06-14,9299,9466,9204,9205,38437,353812585,-1.7714,-2258,2088,-371,0,0,0,11,0,-382,541,0,0
2016-06-15,9181,9418,9157,9348,25994,242991912,1.5535,2270,-2275,3,0,0,0,3,0,0,0,2,0
2016-06-16,9371,9466,9086,9134,32256,294626304,-2.2893,-189,148,41,0,0,0,0,0,41,0,0,0
2016-06-17,9181,9299,9109,9205,23196,213519180,0.7773,3176,-3031,5,0,0,0,1,0,4,-150,0,0
2016-06-20,9252,9584,9228,9490,40999,389080510,3.0961,4855,-2780,-2075,0,0,0,0,0,-2075,0,0,0
2016-06-21,9608,9632,9418,9514,46480,442210720,0.2529,-14464,-2837,16301,1500,17285,0,1107,0,-3591,1000,0,0
2016-06-22,9584,9869,9466,9822,73783,724696626,3.2373,-28470,4215,24936,0,19383,0,1104,0,0,-541,-140,4449
2016-06-23,9774,9797,9537,9537,31276,298279212,-2.9016,3851,-3940,19,0,0,0,0,0,19,0,70,0
2016-06-24,9679,9679,8754,8873,159970,1419413810,-6.9624,-15218,-5332,19979,0,0,-2950,0,0,28044,591,-20,-5115
2016-06-27,8635,9133,8540,8920,66113,589727960,0.5297,-2651,-7904,10755,-400,-2494,-1339,31,0,14957,-200,0,0
2016-06-28,8849,9038,8801,8968,27214,244055152,0.5381,9372,-4261,-5112,0,-3090,-2135,134,0,-21,1,0,0
