date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,28400,29050,28050,28100,118230,3322263000,-1.9197,18488,-43256,26555,1235,823,2257,1174,219,20847,-1787,0,0
2016-05-27,28100,28900,28000,28750,131207,3772201250,2.3132,-16170,-32467,22676,6181,217,1589,4143,222,9653,25961,0,671
2016-05-30,28600,28950,28350,28450,132895,3780862750,-1.0435,11564,-40568,29010,29579,-18672,6799,-1714,79,11419,-6,0,1520
2016-05-31,28500,28600,27950,28200,186573,5261358600,-0.8787,35559,25240,-61300,6922,-11586,6033,-41970,0,-20699,498,3,0
2016-06-01,28050,28550,27950,28000,134795,3774260000,-0.7092,3197,56420,-58019,-18638,12269,2154,-23242,0,-29410,-1763,165,-1152
2016-06-02,27950,28250,26950,27200,423160,11509952000,-2.8571,49890,131967,-181282,858,-58892,-75357,2080,2935,-57332,1074,-1649,4426
2016-06-03,27350,27750,27200,27400,269029,7371394600,0.7353,-26477,116332,-89954,-7562,-323,-10031,-28975,0,-38312,365,-266,-4751
2016-06-07,27750,27750,27150,27450,145700,3999465000,0.1825,7714,48430,-51919,-8140,-7557,-10686,-22674,505,-2207,-4191,-34,-1160
2016-06-08,27450,27650,26950,27450,199151,5466694950,0.0,-22509,45651,-27147,-11799,-13219,6730,-10187,-8518,10218,1918,2087,-372
2016-06-09,27350,27950,27300,27750,220976,6132084000,1.0929,-33481,18398,16751,-19698,14013,18777,-1363,0,5022,-6,-1662,0
2016-06-10,27650,28400,26950,27350,351887,9624109450,-1.4414,-68388,61485,7001,68965,-74658,908,-14860,816,25811,-148,50,19
2016-06-13,27350,27400,25950,26200,362674,9502058800,-4.2048,26627,-31519,4595,15527,-11405,-9506,-5023,2546,12667,297,0,-211
2016-06-14,26300,27250,26250,26650,447914,11936908100,1.7176,-180489,174073,40050,15354,13675,-8108,-6240,0,25369,-33631,-3,0
2016-06-15,26800,27650,26700,26750,286278,7657936500,0.3752,-41155,33142,8376,27948,-3158,2944,-16163,34,-3229,-314,-49,0
2016-06-16,27000,27100,26050,26250,189361,4970726250,-1.8692,12907,13450,-31424,1318,6087,2860,-24024,1189,-28854,5146,-79,10000
2016-06-17,26500,26950,26350,26450,153626,4063407700,0.7619,-31955,-8623,40559,5557,13963,81,5443,7668,11491,55,-36,-3644
