date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,68600,70200,68300,70000,81078,5675460000,1.5965,-24166,13608,13580,-2024,7602,4861,5387,813,-3059,-2924,-98,0
2016-05-27,70300,70600,69200,70000,66495,4654650000,0.0,-1687,-7077,9418,5807,6820,8,1449,0,-5915,-644,-10,1249
2016-05-30,69500,69900,67900,69800,122048,8518950400,-0.2857,4481,-7730,3039,4038,-4871,4172,583,-200,-670,210,0,-13
2016-05-31,69800,69800,68900,69200,51512,3564630400,-0.8596,1077,6247,-7274,-636,-2706,520,-4227,0,-225,-50,0,0
2016-06-01,68600,69300,67200,67500,164557,11107597500,-2.4566,13741,71549,-85964,-31450,-35057,-565,-2800,0,-16092,703,-29,0
2016-06-02,67700,70300,67400,69800,147072,10265625600,3.4074,-41468,63586,-24201,4167,-10884,16043,-6364,-10026,-17137,1703,380,0
2016-06-03,70000,70300,68700,70100,129947,9109284700,0.4298,-41640,60336,-17696,-40530,1206,19983,-704,-25,2374,-923,-77,0
2016-06-07,70900,74600,70700,73600,227117,16715811200,4.9929,-78168,60409,14802,-912,-3115,26341,-10910,0,3360,3104,-147,38
2016-06-08,73600,74400,72900,73800,110624,8164051200,0.2717,-8233,13690,-4493,2623,-3585,-5342,-719,0,2377,-905,-59,153
2016-06-09,73700,78000,73300,76000,249218,18940568000,2.981,-50988,76560,-25373,-4907,-9660,29202,-6315,613,-31806,-78,-121,-2500
2016-06-10,75700,77000,74200,75600,102084,7717550400,-0.5263,-33668,10983,23904,3466,427,4146,-4464,0,20329,-1225,6,0
2016-06-13,74800,76000,74100,74800,71857,5374903600,-1.0582,-12036,-10603,23192,7906,-3055,4112,-1100,0,15283,-539,-14,46
2016-06-14,74200,75500,73200,73700,75822,5588081400,-1.4706,-222,-9015,10748,-1259,9080,9449,-1969,-154,-4399,-1627,116,0
2016-06-15,73400,74100,72200,72600,91683,6656185800,-1.4925,8599,-11925,3169,-541,-1108,1196,-794,-1258,5674,-7,164,0
2016-06-16,72900,76200,72300,73700,156260,11516362000,1.5152,-16972,-8894,25444,9621,24510,1857,-4481,1871,-7913,466,-44,-21
2016-06-17,73900,74600,72600,73300,70443,5163471900,-0.5427,707,-13252,11570,2784,5662,4053,313,-752,-490,1000,-25,0
2016-06-20,74300,75800,73200,73800,63294,4671097200,0.6821,5724,-493,-5322,-5635,2941,-1125,181,0,-1684,33,58,0
2016-06-21,73500,75500,72700,75100,130334,9788083400,1.7615,-21540,-11282,33472,-8896,-916,12183,20114,0,10987,-670,20,0
2016-06-22,75100,77300,74700,75900,134390,10200201000,1.0652,7074,-15640,12298,-224,-2156,4561,3834,1300,4983,-3513,-219,0
2016-06-23,75700,75800,73200,74100,83889,6216174900,-2.3715,-30,-26903,26993,-96,19844,4831,-9797,3458,8782,0,-60,-29
2016-06-24,74400,75300,70000,72000,175840,12660480000,-2.834,-31567,23854,15611,-4080,25977,249,-3780,0,-2755,-7901,3,0
2016-06-27,70200,72400,70200,71300,107529,7666817700,-0.9722,-17584,-3855,17252,-19178,22937,12031,3324,0,-1862,4157,30,0
2016-06-28,70200,72000,69100,71800,82712,5938721600,0.7013,-11159,-26086,36016,1088,26911,2498,-988,87,6470,1229,0,-50
2016-06-29,71900,72500,70800,72000,121920,8778240000,0.2786,-12389,-13009,26398,640,33272,1109,-1252,0,-7371,-1000,0,0
2016-06-30,72200,73300,71600,72300,86482,6252648600,0.4167,-7162,9894,3268,2319,-5306,6498,-744,0,-4226,-6000,0,4727
2016-07-01,72300,72900,70700,70900,112283,7960864700,-1.9364,32501,15367,-47769,-5806,-2762,-21427,-781,-1600,-15393,-61,-38,0
2016-07-04,76500,78000,73000,74500,436449,32515450500,5.0776,53037,24050,-82776,2167,-9605,-52247,-6453,0,-16767,5039,650,129
2016-07-05,75300,75300,73300,73800,124806,9210682800,-0.9396,20317,3368,-24151,-8574,2606,-12587,-5151,-545,100,203,263,0
2016-07-06,73800,74400,72100,73500,137074,10074939000,-0.4065,13236,-11414,-3522,-1108,-1974,-2320,6905,313,-5338,1555,145,0
2016-07-07,72900,77500,72900,76600,287493,22021963800,4.2177,-33415,21459,9386,-32786,14594,6877,28207,349,-7955,2184,386,100
2016-07-08,76200,76600,74600,75200,127436,9583187200,-1.8277,-4588,-7053,13583,5522,8036,1117,-1541,0,449,-1737,-205,0
2016-07-11,75800,77400,75700,76800,174733,13419494400,2.1277,-19079,14200,2692,10780,-18924,-1370,13052,-36,10218,2132,55,-11028
2016-07-12,78300,83200,78200,80300,486659,39078717700,4.5573,69849,-1214,-69125,-31168,-2240,-2962,-24373,4258,-8985,60,430,-3655
2016-07-13,81100,86300,80500,84300,475067,40048148100,4.9813,-46735,88580,-37426,11201,-21902,-12450,25003,3182,-39373,-4766,347,-3087
2016-07-14,83500,86400,83500,85800,220026,18878230800,1.7794,-29441,27446,771,26332,752,67,2406,509,-29295,534,690,0
2016-07-15,85700,87000,84100,84400,199050,16799820000,-1.6317,16396,80635,-93646,-3581,-30883,-17018,-37444,0,-1385,-3290,-95,-3335
2016-07-18,83700,87100,83400,85500,182126,15571773000,1.3033,32190,-6834,-26095,-3606,-20193,-7604,9679,-88,-4283,439,300,0
2016-07-19,85800,85800,83100,83300,180740,15055642000,-2.5731,16403,8938,-27240,-11034,-3964,-8447,-943,250,1898,1802,97,-5000
2016-07-20,83400,84400,82200,84300,148495,12518128500,1.2005,-6011,22923,-18142,-10670,-468,127,5027,61,-12219,1993,-763,0
2016-07-21,84400,84700,81800,82400,182006,14997294400,-2.2539,32306,-4555,-31041,-28814,14250,-7910,-11140,0,2403,2549,741,170
2016-07-22,82500,84300,82100,83800,123023,10309327400,1.699,-20453,16817,2469,542,-6477,-6878,11976,322,1077,167,1000,1907
2016-07-25,84200,85400,83300,83800,98816,8280780800,0.0,23296,-28035,5278,-4613,7888,-559,1649,4312,-3492,-515,-24,93
2016-07-26,82900,86200,82600,85400,133425,11394495000,1.9093,7271,-29981,17542,7134,5047,14134,-4323,574,-389,5198,-30,-4635
