date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-07-16,57000,66700,56900,61000,18438286,1124735446000,0.0,3000711,-552781,-2152830,550560,-501158,-1193440,-33229,-35500,-571041,-303164,8064,-369022
2021-07-19,63700,64800,59100,59100,6549493,387075036300,-3.1148,891273,-7174,-63133,62099,-1060,-73751,4014,-3500,-37735,-819328,-1638,-13200
2021-07-20,59300,60200,57100,58400,3464134,202305425600,-1.1844,93911,17875,78641,40953,29801,-10070,12357,0,7050,-189657,-770,-1450
2021-07-21,59500,59700,57600,57800,1922552,111123505600,-1.0274,-18837,44997,-18810,40012,-26225,-22353,1129,0,-11532,-8530,1180,159
2021-07-22,58000,58200,54900,55000,2468489,135766895000,-4.8443,289741,3531,-228147,28811,-65469,-159528,-7246,0,-12768,-67286,2161,-11947
2021-07-23,55700,57200,55200,57000,2080670,118598190000,3.6364,22235,74238,79080,39682,-10449,43269,2243,0,5235,-176800,1247,-900
2021-07-26,57500,60200,57300,58900,2544895,149894315500,3.3333,92498,-7418,43777,7499,20385,3082,-2,0,16713,-128221,-636,-3900
2021-07-27,58900,59000,57300,58000,1132791,65701878000,-1.528,77750,-2321,-31884,1685,-10,-29136,-2,0,-4421,-43931,386,0
2021-07-28,58000,58700,55900,56400,1257765,70937946000,-2.7586,129543,-36342,-37293,5001,-1985,-41496,-5,0,1392,-57049,1141,-200
2021-07-29,56300,57100,55400,55800,891907,49768410600,-1.0638,79812,-818,8345,13856,1006,-4145,1281,0,-3653,-88130,791,0
2021-07-30,55700,56700,54900,56400,927191,52293572400,1.0753,80437,1761,-21528,16629,1371,874,-1690,0,-36212,-61999,1329,-2500
2021-08-02,56800,57300,55100,55600,802171,44600707600,-1.4184,170179,-3170,-169295,3912,-28862,-114901,319,0,-29463,1677,609,-300
2021-08-03,56200,58300,55400,58300,1837231,107110567300,4.8561,-195814,170780,25846,8400,1455,23844,-84,0,-7769,222,-1034,0
2021-08-04,58000,58800,57300,58200,987463,57470346600,-0.1715,-46502,7845,28735,1935,-800,23698,-3,0,3905,10952,-1030,0
2021-08-05,58400,59500,58200,58800,1194360,70228368000,1.0309,-14660,6455,20086,8275,524,14056,-2,0,-2767,-11930,49,0
2021-08-06,58900,59000,57600,57900,787883,45618425700,-1.5306,-27527,27045,6882,5141,-17632,22141,588,0,-3353,-6267,-133,-3
2021-08-09,58200,58600,57200,58300,814858,47506221400,0.6908,-32395,17379,19907,24285,2776,-1997,-1074,0,-4083,-4448,-443,0
2021-08-10,58600,64400,58100,61800,5768044,356465119200,6.0034,-38621,92225,136840,62513,18373,14036,2833,0,43285,-193567,3123,-4200
2021-08-11,65900,68900,63300,64100,8553666,548289990600,3.7217,140191,-30283,27627,27565,-10851,49024,8358,0,-43716,-138354,819,-2753
