date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,11600,11700,11400,11450,102718,1176121100,-2.5532,23147,34928,-56645,0,-3347,0,1214,-38066,-16446,-1430,0,0
2016-05-27,11400,11700,11350,11650,42507,495206550,1.7467,-11512,5433,6036,0,7995,0,227,0,-2186,39,4,0
2016-05-30,11550,11700,11450,11650,97147,1131762550,0.0,2833,48042,-50824,0,8564,0,0,-60308,920,-51,0,0
2016-05-31,11650,12100,11500,12050,192021,2313853050,3.4335,3836,77935,-81704,-7013,34970,0,0,-70711,-38950,-67,0,0
2016-06-01,12050,12050,11650,11950,167637,2003262150,-0.8299,29730,41633,-71367,392,-372,0,11883,-82297,-973,0,4,0
2016-06-02,11750,12100,11750,11950,73073,873222350,0.0,-13735,27414,-13651,0,3038,260,13648,-30415,-182,-28,0,0
2016-06-03,11950,11950,11650,11800,98150,1158170000,-1.2552,9010,15964,-24963,-15000,-3301,0,1024,-27226,19540,-11,0,0
2016-06-07,11750,12100,11700,12050,64258,774308900,2.1186,-9912,4890,4917,-5000,9189,-20,-729,-417,1894,105,0,0
2016-06-08,11900,12100,11850,12050,52621,634083050,0.0,3682,10561,-14348,-14621,4636,0,-168,-1784,-2411,105,0,0
2016-06-09,11900,12100,11850,11900,88826,1057029400,-1.2448,-1664,27805,-25361,-29377,18331,0,-1193,-6557,-6565,-780,0,0
2016-06-10,11850,12000,11800,12000,69835,838020000,0.8403,-18332,33812,-15571,-31090,8905,0,12342,-143,-5585,91,0,0
2016-06-13,11900,12000,11550,11700,90850,1062945000,-2.5,8512,18747,-29464,-27316,3455,0,-3635,0,-1968,1676,529,0
2016-06-14,11600,11850,11600,11850,39709,470551650,1.2821,-4004,6523,-3055,0,1908,4464,-908,0,-8519,520,16,0
2016-06-15,11850,11850,11700,11850,37710,446863500,0.0,3534,-12863,443,-6180,5960,735,-126,0,54,8886,0,0
2016-06-16,11750,11850,11550,11850,64247,761326950,0.0,8901,14270,-27316,-16532,3938,0,-7898,-1638,-5302,4082,63,116
2016-06-17,11900,11950,11700,11900,72506,862821400,0.4219,-1383,-18,1681,-12200,11730,7813,-10029,-444,4709,-312,32,102
2016-06-20,11900,11900,11700,11750,63270,743422500,-1.2605,1858,17804,-18950,-19600,923,0,-10097,-164,9988,-712,0,0
2016-06-21,11750,11900,11600,11850,67275,797208750,0.8511,-19632,13861,5771,17110,-10020,-269,2083,-1523,-1610,0,0,0
2016-06-22,11700,12000,11700,12000,53003,636036000,1.2658,-6582,19916,-13509,-25730,8319,0,-2518,0,6420,175,0,0
2016-06-23,11850,11950,11550,11800,92466,1091098800,-1.6667,-5544,11227,-5417,-2367,7613,1816,-10874,-699,-906,-266,0,0
2016-06-24,11800,11900,11300,11500,102304,1176496000,-2.5424,-16335,18685,-2350,-15075,14061,0,1916,4545,-7797,0,0,0
2016-06-27,11200,11700,10850,11700,317671,3716750700,1.7391,-145054,61054,70418,55340,50306,10000,4843,-3582,-46489,13516,66,0
2016-06-28,11750,11950,11450,11650,76051,885994150,-0.4274,2930,-2742,851,-2494,-7820,12009,4424,-1700,-3568,-1039,0,0
2016-06-29,11650,11700,11400,11450,114950,1316177500,-1.7167,24483,20731,-45216,-23338,-22832,8056,-5398,-1274,-430,2,0,0
2016-06-30,11400,11850,11300,11750,96174,1130044500,2.6201,-28516,34203,-5687,-3021,-8056,0,10816,-543,-4883,0,0,0
2016-07-01,11650,11900,11550,11800,86533,1021089400,0.4255,-1171,24606,-23435,-29420,3992,2893,-843,0,-57,0,0,0
2016-07-04,11750,11800,11550,11750,91527,1075442250,-0.4237,91,21716,-18730,-28575,21000,-11284,270,0,-141,0,-3077,0
2016-07-05,11750,11800,11500,11750,148136,1740598000,0.0,-4164,38097,-33933,-7320,-27780,676,3128,-2412,-225,0,0,0
2016-07-06,11650,11850,11300,11700,124925,1461622500,-0.4255,-18659,12545,6108,-642,-1569,1823,-4949,0,11445,6,0,0
2016-07-07,11600,11700,11550,11550,57033,658731150,-1.2821,4355,19655,-24010,-5202,-10709,0,-6101,-1358,-640,0,0,0
2016-07-08,11500,11950,11500,11900,98230,1168937000,3.0303,-3853,46718,-36714,-26617,6064,5337,-78,0,-21420,3,-6154,0
2016-07-11,11900,12200,11750,12050,94376,1137230800,1.2605,-20368,49164,-19139,3280,-7950,-14050,-129,-137,-153,-9637,-20,0
2016-07-12,11950,12150,11750,12050,137581,1657851050,0.0,-1509,74786,-72737,-2303,-25163,0,-41274,-579,-3418,-540,0,0
2016-07-13,12150,12200,11800,12050,170887,2059188350,0.0,-13815,63793,-48081,-7704,3884,0,-43044,-144,-1073,-1897,0,0
2016-07-14,11950,12150,11900,12150,102576,1246298400,0.8299,-6269,68288,-60368,-26992,13466,-3373,-35126,-5446,-2897,-1651,0,0
2016-07-15,12050,12350,12050,12200,100607,1227405400,0.4115,8037,25577,-35213,-565,-15984,-3045,-15641,-1177,1199,1599,0,0
2016-07-18,12150,12250,12000,12050,63239,762029950,-1.2295,6783,22254,-28489,-23826,2925,-4741,-1827,-463,-557,-548,0,0
2016-07-19,12000,12100,11750,11800,101030,1192154000,-2.0747,5550,51799,-56733,-33122,-9919,-2670,-5887,0,-5135,-554,-62,0
2016-07-20,11800,11950,11650,11900,104413,1242514700,0.8475,-5878,39828,-36393,-60849,19808,6809,-1862,-276,-23,2443,0,0
2016-07-21,11800,11950,11700,11800,101622,1199139600,-0.8403,8319,34746,-32756,-27071,4684,1540,-11473,-286,-150,-10309,0,0
2016-07-22,11750,12050,11750,12000,58574,702888000,1.6949,-12017,8540,-467,-26727,29111,-1749,0,-544,-558,3944,0,0
2016-07-25,11950,12150,11950,12050,61841,745184050,0.4167,-4845,27706,-22955,2330,-13066,0,-11373,-544,-302,94,0,0
2016-07-26,12050,12350,12050,12350,48587,600049450,2.4896,-13671,19603,-6021,4903,-13020,2969,-28,0,-845,89,0,0
2016-07-27,12350,12500,12150,12400,68294,846845600,0.4049,-827,8545,-7808,-2970,6619,-4290,-516,-297,-6354,90,0,0
2016-07-28,12600,12600,12250,12250,31141,381477250,-1.2097,4403,8967,-13460,-15500,3057,0,-996,0,-21,90,0,0
2016-07-29,12200,12550,12100,12400,175763,2179461200,1.2245,6158,72203,-79860,0,19549,16460,-105037,-3116,-7716,1499,0,0
2016-08-01,12300,12450,12200,12300,150437,1850375100,-0.8065,5355,58603,-62907,0,14466,14683,-48408,-1084,-42564,-1051,0,0
2016-08-02,12300,12400,12150,12200,71286,869689200,-0.813,17883,1497,-20663,14428,-1133,0,-29354,0,-4604,1283,0,0
2016-08-03,12200,12300,12050,12150,53915,655067250,-0.4098,-767,-3718,3042,0,4215,15049,-16137,0,-85,1443,0,0
2016-08-04,12100,12200,12000,12050,62506,753197300,-0.823,6972,-8001,-11206,0,9397,-6013,-14180,-286,-124,12235,0,0
2016-08-05,12000,12150,11900,12050,50329,606464450,0.0,-122,370,-8617,-4150,13291,0,-17077,0,-681,8369,0,0
2016-08-08,12100,12450,12000,12200,115750,1412150000,1.2448,10816,5876,-15903,-24867,-14260,-9388,37945,-1816,-3517,-789,0,0
2016-08-09,12300,12500,12200,12350,106079,1310075650,1.2295,9750,14966,-20135,3463,-722,-15997,-2054,-264,-4561,-4581,0,0
2016-08-10,12350,12450,12050,12350,131589,1625124150,0.0,7242,25817,-31782,0,-13860,-15727,-334,-1170,-691,-1277,0,0
2016-08-11,12350,12450,12050,12150,136279,1655789850,-1.6194,58863,-1428,-56492,-25077,-2151,-15965,-9899,-968,-2432,-943,0,0
2016-08-12,12100,12200,12050,12050,53877,649217850,-0.823,18370,3638,-24462,0,-23696,-22,-95,-683,34,2478,-24,0
2016-08-16,12000,12150,11950,12000,45731,548772000,-0.4149,13531,170,-19776,0,-13067,-1676,-2931,-949,-1153,6027,48,0
2016-08-17,12000,12000,11750,11800,66778,787980400,-1.6667,14284,-7370,-13236,-30000,9067,1820,5980,-292,92,6278,44,97
2016-08-18,11700,12050,11700,12050,94463,1138279150,2.1186,27841,25776,-59109,-41225,-8833,414,-66,-59,-9340,5480,12,0
2016-08-19,11950,11950,11750,11800,117921,1391467800,-2.0747,13767,-2144,-17369,-15356,-11237,1466,7529,-341,570,5628,118,0
