date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,8680,8710,8570,8670,463805,4021189350,-0.4592,30852,-127258,99992,8123,15879,26836,9342,0,39812,-4108,522,0
2016-05-27,8680,8720,8620,8670,540451,4685710170,0.0,26562,-37674,17665,9999,24183,3602,73,0,-20192,-6978,425,0
2016-05-30,8630,8700,8530,8630,547339,4723535570,-0.4614,135632,40227,-175599,43058,6388,-31943,-54997,0,-138105,0,-260,0
2016-05-31,8590,8750,8580,8750,1626562,14232417500,1.3905,-176777,304736,-127399,-7015,-22841,48391,-18645,0,-127289,-490,-70,0
2016-06-01,8690,8740,8640,8690,882044,7664962360,-0.6857,68282,297416,-403888,-104562,15642,4022,-158980,0,-132089,35216,2974,-27921
2016-06-02,8670,8730,8580,8620,695585,5995942700,-0.8055,191486,141223,-334517,-93975,8370,2111,-86530,0,-164493,1250,558,0
2016-06-03,8620,8670,8530,8640,745311,6439487040,0.232,95634,-53549,-43062,-70755,11791,-5900,-71267,0,93069,325,652,0
2016-06-07,8630,8680,8550,8650,960501,8308333650,0.1157,97608,-109512,10824,-4443,-7847,-2636,-42734,0,68484,1000,80,0
2016-06-08,8630,8840,8610,8840,1190959,10528077560,2.1965,-384826,140481,225351,103648,5688,-17597,-23611,0,157223,20025,-1031,0
2016-06-09,8830,9090,8760,9060,2166082,19624702920,2.4887,-1092346,791977,241182,21011,20845,34806,-1480,0,166000,69662,-10475,0
2016-06-10,9010,9220,8850,8910,1421000,12661110000,-1.6556,-65401,-74466,74340,60204,-26287,-55436,-22692,0,118551,67028,-1501,0
2016-06-13,8830,8910,8700,8740,805644,7041328560,-1.908,76924,133830,-211968,42975,-94342,-43421,-3480,0,-113700,25,1189,0
2016-06-14,8740,8780,8620,8620,645351,5562925620,-1.373,222145,12571,-235447,68325,-209992,-353,3780,0,-97207,5,726,0
2016-06-15,8610,8690,8550,8580,792746,6801760680,-0.464,104016,128524,-219240,-86694,-6903,-1393,-5830,0,-118420,-13982,682,0
2016-06-16,8590,8650,8400,8440,836180,7057359200,-1.6317,381824,-89795,-293024,-140305,3268,25755,-48622,0,-133120,1333,-338,0
2016-06-17,8470,8550,8380,8400,1432784,12035385600,-0.4739,227291,-146825,-99753,-110085,-7468,-8420,-6901,-11562,44683,20010,-723,0
2016-06-20,8520,8620,8420,8610,522478,4498535580,2.5,-229730,71992,152788,49929,27784,25342,9492,0,40241,4400,550,0
2016-06-21,8560,8610,8460,8500,470248,3997108000,-1.2776,275685,-68734,-204173,-109913,-34937,-590,-28316,0,-30417,-4835,2057,0
2016-06-22,8530,8620,8440,8510,622568,5298053680,0.1176,126594,-76252,-50236,63242,-79261,-28101,-8179,0,2063,-61,-45,0
2016-06-23,8510,8600,8490,8520,336826,2869757520,0.1175,-41834,26495,18679,5344,-24467,-228,-19220,0,57250,-2800,-540,0
2016-06-24,8550,8590,8030,8130,1439117,11700021210,-4.5775,230742,-39477,-195097,-29498,1625,-725,-26257,0,-129865,3542,290,-10377
2016-06-27,8010,8070,7890,7990,806751,6445940490,-1.722,238071,-255880,-16448,-120980,16573,4986,-4623,0,87596,34097,160,0
2016-06-28,7890,7950,7800,7890,634024,5002449360,-1.2516,348283,-209622,-70083,-33640,-26940,-393,-12109,0,2999,-68956,378,0
2016-06-29,7980,8150,7940,8100,615489,4985460900,2.6616,137039,-79092,-94068,-5976,-43170,127,-6220,0,-44191,34981,1140,5362
2016-06-30,8130,8170,8030,8070,873594,7049903580,-0.3704,172342,-43983,-128399,434,-58704,12450,-497,0,-82082,0,40,0
2016-07-01,8060,8150,8050,8080,505297,4082799760,0.1239,-20998,-125346,-29500,2265,-18605,18642,-8517,0,-23285,176025,-181,0
2016-07-04,8080,8160,8050,8120,348045,2826125400,0.495,23199,51490,-73782,19958,-46914,3985,-29406,0,-21405,618,-1525,0
2016-07-05,8090,8130,8030,8050,366396,2949487800,-0.8621,168904,-74465,-98030,-62273,-41752,-1226,-27344,0,34565,1963,1628,0
2016-07-06,8060,8080,7820,7850,913551,7171375350,-2.4845,412309,-216142,-196561,-141840,-64185,36728,-10033,0,-17231,197,197,0
2016-07-07,7950,8080,7900,8030,446132,3582439960,2.293,-87761,90850,-2174,-20000,11884,1006,-27954,0,32890,-1070,155,0
2016-07-08,8000,8020,7850,7950,443058,3522311100,-0.9963,136983,-100021,-38810,-16368,13673,4007,-9433,0,-30689,1770,78,0
2016-07-11,8070,8200,8010,8170,791097,6463262490,2.7673,-356899,235635,120209,-12459,22447,-290,-1684,0,112195,1058,-3,0
2016-07-12,8200,8400,8170,8400,860783,7230577200,2.8152,-447833,351615,93406,42866,27877,-62688,725,0,84626,-127,2939,0
2016-07-13,8390,8620,8380,8600,1242098,10682042800,2.381,-613965,488014,204569,20205,78453,-50233,171616,0,-15472,-81605,2987,0
2016-07-14,8560,8620,8450,8550,736514,6297194700,-0.5814,-128799,53707,80955,81711,7926,4447,15389,0,-28518,-5863,0,0
2016-07-15,8570,8780,8570,8710,966854,8421298340,1.8713,-470015,486537,-3951,-28139,-63215,-15268,57220,0,48162,-12570,-1,-2711
2016-07-18,8670,8680,8500,8530,705143,6014869790,-2.0666,108585,24159,-133113,6646,-120617,-4203,-5109,0,-7179,0,369,-2651
