date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,8770,8810,8700,8760,297261,2604006360,0.2288,-97478,54790,42701,48694,-8167,746,2766,0,-1338,-13,0,0
2016-05-27,8770,9080,8770,8990,851084,7651245160,2.6256,-332651,124778,170538,115786,31216,31585,-25889,0,17840,37335,0,0
2016-05-30,9000,9160,8980,9110,611997,5575292670,1.3348,-285492,61599,223769,127954,38776,25117,28636,0,3286,204,-80,0
2016-05-31,9140,9270,9090,9270,1237642,11472941340,1.7563,-341293,99875,242074,193480,16289,25881,7171,0,-747,-787,131,0
2016-06-01,9210,9320,9170,9260,764601,7080205260,-0.1079,-204329,-51559,263983,206602,24619,27661,18598,0,-13497,-7195,-900,0
2016-06-02,9250,9350,9250,9320,640575,5970159000,0.6479,-352309,58502,298766,272213,11801,0,14612,0,140,-4959,0,0
2016-06-03,9300,9380,9240,9300,392163,3647115900,-0.2146,-84918,4121,86632,71788,3347,2200,8715,0,582,-5835,0,0
2016-06-07,9300,9350,9130,9260,659426,6106284760,-0.4301,-128217,-21782,149251,143631,2624,0,4399,0,-1403,-252,1000,0
2016-06-08,9290,9370,9210,9350,246389,2303737150,0.9719,-153738,121398,32136,14423,2023,9491,-1508,0,7707,204,0,0
2016-06-09,9340,9660,9280,9620,1147391,11037901420,2.8877,-699763,516380,236037,181877,45960,39971,9476,19827,-53363,-52654,0,-7711
2016-06-10,9640,9640,9490,9560,542992,5191003520,-0.6237,-37690,-64293,81458,75747,-26812,36940,-3354,0,-1063,20525,0,0
2016-06-13,9570,9570,9230,9340,466169,4354018460,-2.3013,-39216,-98409,137747,204403,3297,-57029,11299,0,-24223,9,-131,0
2016-06-14,9250,9590,9250,9440,708008,6683595520,1.0707,-294529,-131807,438197,475593,4284,-22899,-2728,-15,-19760,-11871,10,3722
2016-06-15,9400,9480,9040,9040,475012,4294108480,-4.2373,154876,-143228,-19209,-32909,3331,0,-4144,0,14513,7561,0,0
2016-06-16,9070,9070,8840,8870,357518,3171184660,-1.8805,76233,-51609,-42541,-26804,-4643,-16534,1170,22,4248,17917,0,0
2016-06-17,8950,9050,8930,9050,365584,3308535200,2.0293,-122968,13579,119583,68253,31365,2410,4541,0,13014,-10194,0,0
2016-06-20,9070,9190,9010,9050,323359,2926398950,0.0,72297,-132925,61656,0,27210,0,4009,0,30437,-1029,1,0
2016-06-21,9080,9100,8990,9070,382926,3473138820,0.221,-854,-118267,101831,101566,5292,-7,-2174,2268,-5114,17300,-10,0
2016-06-22,9100,9250,9050,9160,266752,2443448320,0.9923,-77154,47578,29575,-800,20976,8526,1912,0,-1039,1,0,0
2016-06-23,9180,9200,9110,9130,183610,1676359300,-0.3275,-3137,-16509,19785,38432,-24739,7359,-173,0,-1094,-139,0,0
2016-06-24,9170,9200,8730,8820,511073,4507663860,-3.3954,-42942,57391,-16861,36388,-48529,-263,-7889,45,3387,2412,0,0
2016-06-27,8500,8680,8500,8670,516508,4478124360,-1.7007,113905,79625,-201116,-65115,-67092,-34560,-26623,194,-7920,7586,0,0
2016-06-28,8400,8540,8300,8460,691833,5852907180,-2.4221,278535,-372515,91688,107708,-22876,836,-9866,123,15763,2282,10,0
2016-06-29,8570,8720,8570,8700,320154,2785339800,2.8369,-1288,644,2512,3762,-17491,14030,87,-697,2821,-1868,0,0
2016-06-30,8740,8770,8610,8670,228815,1983826050,-0.3448,70204,-35985,-34098,0,-34771,0,356,0,317,-121,0,0
2016-07-01,8670,8730,8610,8730,272882,2382259860,0.692,53937,-13601,-38064,-53291,-26530,0,34187,0,7570,-2275,3,0
2016-07-04,8730,8740,8630,8720,146841,1280453520,-0.1145,25824,-20517,-5307,-41557,3500,6,32005,0,739,0,0,0
2016-07-05,8720,8720,8640,8720,188446,1643249120,0.0,60703,-9746,-50790,-42013,-8180,0,-1997,0,1400,25,-192,0
