date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,185000,185500,182500,183000,38898,7118334000,-0.813,1352,10083,-10971,1463,648,1190,-15913,0,1641,-467,3,0
2016-05-27,184000,186000,182000,183000,56337,10309671000,0.0,1360,12167,-13574,-4705,-7754,436,905,0,-2456,25,22,0
2016-05-30,183500,183500,179500,182000,59833,10889606000,-0.5464,9777,-2908,-6869,5582,475,-2269,1177,0,-12081,0,0,247
2016-05-31,180000,183000,179500,182000,184381,33557342000,0.0,2802,-9804,7001,200,6327,3213,1250,0,-3936,0,1,-53
2016-06-01,180500,182000,179000,180500,57692,10413406000,-0.8242,4363,532,-4900,1519,427,-342,1262,30,-7796,5,0,0
2016-06-02,179500,180500,176000,176000,78320,13784320000,-2.4931,21628,-24931,3395,7674,443,-61,-150,0,-4511,-85,-7,0
2016-06-03,176000,177500,174000,176500,379669,67011578500,0.2841,7628,-5321,-2033,257,-766,-1128,-5921,0,5525,-266,-8,0
2016-06-07,176000,180000,175500,179000,81145,14524955000,1.4164,-10881,16200,-5205,616,-7955,-62,-473,0,2737,-121,7,-68
2016-06-08,177500,180000,176000,178500,81145,14484382500,-0.2793,4920,3457,-7226,-8170,-4002,205,-3463,0,7929,-1152,1,275
2016-06-09,179000,180500,177500,177500,145090,25753475000,-0.5602,1505,17129,-14556,7665,4765,734,-5724,0,-21321,-4028,-50,-675
2016-06-10,179500,181500,178000,181000,77011,13938991000,1.9718,-10741,1167,9615,-146,-3300,-187,302,0,12649,-39,-2,297
2016-06-13,180000,181000,177500,178500,48559,8667781500,-1.3812,2091,-16090,14059,11028,-1945,-124,2208,0,2892,-60,0,0
2016-06-14,178000,180000,177500,178000,37852,6737656000,-0.2801,1708,-5824,4044,9081,984,309,-1284,0,-5046,124,-52,0
2016-06-15,177000,181000,177000,178500,58876,10509366000,0.2809,-7792,8725,1091,15471,-5099,-60,-1802,0,-7419,-2052,28,0
2016-06-16,178000,179500,172500,173500,104075,18057012500,-2.8011,15223,-15265,334,456,16467,682,-7228,-108,-9111,8,-300,-824
2016-06-17,175000,175000,172500,175000,62361,10913175000,0.8646,2457,2572,-5031,-609,671,-823,-3618,-401,-251,3,-1,0
2016-06-20,177000,180000,175000,178500,52763,9418195500,2.0,-16858,16794,762,1530,-5498,12152,-4790,0,-2632,497,-1195,0
2016-06-21,178500,180000,177000,177500,40614,7208985000,-0.5602,-988,3013,-2023,-2346,-177,10,287,-49,252,-2,0,0
2016-06-22,177500,179500,177000,177500,39128,6945220000,0.0,-463,-3215,3982,-231,3483,7,-2746,0,3469,-300,-4,0
2016-06-23,178000,179500,177500,179000,20863,3734477000,0.8451,-5186,1411,3784,1617,-806,-9,-29,0,3016,0,-9,-5
2016-06-24,178000,178500,170000,175500,111516,19571058000,-1.9553,-13173,6902,6298,2156,6335,74,563,-540,-2346,263,-290,56
2016-06-27,175500,175500,169000,171000,108162,18495702000,-2.5641,26341,-219,-27549,-2532,2196,-23062,481,82,-4446,1402,25,-268
2016-06-28,169500,172500,169000,171500,59448,10195332000,0.2924,6903,15439,-22682,-2321,-5755,-8375,-5102,0,-1055,334,6,-74
2016-06-29,171500,173000,170000,171000,83800,14329800000,-0.2915,14140,10720,-24967,-5776,-1255,-7821,-1508,0,-8458,107,0,-149
2016-06-30,172000,175000,170500,173000,94474,16344002000,1.1696,2262,45518,-44760,-9758,-14049,-326,-309,0,-20404,-100,-2920,86
2016-07-01,172500,175500,172000,174000,53752,9352848000,0.578,-6526,13390,-6822,-2555,-9538,-883,10567,291,-4704,-44,2,0
2016-07-04,174000,174000,169000,169500,55281,9370129500,-2.5862,19658,7169,-27388,-17082,-4820,-5349,449,30,-616,241,320,0
2016-07-05,169000,170000,168000,169500,68540,11617530000,0.0,13230,25717,-39187,-22550,-3494,-5973,-6152,1,-1019,145,95,0
2016-07-06,169500,170500,164500,166000,69225,11491350000,-2.0649,18156,1991,-20161,-9423,-6682,-70,-7529,-325,3868,-60,74,0
2016-07-07,166500,167500,164500,166500,136573,22739404500,0.3012,14108,-6519,-7951,-14418,1446,-5767,-2660,30,13418,48,314,0
2016-07-08,165000,167000,163500,167000,136960,22872320000,0.3003,1810,14129,-15897,-14228,3487,-41,-2568,65,-2612,60,-102,0
2016-07-11,169000,169000,164500,165500,98917,16370763500,-0.8982,14442,-222,-14482,-14524,-10083,-39,-3182,0,12574,294,-32,772
2016-07-12,165000,166000,164000,165500,81553,13497021500,0.0,6926,13940,-14495,-15395,683,647,-660,0,458,-6480,109,-228
2016-07-13,165000,167500,165000,166500,80193,13352134500,0.6042,16505,8047,-27482,-18926,-2437,-228,-1136,0,-5280,3029,-99,525
2016-07-14,166500,167000,165500,166500,62524,10410246000,0.0,10057,1715,-11772,-12423,-1253,170,2841,0,-1107,-1,1,0
2016-07-15,166500,167500,165500,166000,69810,11588460000,-0.3003,8231,8283,-16798,-9985,-4331,497,1052,0,-4331,94,190,300
2016-07-18,165500,166500,163500,164500,63715,10481117500,-0.9036,16391,-667,-15758,-14042,-3719,-679,-496,501,2677,5,29,0
2016-07-19,164000,164500,162500,163500,96136,15718236000,-0.6079,7360,27550,-35333,-20156,-2999,-11,-8316,0,-3851,404,19,0
2016-07-20,163500,164500,161500,163500,104691,17116978500,0.0,5366,22877,-28827,-10701,-7354,-3050,-5694,0,-2028,573,11,0
