date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,51900,52400,51200,51300,213732,10964451600,-2.2857,23292,-65824,19888,20465,-14938,5290,-3313,0,12384,22616,28,0
2016-05-27,51600,51700,51000,51500,199283,10263074500,0.3899,7274,31438,-39035,-3472,-24498,1895,-1524,0,-11436,303,20,0
2016-05-30,51900,52700,50100,50400,390786,19695614400,-2.1359,67032,-40578,-26851,-3325,-3530,-1454,-16776,0,-1766,389,8,0
2016-05-31,50300,51300,50000,51200,512579,26244044800,1.5873,8355,-21098,-3450,14744,4375,1324,-4216,0,-19677,16192,1,0
2016-06-01,50900,51800,50800,51600,313248,16163596800,0.7812,-22977,63797,-40289,4116,-1662,-3207,3870,0,-42501,-185,-346,-905
2016-06-02,52000,52100,50400,51100,318721,16286643100,-0.969,-2768,48245,-45142,-14199,-20889,-360,4405,-1181,-12918,-321,-14,0
2016-06-03,51500,52000,51300,51900,228829,11876225100,1.5656,-26306,27113,-822,-14659,803,-1354,-8329,0,22717,5,10,0
2016-06-07,51900,52200,51500,51900,237380,12320022000,0.0,-10111,-45156,56005,15791,-3363,15132,433,9,28003,-738,0,0
2016-06-08,51700,52600,51600,52000,311647,16205644000,0.1927,-17512,-4679,29210,-3628,-6626,1284,-985,-862,40027,-6973,-46,0
2016-06-09,52600,53700,52000,52000,378783,19696716000,0.0,-39240,1127,45533,13936,-24984,-1017,10733,-5,46870,-7609,189,0
2016-06-10,52800,53900,51900,52600,277784,14611438400,1.1538,-33178,-10582,57236,21256,-11855,3711,-783,0,40303,-13939,463,4604
2016-06-13,52600,53300,51700,51800,172566,8938918800,-1.5209,6215,-49276,43548,23781,-13114,6816,-2015,0,28080,-489,2,0
2016-06-14,51500,53600,51500,52900,227948,12058449200,2.1236,-18772,6232,13107,39162,-15015,91,3137,0,-14268,-712,145,0
2016-06-15,52000,52700,51400,51400,203741,10472287400,-2.8355,27466,-13076,-11877,-3727,-2943,18107,-2957,-5783,-14574,-2458,-55,0
2016-06-16,52400,52400,50600,51100,184600,9433060000,-0.5837,27970,-37559,10303,41415,-2627,4288,-2469,-328,-29976,-642,-72,0
2016-06-17,51900,51900,49950,50400,195237,9839944800,-1.3699,51260,-17285,-33610,-9216,-11034,-13353,-2701,-2279,4973,-313,-52,0
2016-06-20,50900,51300,50200,50600,170015,8602759000,0.3968,4102,-18463,14684,8000,3416,3886,-246,0,-372,-323,0,0
2016-06-21,51100,51900,50600,51900,217499,11288198100,2.5692,-34573,54042,-19086,-3386,-32339,20250,-533,0,-2884,-383,0,-194
2016-06-22,52000,52200,51000,51400,187838,9654873200,-0.9634,-5220,17934,-27609,-8759,-30528,0,-136,0,11814,14919,-24,0
2016-06-23,51100,51400,50200,50300,182899,9199819700,-2.1401,29122,-20152,-8942,-19984,-5237,14599,-13293,37,20533,0,-28,-5597
2016-06-24,50500,51400,48100,48350,283144,13690012400,-3.8767,16039,28994,-54349,-3484,-11625,-14625,-17433,0,-7291,9312,4,109
2016-06-27,49000,49800,48000,49300,250404,12344917200,1.9648,-21188,33479,-12363,10776,2727,-46782,865,0,20051,272,-200,0
2016-06-28,49300,49850,48400,49000,156325,7659925000,-0.6085,11875,-27829,15543,2633,12203,4776,-878,-753,-2438,411,0,0
2016-06-29,49000,50400,48500,50100,217223,10882872300,2.2449,-13491,-49466,61058,8362,30352,43082,-3058,-680,-17000,1899,0,0
2016-06-30,50200,51000,49700,51000,184035,9385785000,1.7964,-15240,44778,-28540,-2776,2565,-602,2095,0,-29972,-999,1,150
2016-07-01,50600,51100,49450,50900,357299,18186519100,-0.1961,21236,-27147,3073,722,24661,10949,-22133,72,-9251,2999,-161,-1947
2016-07-04,50400,51300,50100,50800,82447,4188307600,-0.1965,-1134,31414,-30209,3827,-1629,2592,-20701,0,-14298,-71,0,0
2016-07-05,50900,51400,50700,51000,250089,12754539000,0.3937,-20475,-28895,50922,-14162,-3663,45936,-3631,0,26442,-1552,0,0
2016-07-06,51100,51100,50400,50700,257765,13068685500,-0.5882,-9454,-5613,15873,8554,-2460,-10175,-2574,0,24028,-656,-150,-1500
2016-07-07,50900,52400,50800,51500,269798,13894597000,1.5779,-39850,4338,43808,29407,15800,596,-7433,0,5438,-8280,-16,0
2016-07-08,51000,51600,50500,51200,161387,8263014400,-0.5825,3119,-4990,1741,-13733,5480,12923,-1725,0,-1204,119,11,0
2016-07-11,52400,52500,51700,52200,504682,26344400400,1.9531,-27170,35760,-5867,-16584,-1925,-5264,-6739,0,25088,-2701,-22,-443
2016-07-12,52400,54100,52300,54000,347266,18752364000,3.4483,-104676,64842,75495,15744,4809,41783,-2392,0,15995,-35661,0,-444
2016-07-13,55400,56200,54300,55000,533097,29320335000,1.8519,-41609,146308,-99658,-38203,-2192,-19465,-10618,-465,-29925,-5030,-11,1210
2016-07-14,55600,55700,54500,55600,215147,11962173200,1.0909,-35034,30772,7200,521,-5563,9301,346,-35,-1060,-2938,0,3690
2016-07-15,56000,56300,54700,55300,274462,15177748600,-0.5396,-27718,37053,-8770,11592,-2723,-1660,12606,0,-22366,0,-565,-6219
2016-07-18,54600,55400,54000,54300,185905,10094641500,-1.8083,2104,31876,-29403,-19051,-11768,-3361,-3099,82,5914,-4540,-37,1880
2016-07-19,54600,54700,53500,53700,178085,9563164500,-1.105,-2526,33512,-30979,-3561,-3769,-173,-7258,0,-16218,23,-30,0
2016-07-20,53200,54400,53100,54100,141068,7631778800,0.7449,6757,17095,-31675,-15400,7649,1374,-3600,0,-21698,7847,-24,0
2016-07-21,54100,54600,53500,53500,95965,5134127500,-1.1091,1905,-26965,16981,-4259,8093,0,-6000,0,19147,8079,0,0
2016-07-22,53600,54100,52800,53700,182094,9778447800,0.3738,-2940,-13963,16903,-10187,7472,2474,5534,33,11577,0,0,0
2016-07-25,54300,54500,53200,53300,209432,11162725600,-0.7449,5789,-989,-7724,-20516,-1134,11844,213,0,-131,2923,1,2000
2016-07-26,52900,54400,52800,53700,171622,9216101400,0.7505,-587,-14455,11088,9521,-1251,7367,-15054,0,16516,3981,-27,-6011
2016-07-27,53000,53900,52800,53600,125302,6716187200,-0.1862,2128,-32338,31084,14131,-3600,11554,-5758,0,14757,-874,0,0
2016-07-28,54000,55500,53400,55500,404842,22468731000,3.5448,-14188,-134013,148201,74513,4293,57042,1584,0,14748,0,0,-3979
2016-07-29,56000,56000,54000,54200,453877,24600133400,-2.3423,54570,-75122,18636,73015,2070,8220,5623,-60553,-9739,1391,525,0
2016-08-01,54700,56800,53800,56600,346900,19634540000,4.428,-59663,-44041,122025,102115,22246,14050,-4675,0,-11711,-19383,1062,0
2016-08-02,56900,56900,54600,54700,290300,15879410000,-3.3569,21597,-45141,23791,38218,161,-11593,7522,0,-10517,-496,249,0
2016-08-03,54000,54400,53000,53000,245992,13037576000,-3.1079,40528,-20792,-17853,25233,-17866,2296,-8432,0,-18857,-2047,164,-227
2016-08-04,52900,53400,52600,53000,129080,6841240000,0.0,24896,-13095,-11666,8213,-12163,-2642,7552,0,-12626,-18,-117,0
2016-08-05,53500,54700,52500,53000,303889,16106117000,0.0,-1209,9289,-12805,-25343,-28521,48834,-2810,0,-4965,6225,-1500,0
2016-08-08,53000,53500,51500,52500,288521,15147352500,-0.9434,49281,-56077,-1281,-9252,-5737,-1006,5106,0,9108,8075,2,500
2016-08-09,52600,53200,51900,52300,185552,9704369600,-0.381,10512,21012,-30434,-25019,-14349,17408,-8621,0,4147,-1090,0,-4000
2016-08-10,52600,52600,51700,52200,299249,15620797800,-0.1912,32377,81672,-114039,-48857,-23576,-37202,-4631,47,30,-16,6,150
2016-08-11,52300,52900,52000,52900,207801,10992672900,1.341,-15974,27291,-10837,-28285,-1442,-856,-3,0,19749,-517,37,0
2016-08-12,53000,53200,51900,52400,621338,32558111200,-0.9452,40220,13191,-52832,-51966,-2702,-2050,-3719,0,7555,-535,-44,50
