date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-25,92400,93100,91200,93000,70094,6518742000,0.0,-8139,-7656,15823,806,-154,748,2033,0,12390,0,-28,0
2016-05-26,93000,94100,90600,91000,77528,7055048000,-2.1505,20699,-16040,-4836,744,-316,-462,-435,0,-4044,195,-18,-323
2016-05-27,92000,92300,89400,91700,48047,4405909900,0.7692,-23167,16558,6635,-135,-862,-60,184,0,7508,-11,-15,0
2016-05-30,91700,92000,90300,91500,32959,3015748500,-0.2181,-4855,565,4304,3354,-3243,121,1381,0,2727,-17,3,-36
2016-05-31,91100,92500,90700,92000,57303,5271876000,0.5464,-14558,8814,5767,10054,-7730,202,3928,0,-478,-26,3,-209
2016-06-01,92000,95200,91500,94900,135586,12867111400,3.1522,-61941,13505,50787,38379,-2665,10625,5322,0,-3853,-2473,122,2979
2016-06-02,95100,99000,94000,98800,217305,21469734000,4.1096,-96538,6066,90813,54719,10381,5545,8865,449,11179,-214,-127,-325
2016-06-03,98200,98900,97500,98700,88437,8728731900,-0.1012,-5177,-18973,23864,9039,-4634,2954,889,0,15616,291,-5,0
2016-06-07,98700,100500,97700,98600,142791,14079192600,-0.1013,-17214,-11464,28853,13057,38,1471,1909,0,13140,-260,85,-762
2016-06-08,98700,101000,98000,100000,101795,10179500000,1.4199,-35877,22564,10828,18833,-7138,96,341,-714,2410,2503,-18,-3000
2016-06-09,100000,102000,98100,99900,95798,9570220200,-0.1,-4009,23808,-18313,-12659,-9717,461,-4706,1366,6942,-1550,64,0
2016-06-10,99900,99900,96000,97300,149683,14564155900,-2.6026,36423,-16543,-18761,-6010,-28349,9061,-1586,-12,8603,-1236,117,-468
2016-06-13,96100,96900,95500,95500,68386,6530863000,-1.8499,2452,295,-1454,5507,-15306,37,307,39,7962,-974,-319,0
