date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,5480,5530,5440,5530,208893,1155178290,1.2821,-71526,15232,61060,38704,0,0,4212,-1672,-5184,-4766,0,25000
2016-05-27,5540,5540,5450,5490,203695,1118285550,-0.7233,13612,52083,-79686,-109003,13930,0,0,0,-9613,13991,0,25000
2016-05-30,5500,5540,5460,5500,154176,847968000,0.1821,-44772,40718,4054,-17308,0,0,0,-947,-2691,0,0,25000
2016-05-31,5530,5580,5480,5540,423986,2348882440,0.7273,-78036,102490,-24454,-45322,0,0,-2785,0,-1347,0,0,25000
2016-06-01,5520,5590,5500,5580,163950,914841000,0.722,-37063,55148,-18085,0,-795,-245,-36669,-529,-4847,0,0,25000
2016-06-02,5590,5610,5530,5610,147072,825073920,0.5376,-75724,52033,24615,0,-4603,0,6862,-2830,186,-924,0,25000
2016-06-03,5590,5620,5550,5610,133169,747078090,0.0,-79916,39301,40116,0,-160,0,405,0,14871,-1,500,25000
2016-06-07,5590,5640,5590,5640,147208,830253120,0.5348,-60559,35044,25318,0,2241,0,3769,-2784,-2908,197,0,25000
2016-06-08,5650,5740,5640,5730,268921,1540917330,1.5957,-142240,99001,44645,31686,-7995,0,-1530,-2889,1566,-1406,0,23807
2016-06-09,5740,5740,5560,5620,425453,2391045860,-1.9197,112817,121065,-227593,-133263,-34625,0,-35952,-43657,-5096,-5689,-600,25000
2016-06-10,5600,5670,5530,5580,498903,2783878740,-0.7117,105903,224594,-357457,-177583,-109162,0,-93187,-954,-1571,26960,0,25000
2016-06-13,5580,5610,5440,5600,369243,2067760800,0.3584,-25693,105039,-80356,-161502,-11900,30390,31477,0,6179,1010,0,25000
2016-06-14,5540,5560,5480,5500,208353,1145941500,-1.7857,-18028,62559,-40855,-28260,-1130,0,-24850,0,-11615,-4376,700,25000
2016-06-15,5470,5520,5440,5520,275830,1522581600,0.3636,-85676,87056,-5527,-28197,1012,0,-4406,0,1064,4147,0,25000
