date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,17900,18000,17400,17500,297108,5199390000,-3.8462,32243,-65978,35420,-26984,37115,47409,-3118,0,-19002,-251,-1434,0
2016-05-27,17600,18050,17550,17700,175666,3109288200,1.1429,-6536,-14575,20211,-4726,3095,5277,-1850,354,18210,900,0,-149
2016-05-30,17750,17750,17350,17400,265312,4616428800,-1.6949,30194,-7555,-22119,-5904,4105,4331,-1050,0,-23527,-400,-120,-74
2016-05-31,17400,18200,17350,17850,262195,4680180750,2.5862,-6444,-17557,20301,5103,12028,11684,-4129,0,-4385,5505,-1805,0
2016-06-01,17850,18050,17650,17800,188506,3355406800,-0.2801,-30668,-24805,58271,17903,26760,28817,-13794,0,-1415,-798,-2000,0
2016-06-02,17900,17950,17500,17750,218514,3878623500,-0.2809,8071,-27732,18681,12539,24654,25416,-9583,-94,-34176,0,980,-75
2016-06-03,18000,18050,16700,17150,676170,11596315500,-3.3803,240426,-149676,-97484,85443,-121002,-35818,-13571,-2044,-10530,6668,66,38
2016-06-07,17200,17300,16450,16550,504076,8342457800,-3.4985,235689,-58349,-107941,22054,-54404,-54654,-8057,-1053,-11827,-69577,178,0
2016-06-08,16550,16850,16150,16800,466797,7842189600,1.5106,177738,42247,-222513,-84289,-80020,-45130,-1383,1048,-12739,2228,300,0
2016-06-09,16800,17200,16100,16450,550559,9056695550,-2.0833,283892,-8891,-280848,-77277,-88436,3853,-37509,-69,-81410,5857,-10,0
2016-06-10,16450,17100,16250,17050,419464,7151861200,3.6474,-80554,50544,28814,-1586,14510,51333,-27870,-138,-7435,1268,-72,0
2016-06-13,16800,16800,15800,15900,544525,8657947500,-6.7449,274164,-34968,-244243,-6259,-184782,-5583,-19578,-3950,-24091,5047,0,0
2016-06-14,15800,16100,15700,15900,268920,4275828000,0.0,2687,-5117,1197,31472,-30684,-1094,-2065,1892,1676,1233,0,0
2016-06-15,15850,16200,15850,16050,183399,2943553950,0.9434,20830,-14545,-7322,-8094,-15995,8851,10626,0,-2710,1037,0,0
2016-06-16,16000,16050,15500,15700,247743,3889565100,-2.1807,78438,-34601,-47715,-5610,-31655,-25797,16171,1201,-2025,3979,-101,0
2016-06-17,15800,15950,15500,15900,202252,3215806800,1.2739,-18106,135,18161,2281,-13029,15285,3048,-7211,17787,-190,0,0
2016-06-20,15950,16850,15900,16750,262154,4391079500,5.3459,-60950,-13190,72319,8043,21437,10580,15664,0,16595,1823,-2,0
2016-06-21,16800,16800,16300,16800,175513,2948618400,0.2985,-17692,-33978,48070,-491,26665,23516,6812,0,-8432,3600,0,0
