date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,77721,78410,76691,77037,39468,3040496316,-0.8839,-2567,-1380,3976,2699,494,335,-184,0,632,-10,-19,0
2016-05-27,77034,78066,76690,76693,39950,3063885350,-0.4465,4388,-2436,-1344,13,-40,52,-19,0,-1850,-608,0,500
2016-05-30,77721,80816,76690,78757,111163,8754864391,2.6912,7208,1750,-8228,-4917,-62,-846,657,0,-2560,-782,52,-500
2016-05-31,79441,80130,78755,78757,65638,5169451966,0.0,2767,-3437,-50,2901,899,28,-1577,1000,-3301,776,-56,0
2016-06-01,78752,82191,78065,81507,154810,12618098670,3.4918,-10330,8927,1578,-4681,-37,31,-104,1000,5369,-135,-40,0
2016-06-02,81850,84256,80129,82540,181414,14973911560,1.2674,-9877,1706,7802,9421,3760,1466,1653,72,-8570,437,-68,0
2016-06-03,82879,84255,82193,83571,101856,8512207776,1.2491,-10097,1297,8799,4366,2965,-1496,1544,1000,420,20,-19,0
2016-06-07,83912,86664,82536,86323,168747,14566747281,3.293,-15469,9391,5174,-2013,-1942,50,-2241,0,10920,-190,1094,400
2016-06-08,86319,87350,85287,86667,129066,11185763022,0.3985,-15441,7626,7923,5643,527,-635,1034,1586,-232,1,-109,0
2016-06-09,86663,88726,81160,84603,213029,18022892487,-2.3815,-23375,28078,1887,6193,-3742,-2159,-1400,0,3395,-7061,471,-400
2016-06-10,85975,88041,83224,88043,165187,14543559041,4.066,-7299,5638,2635,792,-223,-198,-776,0,2340,-216,-758,700
2016-06-13,87007,91134,85287,85635,272660,23349239100,-2.735,23215,-26432,2874,859,-105,80,14,-1000,3526,665,-322,-500
2016-06-14,84600,86319,83223,84947,114437,9721079839,-0.8034,11813,-1916,-10098,-2066,-4923,47,-1546,-2000,-210,42,159,600
2016-06-15,84599,86318,82880,85635,112011,9592061985,0.8099,10929,-5904,895,671,-131,1242,-795,0,-950,-5900,-20,858
