date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,32348,33025,32178,32941,88735,2923019635,1.83,-9338,-722,10408,0,102,0,0,0,10306,-330,-18,0
2016-05-27,32729,33279,32559,32941,79913,2632414133,0.0,-10950,-3568,14384,915,831,0,1658,0,11380,391,-257,-400
2016-05-30,33111,33153,32433,32857,72685,2388211045,-0.255,-5932,-3743,9192,38,-25,0,0,0,9179,448,35,0
2016-05-31,32857,34212,32475,34212,261182,8935558584,4.1239,-55976,59245,-2414,-2356,-332,-24,-11411,0,11709,95,-950,0
2016-06-01,33915,34593,33577,33577,147094,4938975238,-1.8561,15884,-28454,11529,0,-24,0,0,0,11553,991,50,0
2016-06-02,33577,35228,33534,35186,309829,10901643194,4.792,-37117,17404,20894,0,9323,-29,-103,0,11703,-248,-933,0
2016-06-03,35016,35439,34677,34889,152253,5311954917,-0.8441,-6607,-862,2040,0,2383,0,0,0,-343,5319,110,0
2016-06-07,34973,35566,34761,35016,146851,5142134616,0.364,-2324,-3379,33,0,277,0,0,0,-244,5790,-120,0
2016-06-08,35227,35227,34253,34423,119844,4125390012,-1.6935,-5480,4365,925,0,-309,-131,-153,0,1518,20,170,0
2016-06-09,34423,34888,33957,34423,110584,3806633032,0.0,-12461,8425,4094,0,-3393,0,0,0,7487,-220,162,0
2016-06-10,34339,34804,33915,34339,84385,2897696515,-0.244,-2391,7899,-5335,0,-3831,0,0,-32,-1472,-55,-118,0
2016-06-13,33788,34042,32772,32772,146239,4792544508,-4.5633,-9388,9107,-63,0,-86,0,0,0,23,414,-70,0
2016-06-14,32517,33152,32094,32941,137309,4523095769,0.5157,-6905,456,6408,0,-266,0,-935,0,7609,40,1,0
2016-06-15,32857,33492,32264,33450,77548,2593980600,1.5452,-16029,10339,6900,0,0,0,-933,0,7833,-1220,10,0
2016-06-16,33618,34042,33195,33661,131636,4430999396,0.6308,-45817,26331,22743,9685,2655,0,0,0,10403,-4057,800,0
2016-06-17,34042,34211,33407,33746,249354,8414700084,0.2525,-14050,13551,5624,3208,1852,-540,0,0,1104,-5125,0,0
2016-06-20,34042,34762,33999,34254,124981,4281099174,1.5054,21273,-7921,-12220,-488,1751,-4146,0,0,-8937,-1132,0,-400
2016-06-21,34127,34127,33238,33450,83953,2808227850,-2.3472,-4511,4732,-283,0,0,0,0,0,-283,62,0,0
2016-06-22,33406,33618,32814,32814,80434,2639361276,-1.9013,-3071,7664,-4599,-948,-310,-3364,0,0,23,30,-24,0
2016-06-23,32729,33237,32644,32814,92030,3019872420,0.0,-24790,14874,11384,0,5648,-519,0,0,6255,-1457,-11,0
2016-06-24,33237,33491,30358,31544,222046,7004219024,-3.8703,-15603,3093,18099,0,2238,0,0,0,15861,-5595,6,0
2016-06-27,30570,31671,30528,30994,106387,3297358678,-1.7436,-5687,-8187,14873,0,-131,0,0,0,15004,-1000,1,0
2016-06-28,31205,31925,30993,31671,89321,2828885391,2.1843,-1365,-5167,7519,0,2559,0,0,0,4960,-987,0,0
2016-06-29,31967,32602,31967,32137,87499,2811955363,1.4714,-1230,-210,3220,0,-163,0,0,0,3383,-1780,0,0
2016-06-30,32349,32476,31925,32222,85042,2740223324,0.2645,-3575,-849,6576,0,-1016,0,0,0,7592,-2040,-112,0
2016-07-01,32221,33364,32094,33026,101853,3363797178,2.4952,-37008,9849,26994,1598,-7,0,0,5135,9901,165,0,10367
2016-07-04,33407,34550,33026,34127,207904,7095139808,3.3337,-25441,2115,17092,1685,-12,-2847,4605,2611,7740,5996,238,3310
2016-07-05,34127,34465,33661,34000,82817,2815778000,-0.3721,-8488,1474,6716,0,-41,0,0,0,6757,298,0,0
2016-07-06,33831,34254,32984,33450,104070,3481141500,-1.6176,16632,-5139,-11431,0,-7266,0,-2000,0,835,-345,283,-3000
2016-07-07,33619,33788,33068,33365,83376,2781840240,-0.2541,906,-120,-671,0,0,0,-11,0,-660,-115,0,0
2016-07-08,33618,33618,32475,32645,84545,2759971525,-2.1579,10086,-7380,-2403,0,0,0,17,0,-2420,-60,-243,0
2016-07-11,32729,33238,32560,33111,74227,2457730197,1.4275,-4717,9413,-4526,0,-1590,0,0,0,-2936,-170,0,0
2016-07-12,33110,33449,32432,32687,80257,2623360559,-1.2805,-2955,2194,617,0,1010,0,0,-16,-377,69,75,0
2016-07-13,32941,33703,32856,33280,104635,3482252800,1.8142,-3716,10235,-4908,0,-1460,0,0,-64,510,-1611,0,-3894
2016-07-14,33492,34000,33238,33450,91574,3063150300,0.5108,1069,46,-633,0,143,-35,0,0,-741,-200,-282,0
2016-07-15,33364,33745,32814,33026,75937,2507895362,-1.2676,6828,1291,-7774,-4875,-1746,0,-1388,0,235,-345,0,0
2016-07-18,33364,33364,32560,32560,70856,2307071360,-1.411,2808,-2113,853,0,-1,0,0,0,854,-1626,78,0
2016-07-19,32645,32941,32179,32222,42380,1365568360,-1.0381,1992,-1216,-301,0,-38,0,-28,0,-235,-475,0,0
2016-07-20,32263,33322,32263,33280,74455,2477862400,3.2835,-13240,6299,7717,0,0,0,0,0,7717,-598,-178,0
2016-07-21,33365,33661,33195,33365,64574,2154511510,0.2554,-8318,-2824,9882,0,4,0,0,-80,9958,1260,0,0
2016-07-22,33195,33449,33152,33280,34542,1149557760,-0.2548,-5939,-66,6026,0,-1,0,14,0,6013,0,-21,0
2016-07-25,33195,33576,32433,32476,86593,2812194268,-2.4159,14078,-3196,-9487,-1496,-6,0,0,0,-7985,-1396,1,0
2016-07-26,32263,32941,32263,32433,40737,1321223121,-0.1324,4016,-390,-3546,-1706,-1568,0,0,0,-272,0,-80,0
2016-07-27,32560,32645,32306,32518,34988,1137739784,0.2621,-2643,3035,-1342,0,-31,0,-47,0,-1264,950,0,0
2016-07-28,32560,32644,31628,31925,104397,3332874225,-1.8236,5878,-2666,-3257,0,0,0,0,0,-3257,0,45,0
2016-07-29,31925,32306,31713,32010,39516,1264907160,0.2662,2104,-1446,-1308,0,-746,0,0,0,-562,650,0,0
2016-08-01,32178,32178,31077,31078,90189,2802893742,-2.9116,12327,-6972,-4964,0,-1630,0,0,0,-3334,-314,-77,0
2016-08-02,31078,31671,30867,31587,70054,2212795698,1.6378,15203,5345,-20068,0,-55,0,-15,0,-19998,-200,-280,0
2016-08-03,31629,31629,30909,31587,67185,2122172595,0.0,10773,-3766,-7007,0,-391,0,0,0,-6616,0,0,0
2016-08-04,32475,33195,32263,32433,181857,5898168081,2.6783,-10826,650,8168,0,3461,0,0,0,4707,2010,-2,0
2016-08-05,32772,33915,32730,33831,275019,9304167789,4.3104,-77604,54937,20634,0,1237,13217,0,0,6180,2332,-299,0
2016-08-08,33957,34381,33830,34000,147277,5007418000,0.4995,-29976,30171,-1192,0,-746,0,0,0,-446,1000,-3,0
2016-08-09,34169,34169,33025,33407,134878,4505869346,-1.7441,-10039,16576,-7517,0,-7173,0,0,0,-344,965,15,0
2016-08-10,33534,33873,32941,33873,103461,3504534453,1.3949,-27092,29699,-2627,0,-1543,0,0,0,-1084,0,20,0
2016-08-11,33872,33999,33068,33280,54483,1813194240,-1.7507,766,3413,-4285,0,-56,0,0,0,-4229,-14,120,0
2016-08-12,33661,33958,33407,33450,67021,2241852450,0.5108,-17518,16820,698,-36,1488,0,-8,0,-746,0,0,0
2016-08-16,33195,34296,33195,33915,103662,3515696730,1.3901,-17434,21087,-2382,0,-1569,0,0,0,-813,-751,-520,0
2016-08-17,33576,35016,33576,34889,215592,7521789288,2.8719,-29816,30868,1278,0,-261,0,-13,0,1552,-952,-1378,0
2016-08-18,34888,35566,34846,35143,175989,6184781427,0.728,-38629,35107,2689,0,2922,0,175,0,-408,856,-23,0
2016-08-19,35058,35523,34126,34296,108792,3731130432,-2.4102,2532,-3559,-199,0,-1305,0,0,0,1106,1226,0,0
2016-08-22,34423,35058,33999,34127,78586,2681904422,-0.4928,-4318,6352,2043,0,-1269,0,0,0,3312,-4087,10,0
2016-08-23,34296,34761,33449,33534,80977,2715482718,-1.7376,9220,-6364,-3506,0,-3569,0,0,0,63,650,0,0
2016-08-24,33618,33872,33026,33026,68098,2249004548,-1.5149,10198,-2077,-8271,0,-2361,0,0,0,-5910,150,0,0
2016-08-25,32984,32984,32391,32984,75376,2486201984,-0.1272,2470,4660,-3996,0,-1390,0,0,-2699,93,-3306,172,0
2016-08-26,32814,33025,32475,32560,46722,1521268320,-1.2855,9890,-7093,-2832,0,-277,0,0,0,-2555,35,0,0
2016-08-29,32179,32348,31417,31417,115011,3613300587,-3.5104,-3600,5931,-2005,0,221,0,0,-3848,1622,-500,174,0
2016-08-30,31586,32009,31416,31798,68914,2191327372,1.2127,6476,4556,-10981,-3283,0,0,11,0,-5999,-52,1,-1710
2016-08-31,31883,32560,31671,31968,81024,2590175232,0.5346,1964,-5523,3559,0,-2579,0,0,0,8788,0,0,-2650
2016-09-01,31671,32560,31671,32476,39904,1295922304,1.5891,-5319,4265,312,0,214,0,-21,0,119,742,0,0
2016-09-02,32518,32645,32052,32391,37285,1207698435,-0.2617,4079,-2336,-1632,-330,148,0,0,0,-1450,-111,0,0
2016-09-05,32348,32518,32094,32137,49557,1592613309,-0.7842,2626,-4082,1456,0,-25,0,0,0,1481,0,0,0
2016-09-06,31755,32094,31586,31925,65925,2104655625,-0.6597,-8900,13311,-6034,0,-4223,0,-1672,0,-139,1400,223,0
2016-09-07,32009,32094,31035,31078,108243,3363975954,-2.6531,9887,-2449,-8881,0,-3988,0,-1170,0,-6723,1500,-57,3000
2016-09-08,31120,31501,30527,31036,73696,2287229056,-0.1351,-596,5251,-3986,-298,-1122,0,-1364,0,-1202,-720,51,0
2016-09-09,30781,31205,30654,31036,46843,1453819348,0.0,-1936,2424,-529,0,-482,0,-1373,0,1326,0,41,0
2016-09-12,30528,31036,30232,30232,73795,2230970440,-2.5905,9842,-3068,-6348,0,-5,0,0,0,-6343,-203,-223,0
2016-09-13,30528,30782,30274,30359,33567,1019060553,0.4201,2837,-2729,-110,0,-3,0,0,0,-107,0,2,0
2016-09-19,30400,31077,29807,31078,50363,1565181314,2.3683,-8792,4323,4434,0,1263,3511,0,0,-340,-140,175,0
