date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,149587,151976,148154,150065,58722,8812116930,0.3189,-10994,-2211,12971,4440,1122,140,402,0,5367,-12,246,1500
2016-05-27,151021,151021,147197,148154,47904,7097169216,-1.2734,2476,-1204,-784,4795,2314,-3063,323,-1000,-4153,-318,-170,0
2016-05-30,147197,150065,146241,149110,54321,8099804310,0.6453,-17814,16609,-2950,3959,-2756,-350,-3201,0,-602,4000,155,0
2016-05-31,148154,150542,147675,149110,49963,7449982930,0.0,-7280,8089,-1172,8122,-1504,313,-2446,0,-1746,364,-1,-3911
2016-06-01,149587,154844,148631,153889,102601,15789165289,3.205,-40672,14496,26169,6488,5423,7867,1422,-1147,6116,-16,23,0
2016-06-02,153888,160101,152455,159624,121438,19384419312,3.7267,-54736,9418,39090,12074,8703,18911,-522,-500,-76,6442,-214,500
2016-06-03,159623,160579,158668,160580,78634,12627047720,0.5989,-30316,28483,1836,2994,-2148,108,184,-500,1198,27,-30,0
2016-06-07,160101,161535,159145,159624,63685,10165654440,-0.5953,-6551,2832,4086,3202,-191,0,-2530,2554,1389,-309,-58,-338
2016-06-08,160579,163446,155799,162492,83790,13615204680,1.7967,-20819,13948,6748,1586,-1691,4315,-336,1212,1662,453,-330,0
2016-06-09,161056,164402,157233,160102,107985,17288614470,-1.4708,20587,15469,-34472,-7734,-3595,-19,-12350,2648,-13422,-1590,6,0
2016-06-10,160101,160579,154366,157235,70750,11124376250,-1.7907,15453,12652,-28197,-2548,-20458,-1984,-6412,870,2335,95,-3,0
2016-06-13,154366,159623,153411,154367,55227,8525226309,-1.824,-180,7890,-8518,-2802,-8841,-1688,-50,0,5191,830,-22,-328
2016-06-14,152455,157233,151976,154367,56271,8686385457,0.0,-684,-215,2349,2161,-4301,-21,992,0,3280,-1216,-234,238
2016-06-15,153411,156278,153411,154845,38935,6028890075,0.3097,4769,2492,-6281,-1067,-1140,-86,-456,0,-3532,-710,-270,0
2016-06-16,155799,156756,152455,153411,80551,12357409461,-0.9261,-3414,12191,-8721,3000,1582,-10719,305,0,-2889,-80,24,0
2016-06-17,154844,156756,153411,153889,40076,6167255564,0.3116,-7600,6053,1886,2537,-302,-2762,-204,2154,463,-330,-9,0
2016-06-20,154366,155322,152455,153889,28472,4381527608,0.0,2292,-5321,2894,2416,986,-2767,13,0,1981,100,35,265
