date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,43400,45600,43100,44600,170876,7621069600,5.1887,-30349,53044,-15880,9772,-7685,-4116,-8076,-1205,-4907,-6516,-299,337
2016-05-27,45000,45400,43900,45200,88614,4005352800,1.3453,-12532,11110,3516,10162,-564,-3227,-4009,114,1061,-2094,0,-21
2016-05-30,44400,44600,43000,44100,115519,5094387900,-2.4336,6474,6592,-12194,-312,3559,-9051,-3551,-20,-2819,-872,0,0
2016-05-31,43600,44800,43500,44400,71918,3193159200,0.6803,-6747,8833,2156,8811,-2779,-1726,-4580,2500,-67,-4290,48,-3
2016-06-01,44500,45000,43700,44800,36780,1647744000,0.9009,-8939,15583,-4512,4211,-263,-3676,-2395,-23,-2366,-2132,0,0
2016-06-02,44700,44800,42600,43000,123340,5303620000,-4.0179,7374,25967,-28111,-3839,-9683,-5161,-1005,-401,-5511,-5358,128,-2511
2016-06-03,43100,44800,43100,44700,84583,3780860100,3.9535,-15784,18256,4785,11555,-2145,-1147,-728,0,-2750,-7249,-8,0
2016-06-07,44700,45700,44600,45600,65838,3002212800,2.0134,-14239,8310,6842,7428,-291,702,3397,-56,-4338,-913,0,0
2016-06-08,45300,46000,44700,46000,86976,4000896000,0.8772,-14473,6486,8385,11735,-191,1186,-2268,-263,-1769,-398,0,-45
2016-06-09,45999,47200,45000,45700,293464,13411304800,-0.6522,-3175,-135249,141802,8535,95552,4971,25589,-1442,8597,-3432,54,0
2016-06-10,45100,45900,44400,45500,79888,3634904000,-0.4376,-3631,11573,-8129,5175,-2090,-7212,-2295,-22,-1685,240,-53,0
2016-06-13,45500,45500,44500,45300,34993,1585182900,-0.4396,1413,-348,-769,4016,-7811,-71,-2305,0,5402,-296,0,0
2016-06-14,45300,46800,45100,46300,74693,3458285900,2.2075,-19566,11835,8070,3499,3904,230,1342,-600,-301,-331,-8,-4
2016-06-15,46300,48900,46300,47800,132718,6343920400,3.2397,-8991,15486,-1712,-2153,-260,4082,-4466,-500,646,-4792,9,939
2016-06-16,48100,48200,45900,47000,75341,3541027000,-1.6736,3469,17539,-20257,-8778,545,486,-3452,-7148,-1910,-752,1,0
2016-06-17,47300,47900,44700,45700,86216,3940071200,-2.766,14012,14742,-27678,-7832,-2109,2497,-6154,-13863,-217,-1067,-9,0
2016-06-20,45700,46500,43900,45600,66029,3010922400,-0.2188,-6363,12731,-6213,8701,2438,-1528,-4162,-11425,-237,-130,-25,0
