date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-11-10,196360,215267,182541,209449,4820808,1009713414792,0.0,30728,702733,-668530,202551,-612591,-281570,126197,-7687,-52260,-64769,-162,-43170
2016-11-11,217450,271267,206541,234903,5466482,1284093021246,12.1528,145338,76519,-197407,91541,-122531,-105326,32222,8155,-89667,-23467,-983,-11801
2016-11-14,239994,258176,239994,255268,1999214,510335359352,8.6695,6875,75997,-73592,23256,-34305,-28234,6080,-782,-33680,-7985,-1295,-5927
2016-11-15,260358,263994,236359,241449,1741200,420410998800,-5.4135,114128,15070,-108969,6221,-37602,-50242,-13028,-2864,-11109,-22519,2290,-345
2016-11-16,245085,251631,237813,247267,1115367,275793451989,2.4096,-83574,236256,-124110,-12180,-46495,-43012,-13110,-2557,-8408,-27712,-860,1652
2016-11-17,256722,258176,243631,243631,612594,149246888814,-1.4705,-11916,54170,-36707,3949,-9070,-17740,1760,50,-15656,-6750,1203,0
2016-11-18,242904,244358,229085,244358,881327,215359303066,0.2984,-16998,128147,-104103,-5867,-29135,-16732,-9415,-2143,-42705,-7530,484,1894
2016-11-21,243631,250175,238540,245813,431194,105993090722,0.5954,-71613,94130,-23098,-2247,-6843,-5237,-4272,-487,-4012,190,391,0
2016-11-22,247267,253085,245813,248721,381581,94907207901,1.183,-46685,47121,1663,6307,4579,-6109,-613,8,-609,-2070,-29,-1900
2016-11-23,250904,250904,239994,241449,308281,74434139169,-2.9238,11163,35314,-47891,-2474,-6490,-17015,-599,89,-21736,924,490,334
2016-11-24,239994,240722,226177,226177,562656,127259846112,-6.3251,80380,-3105,-83307,-35156,-21928,-19059,2016,4691,-14211,3811,2221,340
2016-11-25,223995,237813,222541,235632,471650,111135832800,4.1804,-122582,110672,-7455,11128,-36906,-13673,5263,-497,28843,19311,54,-1613
2016-11-28,234176,240722,231268,234903,276213,64883262339,-0.3094,-18966,38883,-20199,292,-5765,-12577,401,-2001,-549,715,-433,0
2016-11-29,229085,231268,219631,228358,600278,137078283524,-2.7863,40814,43454,-78228,-1694,-5971,-36892,-25215,-1985,-6759,-4708,-1332,288
2016-11-30,226904,230539,218904,223995,1641798,367754543010,-1.9106,-103138,435893,-313995,-56004,-20211,-68118,-47932,-3168,-116983,-18912,152,-1579
2016-12-01,223268,223995,209449,210176,572320,120287928320,-6.1693,242803,-149437,-84513,-23315,-18817,-10788,-7360,-1580,-22520,-9006,153,-133
2016-12-02,210176,212359,202177,206541,471770,97439847570,-1.7295,-6279,14859,-10633,-5011,-7651,403,-1788,967,1632,3040,-987,815
2016-12-05,208722,213086,206541,206541,273278,56443111398,0.0,-74840,77887,-3953,-8111,-3768,12000,-3878,-2000,1804,-165,1071,0
2016-12-06,207268,215267,207268,212359,275087,58417200233,2.8169,-58036,48053,5085,-6362,6080,6692,0,-1000,-339,2479,2419,14
2016-12-07,213086,221086,213086,218904,232123,50812653192,3.082,-112405,111308,3652,-7894,4127,6492,3535,-2,-2606,-2372,-183,0
2016-12-08,221813,224722,213813,218904,241586,52884141744,0.0,3074,-43645,38679,-13463,76008,-13324,-2222,670,-8990,1636,256,0
2016-12-09,218904,218904,210176,210903,193560,40822384680,-3.655,79064,-12760,-63668,-30120,-1453,-22402,-3264,2,-6431,-19,-2617,0
2016-12-12,210903,215267,207268,207995,211386,43967231070,-1.3788,77548,-1508,-75740,-20933,-64602,5687,-2848,-82,7160,-217,-83,-122
2016-12-13,208722,211632,205086,211632,161625,34205022000,1.7486,-42092,24997,16998,6839,-2989,6658,-920,0,7410,239,-142,0
2016-12-14,213813,213813,207268,208722,124858,26060611476,-1.375,36197,-21492,-15930,0,-5914,-9311,-209,1400,-1896,987,238,0
2016-12-15,207268,209449,205086,207268,135886,28164819448,-0.6966,44462,-63481,18082,2450,-4639,717,3766,19,15769,1143,-206,0
2016-12-16,207995,210176,205813,210176,156133,32815409408,1.403,3290,-3719,39,-3195,6914,3456,-3455,5,-3686,820,-430,0
2016-12-19,209449,219631,207995,218177,237865,51896672105,3.8068,-126283,48932,79008,80468,-5709,1975,-1784,0,2990,418,-2075,1068
2016-12-20,220358,223268,218177,220358,178768,39392958944,0.9996,-74023,13443,60164,57410,-4577,1930,3944,-3,1460,878,-462,0
2016-12-21,221813,222541,215267,215267,98807,21269886469,-2.3103,28007,-10470,-16648,-1100,-6052,-8978,3951,0,-4469,-704,-185,0
2016-12-22,215267,216723,209449,209449,104245,21834011005,-2.7027,40328,-18206,-19919,-21945,996,-2132,2889,0,373,-2265,62,-100
2016-12-23,209449,213086,209449,209449,58094,12167730206,0.0,15937,-7625,-8420,-7402,-2845,388,120,0,1319,1,107,0
2016-12-26,210903,211632,209449,209449,42297,8859064353,0.0,-191,1916,-1702,0,-156,2249,-33,0,-3171,-62,39,-591
2016-12-27,209449,213813,209449,211632,72375,15316866000,1.0423,-36650,11583,23197,2264,7309,1218,14028,-18,-1013,1902,-32,-591
2016-12-28,214540,225449,213813,221086,212720,47029413920,4.4672,-63221,-494,64586,11191,13382,2961,23548,508,12938,-250,-621,58
2016-12-29,219631,221813,217450,219631,84528,18564969168,-0.6581,-2918,-15036,19003,6261,1826,3918,6074,15,909,-966,-83,0
2017-01-02,220358,229812,219631,227631,162670,37028734770,3.6425,-48740,10796,27257,7961,5843,3780,5881,1753,2039,10921,-234,0
2017-01-03,227631,229812,224722,229812,109896,25255419552,0.9581,-37512,-1343,44469,3031,2976,31610,7277,-24,-401,-3152,-2462,0
2017-01-04,231995,234176,224722,224722,120968,27184170896,-2.2149,25120,-5189,-18074,-21326,-385,278,104,220,3035,-2018,161,0
2017-01-05,226904,229812,226904,229085,64470,14769109950,1.9415,-20467,24080,-7997,585,3382,-3926,413,0,-6951,4026,358,-1500
2017-01-06,229812,230539,226177,229085,59163,13553355855,0.0,-1170,-3374,2131,382,5052,-4053,119,250,381,2575,-162,0
2017-01-09,229085,229812,222541,224722,83858,18844737476,-1.9045,29867,-10527,-21279,-6630,-3092,-6797,-2934,5,-1831,3715,-1776,0
2017-01-10,223995,223995,218904,219631,105226,23110891606,-2.2655,50399,-38905,-25147,-13261,-719,-194,-8684,0,-2289,13628,25,0
2017-01-11,220358,234176,220358,231268,237059,54824160812,5.2984,-11385,2356,8150,15735,-782,-10289,3285,-236,383,1917,-1038,54
2017-01-12,229085,230539,224722,228358,101896,23268766768,-1.2583,21435,1830,-24085,-28725,2177,-3200,77,-844,4547,792,28,1883
2017-01-13,225449,229812,221813,222541,124317,27665629497,-2.5473,59748,-32006,-32876,-24071,-2662,-2448,341,0,-4036,5148,-14,0
2017-01-16,223995,224722,219631,220358,84297,18575518326,-0.9809,31337,-15940,-11864,-12454,-2523,-184,2449,0,-1152,-3549,16,2000
2017-01-17,219631,223995,218177,221086,74503,16471570258,0.3304,25013,1709,-28855,-23977,-697,-2583,534,0,-2132,87,2046,0
2017-01-18,222541,223268,221086,222541,49470,11009103270,0.6581,3300,-2882,232,640,-821,1235,218,-15,-1025,-493,-157,0
2017-01-19,226177,227631,221086,221813,64732,14358399116,-0.3271,9367,-17347,2627,0,994,-614,2370,-33,-90,5330,23,0
2017-01-20,221813,226177,221086,225449,53555,12073921195,1.6392,-22164,9428,13087,5049,488,981,573,0,5996,-350,-1,0
2017-01-23,226904,227631,223995,226177,60104,13594142408,0.3229,-18611,8804,9835,-1423,992,8586,-43,0,1723,3,-31,0
2017-01-24,226177,226904,221813,225449,75397,16998178253,-0.3219,11493,2873,-15943,-7232,-6595,-468,-2004,0,356,1620,-43,0
2017-01-25,226904,227631,221813,225449,94472,21298617928,0.0,-14783,17038,-2529,-1700,-685,1529,1266,0,-2939,74,200,0
2017-01-26,227631,238540,226177,234176,273435,64031914560,3.8709,-116667,67756,43890,20798,4023,11169,-52,-350,8302,6743,-1722,0
2017-01-31,235632,238540,233449,234176,153767,36008540992,0.0,2362,-17997,21654,-1432,-4927,11575,5085,107,13701,-6085,66,-2455
2017-02-01,235632,237086,231995,237086,92813,22004662918,1.2427,5041,10314,12,-4278,2705,1400,-1760,60,1885,-15329,-38,0
2017-02-02,237813,251631,236359,249448,401456,100142396288,5.2141,-184817,102799,84467,34157,11759,9048,13057,7,15566,-1640,-809,873
2017-02-03,252358,256722,249448,251631,268216,67491460296,0.8751,-82164,59063,27423,8136,2772,6968,1207,-190,8530,-4447,125,0
2017-02-06,250175,250904,242904,245085,168904,41395836840,-2.6014,33926,-49124,11778,-2693,997,5936,7,-383,7914,2586,834,0
2017-02-07,245085,250904,242904,249448,142865,35637388520,1.7802,-4227,719,-2319,-7325,1923,1362,194,0,1527,5652,175,0
2017-02-08,249448,250175,234903,237086,251193,59554343598,-4.9557,50112,-31527,-15674,-5747,-3924,-5632,600,-613,642,-1684,-1227,-1000
2017-02-09,237086,241449,233449,234176,147311,34496700736,-1.2274,67178,-73867,6737,863,-588,2332,48,671,3411,-353,305,0
2017-02-10,232722,234176,226904,229812,473250,108758529000,-1.8636,247800,37671,-309107,37725,-240215,-58554,-2901,1807,-46969,22864,772,0
2017-02-13,226904,231995,226177,229812,118996,27346708752,0.0,-8040,7005,-7,0,-2671,-829,467,920,106,930,112,2000
2017-02-14,229812,231995,227631,227631,101285,23055605835,-0.949,54655,-43159,-5562,-3708,245,-4574,614,60,2415,-6050,116,-614
2017-02-15,226904,234903,226904,233449,87582,20445930318,2.5559,-9406,-10323,13179,5719,1603,107,1331,545,3874,5563,987,0
2017-02-16,234176,236359,230539,231268,89024,20588402432,-0.9343,-4806,-15386,9740,3664,-2668,5022,827,-24,2919,10424,28,0
2017-02-17,226177,233449,225449,233449,129601,30255223849,0.9431,14173,2866,-25199,-614,-3769,-8684,-4275,-17,-7771,6053,2107,-69
2017-02-20,231995,234903,231268,234176,51171,11983020096,0.3114,-4815,-8399,12412,8268,-2409,1425,2889,14,2942,453,349,-717
2017-02-21,234176,241449,233449,240722,110100,26503492200,2.7953,-35309,11767,23083,6169,-1899,3200,-7333,0,22946,-1273,1732,0
2017-02-22,242177,242904,238540,239994,71607,17185250358,-0.3024,6592,-12244,3803,2250,2216,510,-2954,0,1781,-89,1938,0
2017-02-23,239994,244358,239994,244358,97074,23720808492,1.8184,-50903,15768,34928,7707,10046,8330,7971,212,662,-640,847,0
2017-02-24,243631,244358,239994,240722,56453,13589479066,-1.488,3333,8601,-8282,-3831,-802,-57,-2496,30,-856,-4000,348,-270
2017-02-27,242904,243631,238540,242177,59987,14527471699,0.6044,-17045,20047,-3470,2394,-1074,-3093,-1708,0,11,476,-8,0
2017-02-28,242904,244358,236359,239267,101733,24341349711,-1.2016,-17385,26498,-4821,-1173,2164,3189,295,0,-9296,-4322,30,0
2017-03-02,239994,241449,234176,234903,101465,23834432895,-1.8239,37865,-585,-36799,-27758,105,-6801,-64,150,-2431,-451,-30,0
2017-03-03,234903,237086,233449,235632,49427,11646582864,0.3103,-16162,10036,6071,1452,653,281,3791,0,-106,205,-150,0
2017-03-06,236359,240722,235632,239267,63118,15102054506,1.5427,-22921,22839,485,-2252,-2530,-118,109,0,5276,-641,238,0
2017-03-07,239267,244358,237813,244358,92554,22616310332,2.1277,-47321,32274,11371,12983,1306,-4765,679,-220,1388,3999,-323,0
2017-03-08,245813,250175,244358,247267,182139,45036964113,1.1905,-55008,56401,3942,18165,7273,-28407,2035,-227,5103,-5185,-150,0
2017-03-09,247267,248721,244358,244358,73590,17982305220,-1.1765,-5960,-11503,10163,13559,-2232,-6866,-244,-235,6181,6969,331,0
2017-03-10,244358,248721,242904,248721,100276,24940746996,1.7855,-27907,14467,8310,10690,3552,-15064,3946,0,5186,5227,-97,0
2017-03-13,247267,251631,246540,251631,92559,23290713729,1.17,-40405,29086,17995,20155,-615,-8905,1231,-480,6609,-6239,-437,0
2017-03-14,250904,254539,247267,248721,89477,22254808917,-1.1565,-3105,12059,-8037,8295,-3464,-5009,155,-400,-6434,-601,-316,-1180
2017-03-15,248721,252358,245085,252358,89682,22631970156,1.4623,-29577,4831,28765,22282,1247,1190,-806,663,4189,-1200,-2819,0
2017-03-16,253085,256722,253085,256722,126916,32582129352,1.7293,-44452,22249,28637,5239,4193,13982,3730,0,2423,-6541,107,-930
2017-03-17,255995,263267,255268,262540,203348,53386983920,2.2663,-54518,36032,22406,7707,7017,-1509,5186,-250,4255,-1297,-2623,0
2017-03-20,261813,273448,257449,272721,243504,66408654384,3.8779,9807,-10342,44606,23143,9521,5464,4217,-4,2265,-43794,-277,0
2017-03-21,272721,290176,271267,280722,332597,93367295034,2.9338,-6935,-10875,22711,8396,1314,5359,1282,2257,4103,-4278,-623,0
2017-03-22,274904,283630,270540,273448,229221,62680024008,-2.5912,44074,-64675,20413,11357,51,12196,441,30,-3662,77,111,0
2017-03-23,276358,280722,267630,271994,190020,51684299880,-0.5317,34580,-21110,-18434,-14500,-1896,-902,1462,-301,-2297,4877,87,0
2017-03-24,271994,279266,269811,272721,127585,34795108785,0.2673,14790,-6372,-11357,-3530,-825,-1813,173,-700,-4662,2643,296,0
2017-03-27,271267,272721,263267,264721,118810,31451502010,-2.9334,7180,-2030,-6412,-718,31,-2833,342,-522,-2712,1028,234,0
2017-03-28,267630,271267,265449,269084,70569,18988988796,1.6482,-3589,3955,-1681,3730,-2879,-3909,-4239,-470,6076,1261,54,10
2017-03-29,271994,274175,266176,266903,80321,21437915863,-0.8105,35261,-30419,-5172,0,-1157,-2817,339,0,-1537,-169,499,0
2017-03-30,257449,261813,251631,257449,400197,103030317453,-3.5421,105251,-93844,-18943,-3094,7863,-34067,1035,2759,7257,7841,-305,-696
2017-03-31,253812,255268,248721,251631,260494,65548365714,-2.2599,56661,-73884,-3130,-5992,1797,-9471,-324,5242,3198,20496,-143,2420
2017-04-03,249448,258176,249448,255995,144429,36973101855,1.7343,58544,-61392,4214,6238,1990,-9612,1308,40,4240,-1387,21,10
2017-04-04,255995,258176,253085,258176,74351,19195643776,0.852,10891,-15925,1861,2499,-608,395,984,0,-1409,3173,0,0
2017-04-05,257449,264721,256722,264721,116122,30739931962,2.5351,-12327,-4441,12012,8656,2602,-5665,4945,-520,1994,1513,3243,0
2017-04-06,263267,264721,260358,263267,89689,23612153963,-0.5493,23094,-20568,4218,2370,2018,1740,2135,-18,-4027,-7290,546,0
2017-04-07,263994,264721,257449,258903,105289,27259637967,-1.6576,34547,-23173,-6495,6600,2323,-1161,1988,120,-16365,-4885,6,0
2017-04-10,257449,258176,252358,252358,91889,23188924262,-2.528,5320,-7989,-2821,204,-6124,5374,-2898,0,623,5634,-144,0
2017-04-11,253812,258176,253085,257449,100768,25942620832,2.0174,-12335,-11913,24870,10748,3653,484,13196,-360,-2851,-3021,2399,0
2017-04-12,256722,261813,255995,261813,87508,22910732004,1.6951,-24249,10878,11266,4843,2819,1200,993,-200,1611,2131,-26,0
2017-04-13,263267,263267,259630,261085,57143,14919180155,-0.2781,-4995,-7755,16048,7673,3556,857,1405,0,2557,-3348,50,0
2017-04-14,259630,261813,258903,260358,36666,9546286428,-0.2785,-8132,-1432,8885,150,2884,3577,2617,0,-343,676,3,0
2017-04-17,260358,263994,260358,263267,56500,14874585500,1.1173,-3128,-9689,12407,10983,2106,776,258,-50,-1666,408,2,0
2017-04-18,265449,265449,261085,264721,49693,13154780653,0.5523,-6918,-6804,14720,6166,4954,1399,2060,0,141,-1088,90,0
2017-04-19,264721,270540,263267,267630,122354,32745601020,1.0989,-26992,-21991,51910,30932,3485,5978,8843,-51,2632,-2926,-1,91
2017-04-20,268357,269084,264721,266903,58181,15528683443,-0.2716,-492,-2688,2829,335,-1114,2582,-260,0,1209,551,-200,77
2017-04-21,269811,277812,268357,271994,158681,43160279914,1.9074,-3802,24699,-7656,2916,-1002,-2736,-2943,0,-3944,-13406,165,53
2017-04-24,276358,277085,266176,266176,178066,47396895616,-2.139,90006,-37703,-29334,-12539,-1174,-6329,-7888,0,-1136,-23066,97,-268
2017-04-25,267630,269084,263267,267630,95477,25552509510,0.5463,23007,-14615,-8530,-1029,1257,-3995,-3818,0,-945,109,29,0
2017-04-26,271994,272721,262540,263267,170526,44893868442,-1.6302,95462,-64684,-21721,-7773,-390,-404,-11368,-1666,-120,-9258,201,0
2017-04-27,265449,266903,263267,263994,100251,26465662494,0.2761,36864,-17721,-19761,-4272,2721,-4491,655,-500,-13874,517,101,0
2017-04-28,263994,264721,252358,254539,247595,63022583705,-3.5815,118488,-63152,-40974,-25232,-8550,-913,-4368,0,-2009,-12460,-1902,98
2017-05-02,254539,261085,254539,260358,91686,23871183588,2.2861,-546,23045,-22659,-7932,-2161,-3880,-5220,-153,-3496,539,-379,183
2017-05-04,261813,262540,257449,261813,94517,24745779321,0.5588,7236,29898,-37945,-25988,-5726,-281,-2998,0,-3252,486,325,300
2017-05-08,264721,267630,262540,266903,129599,34590361897,1.9441,-4474,7134,-2754,-2714,2932,-149,-2606,327,-644,125,-31,100
2017-05-10,267630,267630,261085,261813,151234,39595027242,-1.9071,16717,11052,-29370,-4752,2491,-37069,-1360,55,12037,-1740,3341,-772
2017-05-11,263267,270540,261813,269084,170268,45816394512,2.7772,-17688,64932,-46737,-11689,-718,-6247,638,-80,-22573,-329,-178,-6068
2017-05-12,269084,269811,265449,269084,67979,18292061236,0.0,-13929,11618,3910,742,-358,4282,-282,0,-234,-881,-718,-240
2017-05-15,269811,271994,267630,271267,76685,20802109895,0.8113,-2604,5396,504,2244,-412,1776,-2809,0,1246,-3381,85,-1541
2017-05-16,271994,272721,269084,271994,77223,21004192662,0.268,-19836,22212,-6213,3322,2069,1873,580,0,-7509,4037,-200,-6548
2017-05-17,272721,274904,270540,274904,88235,24256154440,1.0699,-49034,51781,-744,443,-731,4413,58,0,-4965,-1687,-316,38
2017-05-18,273448,278539,271994,277812,192460,53467697520,1.0578,-90640,58283,20052,9180,-3283,-742,2495,-1949,17838,13232,-927,-3487
2017-05-19,279266,279994,274904,279994,94014,26323355916,0.7854,-26899,10702,16140,7329,4944,1165,-770,318,4954,-18,75,-1800
2017-05-22,280722,282176,276358,280722,109381,30705653082,0.26,-15685,34008,-17380,-18917,248,1164,-1,365,-239,-1014,71,0
2017-05-23,281449,285085,279994,285085,126659,36108581015,1.5542,-52400,36426,12173,14030,-1545,452,-895,105,26,4668,-867,0
2017-05-24,287266,291630,284357,290903,203955,59331121365,2.0408,-52714,78134,-15293,-2065,1204,-1921,-134,163,-12540,-9620,-507,0
2017-05-25,290903,300358,288720,296721,176981,52513979301,2.0,-10215,23280,-13615,-5331,-99,-6641,-1018,0,-526,662,-112,0
2017-05-26,298175,313447,295267,310539,290384,90175556976,4.6569,25058,-18206,-15235,-2820,2843,-9787,-1027,0,-4644,9106,-723,200
2017-05-29,306175,319267,301085,309812,310449,96180825588,-0.2341,-9711,54885,-37980,-19792,-6120,-8698,-2437,2259,-2819,-7041,-153,-373
2017-05-30,311266,312720,301812,307629,218697,67277539413,-0.7046,-35033,35814,-21427,-12776,-3983,-3231,-892,-583,-26,20376,270,64
2017-05-31,309812,319994,306902,319994,421823,134980829062,4.0195,-6808,27975,-19779,261,-3209,-8282,-4093,848,-5104,-1217,-171,-200
2017-06-01,319994,333083,316357,333083,306967,102245489261,4.0904,54019,-67280,7767,-11151,27222,-8409,3673,-594,-2865,6033,-539,-109
2017-06-02,338174,344720,327265,336720,411125,138434010000,1.0919,54629,-59792,3353,9776,29574,-24621,-4433,-183,-6760,1612,198,0
2017-06-05,336720,338174,330175,338174,238003,80486426522,0.4318,16943,-25252,13837,-7827,25938,-11009,10500,-3321,657,-5481,-47,-1101
2017-06-07,336720,356356,333083,356356,344340,122707625040,5.3765,-18301,10931,16942,8121,8265,-118,4190,-2639,-756,-9693,121,-121
2017-06-08,361447,369447,334539,342538,967567,331428465046,-3.8776,197653,-370181,105544,-58642,176374,-26765,21682,-3106,-4300,65941,1043,301
2017-06-09,336720,338174,325084,326538,509072,166231352736,-4.671,127398,-107823,-10978,17887,-3320,-4474,-13728,-107,-6847,-9052,455,-389
2017-06-12,327265,338174,327265,332356,243290,80858891240,1.7817,11576,-43576,23472,40924,-4180,1055,-1129,-1,-12997,8832,-304,-200
2017-06-13,336720,356356,335993,356356,352950,125775850200,7.2212,-17645,-22975,41595,12446,3547,11233,7791,-4,6880,-1205,230,-298
2017-06-14,363629,363629,344720,354175,309890,109755290750,-0.612,71821,-93130,19987,19936,3165,-486,915,-218,-3031,1079,243,-294
2017-06-15,354902,358539,344720,349084,199268,69561270512,-1.4374,55359,-45613,-11188,12462,-2720,-13273,375,0,-8032,-809,2251,0
2017-06-16,346901,353448,343265,349084,161621,56419305164,0.0,-1288,-5954,5905,10865,-2150,-3288,-1337,0,1815,-64,1401,0
2017-06-19,351265,354175,346901,349811,118587,41483037057,0.2083,-5897,-14063,17022,8799,432,1306,4178,0,2307,5517,-2579,0
2017-06-20,353448,353448,338903,340357,210701,71713560257,-2.7026,53866,-62644,1277,14184,-105,-8496,506,0,-4812,4760,2741,0
2017-06-21,335993,344720,329448,338903,244498,82861105694,-0.4272,1688,-16518,10019,29063,-2454,-13136,-545,-500,-2209,3774,1037,-200
2017-06-22,341811,348357,337447,346174,155548,53846673352,2.1455,-66108,22272,41388,33779,1244,5188,-349,0,1526,4618,-2170,0
2017-06-23,346901,362901,346901,362174,266635,96568264490,4.622,-76685,25197,59869,28570,8569,15169,225,0,7336,-5634,-2747,0
2017-06-26,368720,436354,367265,410900,1011674,415696846600,13.4538,81207,-40892,-44539,1611,-13707,-6895,-4879,-19,-20564,4479,-255,-86
2017-06-27,399992,413810,393447,412356,350375,144479233500,0.3543,40941,-35546,-8077,259,-914,-2075,-1344,86,-4189,2038,644,100
2017-06-28,406537,410173,403628,409446,252974,103579192404,-0.7057,119145,-96332,-21383,-1820,-4893,-10892,-4509,78,653,297,-1727,0
2017-06-29,414537,439264,412356,431992,517735,223657378120,5.5065,77512,-87492,8559,14305,-2134,7458,-3401,-8,-7361,1850,-429,-300
2017-06-30,429809,448718,416718,424718,574763,244112191834,-1.6838,271148,-162775,-116102,-14160,-12018,-65893,-6015,25,-18254,6867,862,213
2017-07-03,423264,423991,401446,407992,343172,140011430624,-3.9381,57039,-20705,-54908,-13313,-10714,-10874,-21307,421,861,17658,916,18
2017-07-04,410173,423264,404355,420355,279970,117686789350,3.0302,4762,10085,-8732,-173,-4405,-5076,-84,-400,1406,-5757,-358,0
2017-07-05,423991,424718,414537,420355,119140,50081094700,0.0,30779,-16022,-15157,-8191,-822,-3692,-2297,-300,145,695,-295,0
2017-07-06,421809,432719,419628,421082,183463,77252966966,0.1729,21149,-6172,-15887,-5912,3651,-9295,193,0,-4524,1514,-604,0
2017-07-07,419628,428355,415264,422537,117880,49808661560,0.3455,10325,-17082,5594,5530,1289,-3906,276,0,2405,395,768,0
2017-07-10,426173,429082,420355,423264,92653,39216679392,0.1721,21085,-21720,2926,1324,1049,-1015,570,0,998,-915,-1376,0
2017-07-11,424718,426173,416718,421082,80562,33923208084,-0.5155,16011,-11780,-4652,-1011,532,-2622,68,0,-1619,207,214,0
2017-07-12,420355,423991,407265,407265,209560,85346453400,-3.2813,80749,-54263,-27360,-14878,-1372,-5270,-40,10,-5810,502,372,0
2017-07-13,410900,415991,395628,399992,306990,122793544080,-1.7858,107263,-102762,-8078,-3454,-2412,416,-735,1,-1894,3855,-278,0
2017-07-14,399992,399992,378175,386901,483543,187083270243,-3.2728,117806,-159556,34365,-6288,-14310,29511,-2464,0,27916,6823,562,0
2017-07-17,383265,397811,379629,388356,254464,98822621184,0.3761,8712,-40474,25766,-3506,1270,24080,-388,0,4310,5451,545,0
2017-07-18,389083,392720,376719,378902,261638,99135161476,-2.4344,73943,-48722,-26097,-18920,-2159,-2739,3013,0,-5292,1382,-506,0
2017-07-19,373811,384719,365810,382537,312580,119573415460,0.9594,-5393,-41327,46516,-1051,-1699,30175,-2797,-100,21488,1524,-1320,500
2017-07-20,386173,388356,380356,384719,114414,44017239666,0.5704,40627,-57859,16019,-166,1058,13512,41,200,974,1178,35,400
2017-07-21,381810,395628,381810,392720,140207,55062093040,2.0797,4079,-7447,-2377,-526,-592,-4045,-1513,0,2799,4721,1024,1500
2017-07-24,392720,397082,391991,397082,89616,35584900512,1.1107,-5553,-6532,12901,6338,1076,993,731,0,3763,-981,165,0
2017-07-25,399992,424718,399265,417447,407180,169976069460,5.1287,-84482,59339,27627,15019,2224,251,8429,498,1206,-1883,-601,0
2017-07-26,425446,426173,410173,415264,190120,78949991680,-0.5229,-15001,-10188,25922,18893,2110,-947,321,0,5445,-552,-181,100
2017-07-27,418174,418901,402901,404355,159372,64442865060,-2.627,10810,-21247,4376,1489,600,-550,107,49,2681,6263,-202,0
2017-07-28,398538,399992,390537,392720,148229,58212492880,-2.8774,17124,-27051,7589,-1047,330,-8026,-677,1650,14359,1958,380,1000
2017-07-31,386173,403628,381083,395628,112582,44540591496,0.7405,4735,-14531,9223,911,1388,1316,128,-991,5984,655,-82,487
