date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-11-18,36000,38950,33900,35900,20007019,718251982100,0.0,5276400,-1906272,-3323138,-145050,-2266445,-368063,-77372,-54265,-364792,-59242,12252,-47151
2016-11-21,35800,36400,34400,34500,4133962,142621689000,-3.8997,116469,371591,-510877,123972,-407149,-137355,41271,-311,-132305,22081,736,1000
2016-11-22,35400,37300,34500,36900,4432520,163559988000,6.9565,-154495,46207,134056,158008,-103195,47757,56220,9667,-25001,-24199,-1569,-9400
2016-11-23,36250,36450,35300,35350,2028435,71705177250,-4.2005,-182255,-13841,198619,99732,-5183,-20680,65270,5770,55710,-3561,1038,-2000
2016-11-24,35600,36350,35350,35400,1381254,48896391600,0.1414,-217468,116133,105460,78848,35581,-65489,15078,2050,38046,-2767,-1358,1346
2016-11-25,35700,36050,34600,34900,1331139,46456751100,-1.4124,30074,2303,-36442,11881,-67978,-4879,3145,13330,8059,3628,437,0
2016-11-28,35000,35200,34400,35000,803050,28106750000,0.2865,-145702,285144,-139966,-38669,-60788,-20188,1772,292,-22385,989,-465,0
2016-11-29,34550,35150,34550,34850,668216,23287327600,-0.4286,-223999,285341,-59241,-39916,-8325,-6599,17847,440,-24103,-1275,-826,1415
2016-11-30,34850,35100,33450,33450,1004454,33598986300,-4.0172,-75709,195536,-127536,-70449,-4954,-31215,4735,92,-25745,5420,2289,0
2016-12-01,33850,34800,33350,34100,749451,25556279100,1.9432,-162197,88396,71406,86287,12998,-11476,-28293,739,10692,3071,-676,459
2016-12-02,34200,34250,32650,33400,932763,31154284200,-2.0528,-102111,186363,-85528,6531,-105936,-31091,6288,1080,37600,916,360,0
2016-12-05,33500,35100,33400,34800,827683,28803368400,4.1916,-325164,95345,234626,95073,53907,9716,73751,2713,466,-3408,-1399,-1000
2016-12-06,34900,35400,34350,34900,442595,15446565500,0.2874,-86671,29661,53032,1865,14543,17788,13356,-3863,9771,5154,-1176,-428
2016-12-07,34800,35350,34300,34800,456565,15888462000,-0.2865,-45188,90873,-45326,4136,-41944,1127,-4073,-1087,-186,68,-427,-3299
2016-12-08,35000,35700,34800,35600,675789,24058088400,2.2989,-255660,151237,105111,27450,37871,-64591,68875,-415,36921,-712,24,-1000
2016-12-09,35700,36500,35450,36400,762544,27756601600,2.2472,-384348,274922,101078,105433,5504,-6975,7251,0,-529,-6788,15136,-9606
2016-12-12,36600,37150,36050,37050,677993,25119640650,1.7857,-245775,253825,2780,27155,5434,-27685,13586,-928,-14782,-7025,-3805,0
2016-12-13,36850,37000,35950,36000,430253,15489108000,-2.834,10469,-16975,7782,32243,-14548,442,127,340,-13519,-1558,282,2697
2016-12-14,36350,36400,35450,35550,326736,11615464800,-1.25,-21894,48812,-30068,17597,-32022,-11908,-3793,-29,87,3108,42,0
2016-12-15,35850,36250,35450,35550,294079,10454508450,0.0,12751,-1542,-12054,4903,9859,-10361,-11292,0,-5163,696,149,0
2016-12-16,35800,36300,35400,35900,338946,12168161400,0.9845,-23058,-6653,51726,38045,-5791,-998,37946,73,-17417,-21997,-18,-132
2016-12-19,35950,35950,34900,35000,328479,11496765000,-2.507,15286,-1628,-12875,42405,-27564,-22435,-8302,0,-812,-828,45,3833
2016-12-20,35050,35750,34650,34800,414926,14439424800,-0.5714,107971,4126,-112035,9390,4878,-15957,-47112,0,-66040,-262,200,2806
2016-12-21,35200,35550,33900,34050,534943,18214809150,-2.1552,82235,-7233,-90344,-6854,30956,-54644,-38154,-178,-10559,14971,371,-10911
2016-12-22,34200,35200,34150,35000,518874,18160590000,2.79,-129872,91054,50637,21029,18125,-15404,41352,-10809,-714,-8919,-2900,-2942
2016-12-23,34900,35450,34900,35300,228060,8050518000,0.8571,-28144,61057,-33143,-2994,-440,-1173,-15323,-7200,-6013,300,-70,0
2016-12-26,35100,35550,34800,35000,222362,7782670000,-0.8499,17263,42477,-58928,1241,-10190,-3703,-29478,-10170,-5742,-756,-56,-886
2016-12-27,34700,35050,34500,35050,256961,9006483050,0.1429,13675,27857,-44001,-10598,2982,-6588,-11976,-7588,-10233,2498,-29,0
2016-12-28,34850,35650,34700,35600,234724,8356174400,1.5692,-101723,36810,61160,34600,20898,6926,-8128,359,6705,4073,-320,-200
2016-12-29,35500,35950,35300,35850,143474,5143542900,0.7022,-36886,-19941,56841,22374,2617,2523,18843,560,9924,-114,100,0
2017-01-02,35600,35800,35150,35400,169698,6007309200,-1.2552,28596,12035,-40652,-1085,-16235,-15034,1359,0,-9657,36,-15,0
2017-01-03,35300,35950,34950,34950,289959,10134067050,-1.2712,31830,29028,-63754,-34128,-12342,-7007,-5794,2000,-6483,2162,734,0
2017-01-04,35300,36000,35050,35600,326835,11635326000,1.8598,-71276,108209,-36649,8222,2175,-23992,-23559,0,505,1024,-1308,0
2017-01-05,35850,36150,35650,36000,356017,12816612000,1.1236,-69673,43023,23195,16800,-996,3075,-523,0,4839,3590,-135,0
2017-01-06,36000,36950,36000,36450,489562,17844534900,1.25,-119086,75475,62483,98239,-54280,10760,1257,1000,5507,-19500,628,0
2017-01-09,36700,37000,36600,36850,378344,13941976400,1.0974,-139277,67174,70764,33626,23867,8984,-8773,-144,14978,1371,-32,-1774
2017-01-10,36750,37100,36250,37000,551778,20415786000,0.4071,-144594,37754,116747,110730,7614,23171,-24538,0,-130,-9914,7,-100
2017-01-11,37200,38000,36800,36900,482966,17821445400,-0.2703,-32065,-23620,55477,39586,18173,-18769,17963,-2690,2815,377,-169,-1601
2017-01-12,37150,37150,36000,36050,476870,17191163500,-2.3035,41428,-22570,-14536,38087,-5328,-53751,10117,0,-3661,-4030,-292,0
2017-01-13,36250,36300,36000,36200,256722,9293336400,0.4161,3154,71495,-73582,30422,-32649,-56215,-10378,-100,-4662,-1054,-13,0
2017-01-16,36300,36550,35850,36550,364354,13317138700,0.9669,-89089,185106,-88233,9893,-5473,-23435,-22208,-13171,-33839,-7407,-377,0
2017-01-17,36550,36700,35900,36100,296441,10701520100,-1.2312,49975,29981,-75070,-27354,-26873,-14986,-4342,910,-2425,2674,-7560,0
2017-01-18,36000,36050,35250,35250,339913,11981933250,-2.3546,81105,33474,-107853,-14938,-63723,-6718,-23258,0,2186,-6696,-30,-1402
2017-01-19,35250,35400,34800,34900,302177,10545977300,-0.9929,79442,21206,-106244,-17895,-80073,-12061,-22135,8000,18120,5711,-115,-200
2017-01-20,35050,35750,34900,35650,297584,10608869600,2.149,-68510,-52760,126024,70391,35257,-12385,3972,960,27829,-5154,400,0
2017-01-23,35750,35750,34450,34650,374972,12992779800,-2.805,108645,-36792,-79385,16384,-15646,-45977,-2507,-9410,-22129,7252,280,-100
2017-01-24,34650,34850,34100,34400,243454,8374817600,-0.7215,47632,12263,-61125,-8128,-4931,-10918,-1277,0,-35871,1466,-236,0
2017-01-25,34650,35150,34400,34700,329759,11442637300,0.8721,-17524,46177,-28120,-50496,34595,6000,-8290,597,-9818,-450,-83,-708
2017-01-26,35100,37850,35050,37450,1125650,42155592500,7.9251,-369239,228798,159962,61386,81664,24176,-5517,-4348,4811,-9946,-9575,-2210
2017-01-31,37450,37650,36800,37000,286897,10615189000,-1.2016,-31051,35772,-4479,-9918,-11822,29378,-682,0,-11435,146,-388,0
2017-02-01,36850,37100,36200,36750,303592,11157006000,-0.6757,36225,-13878,-14087,-10688,-12504,-6179,1095,1217,12972,-8052,-208,0
2017-02-02,36600,38200,36100,36200,560216,20279819200,-1.4966,-34347,107621,-77813,-10567,-50243,-16664,-3854,0,3515,3381,1158,0
2017-02-03,36400,37600,36150,37250,379194,14124976500,2.9006,-125670,146137,-15436,10839,5692,-28669,147,0,-3445,-4361,-670,0
2017-02-06,37500,38000,37150,37650,361782,13621092300,1.0738,-65811,-5890,72362,28695,11235,22386,10706,378,-6949,-348,-313,5911
2017-02-07,37800,38300,37100,37900,280490,10630571000,0.664,-85801,110742,-24048,-5627,-15720,4843,-10812,2000,1268,-737,-156,0
2017-02-08,37500,37800,37100,37500,324772,12178950000,-1.0554,6445,-17388,10998,19139,-5014,9038,-11480,0,-2685,-200,145,2000
2017-02-09,37250,37450,35450,35850,614183,22018460550,-4.4,130309,-122584,-9450,14419,-25185,7758,2796,-2346,-9892,1501,224,3000
2017-02-10,36200,36700,35700,36100,449485,16226408500,0.6974,-13857,5010,5871,25684,-627,-16609,-75,-1000,-1502,3521,-545,0
2017-02-13,36350,36400,35400,35500,382714,13586347000,-1.662,154205,-134300,-20563,9422,-2814,-30037,19725,-1263,-15187,800,-142,-409
2017-02-14,35700,36250,35250,35900,385727,13847599300,1.1268,4785,-10621,6140,-7074,20005,-5376,3614,-485,-4544,-417,113,0
2017-02-15,36150,37150,35900,36850,633872,23358183200,2.6462,-75984,157,81891,37398,18666,-12132,41366,-5,-3402,-6855,791,0
