date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2017-05-12,165000,171500,157000,162000,6368916,1031764392000,0.0,1510835,-1735805,196797,252337,-111757,-1333,80777,-6158,-3174,17833,10340,-13895
2017-05-15,159000,165500,158000,160000,1504154,240664640000,-1.2346,119064,-251182,112214,71399,8515,1176,8685,5020,10399,19674,230,7020
2017-05-16,161500,162500,156000,156000,1146762,178894872000,-2.5,121340,-96147,-24894,71988,-16915,-48008,11149,1914,-44781,-1161,862,-241
2017-05-17,153000,154500,142000,144000,2006418,288924192000,-7.6923,307844,-195292,-101797,18129,-71767,-31190,12683,6795,-37118,-9920,-835,671
2017-05-18,144000,149500,142000,148000,1587826,234998248000,2.7778,-47857,139303,-78389,-14230,-26481,-5419,-428,-56,-33125,-12822,-235,1350
2017-05-19,147500,149500,143500,143500,680357,97631229500,-3.0405,119238,-41638,-59197,-8521,-13471,-26508,-3038,1348,-10007,-18747,344,1000
2017-05-22,143000,143500,138000,140000,1133489,158688460000,-2.439,199465,-98626,-98192,4188,-2455,-60854,-4360,4657,-35368,-4590,1943,-4000
2017-05-23,141000,144000,139000,143500,634619,91067826500,2.5,-128349,114466,13473,5466,8038,-2805,3999,-2807,1752,-726,1136,-170
2017-05-24,145000,146000,143500,145000,473540,68663300000,1.0453,979,-3232,5582,28943,-1825,2473,-8484,0,-16525,-4092,763,1000
2017-05-25,145500,146000,141000,144000,492961,70986384000,-0.6897,27531,3024,-28789,30491,-1689,-33577,-3919,1915,-22010,-1605,-161,0
2017-05-26,143500,143500,139500,142000,791714,112423388000,-1.3889,153632,-178950,23221,37720,-3974,255,310,2375,-14715,2029,68,1250
2017-05-29,142000,147000,140500,147000,675099,99239553000,3.5211,-49326,53674,-13384,13746,-47860,-8150,7505,2497,18292,9706,-670,586
2017-05-30,147000,149500,146500,149500,576607,86202746500,1.7007,-72241,32320,41897,39839,3557,-19472,8525,7800,13567,-1009,-967,-11919
