date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-08-10,448500,480000,400500,454000,5121520,2325170080000,0.0,284012,-377966,241514,262105,71253,-11011,53911,-10753,-61448,-147994,434,-62543
2021-08-11,444500,446000,405000,407000,1647759,670637913000,-10.3524,338588,-264299,-86126,75452,1562,-143047,3820,-3952,-20356,11076,761,395
2021-08-12,414000,420500,402000,406000,947958,384870948000,-0.2457,65907,-72340,5894,42302,-6336,-28072,4360,170,-6520,1078,-539,-10
2021-08-13,415000,445500,408500,437000,1669847,729723139000,7.6355,-241633,33728,220465,115995,35894,52524,25145,68,-10960,-16807,4247,1799
2021-08-17,433000,460000,423000,451500,1189500,537059250000,3.3181,-138845,70230,118152,66174,23967,18704,12237,0,-5615,-42116,-7421,2685
2021-08-18,449000,480000,437000,469000,1168167,547870323000,3.876,-164055,105130,87016,59395,15469,-2985,6719,519,7999,-25882,-2209,-100
2021-08-19,472500,498500,469500,492500,1258932,620024010000,5.0107,-133629,51742,138456,141237,13586,-13456,12413,242,-9435,-53722,-2847,-6131
2021-08-20,506000,510000,467500,491500,1100068,540683422000,-0.203,56372,-97895,89165,80594,7589,-1643,10494,420,-7965,-47520,-122,-324
2021-08-23,492000,499500,480000,484500,462461,224062354500,-1.4242,-22565,13575,51469,53345,2546,-2155,452,51,-2520,-40021,-2458,-250
2021-08-24,487500,489000,455000,460000,651528,299702880000,-5.0568,36347,-71267,59187,31519,184,1832,5264,0,-741,-24374,107,21129
2021-08-25,462500,474000,434500,451000,547287,246826437000,-1.9565,-28344,3739,45224,42447,5745,-62,-461,0,-2483,-20727,108,38
2021-08-26,455500,471500,449500,469500,356488,167371116000,4.102,-55465,17039,56613,35105,15326,8821,1088,0,-3805,-18679,492,78
2021-08-27,473000,498000,463500,497000,779064,387194808000,5.8573,-160617,30179,145916,99507,25035,31910,12579,839,-21656,-15088,-390,-2298
2021-08-30,494000,499500,485000,497000,358146,177998562000,0.0,-95596,5178,94537,57867,21389,2001,11706,418,1023,-3805,-314,133
2021-08-31,480000,494500,470500,491500,409300,201170950000,-1.1066,-36545,-8190,53834,35631,8275,6918,2065,119,1036,-9136,37,-210
2021-09-01,487000,507000,487000,507000,529067,268236969000,3.1536,-115432,29198,122778,45256,35982,34979,6626,100,8625,-33418,-3126,-8790
2021-09-02,505000,520000,491500,491500,573318,281785797000,-3.0572,-71938,52755,25769,14521,17538,-4841,5482,141,-2311,-5227,-1359,-4761
2021-09-03,495000,510000,489000,509000,338553,172323477000,3.5605,-132024,76225,71202,37684,12942,9310,14590,0,-1676,-11516,-3887,-1648
2021-09-06,500000,503000,478500,482500,400109,193052592500,-5.2063,19578,6250,-22069,12279,-1365,-26518,2051,0,-8416,-3385,-374,-100
2021-09-07,477000,479000,461000,464500,331012,153755074000,-3.7306,-6692,5736,351,11688,-3321,-11010,5929,-476,-2504,996,-391,45
