date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2017-05-10,82300,90500,73400,78000,756348,58995144000,0.0,18699,30247,-51260,-57386,57555,1795,-22819,3279,-33331,1120,1194,-353
2017-05-11,76500,79000,75600,77500,239477,18559467500,-0.641,-25244,-10613,37350,19396,27261,-9255,4697,-1560,-3216,-1058,-435,27
2017-05-12,77900,79100,74600,75900,141833,10765124700,-2.0645,-11940,-2670,15221,3586,1983,5086,3394,712,460,-664,53,0
2017-05-15,75500,75700,72100,72100,159155,11475075500,-5.0066,-26236,10871,15356,10003,6952,-720,-1251,-12,724,-304,313,-340
2017-05-16,72100,72500,65800,69500,339657,23606161500,-3.6061,-3440,-1010,3530,-8263,18621,-3912,-7831,1492,4413,853,67,-990
2017-05-17,69800,72900,69600,70300,154380,10852914000,1.1511,-1301,-2280,3978,-16386,4903,4729,2968,4635,3129,-424,27,0
2017-05-18,69200,71600,68800,70000,125683,8797810000,-0.4267,10879,-10721,-1294,-5805,-103,-743,947,176,4203,1181,-45,31
2017-05-19,70500,74800,70300,72900,156722,11425033800,4.1429,-35270,4498,27503,12165,2132,16123,4187,-8136,947,2904,365,85
2017-05-22,72900,76600,72900,74900,110111,8247313900,2.7435,-31474,1620,29166,9750,8967,7737,162,865,2432,706,-18,-747
2017-05-23,75100,79600,75100,79400,156818,12451349200,6.008,-70476,23944,47720,21968,8013,-3769,7600,1037,13037,-1261,73,-166
2017-05-24,81000,83500,79300,83000,203838,16918554000,4.534,-63185,41019,25149,21030,917,-7227,7735,4,2695,-3079,96,-5
2017-05-25,84300,84600,81500,83200,119043,9904377600,0.241,-13314,16933,-3781,1140,-416,-6193,-48,27,1709,156,6,0
2017-05-26,84000,86900,82400,86400,139977,12094012800,3.8462,-42375,75779,-35070,-14928,-11899,-2022,-1589,15,-4700,2075,-409,53
2017-05-29,87200,88400,83200,84000,93206,7829304000,-2.7778,12297,6758,-14562,-8146,-6275,2631,-183,-1000,-1342,-4481,-12,-247
2017-05-30,84800,84800,80300,80800,113967,9208533600,-3.8095,-3182,7220,-4146,-3989,-5710,8258,-301,416,-2751,272,-164,-69
2017-05-31,80100,83700,79700,81600,98697,8053675200,0.9901,-1867,8333,-5590,655,-11697,2804,481,-455,2622,-107,-769,0
2017-06-01,80800,83600,78900,82700,85698,7087224600,1.348,-5836,-7276,12479,3,-1216,5214,4166,79,4233,693,-60,0
2017-06-02,83400,83500,82000,82400,52411,4318666400,-0.3628,-5358,9422,-4101,1665,-4026,565,954,-82,-3177,67,-30,0
2017-06-05,81600,81700,79500,79500,92105,7322347500,-3.5194,38244,-26619,-10556,-5280,-12075,2396,2787,154,1488,-907,-162,-26
2017-06-07,78700,80700,78700,80200,49310,3954662000,0.8805,-11732,11181,790,4427,-4616,160,399,0,420,-382,143,0
2017-06-08,79700,84000,78600,84000,93344,7840896000,4.7382,-19860,8048,11621,6279,5269,-1191,558,1050,-264,241,-50,-80
2017-06-09,83900,85899,82600,84000,95372,8011248000,0.0,-21677,16109,5346,-2495,2420,3184,-309,10,2536,19,203,0
2017-06-12,83600,85299,81700,82400,48519,3997965600,-1.9048,-4023,4417,-241,-3014,2536,106,803,350,-1022,-50,-103,0
2017-06-13,80000,82700,77600,78100,169733,13256147300,-5.2184,23973,-36097,11474,4867,7587,-3252,2224,-80,-58,200,450,186
2017-06-14,78800,85300,78700,84700,209336,17730759200,8.4507,-57935,18169,38437,5203,15659,7394,2627,197,7505,1087,242,-148
2017-06-15,84700,84700,82600,84100,55646,4679828600,-0.7084,132,-5007,4691,2732,4460,-1921,1405,1861,-4000,297,-113,154
2017-06-16,83600,84500,80200,81000,76537,6199497000,-3.6861,17721,-12457,-5713,-3019,817,-4686,-885,-972,3013,296,153,19
2017-06-19,81200,82000,79800,80200,43177,3462795400,-0.9877,10340,-1034,-8816,-5685,1062,-3468,355,0,-1095,-517,27,15
2017-06-20,79600,80000,78000,78800,59037,4652115600,-1.7456,17816,-8237,-10112,-5941,-1137,-914,278,0,-2398,464,69,0
2017-06-21,78400,78600,77800,78200,52507,4106047400,-0.7614,21728,-8389,-13108,171,-3096,-4077,-2313,-6,-3787,-152,-79,0
2017-06-22,74600,74700,73700,74100,1359752,100757623200,-5.243,153355,437198,362939,74317,199096,24512,28965,1061,33660,-953613,121,1328
2017-06-23,74600,77000,74100,75100,195209,14660195900,1.3495,23657,-30900,5127,9801,-5383,-1527,4196,-150,-1810,1742,374,0
2017-06-26,75200,76700,74800,76400,74771,5712504400,1.731,-1176,-6061,7043,-3863,1341,4208,3804,0,1403,22,172,150
2017-06-27,77300,77400,75900,76600,77312,5922099200,0.2618,6184,-663,-6484,-2101,-9325,2461,956,0,1525,399,564,0
2017-06-28,76000,76600,75100,76200,53669,4089577800,-0.5222,6254,4123,-10102,-3604,-8828,2531,131,0,-332,-21,-254,0
