date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2017-05-10,61350,68267,54333,56138,543239,30496350982,0.0,46948,3799,-51142,-48171,-36684,10514,8771,676,12651,114,281,1101
2017-05-11,56137,58544,55235,55637,165670,9217381790,-0.8924,5664,-33252,26290,5742,5724,2446,5422,4791,2094,1384,-86,71
2017-05-12,56338,56839,53631,53633,115797,6210540501,-3.6019,11703,-11169,327,1629,-24,-612,-608,4222,-4668,-919,58,388
2017-05-15,53030,53030,50424,50624,117696,5958242304,-5.6104,-15593,-8542,23040,10947,4054,-846,818,2995,4534,570,525,538
2017-05-16,49922,50924,47716,49121,191568,9410011728,-2.9689,6528,-65464,57640,2132,6275,14498,5634,431,28962,1277,19,-292
2017-05-17,50824,55736,50824,54133,221770,12005075410,10.2034,-16087,-3173,18884,5797,15742,5370,6275,-489,-14088,475,-99,277
2017-05-18,54133,58142,53531,57041,158513,9041740033,5.372,-16399,14153,2597,-10559,5766,6806,7081,-995,-5488,-473,122,-14
2017-05-19,56438,57941,55937,57843,64424,3726477432,1.406,-5652,903,3983,537,3998,191,-1250,0,507,736,30,0
2017-05-22,57140,58844,56638,57843,46891,2712316113,0.0,-5225,-3457,9034,5201,-5486,2497,3364,-120,3578,-276,-76,0
2017-05-23,58243,59446,57140,58244,70118,4083952792,0.6933,-13209,-5219,18222,15443,-951,-737,4298,114,-318,142,64,373
2017-05-24,58644,59446,57741,59347,40340,2394057980,1.8938,2115,-7819,4552,1570,3775,-13,1966,-428,-2414,1146,6,96
2017-05-25,60147,64458,60047,63657,124733,7940128581,7.2624,-27213,-8783,38005,30654,2575,1330,3388,-2337,2236,-1985,-24,159
2017-05-26,62754,64257,62553,62955,36934,2325179970,-1.1028,3277,-1022,-2480,411,-1517,-549,-210,-300,-315,232,-7,0
2017-05-29,62954,63355,61550,62153,34025,2114755825,-1.2739,152,837,-1138,3451,-2747,-3193,87,300,978,111,38,-14
2017-05-30,61752,61952,59144,60149,60997,3668908553,-3.2243,5640,-2628,-3655,-4940,-1569,-434,-1246,2298,1236,671,-28,1000
2017-05-31,59546,60347,58243,58745,53253,3128347485,-2.3342,809,-9418,9664,12350,-874,-99,-957,1700,-2456,-1182,127,0
2017-06-01,58744,63255,58544,62454,44739,2794129506,6.3137,-17623,4009,14994,12027,5143,0,1166,-3179,-163,276,-1656,0
2017-06-02,62854,62854,60949,61552,30714,1890508128,-1.4443,255,-11211,10915,5940,552,-133,513,2000,2043,45,-4,0
2017-06-05,61551,62754,60448,61852,20213,1250214476,0.4874,-6014,-3272,9328,2693,4262,1455,468,0,450,-40,-2,0
2017-06-07,61551,63556,61350,63256,34730,2196880880,2.2699,-3334,-6658,9928,9315,2859,-293,-522,-1000,-431,66,-2,0
2017-06-08,63255,67164,62553,66966,66817,4474467222,5.8651,-25290,-2615,28452,24537,5808,1037,2361,-5506,1210,-477,-70,-995
2017-06-09,66463,68367,64959,66664,49857,3323667048,-0.451,-5427,-13394,18547,9318,3474,1043,2396,-707,3023,293,-19,0
2017-06-12,66764,66764,64057,65060,39903,2596089180,-2.4061,5295,-6233,882,6555,-1439,-4875,321,-400,390,58,-2,330
2017-06-13,63455,65360,62954,63858,85036,5430228888,-1.8475,1753,-8439,6576,3298,-7566,11464,-2142,59,1423,94,16,40
2017-06-14,63856,65761,63756,64860,40726,2641488360,1.5691,546,-6860,6522,8602,678,-2913,-2,400,26,-8,-200,-269
2017-06-15,64859,64859,63155,63958,29348,1877039384,-1.3907,3561,-6876,3327,6399,-1497,-6482,242,71,4594,-12,0,0
2017-06-16,63756,63856,62152,62555,41163,2574951465,-2.1936,6873,-6897,84,9084,-730,-7419,-31,2241,-3061,-74,14,0
2017-06-19,62653,63756,61851,63657,26738,1702060866,1.7616,-1444,1373,632,8203,-2849,-3459,1356,-500,-1909,-262,-299,-210
2017-06-20,63255,63455,61651,62555,30890,1932323950,-1.7312,-1896,-3926,5879,3584,1479,-621,-453,2500,-610,-2,-55,0
2017-06-21,62754,62754,60949,61652,25799,1590559948,-1.4435,1977,-1423,-543,5390,850,-3452,-1335,0,-1996,-14,3,0
2017-06-22,61150,62253,59746,61753,43097,2661369041,0.1638,-8254,1334,6881,214,7688,-3382,-3270,0,5631,49,-10,0
2017-06-23,61752,62653,61250,62655,22168,1388936040,1.4607,-2398,-7739,10238,9239,68,-50,1604,0,-623,-70,-31,0
2017-06-26,62653,62854,61350,62153,22408,1392724424,-0.8012,-391,-6188,7401,2682,1189,-405,335,74,3586,-822,0,-60
2017-06-27,61651,62854,61450,61552,20793,1279850736,-0.967,-966,-5438,6419,1986,-905,-2132,613,538,6319,-10,-5,0
2017-06-28,61150,62152,61150,61753,23160,1430199480,0.3266,-3112,-6439,9611,6765,387,-1337,1712,-100,2184,-50,-10,0
2017-06-29,61752,62352,61551,61953,23162,1434955386,0.3239,-2594,-6324,8917,2195,2940,3228,-2889,300,3143,0,1,0
2017-06-30,61651,62553,61651,62454,22156,1383730824,0.8087,-305,-7270,7611,-1588,2116,5772,1599,220,-1108,0,-36,600
2017-07-03,62453,63756,61952,62755,18812,1180547060,0.482,1149,90,-1069,-2051,-3676,1538,893,-325,2552,-170,0,0
2017-07-04,62553,63355,62453,62955,13764,866512620,0.3187,1754,-147,-1590,1650,-1396,-837,350,-175,-1182,-17,0,0
2017-07-05,62553,63355,62453,62955,10004,629801820,0.0,-3231,-276,3588,52,967,-304,-401,0,3274,-81,0,0
