date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2017-05-22,80000,82400,64100,67200,246843,16587849600,0.0,6485,-505,-6438,0,-1000,-1800,0,0,-3638,428,30,0
2017-05-23,67900,68100,61300,61700,105417,6504228900,-8.1845,-751,3832,-3366,0,36,-3402,0,0,0,-15,300,0
2017-05-24,62400,78300,61300,72000,606642,43678224000,16.6937,12560,-9813,-764,0,0,0,0,0,0,-1746,-237,-764
2017-05-25,71900,77300,67400,68900,472274,32539678600,-4.3056,8897,-4090,-4900,0,0,-4900,0,0,0,-8,101,0
2017-05-26,70900,89500,69900,89500,589518,52761861000,29.8984,7540,-4689,-2500,0,0,-2500,0,0,0,-109,-242,0
2017-05-29,103000,106500,76400,79500,439284,34923078000,-11.1732,24242,-21827,-3315,0,0,-2000,0,0,-1315,50,850,0
2017-05-30,77500,78300,71300,74300,189160,14054588000,-6.5409,108,1051,403,0,0,0,0,0,1300,-2656,1094,-897
2017-05-31,75700,76800,70500,70500,86842,6122361000,-5.1144,-252,547,0,0,0,0,0,0,0,-694,399,0
2017-06-01,70200,71300,67400,70100,82554,5787035400,-0.5674,-354,271,0,0,0,0,0,0,0,189,-106,0
2017-06-02,70500,71600,68200,69400,54999,3816930600,-0.9986,468,-569,0,0,0,0,0,0,0,4,97,0
2017-06-05,69600,70000,68200,68700,28537,1960491900,-1.0086,606,-316,-220,0,0,0,-213,0,-7,-70,0,0
2017-06-07,68700,70000,67900,68600,21734,1490952400,-0.1456,-653,645,0,0,0,0,0,0,0,8,0,0
2017-06-08,68900,74800,68700,68900,159052,10958682800,0.4373,4987,-3603,-1801,0,0,-801,0,0,-1000,193,224,0
2017-06-09,69600,69600,68000,68100,19726,1343340600,-1.1611,-7,0,0,0,0,0,0,0,0,2,5,0
2017-06-12,68000,68800,66900,66900,18000,1204200000,-1.7621,974,-1171,167,0,-33,0,0,0,200,30,0,0
2017-06-13,66600,68000,66200,66300,11848,785522400,-0.8969,851,127,-1002,0,-334,-334,0,0,-334,24,0,0
2017-06-14,67000,70500,66000,66100,47840,3162224000,-0.3017,-1125,352,799,0,0,0,0,0,799,-27,1,0
2017-06-15,65900,68900,65900,67100,45314,3040569400,1.5129,-1713,1736,3,0,-3,0,0,0,6,-126,100,0
2017-06-16,67200,67700,66100,66200,19802,1310892400,-1.3413,859,-1174,-1,0,0,0,0,0,-1,-4,320,0
2017-06-19,65900,67000,65300,65300,13067,853275100,-1.3595,1076,-114,-968,0,0,-967,0,0,-1,16,-10,0
2017-06-20,65900,66000,63600,63600,19146,1217685600,-2.6034,1094,-1541,0,0,0,0,0,0,0,32,415,0
2017-06-21,63600,64100,62500,62900,7464,469485600,-1.1006,-274,116,0,0,0,0,0,0,0,32,126,0
2017-06-22,63000,64000,62500,62600,13677,856180200,-0.4769,85,139,0,0,0,0,0,0,0,0,-224,0
2017-06-23,68800,73900,63800,63800,101835,6497073000,1.9169,2118,-150,-793,0,0,-793,0,0,0,-3224,2049,0
2017-06-26,63000,65400,63000,63900,8601,549603900,0.1567,-305,307,0,0,0,0,0,0,0,-2,0,0
2017-06-27,63600,65500,63400,63600,11437,727393200,-0.4695,-1324,302,0,0,0,0,0,0,0,1022,0,0
2017-06-28,63600,64200,63000,63000,3967,249921000,-0.9434,179,-679,0,0,0,0,0,0,0,500,0,0
2017-06-29,62900,63500,62700,62700,4731,296633700,-0.4762,569,13,-298,0,0,-298,0,0,0,16,-300,0
2017-06-30,62700,63300,61900,62300,4953,308571900,-0.638,31,-49,1,0,0,0,0,0,1,17,0,0
2017-07-03,62500,62900,61800,62100,4262,264670200,-0.321,5,-5,0,0,0,0,0,0,0,0,0,0
2017-07-04,62100,62500,61500,61700,5379,331884300,-0.6441,1326,-90,-1300,0,0,0,0,0,-1300,17,47,0
2017-07-05,61800,62700,61700,62400,3123,194875200,1.1345,517,-14,-503,0,-500,0,0,0,-3,0,0,0
2017-07-06,62600,64900,62300,64200,9889,634873800,2.8846,960,189,-1078,0,0,-1077,0,0,-1,-42,-29,0
2017-07-07,64400,64500,63400,63800,3776,240908800,-0.6231,-389,-261,0,0,1,0,0,0,-1,650,0,0
2017-07-10,63900,63900,62500,63000,3471,218673000,-1.2539,59,-75,0,0,0,0,0,0,0,16,0,0
2017-07-11,64400,64400,62700,62800,3069,192733200,-0.3175,192,-226,34,0,0,0,-279,0,313,0,0,0
2017-07-12,64600,64600,63000,63600,2964,188510400,1.2739,-205,-268,478,0,0,0,0,0,478,-5,0,0
2017-07-13,63300,64200,63000,63100,3550,224005000,-0.7862,43,-43,0,0,0,0,0,0,0,0,0,0
2017-07-14,62800,63500,62400,62400,3688,230131200,-1.1094,136,-104,0,0,0,0,0,0,0,16,-48,0
2017-07-17,61700,63600,61700,63200,3406,215259200,1.2821,-33,13,0,0,0,0,0,0,0,20,0,0
2017-07-18,63000,63300,62500,62900,2725,171402500,-0.4747,-780,-12,0,0,0,0,0,0,0,792,0,0
2017-07-19,62300,63300,62300,62700,2854,178945800,-0.318,-1667,93,0,0,0,0,0,0,0,1574,0,0
2017-07-20,63500,63500,62500,62700,3266,204778200,0.0,-1020,64,0,0,0,0,0,0,0,956,0,0
2017-07-21,62600,62800,62100,62600,1845,115497000,-0.1595,-616,79,0,0,0,0,0,0,0,537,0,0
2017-07-24,63800,63800,61000,61900,5403,334445700,-1.1182,-829,213,0,0,0,0,0,0,0,785,-169,0
2017-07-25,61000,62500,61000,62100,2768,171892800,0.3231,-964,-216,0,0,0,0,0,0,0,1180,0,0
