date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2017-07-07,87100,89700,75700,82300,1619864,133314807200,0.0,-111669,386304,-282724,-38220,-3688,-46870,-62067,959,-133196,9634,-1545,358
2017-07-10,82300,88000,81000,88000,840451,73959688000,6.9259,-140423,313001,-133723,-32447,-19508,-12321,-42661,-736,-25898,-35916,-2939,-152
2017-07-11,88000,88000,82700,82800,422303,34966688400,-5.9091,67491,36560,-102645,-28009,-1735,-24441,-6461,-730,-40750,-1967,561,-519
2017-07-12,83700,84600,80000,83500,238407,19906984500,0.8454,-48437,75969,-27504,-17766,2037,-7821,187,0,-4141,60,-88,0
2017-07-13,83400,84000,80800,81600,218138,17800060800,-2.2754,-5155,72609,-65359,-19585,-2072,-5858,-2110,-1060,-34674,-2110,15,0
2017-07-14,81000,83200,80500,81000,195088,15802128000,-0.7353,-31929,42538,-10046,-1749,-9196,-1754,-1488,0,4141,-478,-85,0
2017-07-17,81800,83000,80900,82200,141369,11620531800,1.4815,-48017,36397,11692,-5515,-363,24752,-901,0,-6281,28,-100,0
2017-07-18,82400,83300,81500,83300,165584,13793147200,1.3382,-41689,44256,-2576,-132,2608,929,1688,0,-7669,0,9,0
2017-07-19,83400,85100,83200,84600,223083,18872821800,1.5606,-42862,16841,26430,478,-1483,6994,9318,0,11123,137,-546,0
2017-07-20,84600,84900,80000,80500,183151,14743655500,-4.8463,33571,-28953,-2093,3257,1293,-120,-53,-1437,-4962,-2507,-18,-71
2017-07-21,80500,81700,80200,81200,92821,7537065200,0.8696,-23719,41001,-17281,-3658,1106,-13773,-1107,-644,743,0,-1,52
2017-07-24,81900,83000,81300,83000,123728,10269424000,2.2167,-57672,57664,986,-2966,-3776,-497,2958,0,5267,-818,-160,0
2017-07-25,83400,83800,82600,83300,116806,9729939800,0.3614,-41922,38271,9608,1311,1232,3548,-379,0,3896,-5957,0,0
2017-07-26,83300,85400,83100,85100,121061,10302291100,2.1609,-66297,57227,8750,3361,2102,8987,-15488,0,9788,258,62,0
2017-07-27,85100,85600,84100,84200,68816,5794307200,-1.0576,-7403,12392,-4831,3304,-8583,3022,2318,0,-4892,0,-158,0
2017-07-28,83700,85500,83300,84800,95657,8111713600,0.7126,-37350,24934,9605,1157,4157,-1263,-5659,0,11213,2871,-60,0
2017-07-31,81800,84500,81800,82100,77011,6322603100,-3.184,-14480,20116,-766,-11179,-530,2805,-2708,0,10846,-4880,10,0
2017-08-01,82500,84900,82400,83500,89377,7462979500,1.7052,-4344,7658,-2085,-52,4298,3505,-5175,0,-4661,-1214,-15,0
2017-08-02,83100,83600,81900,82900,62216,5157706400,-0.7186,3954,6923,-10443,1221,-7856,6506,-4440,0,-5874,-448,14,0
2017-08-03,82000,83800,81000,83700,82484,6903910800,0.965,-30254,11814,18438,9370,-570,3808,4384,0,2110,-8,10,-664
2017-08-04,84500,85300,83800,85300,63572,5422691600,1.9116,-26955,16439,10814,18893,-134,-1582,172,0,-6535,80,-378,0
2017-08-07,85600,85800,84300,85600,40097,3432303200,0.3517,-12619,7267,6881,-345,1704,2204,1575,0,1743,-1519,-10,0
2017-08-08,86000,86000,84600,85000,40475,3440375000,-0.7009,-4230,14244,-9088,-4826,1194,-529,58,0,-4985,-400,-526,0
2017-08-09,84100,85900,84100,85600,38950,3334120000,0.7059,-17532,10896,8351,1191,6578,465,57,0,60,-1715,0,0
2017-08-10,85000,87300,84500,85300,75619,6450300700,-0.3505,-11151,2296,9163,2762,987,1092,355,0,3967,40,-348,0
2017-08-11,85200,86900,84600,86500,60086,5197439000,1.4068,-24808,14243,11556,1158,-5426,401,198,19,15114,-931,-60,92
2017-08-14,87200,90000,86600,89400,106552,9525748800,3.3526,-44851,32082,18899,7373,1560,4940,1550,0,3476,-6240,110,0
2017-08-16,89400,98500,89200,95300,239188,22794616400,6.5996,-76400,64343,16793,38793,-20913,7681,-266,0,-8542,-4260,-476,40
2017-08-17,95200,95200,91000,92200,129941,11980560200,-3.2529,14997,15139,-27572,-6474,-4254,-5543,-7512,0,-3789,-2554,-10,0
2017-08-18,91900,95800,90900,95400,94515,9016731000,3.4707,-30276,21735,8554,513,-668,364,4619,0,3726,263,-276,0
2017-08-21,96400,96400,92400,92500,63817,5903072500,-3.0398,1339,8353,-9571,-767,-6916,-10325,1826,0,6611,-100,-21,0
2017-08-22,92700,94800,90800,93600,98102,9182347200,1.1892,-12929,27192,-9563,768,-2121,-17891,120,0,9561,-4700,0,0
2017-08-23,93000,95400,93000,94300,78239,7377937700,0.7479,-10369,19142,-8365,-5748,-8629,-3795,6274,0,3533,-417,9,0
2017-08-24,94400,94800,93100,93900,50476,4739696400,-0.4242,-7832,-2724,10546,5172,-7201,1432,-889,0,12032,0,10,0
2017-08-25,93800,93800,91100,92200,60684,5595064800,-1.8104,-2519,-10103,12616,-265,-33,1153,-2118,0,13879,-2,8,0
2017-08-28,91400,92000,89000,89600,101907,9130867200,-2.82,19491,132,-19501,-5134,-8137,-10987,-78,0,4835,-56,-66,0
2017-08-29,89300,91000,89300,90800,74316,6747892800,1.3393,1849,6300,-8104,-7098,-5486,-1335,103,0,5712,0,-45,0
2017-08-30,90300,90800,88600,90300,54611,4931373300,-0.5507,-3041,1265,1776,955,-3522,-2146,610,0,5879,0,0,0
2017-08-31,89700,91400,87300,87300,104709,9141095700,-3.3223,1036,-6886,5856,1165,343,379,-1105,231,4843,-6,0,0
2017-09-01,88000,88800,87300,87400,59116,5166738400,0.1145,5639,-1945,-3994,-2501,-207,703,1092,0,-3081,0,300,0
2017-09-04,87500,88700,85500,86400,47663,4118083200,-1.1442,-14570,3437,11113,2068,191,-901,4813,0,4942,0,20,0
2017-09-05,86900,87600,84300,85200,61294,5222248800,-1.3889,-4020,-2946,6586,2549,-1509,-166,591,0,5121,0,380,0
2017-09-06,85300,88700,85100,86300,103961,8971834300,1.2911,-5725,-12610,18334,8031,4,-373,2356,0,8316,0,1,0
2017-09-07,86900,87700,85400,86900,47383,4117582700,0.6952,-5296,3584,1681,1006,-474,-332,212,0,1269,0,31,0
2017-09-08,86200,89000,86200,87300,49147,4290533100,0.4603,-8707,3112,5310,639,222,5570,-3777,476,2180,322,-37,0
2017-09-11,88400,92300,88400,91700,98648,9046021600,5.0401,-30450,8245,24649,1068,2057,7322,86,0,14116,-2511,67,0
2017-09-12,91800,92600,90200,92500,58778,5436965000,0.8724,335,-10705,8394,-3931,3996,3798,989,0,3542,1962,14,0
2017-09-13,92100,94500,90400,93300,87262,8141544600,0.8649,-22621,29790,-6210,-5557,3429,-5556,1928,410,-864,-815,-144,0
2017-09-14,93400,96700,93400,96000,150398,14438208000,2.8939,-51957,58091,-2238,-15570,14727,5219,1158,-15001,7228,-3897,1,1
2017-09-15,96000,96600,95300,96600,135228,13063024800,0.625,-38212,28722,9811,1611,3194,3330,-231,0,1907,-302,-19,0
2017-09-18,96700,97500,96200,97000,55832,5415704000,0.4141,-25422,16049,9433,594,2777,8057,-2019,0,410,10,-70,-386
2017-09-19,96300,97300,95600,97100,70406,6836422600,0.1031,-16713,46268,-29571,-3640,-1104,-3351,-3426,-16713,-1337,0,16,0
2017-09-20,97400,98700,96500,97500,87986,8578635000,0.4119,-35093,28466,6629,4696,-3867,3518,-1683,398,3717,2,-4,-150
2017-09-21,96200,99400,96100,99100,117504,11644646400,1.641,-20168,52543,-33453,-14977,-15318,8365,-10177,0,-1346,978,100,0
2017-09-22,99500,100500,98400,99400,119851,11913189400,0.3027,-21956,23883,-1592,-16531,-440,12322,-3744,0,6801,-100,-235,0
2017-09-25,99900,100000,95500,95900,96876,9290408400,-3.5211,-9514,32081,-22048,-4736,-8328,-607,-8523,0,288,-539,20,-142
2017-09-26,95700,99400,94400,99000,88680,8779320000,3.2325,-26334,21147,5098,3103,-5676,4535,-5276,-431,8843,89,0,0
2017-09-27,98500,99100,96400,98000,53926,5284748000,-1.0101,177,10613,-10738,-7332,-3830,2296,-1570,0,-302,-52,0,0
2017-09-28,96300,97700,94000,95100,210687,20036333700,-2.9592,-8559,120207,-111415,-4849,-5756,4831,-2704,0,-102937,30,-263,0
2017-09-29,95500,98400,94900,97000,130721,12679937000,1.9979,-8383,-10883,19206,3307,2065,14392,-2327,296,1419,60,0,54
2017-10-10,94700,96000,94200,95000,121490,11541550000,-2.0619,9212,-781,-8112,-3026,-5012,-3417,-421,142,3576,-324,5,46
2017-10-11,93400,94700,90500,91000,161332,14681212000,-4.2105,23705,37072,-60827,-41721,-3156,-9028,-5754,186,-1354,0,50,0
2017-10-12,90600,94000,90600,94000,94760,8907440000,3.2967,-19670,29803,-9865,-14834,1905,42,-4160,0,7182,0,-268,0
2017-10-13,92800,95300,92300,94300,58961,5560022300,0.3191,-9122,10778,-305,-2925,-6513,-195,920,0,8408,-1308,-43,0
2017-10-16,93500,95200,92400,94800,41409,3925573200,0.5302,-1545,7103,-5558,-5809,-2523,-2210,-446,0,5430,0,0,0
2017-10-17,93800,95100,92800,93800,40727,3820192600,-1.0549,6775,8828,-15698,-12759,-4392,141,-1968,0,3280,95,0,0
2017-10-18,93800,94000,93000,93800,31656,2969332800,0.0,-2316,2401,487,-3952,-1733,7440,-864,0,-404,-75,-497,0
2017-10-19,93700,94000,92600,93000,43544,4049592000,-0.8529,2412,-3842,1428,-5045,-2827,2640,-1140,0,7802,0,2,-2
2017-10-20,92100,95100,92100,94700,75668,7165759600,1.828,-12778,4409,9932,-308,-6374,5011,8152,918,2329,0,-1563,204
2017-10-23,93300,95500,92500,93100,68072,6337503200,-1.6895,7843,-10822,2977,-1857,-16,3713,329,0,808,0,2,0
2017-10-24,92600,95700,92600,95600,62675,5991730000,2.6853,-17550,16513,1050,-800,718,1471,399,0,-738,0,-13,0
2017-10-25,94400,95600,93500,94600,58262,5511585200,-1.046,1360,-7601,6241,-4047,-3720,2932,10184,0,782,0,0,110
2017-10-26,94000,102000,94000,100500,241723,24293161500,6.2368,-77985,20803,57932,45639,9909,3462,18171,2872,-22857,-855,105,736
2017-10-27,99800,103500,99800,100500,243765,24498382500,0.0,-13691,-10216,24979,-10873,9085,29567,-5483,274,2409,-137,-935,0
2017-10-30,100500,107000,100000,105500,146117,15415343500,4.9751,-39083,28964,11624,-13632,6139,15432,6181,194,-2926,-644,-861,236
2017-10-31,106000,108500,103000,106000,105842,11219252000,0.4739,-15771,20464,-3161,-20711,-1524,-1633,-1536,1388,20961,-657,-875,-106
2017-11-01,103500,107500,103000,105500,124938,13180959000,-0.4717,-2149,-17233,19347,16492,8050,-1944,-4358,-607,1714,-115,150,0
2017-11-02,105000,110000,104000,108000,93491,10097028000,2.3697,-4350,7498,-2344,4642,3101,-8145,279,-13,-2208,-794,-10,0
2017-11-03,110000,113500,108500,113500,120532,13680382000,5.0926,-33419,8933,24494,-2047,5573,-348,12126,445,8421,284,-292,324
2017-11-06,113500,118000,111000,116500,199183,23204819500,2.6432,-16420,8183,7995,11610,4485,-18064,5322,-13,1666,303,-61,2989
2017-11-07,116500,119000,114500,116000,132135,15327660000,-0.4292,-12128,2385,8500,18631,20139,-9450,-8950,0,-14410,1243,0,2540
2017-11-08,115000,117500,113000,116500,118817,13842180500,0.431,-3561,-31635,35201,-2755,18009,901,3345,-1987,17688,1,-6,0
2017-11-09,118000,120500,116000,116500,118710,13829715000,0.0,-26182,5886,19868,-687,11274,765,2806,-42,5752,428,0,0
2017-11-10,116500,121000,116500,120500,87490,10542545000,3.4335,-22397,4854,17806,11205,5854,1685,-1979,1250,-177,-251,-12,-32
2017-11-13,122000,125500,121000,123500,98567,12173024500,2.4896,-4486,28248,-24017,-6923,-8256,-2013,-2294,0,-4531,1762,-1507,0
2017-11-14,123500,124500,119500,122000,131763,16075086000,-1.2146,-7823,-5635,13523,13485,-3402,2595,-1297,-14,2156,-350,285,0
2017-11-15,126500,126500,118500,125000,154148,19268500000,2.459,-38818,23019,19484,30152,-132,-11477,-957,1767,5661,-3554,-131,-5530
2017-11-16,125500,125500,120500,121000,104990,12703790000,-3.2,9319,26189,-35551,-16698,-7560,-3002,-7510,-4,-777,-3,46,0
2017-11-17,119500,123000,119000,121000,186969,22623249000,0.0,-22191,12019,11085,-84,14810,1109,-550,369,-4569,-944,31,0
2017-11-20,122000,125000,119000,124000,157660,19549840000,2.4793,-19540,9673,12074,4823,11886,-3800,2545,0,-3380,-2192,-15,0
2017-11-21,124500,124500,120500,122000,206877,25238994000,-1.6129,-19851,9201,10893,3251,182,2015,-134,0,5579,-203,-40,0
2017-11-22,121000,123500,121000,121500,122145,14840617500,-0.4098,-3935,980,6666,199,6330,1203,401,0,-1467,0,-3711,0
2017-11-23,121000,121500,118500,119500,98245,11740277500,-1.6461,3055,31329,-34170,-23052,-806,-7964,-1827,-279,-242,-199,-15,0
2017-11-24,119000,119000,112500,113000,123943,14005559000,-5.4393,4852,-770,-4069,-7072,7131,-3790,-69,0,-269,-335,322,0
2017-11-27,113500,119500,113500,118000,153777,18145686000,4.4248,-24430,29477,-5279,-8911,394,369,1252,560,965,0,232,92
2017-11-28,118000,129000,118000,127000,188897,23989919000,7.6271,-60241,48815,12277,-8938,4323,14031,3117,479,-735,-341,-510,0
2017-11-29,129000,129500,123500,125000,136688,17086000000,-1.5748,-3272,3893,765,197,-202,-542,-1279,0,2591,-975,-411,0
