date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2019-11-13,10371,10818,9611,9925,15462185,153462186125,0.0,4677656,-2331194,-2326128,230531,-1089141,-1341633,-12489,14167,695,-25378,5044,-128258
2019-11-14,9969,10505,9656,10416,3649312,38011233792,4.9471,183414,-598268,379203,52150,28672,174105,7232,17393,93151,34009,1642,6500
2019-11-15,10684,11176,10371,10908,5304317,57859489836,4.7235,24819,-78270,92619,-11605,28161,85473,50237,-3432,-30561,-38602,-566,-25654
2019-11-18,10908,11221,10729,10908,2652187,28930055796,0.0,-138917,-38499,145546,11570,-105902,209289,23753,-3445,20783,31880,-10,-10502
2019-11-19,10997,11042,10416,10640,1411800,15021552000,-2.4569,31814,5051,-34879,2475,-136545,8350,6355,0,84486,-955,-1031,0
2019-11-20,10595,10595,10014,10059,1859794,18707667846,-5.4605,347889,-16488,-336946,7496,-204033,-168898,4978,20000,511,5349,196,3000
2019-11-21,10058,10192,9611,9656,1441331,13917492136,-4.0064,71779,-159119,121300,72782,28547,18960,1680,0,-669,-33736,-224,0
2019-11-22,9745,9969,9656,9701,953073,9245761173,0.466,223252,-171252,-74631,30548,-9589,-86164,1295,0,-10721,22000,631,0
2019-11-25,9835,9924,9701,9835,596616,5867718360,1.3813,-8418,-61959,70831,7836,33099,-2997,28619,0,3807,-500,46,467
2019-11-26,9835,9880,9477,9567,1143632,10941127344,-2.725,379010,-43598,-340221,1371,-75022,-202968,5268,-858,-57823,4425,384,-10189
2019-11-27,9567,9656,9164,9209,1139149,10490423141,-3.742,225497,-37413,-233265,0,-78575,29714,-8051,-1490,-174384,45380,-199,-479
2019-11-28,9254,9522,9119,9254,673064,6228534256,0.4887,73463,13347,-116720,25777,-58927,-6248,6392,-1000,-82714,30105,-195,0
2019-11-29,9343,9388,9030,9031,624067,5635949077,-2.4098,14341,-1494,-7403,-5998,17109,-48486,74843,0,-14871,-4800,-644,-30000
2019-12-02,9030,9298,8708,9165,1043572,9564337380,1.4838,-98834,9085,88884,37351,31610,48593,49241,-2650,-73559,-7857,8722,-1702
2019-12-03,9119,9298,8932,9254,458199,4240173546,0.9711,-24307,-18638,35652,33220,-1399,5006,18105,1212,-21719,273,7020,1227
2019-12-04,9164,9522,9120,9299,605963,5634849937,0.4863,-13834,-31075,50986,20799,-10043,-33250,9909,752,61605,-6077,0,1214
2019-12-05,9298,9745,9164,9612,809672,7782567264,3.366,-127694,-4586,131424,129694,49395,-16253,5925,1144,-40107,147,709,1626
2019-12-06,9522,9880,9477,9791,687507,6731381037,1.8623,-83264,-29149,135115,151298,34166,-31748,35,280,-18916,-22610,-92,0
2019-12-09,9969,9969,9611,9656,547491,5286573096,-1.3788,-57464,-21258,75873,68752,58011,-29555,-26224,0,4889,2829,20,0
2019-12-10,9656,9790,9611,9791,327883,3210302453,1.3981,-52118,11006,58218,52065,-8346,4791,18852,0,-4329,-11286,-5820,-4815
2019-12-11,9835,9924,9611,9746,460356,4486629576,-0.4596,691,-4424,7224,81986,-6145,-46561,11164,0,-33220,6589,-10080,0
2019-12-12,9790,9835,9567,9746,475215,4631445390,0.0,28884,-2223,-30358,36792,-13444,-13917,31,0,-39820,1901,1796,0
2019-12-13,9745,9790,9522,9612,645240,6202046880,-1.3749,133678,5035,-136780,-6643,-60442,-41818,22050,0,-49635,-1171,-762,-292
2019-12-16,9611,9611,9388,9478,310051,2938663378,-1.3941,-11496,-12078,24407,673,-7156,20970,-817,0,10934,-877,44,-197
2019-12-17,9522,9567,9343,9433,404434,3815025922,-0.4748,39118,-4785,-34093,-50000,-3324,38418,-12821,0,-7882,44,-284,1516
2019-12-18,9432,9432,9075,9165,711197,6518120505,-2.8411,279067,-3502,-277821,-31291,-107573,-98164,-23607,-300,-18979,2320,-64,2093
2019-12-19,9209,9298,8941,9031,668049,6033150519,-1.4621,89570,-2053,-86047,-71944,-9610,2241,6533,0,-15014,-1711,241,1747
2019-12-20,9030,9209,8985,9209,391198,3602542382,1.971,-6431,10170,-5499,-29539,26050,-45694,42439,0,935,1324,436,310
2019-12-23,9209,9298,9164,9209,328837,3028259933,0.0,22662,11572,-34708,-4280,-4625,-2366,-1881,0,-24151,100,374,2595
2019-12-24,9164,9209,9030,9075,395395,3588209625,-1.4551,126281,-14260,-107566,2314,-97303,-6670,8140,0,-15047,-5111,656,1000
2019-12-26,9075,9298,8985,9165,470460,4311765900,0.9917,40848,-7041,-43296,4608,-6388,2715,8811,0,-48829,9489,0,-4213
2019-12-27,9209,9209,9075,9120,292908,2671320960,-0.491,24592,-3544,-24622,80,-10255,-9687,7900,0,-10660,2562,1012,-2000
2019-12-30,9298,9298,9164,9254,346604,3207473416,1.4693,62996,-2229,-64244,30000,-31804,-62047,2563,0,-2956,3380,97,0
2020-01-02,9343,9388,9254,9299,218029,2027451671,0.4863,654,684,-1612,1268,-173,8280,-2200,0,-8787,0,274,0
2020-01-03,9298,9298,9075,9165,480865,4407127725,-1.441,103614,-19895,-68569,-37036,-12135,-17967,1179,0,-2610,-15608,458,0
2020-01-06,9209,9209,8985,8986,327864,2946185904,-1.9531,7604,-53478,46005,50000,15785,-32107,15472,0,-3145,0,-131,0
2020-01-07,9075,9120,8941,9075,412853,3746640975,0.9904,53041,-60028,3283,-1168,20901,-2781,-10162,0,-2814,3500,204,-693
2020-01-08,9075,10595,9030,9701,8360503,81105239603,6.8981,1092841,-122393,-961290,-122233,-71659,-636696,-72757,0,-50759,-12561,3403,-7186
2020-01-09,9120,9164,8923,9031,2749832,24833732792,-6.9065,689319,-25677,-678836,90412,-74561,-572413,9473,0,-131747,10142,5052,0
2020-01-10,9075,9119,8905,8914,1363218,12151725252,-1.2955,209519,-6583,-202693,15586,-11590,-183318,15675,0,-39046,-3340,3097,0
2020-01-13,8869,8941,8717,8736,1413859,12351472224,-1.9969,428686,-6571,-408296,-19736,-22555,-288072,-7405,0,-70528,-14426,607,0
2020-01-14,8780,8932,8780,8852,661554,5856076008,1.3278,97522,-14554,-79681,-10267,-3570,8172,-59914,0,-5401,2600,-5887,-8701
2020-01-15,8851,8887,8771,8798,457537,4025410526,-0.61,24635,-4861,-21063,-29540,-366,8468,-17630,0,20768,1050,239,-2763
2020-01-16,8816,8905,8798,8816,378924,3340593984,0.2046,86212,-35411,-50946,-28872,-6121,0,-5482,0,-11059,0,145,588
2020-01-17,8807,8851,8744,8744,426352,3728021888,-0.8167,69617,-8062,-53328,-22260,-25898,-10377,-5840,0,9701,0,-8227,1346
2020-01-20,8753,8824,8556,8610,884423,7614882030,-1.5325,152629,-12,-150099,58497,-70084,-103233,-14210,0,-21871,-853,-1665,802
2020-01-21,8583,8637,8315,8315,1228260,10212981900,-3.4262,385791,-44984,-350489,44156,-73867,-236361,-35974,0,-48443,9475,207,0
2020-01-22,8360,8503,8333,8333,454405,3786556865,0.2165,85472,19718,-110246,0,-33226,-62157,196,0,-15059,4876,180,0
2020-01-23,8315,8360,8154,8226,693922,5708202372,-1.2841,187592,14407,-201003,-27930,-27353,-59978,-51551,0,-34191,-1271,275,0
2020-01-28,8029,8029,7895,7958,673279,5357954282,-3.258,68339,-3245,-67250,33110,-41088,-55432,648,0,-1553,2204,-48,-2935
2020-01-29,8047,8208,7930,8101,442734,3586588134,1.7969,9396,1781,-24887,16711,2114,-6379,-26328,0,-8105,13700,10,-2900
2020-01-30,8064,8449,8047,8226,693338,5703398388,1.543,-63371,-60655,126733,75594,9570,29549,5582,0,6438,-2400,-307,0
2020-01-31,8154,8476,8154,8244,639107,5268798108,0.2188,-175789,703,179735,123825,17731,17096,39568,0,-18830,-5250,601,345
2020-02-03,8109,8377,8002,8333,423649,3530267117,1.0796,-72787,-16857,88942,37681,28915,-11059,31568,0,1837,701,1,0
2020-02-04,8333,8368,8216,8271,525437,4345889427,-0.744,236244,-39491,-195959,25157,-68228,-99577,-4840,0,-48471,-800,6,0
2020-02-05,8279,8297,8109,8226,379188,3119200488,-0.5441,71971,-11001,-56222,27378,-27509,-40619,9820,0,-20292,-4801,53,-5000
2020-02-06,8252,8431,8225,8342,545249,4548467158,1.4102,175118,8904,-187814,-34682,-5088,-68493,4098,-1268,-82381,3000,792,0
2020-02-07,8351,8610,8279,8557,575459,4924202663,2.5773,-117960,-7274,128001,0,25058,12556,5233,0,85454,-2600,-167,-300
2020-02-10,8503,8690,8449,8521,468661,3993460381,-0.4207,-2131,-29661,17821,0,-1630,301,-3859,0,25009,14087,-116,-2000
2020-02-11,8565,8592,8368,8378,521276,4367250328,-1.6782,142770,-74187,-74644,-4919,-3658,-23294,-22121,0,-20652,5609,452,0
2020-02-12,8422,8440,8243,8369,364591,3051262079,-0.1074,-536,53249,-52853,1486,1037,-58622,3157,0,89,100,40,0
2020-02-13,8333,8422,8154,8226,521836,4292622936,-1.7087,26168,23116,-59327,-67844,-1310,-2904,-797,0,13528,10730,-687,0
2020-02-14,8225,8270,8208,8244,129902,1070912088,0.2188,7003,3438,-10461,7014,-2789,-15000,0,0,314,0,20,0
2020-02-17,8261,8342,8243,8288,245563,2035226144,0.5337,46488,-3618,-49999,4302,-33761,0,-3170,0,-17370,7099,30,0
2020-02-18,8243,8368,8225,8288,311016,2577700608,0.0,-69108,26270,45618,30156,21439,-14952,8648,0,327,-2800,20,0
