date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2024-02-27,89100,93500,57699,63500,21833840,1386448840000,0.0,671565,-42892,-75142,153353,13563,25121,19081,-1033,-69604,-554463,932,-215623
2024-02-28,61900,63300,56300,60800,5970590,363011872000,-4.252,29080,50923,-53112,35327,3535,-41544,2839,25,-12589,-27977,1086,-40705
2024-02-29,60599,65600,58700,59600,5743355,342303958000,-1.9737,18374,25854,-6986,32834,11002,16646,3675,0,-682,-39450,2208,-70461
2024-03-04,61699,62500,59300,59900,2396830,143570117000,0.5034,-9788,6628,1316,18613,1147,-21145,240,265,2194,2208,-364,2
2024-03-05,59400,59800,54300,55500,2330940,129367170000,-7.3456,15286,5431,-21692,6603,1339,-28962,-1102,56,365,1198,-223,9
2024-03-06,54600,58400,54500,57300,1967135,112716835500,3.2432,-23592,8640,10527,13394,8328,-14369,2435,500,-4,4784,-359,243
2024-03-07,56800,57100,52900,52900,1647765,87166768500,-7.6789,-4698,-5937,6230,-542,992,-4012,2322,289,6942,4872,-467,239
2024-03-08,53300,54800,51300,52400,1492385,78200974000,-0.9452,-10109,2873,9216,535,7289,2026,1130,-789,-1246,-1730,-250,271
2024-03-11,51900,52400,50000,50100,1077210,53968221000,-4.3893,1252,1708,3984,10544,-1775,94,-302,0,1923,-6872,-72,-6500
2024-03-12,50500,51800,49800,50400,755950,38099880000,0.5988,-10410,1486,5320,5393,1541,457,923,58,-3052,3637,-33,0
2024-03-13,51000,59600,50200,57400,5254920,301632408000,13.8889,-71536,54059,33124,9205,5621,19692,3295,115,-4923,-15836,189,119
2024-03-14,57900,59799,55300,58000,1819845,105551010000,1.0453,18343,-25396,11402,4219,-491,6360,1843,0,-529,-4505,156,0
2024-03-15,58100,63200,57200,60100,3515915,211306491500,3.6207,-56509,50455,6037,3939,-623,3413,3309,0,-4137,-818,835,136
2024-03-18,59500,61300,57300,57400,1126560,64664544000,-4.4925,29155,-23407,-5373,598,3295,-9411,1069,0,-1086,-857,482,162
2024-03-19,57900,58000,52300,52300,1523730,79691079000,-8.885,48322,-25425,-23152,-6760,-1433,-10077,-1700,57,-3145,-144,399,-94
