date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2017-10-30,225500,225500,185500,190000,173576,32979440000,0.0,51101,-2418,-50162,-16027,-30723,-438,-7213,977,3262,1205,274,0
2017-10-31,192500,199500,186000,186000,81114,15087204000,-2.1053,29123,-15647,-14846,-6823,-4597,-348,-2929,600,-749,1331,39,0
2017-11-01,181000,187000,180000,180000,58893,10600740000,-3.2258,18547,-18582,-474,-4101,5155,-2016,1406,-1600,682,413,96,0
2017-11-02,178500,180000,170500,172000,39370,6771640000,-4.4444,9784,-8233,-2852,-3366,-42,0,-267,0,823,1231,70,0
2017-11-03,171000,173000,169000,170000,33896,5762320000,-1.1628,18345,-12236,-6495,-5853,0,-428,-312,0,98,335,51,0
2017-11-06,168000,169500,165500,166000,38638,6413908000,-2.3529,20632,-15426,-5964,-3565,-6,-2038,-413,0,58,681,77,0
2017-11-07,167000,173500,167000,169000,37818,6391242000,1.8072,14825,-12895,-2578,-5636,1970,0,274,0,814,548,100,0
2017-11-08,167000,178000,167000,177500,41470,7360925000,5.0296,-8169,-1305,9323,-4276,1730,0,5894,0,5975,345,-194,0
2017-11-09,177500,180000,173500,173500,32950,5716825000,-2.2535,7515,-11189,3556,732,-127,2179,711,0,61,-258,376,0
2017-11-10,176500,177000,169500,170000,34304,5831680000,-2.0173,4335,-9756,5064,759,1419,0,1020,0,1866,310,47,0
2017-11-13,171000,174000,169000,171500,16804,2881886000,0.8824,-585,-3278,3481,1081,1373,-73,1100,0,0,0,382,0
2017-11-14,172000,172500,167500,170000,13378,2274260000,-0.8746,1180,-1791,449,-163,730,0,-214,0,96,0,162,0
2017-11-15,170000,172000,167000,167000,15432,2577144000,-1.7647,5303,-2606,-3048,-2890,0,0,-229,0,71,0,351,0
2017-11-16,167500,168000,163000,163500,23883,3904870500,-2.0958,13060,-11254,-1831,-1916,-124,0,231,-90,68,0,25,0
2017-11-17,164500,165000,160000,161000,22838,3676918000,-1.5291,6015,-5254,-2056,-1970,-64,0,-191,0,169,1589,-294,0
2017-11-20,161000,162500,159000,160500,16033,2573296500,-0.3106,5301,-4859,-953,-505,0,-1595,-4,0,1151,621,-110,0
2017-11-21,160500,161000,158500,159000,14661,2331099000,-0.9346,1807,-1096,-2985,-1893,0,-495,-697,0,100,2254,20,0
2017-11-22,159000,159500,156000,157500,21901,3449407500,-0.9434,5565,-4011,-1988,-2021,660,1,585,0,-1213,1014,-580,0
2017-11-23,157500,158500,153000,153500,22954,3523439000,-2.5397,4405,-3689,-771,-1345,-439,0,0,0,1013,0,55,0
2017-11-24,156500,158500,152500,153000,27545,4214385000,-0.3257,9238,-3003,-6190,-5220,0,-79,0,0,-891,-70,25,0
2017-11-27,153000,154000,149000,149000,42837,6382713000,-2.6144,16922,-12357,-4988,-3705,829,0,605,0,-2717,286,137,0
2017-11-28,149000,151500,149000,149000,31768,4733432000,0.0,8951,-12191,2240,-1667,3722,0,-12,0,197,1000,0,0
2017-11-29,149000,149500,145500,146500,27780,4069770000,-1.6779,7963,-2719,-5268,-2140,289,-2500,65,0,-982,0,24,0
2017-11-30,146000,153000,144500,149500,43474,6499363000,2.0478,-1569,-9282,10851,1884,3939,0,612,539,3805,0,0,72
2017-12-01,151000,159500,148000,159000,52454,8340186000,6.3545,-26672,9104,19337,3153,1866,-8,5592,693,7882,-1620,-149,159
2017-12-04,159000,159000,153500,157000,20540,3224780000,-1.2579,-1710,693,1019,967,0,892,2679,0,-3662,0,-2,143
2017-12-05,159500,163000,155000,161500,30481,4922681500,2.8662,-4579,312,5523,-543,26,608,2667,0,2689,-1215,-41,76
2017-12-06,163000,163500,160000,160000,11411,1825760000,-0.9288,-1546,-1231,2777,-1350,-12,1720,929,0,1428,0,0,62
2017-12-07,162000,162500,155500,158000,11729,1853182000,-1.25,-2442,2277,165,-56,-199,170,-16,0,266,0,0,0
2017-12-08,156500,156500,151000,154500,15051,2325379500,-2.2152,-1139,1684,-595,338,-21,0,-53,0,-859,0,50,0
2017-12-11,153500,153500,145000,147500,29026,4281335000,-4.5307,11995,-12380,319,1513,808,0,789,0,-2861,0,66,70
2017-12-12,147500,150000,146500,149500,5816,869492000,1.3559,-1456,1032,423,470,-303,169,44,0,43,0,1,0
2017-12-13,147500,151500,147500,151500,5143,779164500,1.3378,-1061,-174,1295,235,1015,17,0,0,28,-60,0,0
2017-12-14,151500,152000,147000,147000,6413,942711000,-2.9703,2244,-4100,1850,1605,-317,0,14,403,15,0,6,130
2017-12-15,148000,151500,147000,147000,10928,1606416000,0.0,3159,-2883,-276,0,-78,0,-43,-205,50,0,0,0
2017-12-18,146500,149000,146000,149000,7350,1095150000,1.3605,-2118,-371,2439,51,1781,929,-40,-247,-35,0,50,0
2017-12-19,148500,149000,146000,146000,5554,810884000,-2.0134,-229,432,-215,0,-47,0,-170,0,2,0,12,0
2017-12-20,146000,147500,145000,145000,6254,906830000,-0.6849,300,-625,325,0,195,0,18,0,112,0,0,0
2017-12-21,145000,146500,145000,145000,6056,878120000,0.0,-1705,-498,2203,955,67,1139,-34,0,76,0,0,0
2017-12-22,143500,148000,143500,145500,3737,543733500,0.3448,-905,-184,1047,0,601,0,632,0,-186,42,0,0
2017-12-26,151000,152000,148000,149000,7303,1088147000,2.4055,-856,989,-133,5,-517,0,377,0,2,0,0,0
2017-12-27,148000,149500,147000,147500,3869,570677500,-1.0067,703,-1097,462,0,359,-24,204,0,-77,-68,0,0
2017-12-28,147000,147000,145500,146000,5145,751170000,-1.0169,632,-251,-381,0,-82,-125,364,0,-538,0,0,0
2018-01-02,146000,148000,146000,147000,2105,309435000,0.6849,214,-443,189,129,12,19,85,0,-56,0,40,0
2018-01-03,148500,151500,146000,151500,10133,1535149500,3.0612,-423,1183,-657,0,8,13,-16,0,-662,12,-115,0
2018-01-04,151000,153500,148500,153000,10999,1682847000,0.9901,-1463,373,1596,2357,575,-787,-77,0,-472,-471,-35,0
2018-01-05,153500,154500,150000,152500,6793,1035932500,-0.3268,1162,75,-1226,-11,0,-1078,-8,0,-129,0,-11,0
2018-01-08,152000,152000,149000,151500,8970,1358955000,-0.6557,2964,-3120,1874,0,916,53,563,0,342,-1718,0,0
2018-01-09,149500,153000,139000,148000,12765,1889220000,-2.3102,426,-3996,3535,0,932,54,1547,0,1002,0,35,0
2018-01-10,147000,148500,145000,147000,9214,1354458000,-0.6757,3965,-1786,-731,0,548,50,-6,0,-1323,-1473,25,0
2018-01-11,148000,148000,145000,147500,3944,581740000,0.3401,-445,-705,1144,0,124,0,607,0,413,6,0,0
2018-01-12,148000,149000,147000,148000,8232,1218336000,0.339,-1170,-495,1665,-2,146,-2615,4084,0,52,0,0,0
2018-01-15,147500,148000,145500,146500,6298,922657000,-1.0135,1941,-2532,586,0,770,-558,668,0,-294,0,5,0
2018-01-16,145500,147500,145500,146500,2589,379288500,0.0,237,-242,5,0,-56,0,1,0,60,0,0,0
2018-01-17,147000,150500,146500,150000,7182,1077300000,2.3891,-2291,1874,417,0,428,-12,0,0,1,0,0,0
2018-01-18,149500,156500,149000,156500,15305,2395232500,4.3333,-8061,3860,4283,0,12,4776,0,0,-505,-7,-75,0
2018-01-19,156500,159000,154500,158500,15098,2393033000,1.278,-8901,5189,3756,2340,717,1097,-12,0,-386,0,-44,0
2018-01-22,158500,160500,155000,158000,14305,2260190000,-0.3155,-5408,-3849,9277,1334,3806,2336,1082,0,719,0,-20,0
2018-01-23,159500,164000,158500,164000,20358,3338712000,3.7975,-8271,3474,5383,0,2887,2616,-19,0,-101,-535,-51,0
2018-01-24,163500,168500,163000,168500,23280,3922680000,2.7439,-14812,609,14512,2151,5465,4848,267,0,1781,-219,-90,0
2018-01-25,168500,174500,167500,173000,21892,3787316000,2.6706,-9056,376,9390,35,8393,0,1527,0,-565,-428,-282,0
2018-01-26,172000,177000,170500,173000,12263,2121499000,0.0,-1954,616,1343,17,2040,1708,1281,0,-3123,0,-5,-580
2018-01-29,173000,175500,169500,173500,13570,2354395000,0.289,-4279,659,3614,16,3759,47,580,0,-412,0,6,-376
2018-01-30,175000,179000,174500,175000,19012,3327100000,0.8646,-7218,490,6788,2000,3717,107,706,0,258,0,-60,0
2018-01-31,175000,178000,173500,175000,10279,1798825000,0.0,-3746,940,2820,12,1753,429,921,0,-295,0,-14,0
2018-02-01,176500,177000,171500,176000,8926,1570976000,0.5714,-3837,611,3226,1482,1049,662,462,0,-429,0,0,0
2018-02-02,176000,177000,174000,174500,10892,1900654000,-0.8523,-5633,298,5884,1447,1348,2129,663,0,307,-549,0,-10
2018-02-05,174000,175000,167000,172500,17261,2977522500,-1.1461,-8346,1267,7214,4765,4229,-951,-6,0,-823,-135,0,0
2018-02-06,168000,173500,165000,172000,18323,3151556000,-0.2899,-6170,-1421,7661,1879,6843,340,1455,0,-2856,-70,0,0
2018-02-07,172500,172500,164000,164000,13028,2136592000,-4.6512,-132,-4278,4380,0,3331,281,139,70,559,0,30,0
2018-02-08,169000,169000,164500,167000,9511,1588337000,1.8293,-4046,-3393,7439,3365,3711,0,722,0,-359,0,0,0
2018-02-09,162000,168500,162000,165000,7601,1254165000,-1.1976,-3266,-1143,4410,2694,1432,27,-11,31,171,0,-1,66
2018-02-12,167000,168500,165000,168000,13369,2245992000,1.8182,-4992,-708,5928,2721,2083,709,-29,-69,513,-218,-10,0
2018-02-13,167500,172000,167000,167000,10615,1772705000,-0.5952,-570,-3000,3713,-635,2104,2000,-769,0,1013,-117,-26,0
2018-02-14,163000,168000,161500,167000,10013,1672171000,0.0,-1873,539,1347,-682,1985,0,-6,0,50,-13,0,0
2018-02-19,167000,170000,167000,169000,6769,1143961000,1.1976,-730,-1449,2497,2000,2304,-2254,354,101,-8,-293,-25,0
2018-02-20,168500,170500,168500,169000,6827,1153763000,0.0,-1030,-1547,2714,716,1537,18,-52,0,495,-237,100,0
2018-02-21,168000,172000,166500,171000,5712,976752000,1.1834,-1233,-1780,3218,1485,1500,34,47,0,152,-180,-25,0
2018-02-22,169000,172500,169000,171500,5551,951996500,0.2924,-1225,-1110,2170,-1269,3623,99,10,0,-293,175,-10,0
2018-02-23,170500,172500,170000,172000,6549,1126428000,0.2915,-764,-37,802,-1644,3052,-5,5,0,-606,-1,0,0
2018-02-26,170500,174000,170500,170500,8369,1426914500,-0.8721,-979,-1423,2296,-555,2167,502,-1129,0,1311,106,0,0
2018-02-27,171000,173000,170000,171500,9255,1587232500,0.5865,-3311,-1415,4832,960,2560,68,-1179,0,2423,-106,0,0
2018-02-28,170500,175000,170500,174000,7681,1336494000,1.4577,-4299,144,4175,2000,1558,512,230,0,-125,-20,0,0
2018-03-02,172500,176500,172000,174500,7774,1356563000,0.2874,-1927,-2866,4833,889,3619,0,97,0,228,0,-40,0
2018-03-05,173500,180000,173500,179500,15405,2765197500,2.8653,-7359,1592,5817,4440,287,1573,-1027,0,544,0,-50,0
2018-03-06,179500,182000,178500,179000,11208,2006232000,-0.2786,-638,-4247,4885,-359,4163,-369,50,18,1382,0,0,0
2018-03-07,178500,180000,174500,174500,5729,999710500,-2.514,-981,-2127,3108,1789,1601,-895,-9,0,622,0,0,0
2018-03-08,174000,175000,169000,174000,9722,1691628000,-0.2865,-71,-1531,1602,43,3664,-1182,242,0,-1165,0,0,0
2018-03-09,173000,176000,173000,175000,6534,1143450000,0.5747,39,-1954,1915,2211,-428,0,-83,0,215,0,0,0
2018-03-12,175000,179500,175000,177000,3564,630828000,1.1429,-1883,-442,2366,0,2387,-150,-79,74,134,0,-41,0
2018-03-13,179500,180000,177500,180000,4839,871020000,1.6949,-2103,-598,2701,2000,90,576,62,0,-27,0,0,0
2018-03-14,180000,180000,177500,177500,4832,857680000,-1.3889,-352,-1286,1668,1000,-305,850,-211,26,282,-29,-1,26
2018-03-15,177000,179000,175000,176000,5882,1035232000,-0.8451,172,-1352,1117,2161,441,-395,-1363,0,273,63,0,0
2018-03-16,176500,179500,173000,173000,4728,817944000,-1.7045,869,-1190,294,-38,350,-117,103,0,-4,37,-10,0
2018-03-19,173000,176500,167500,171500,10067,1726490500,-0.8671,2657,1199,-3866,883,-1742,-1758,-1583,0,334,0,10,0
2018-03-20,170000,173500,169000,170000,7024,1194080000,-0.8746,356,-411,55,1059,-681,-218,-109,0,4,0,0,0
2018-03-21,172000,172500,165000,165500,10969,1815369500,-2.6471,1491,1829,-3199,-1077,-246,-596,-1193,-96,55,-121,0,-46
2018-03-22,165500,169500,165000,168000,6447,1083096000,1.5106,-1555,-1852,3400,0,1677,1686,-14,0,51,-1,8,0
2018-03-23,166500,169500,164000,164000,5762,944968000,-2.381,519,-1723,1184,-25,1310,-644,-50,-31,624,0,20,0
2018-03-26,162500,170000,158000,166000,4944,820704000,1.2195,-1221,-394,1605,1453,49,0,0,-101,204,0,10,0
2018-03-27,167000,170000,166500,169500,3914,663423000,2.1084,-2115,-432,2723,1,1633,582,507,0,0,-171,-5,0
2018-03-28,169500,172500,167000,170500,13208,2251964000,0.59,-6404,-163,7268,3068,3951,600,-241,-87,-23,-598,-103,0
2018-03-29,171000,171000,167500,170000,6431,1093270000,-0.2933,134,582,-594,-556,2537,-901,-1186,-334,44,-132,10,-198
2018-03-30,170500,175000,169000,174000,7616,1325184000,2.3529,-3188,-814,4002,-815,3385,1693,-309,0,48,0,0,0
