date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2017-12-08,149500,194000,149500,194000,68343,13258542000,0.0,20733,467,-17830,-18349,-500,1500,100,0,-581,-41,-3329,0
2017-12-11,222000,249000,214000,248500,684631,170130803500,28.0928,-115570,105921,15424,-19740,42064,-11296,632,0,3764,-7269,1494,0
2017-12-12,242500,246500,222500,235000,286513,67330555000,-5.4326,-47684,8726,38503,19066,11749,3677,4702,-80,-495,433,22,-116
2017-12-13,235000,242500,228000,235000,94609,22233115000,0.0,-11373,-5040,16968,10709,-724,562,1488,0,4924,-571,16,9
2017-12-14,236000,236500,221500,234000,118532,27736488000,-0.4255,-26170,-5903,32680,16575,10345,2480,3068,0,174,-560,-47,38
2017-12-15,230000,242000,230000,236500,63106,14924569000,1.0684,-16108,10006,6755,1659,2226,-1081,859,0,3142,-653,0,-50
2017-12-18,240000,240000,233000,238000,25868,6156584000,0.6342,-4635,4231,436,2146,-3871,1325,-675,0,1511,0,-32,0
2017-12-19,237000,238000,225500,227000,37388,8487076000,-4.6218,-850,-214,1050,3218,-4401,54,-26,0,2205,30,-16,0
2017-12-20,225500,227500,222500,225500,43299,9763924500,-0.6608,-5054,-1004,6059,410,159,-930,60,0,6360,0,-1,0
2017-12-21,225000,226000,220500,220500,48028,10590174000,-2.2173,-5384,1798,3568,123,34,-276,388,0,3299,0,18,0
2017-12-22,224500,224500,217000,219500,21824,4790368000,-0.4535,-1908,875,1037,706,81,184,-2337,0,2403,10,-14,0
2017-12-26,217500,221500,215000,219000,19031,4167789000,-0.2278,-10096,2546,7541,1005,1441,-1283,-77,0,6455,15,-6,0
2017-12-27,216000,218500,209000,212500,19265,4093812500,-2.968,-1091,4608,-3541,-2632,89,0,110,0,-1108,20,4,0
2017-12-28,210500,213000,209500,210000,28678,6022380000,-1.1765,1806,-3136,1308,-284,764,533,506,0,-220,20,2,9
2018-01-02,212500,212500,208500,210500,43076,9067498000,0.2381,-636,1849,-1207,-155,161,-731,-827,0,336,0,-6,9
2018-01-03,205500,208500,201500,202500,39089,7915522500,-3.8005,3506,-823,-2509,205,-28,-1293,1426,0,-2802,-174,0,-17
2018-01-04,203000,203500,200500,200500,49743,9973471500,-0.9877,-3855,9171,-5316,94,15,-2005,-294,0,-3126,0,0,0
2018-01-05,202500,202500,196500,200000,29452,5890400000,-0.2494,-5919,6347,-411,880,313,-154,125,0,-410,-17,0,-1165
2018-01-08,200000,201000,199000,199000,26055,5184945000,-0.5,-3885,4399,-513,108,-397,0,-126,0,-98,-1,0,0
2018-01-09,199000,207000,195500,206000,38911,8015666000,3.5176,-8024,3276,4853,695,-95,3291,-193,0,1155,-50,-55,0
2018-01-10,207000,211500,203500,210500,42692,8986666000,2.1845,-12523,3335,9319,1661,2,3472,65,0,4055,0,-131,64
2018-01-11,212000,213000,204000,208500,46884,9775314000,-0.9501,-5786,9180,-3454,-321,-286,-1629,0,0,-1218,60,0,0
2018-01-12,209000,209500,200500,201500,42666,8597199000,-3.3573,-3382,-3415,6857,262,1707,2099,156,0,2633,-60,0,0
2018-01-15,202000,208000,199000,206000,28168,5802608000,2.2333,-7225,-616,7841,327,320,4852,149,0,2193,0,0,0
2018-01-16,206000,211000,205500,210000,32777,6883170000,1.9417,-4543,2877,1750,-799,1749,784,-26,0,42,0,-84,0
2018-01-17,208000,219500,208000,218000,30967,6750806000,3.8095,-7784,10493,-2642,-1454,-745,1521,248,0,-2212,-67,0,0
2018-01-18,215500,221000,213500,221000,15647,3457987000,1.3761,-2177,3623,-1579,-697,77,2408,-45,0,-3322,133,0,0
2018-01-19,217500,221500,215000,215000,10446,2245890000,-2.7149,-76,2123,-2342,329,-63,-1524,-1074,0,-10,295,0,0
2018-01-22,218000,218000,206000,209000,25762,5384258000,-2.7907,7888,-2103,-5791,1032,2671,-8862,1144,0,-1776,3,3,0
2018-01-23,207000,214500,207000,214000,17581,3762334000,2.3923,-4241,1471,2770,16,-49,-251,-49,0,2603,0,0,500
2018-01-24,214000,221500,212500,219000,18102,3964338000,2.3364,-6041,174,6007,480,256,464,-20,-16,4343,-140,0,500
2018-01-25,215000,219000,214500,218500,16113,3520690500,-0.2283,-5432,6045,435,112,574,-2509,-92,0,2350,-1046,-2,0
2018-01-26,216500,227000,216500,220000,22580,4967600000,0.6865,-7466,11418,-3919,-77,70,-4292,1460,0,-1080,-33,0,0
2018-01-29,220000,227500,220000,227000,31219,7086713000,3.1818,-12169,18333,-6158,-275,-2774,-4638,1170,0,2889,-6,0,-2530
2018-01-30,228500,232000,217000,217500,32415,7050262500,-4.185,8002,980,-8547,-381,-479,-9351,178,0,1486,-441,6,0
2018-01-31,217500,220000,212500,220000,42255,9296100000,1.1494,2555,6636,-9233,1,-22,-5514,612,0,-4310,48,-6,0
2018-02-01,220000,221000,216000,218000,14143,3083174000,-0.9091,-2273,2500,-227,-382,-813,-439,47,0,1370,0,0,-10
2018-02-02,218000,221000,213000,214000,17661,3779454000,-1.8349,-882,-1700,2534,947,160,-987,719,0,1695,48,0,0
2018-02-05,218000,221000,210000,212000,24307,5153084000,-0.9346,-1183,5929,-4800,-1000,-53,-5628,275,0,1611,50,4,-5
2018-02-06,211500,213500,205000,209500,31337,6565101500,-1.1792,-4262,-174,4411,719,710,-1930,378,0,4534,28,-3,0
2018-02-07,209000,210500,206500,206500,26237,5417940500,-1.432,7,8058,-8174,-382,149,-2199,475,0,-6240,109,0,23
2018-02-08,203500,209500,203500,206000,21050,4336300000,-0.2421,171,977,-1148,87,183,-336,66,0,-1148,0,0,0
2018-02-09,204000,211500,202000,210500,28746,6051033000,2.1845,-7625,10734,-3109,-161,1061,-5404,2856,0,-1461,0,0,0
2018-02-12,209000,211500,206500,210500,12513,2633986500,0.0,-553,2383,-1828,-341,653,-974,60,0,-1226,-2,0,0
2018-02-13,209000,211000,197000,199000,41843,8326757000,-5.4632,12004,6462,-18541,-341,-1028,-10280,-2316,23,-4599,70,5,0
2018-02-14,201000,201500,182500,187000,143124,26764188000,-6.0302,15781,-4875,-11104,-7380,100,-14358,110,0,10119,198,0,305
2018-02-19,191000,191000,186500,188000,26245,4934060000,0.5348,-125,-2499,2624,-127,-573,64,-53,0,3313,0,0,0
2018-02-20,186000,187500,184500,186000,72152,13420272000,-1.0638,524,-1363,1515,-331,-239,-2226,2749,-25,1617,-676,0,-30
2018-02-21,188000,188000,185000,187000,34023,6362301000,0.5376,1218,-9245,8022,223,1668,1671,-124,0,4584,0,5,0
2018-02-22,186000,186000,178000,178000,56556,10066968000,-4.8128,11491,-19362,7748,272,1755,884,1841,0,3226,110,13,-230
2018-02-23,178000,180500,172500,178000,103525,18427450000,0.0,6024,-22681,16638,642,1314,-1072,2411,0,13343,10,9,0
2018-02-26,180000,180000,170500,172000,68871,11845812000,-3.3708,19886,-31156,11206,541,674,1158,494,0,10279,58,6,-1940
2018-02-27,172000,174500,168000,170000,58047,9867990000,-1.1628,10213,-28133,17930,499,29,8711,-1047,0,9588,0,-10,150
2018-02-28,170000,174500,169000,174000,47346,8238204000,2.3529,-8344,-1207,9545,-672,1558,-2128,389,0,10401,6,0,-3
2018-03-02,171000,172500,167000,169000,42902,7250438000,-2.8736,5936,2928,-8933,-41,-200,-8302,248,0,-632,70,-1,-6
2018-03-05,168500,173000,166000,167000,32831,5482777000,-1.1834,5778,-4674,-1474,-9,1401,-4352,630,0,856,365,5,0
2018-03-06,168000,171000,161000,161500,49441,7984721500,-3.2934,13691,-17436,3950,-415,-51,-7261,386,0,10891,-215,10,400
2018-03-07,162000,163000,154500,157000,73222,11495854000,-2.7864,10757,-17837,7060,-515,-20,-2487,511,5,9166,-10,30,400
