date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2018-01-05,74059,76060,62383,71724,1921824,137840904576,0.0,-116303,5125,119858,33412,101758,-27648,29275,-2795,-14084,-8724,44,-60
2018-01-08,72724,72724,66586,67387,799820,53897470340,-6.0468,82680,21512,-103039,-35394,-41806,-31427,2566,0,3405,147,-1300,-383
2018-01-09,68388,79730,67720,77395,1172606,90753841370,14.8515,-55182,89269,-30078,-34087,-5486,7780,10726,0,-9015,-1443,-2566,4
2018-01-10,77395,80731,74726,76061,536183,40782615163,-1.7236,-11675,11027,1490,-1818,-6858,-135,-5763,0,16000,44,-886,64
2018-01-11,76394,78729,74726,76061,291102,22141509222,0.0,4462,5430,-9285,405,-4172,-11054,-3755,-361,9652,-587,-20,0
2018-01-12,76060,80397,72724,79063,545550,43132819650,3.9468,-38651,71,40338,-3095,-7475,20800,21299,-203,7522,-2538,780,1490
2018-01-15,79730,85735,79396,81398,699636,56948971128,2.9533,17810,11015,-18525,-30612,5031,-3305,17732,0,-5971,-7720,-2580,-1400
2018-01-16,81398,81398,78729,80064,275456,22054109184,-1.6389,2749,5073,-3056,-471,1412,-779,14,0,-3232,-5741,975,0
2018-01-17,80397,80397,74726,75060,338784,25429127040,-6.25,31559,5267,-38134,-18045,-22370,1905,-11338,-277,12313,856,452,-322
2018-01-18,76394,76728,73725,74393,217927,16212243311,-0.8886,2361,3629,-7092,-951,-853,34,-13608,515,7771,1098,4,0
2018-01-19,74392,76728,74059,74059,164717,12198776303,-0.449,1435,11189,-14782,339,-6440,572,-7208,44,-2089,2141,17,0
2018-01-22,73725,74059,71724,73058,167437,12232612346,-1.3516,13588,-88,-14029,-15897,-2748,3911,-4418,0,5025,494,35,98
2018-01-23,73725,75727,72724,74059,149658,11083521822,1.3701,-3886,-1431,11400,-2177,3756,3904,38,0,3931,-6153,70,1948
2018-01-24,74392,77395,74392,76728,202573,15543021144,3.6039,-28175,820,25168,-5535,4594,3534,5124,10182,7269,1915,272,0
