date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2018-07-13,228000,296000,228000,247500,858526,212485185000,0.0,61975,-75509,14384,5872,-52960,57050,-4662,2456,4667,-838,-12,1961
2018-07-16,246500,247000,219500,221500,331498,73426807000,-10.5051,52984,-15443,-37811,-16634,2593,-19448,-2745,0,-1640,-207,477,63
2018-07-17,214000,219500,206000,217000,228068,49490756000,-2.0316,26832,-17386,-11593,-30359,8440,13598,-3331,326,-331,2116,31,64
2018-07-18,214000,225500,203000,203000,154226,31307878000,-6.4516,30517,-45560,12091,-5004,-680,9667,6693,144,1271,962,1990,0
2018-07-19,208500,223000,206000,214000,188354,40307756000,5.4187,17619,-39314,22177,-8672,4775,10312,13577,462,1844,-720,238,-121
2018-07-20,213000,215000,202500,208000,87319,18162352000,-2.8037,13556,-17054,1258,-11634,3227,7605,-1100,0,3160,2240,0,0
2018-07-23,208000,209500,195000,198500,92693,18399560500,-4.5673,-1114,-16838,23600,4968,16746,6077,1340,-717,-4672,-5407,-241,-142
2018-07-24,198500,206500,197500,205500,55170,11337435000,3.5264,6946,-12296,5890,477,8133,1790,-2226,0,-625,-457,-83,-1659
2018-07-25,206000,212000,199000,207000,61153,12658671000,0.7299,4350,100,-368,-2795,2405,3301,-3591,231,-354,-4075,-7,435
2018-07-26,206500,210000,202500,209000,37175,7769575000,0.9662,-5087,-1010,6526,3455,3978,-1587,-977,0,1609,-429,0,48
2018-07-27,208500,217500,207000,215500,44328,9552684000,3.11,-4451,-2501,8358,473,2192,683,3118,0,1892,-1402,-4,0
2018-07-30,214000,221500,214000,221500,36129,8002573500,2.7842,-11167,3714,7180,-3103,8691,4849,-3913,0,600,297,-24,56
2018-07-31,219000,223000,214000,222500,32084,7138690000,0.4515,-9276,-1769,12752,-1672,7551,3318,1872,0,2517,-1182,-525,-834
2018-08-01,221000,224500,219000,223000,17186,3832478000,0.2247,-4955,2838,2136,-1877,2771,1370,-126,0,-352,-19,0,350
2018-08-02,222000,222000,213000,214500,28712,6158724000,-3.8117,-3262,931,3620,3695,1458,-3642,357,-248,2050,-179,-1110,-50
2018-08-03,216000,217500,209000,215000,20363,4378045000,0.2331,623,-3460,2526,1690,1336,785,-394,0,-891,311,0,0
2018-08-06,216500,217500,212000,213000,14843,3161559000,-0.9302,-847,701,268,984,-678,290,7,0,-335,-23,-99,0
