date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2018-07-13,59800,59800,47050,55600,1497451,83258275600,0.0,121126,-184958,64051,-67694,51387,13234,4633,375,63278,665,-884,-1162
2018-07-16,55300,58400,52500,55500,745751,41389180500,-0.1799,146176,-75023,-66847,8941,-6331,-61531,13202,1337,-22656,-3940,-366,191
2018-07-17,54000,65300,53100,60900,803024,48904161600,9.7297,77,-102343,102920,59284,28159,-4709,20773,-1600,1232,-898,244,-219
2018-07-18,60600,66200,60500,61600,662837,40830759200,1.1494,-28911,-121752,155095,67172,56815,-19121,46487,-1099,4748,-6659,2227,93
2018-07-19,62400,63100,58500,61700,329582,20335209400,0.1623,-41648,-55932,106440,40890,28823,17397,12821,-93,6597,-8682,-178,5
2018-07-20,60600,61600,57000,59900,260702,15616049800,-2.9173,9679,-74172,65455,34952,3832,13715,3541,29,9695,-963,1,-309
2018-07-23,60400,60400,54600,55300,195014,10784274200,-7.6795,-22866,-35343,59912,15869,9791,7421,4864,0,21967,849,-2552,0
2018-07-24,55000,60300,55000,57700,193416,11160103200,4.34,428,-13974,15621,10025,13561,9504,-380,2936,-20245,-2075,0,220
2018-07-25,58200,58900,55700,56100,138363,7762164300,-2.773,-17493,4369,19479,3956,10121,1302,-2321,90,6390,-6355,0,-59
2018-07-26,56500,57100,55800,56100,91464,5131130400,0.0,-3760,-5795,13005,1357,8452,-1383,5715,0,-1037,-3428,-22,-99
2018-07-27,56300,59400,55400,57300,92347,5291483100,2.139,-11453,-17267,31011,-311,4872,4083,13405,-283,9245,-2291,0,0
2018-07-30,58200,58600,57000,58000,108242,6278036000,1.2216,11030,3609,-14565,10668,-25775,21049,-11030,0,-9993,-121,47,516
2018-07-31,54000,55000,52100,52900,373912,19779944800,-8.7931,8030,6260,-13873,-10400,30359,-10150,-41293,-4853,22918,-1128,711,-454
2018-08-01,53400,53400,50800,50800,192356,9771684800,-3.9698,41433,1692,-42357,-41282,9116,-16684,3269,-4977,7985,-698,-70,216
2018-08-02,51000,52100,50300,50400,82121,4138898400,-0.7874,-125,-2291,2075,13419,2463,-3360,-9357,0,-1467,270,71,377
2018-08-03,50500,52100,50200,51600,64625,3334650000,2.381,-24207,1091,22684,16470,5282,177,-892,0,1628,476,-44,19
2018-08-06,52000,52400,51300,51900,37525,1947547500,0.5814,-11769,7179,5581,9534,133,-2084,-2217,0,215,-991,0,0
2018-08-07,51600,51900,50500,51000,64058,3266958000,-1.7341,-3733,-22860,27165,21336,2878,-6120,1255,-300,8116,-571,-1,0
2018-08-08,50800,51900,50800,51400,44236,2273730400,0.7843,-10071,1729,9284,7776,2518,-1276,487,0,171,-942,0,-392
2018-08-09,51400,52000,49850,51300,97178,4985231400,-0.1946,-15741,-19505,32769,25874,2947,-7014,3427,-827,9189,2436,41,-827
2018-08-10,51500,51800,49350,49350,85719,4230232650,-3.8012,34959,-12110,-22474,-19522,-8917,-3523,-36,0,9524,-435,60,0
2018-08-13,48600,49200,47150,47600,66200,3151120000,-3.5461,5597,-13137,8801,5111,3179,-1618,2331,-700,1161,-1602,341,-663
2018-08-14,47500,48100,46950,47100,51834,2441381400,-1.0504,-545,-11053,11611,4351,2538,-5464,10991,0,-802,-63,50,-3
2018-08-16,47100,47200,45100,45200,73381,3316821200,-4.034,7068,-2350,-4856,11174,-3096,-9545,2663,723,-6224,118,20,-551
2018-08-17,45400,45700,43850,44250,136075,6021318750,-2.1018,24312,-12565,-10958,18820,-7604,-15306,-8344,439,598,-919,130,439
2018-08-20,44350,45300,44000,44550,45372,2021322600,0.678,6041,978,-7010,0,-4532,360,-3643,0,805,-9,0,0
2018-08-21,44300,48600,44200,48150,160497,7727930550,8.0808,-12511,-12681,28368,14658,-12146,14410,2511,3544,5215,-3276,100,176
2018-08-22,48100,48450,46800,47050,76288,3589350400,-2.2845,4920,-19573,14091,12787,-8584,-2870,873,616,10343,562,0,926
2018-08-23,47300,47600,45000,45200,81328,3676025600,-3.932,9738,-2510,-7680,-24903,3669,1655,154,0,11686,452,0,59
2018-08-24,44950,48550,44950,47900,81373,3897766700,5.9735,16197,-4860,-12403,427,39,-2655,633,0,-10847,1073,-7,0
2018-08-27,48250,48250,46850,47800,35040,1674912000,-0.2088,-19031,-397,19433,2313,-303,1062,506,0,15855,0,-5,0
2018-08-28,47350,49300,47250,49150,87336,4292564400,2.8243,36686,-10260,-26939,-29,-3713,-18192,-373,0,-4632,563,-50,0
2018-08-29,48500,51700,48500,51000,71813,3662463000,3.764,-7897,-4748,13407,-333,4895,12543,5325,0,-9023,-62,-700,0
