date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2018-07-13,223000,233000,156500,160000,890434,142469440000,0.0,195234,-69729,-130401,-45551,-48352,-39941,-32931,-1695,21873,4533,363,16196
2018-07-16,163500,180000,162000,174000,667957,116224518000,8.75,-10336,-1770,13296,-17846,1798,7088,18859,1554,-13686,-1206,16,15529
2018-07-17,167500,177000,165000,174000,291798,50772852000,0.0,10454,-321,-22868,-37651,7550,2502,3549,353,647,12746,-11,182
2018-07-18,171000,177500,160500,162500,172571,28042787500,-6.6092,28821,-43194,-1592,-10935,-1717,2814,6810,1128,33,16289,-324,275
2018-07-19,165500,176000,163500,169500,192445,32619427500,4.3077,-7084,-36011,42432,-12633,15515,11567,15712,3243,9098,584,79,-70
2018-07-20,167000,168000,159000,163000,131393,21417059000,-3.8348,20855,-27500,6448,1615,8024,4949,-1363,454,-7362,184,13,131
2018-07-23,164000,166000,153000,154500,79709,12315040500,-5.2147,13752,-21547,7864,6727,5653,1633,1098,0,-7266,-69,0,19
2018-07-24,153000,156000,150500,154500,65673,10146478500,0.0,-9916,-13418,21574,10712,4393,2108,3249,23,2107,1760,0,-1018
2018-07-25,156000,158000,148000,151500,63498,9619947000,-1.9417,4842,-84,-2484,5012,-10816,2625,1804,-34,-617,-2285,11,-458
2018-07-26,151500,156000,148000,156000,37620,5868720000,2.9703,-8372,-713,10272,8139,683,119,508,23,793,-1172,-15,7
2018-07-27,156000,163000,154000,160000,57547,9207520000,2.5641,-14501,-3208,19335,1630,3765,5317,6315,176,1960,-1621,-5,172
2018-07-30,163000,167000,160500,166500,45047,7500325500,4.0625,-12502,7681,3353,39,-1147,6269,-2323,0,234,1498,-30,281
2018-07-31,166500,170000,162000,170000,47931,8148270000,2.1021,-15036,5116,10649,-2047,5478,211,4500,37,2461,-635,-94,9
2018-08-01,170000,170500,165000,168000,29004,4872672000,-1.1765,4400,1302,-5390,-2137,-2962,497,-912,-1010,1134,-286,-26,0
2018-08-02,167500,168000,159000,159500,44807,7146716500,-5.0595,14188,1145,-14854,-2103,-2641,-10689,-235,0,814,-220,-259,0
2018-08-03,161000,162500,156000,160000,29571,4731360000,0.3135,10332,-1812,-8507,-1536,-1631,-3755,-1293,0,-292,-13,0,0
2018-08-06,159500,163500,158000,160000,20620,3299200000,0.0,-4197,6170,-1114,-1871,-941,213,0,0,1485,-756,-103,0
2018-08-07,160000,161000,157000,160500,23485,3769342500,0.3125,-1978,5134,-2320,-2000,37,0,-112,0,-185,-786,-50,-60
2018-08-08,161000,162500,159000,162000,27426,4443012000,0.9346,-7702,13980,-5328,-2397,-2856,0,-147,271,-139,-961,11,-60
2018-08-09,162000,163500,160000,160000,31185,4989600000,-1.2346,-7721,2278,5735,1673,-425,2361,-219,0,2405,-292,0,-60
