date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2018-08-06,14450,18400,11700,11900,2694870,32068953000,0.0,69628,10048,-80572,-13703,-46471,-8759,-14224,-164,2347,734,162,402
2018-08-07,12300,14250,11700,12150,1889920,22962528000,2.1008,24118,266,-25123,-20226,-4497,-739,475,54,-390,900,-161,200
2018-08-08,12300,12600,11750,12150,643900,7823385000,0.0,10964,6563,-18807,-7763,-2459,-8924,257,0,-118,1118,162,200
2018-08-09,12150,12150,11500,11650,413900,4821935000,-4.1152,9718,-12170,2033,-1165,-118,2914,196,0,6,417,2,200
2018-08-10,12150,12300,11850,12150,469820,5708313000,4.2918,-6079,2573,2770,3320,1044,866,-2205,0,-455,900,-164,200
2018-08-13,12200,13400,11700,11850,562680,6667758000,-2.4691,-7390,1919,4053,-2002,35,3546,-2024,0,4298,1410,8,200
2018-08-14,12000,12450,11700,12050,198730,2394696500,1.6878,2581,-1558,-1963,-2538,-146,631,85,0,7,930,10,-2
2018-08-16,12500,12600,12050,12250,215250,2636812500,1.6598,-2531,861,547,668,-242,131,37,0,-45,1123,0,-2
2018-08-17,12350,12550,12199,12500,108290,1353625000,2.0408,-1346,986,-232,-628,412,-2,-13,0,-1,592,0,0
2018-08-20,12500,12900,12400,12700,130000,1651000000,1.6,-1198,-26,544,-1528,1021,458,-7,0,600,680,0,0
2018-08-21,12800,12850,12350,12850,188970,2428264500,1.1811,3941,-4576,-585,-3366,321,917,-77,0,1620,1230,-10,0
2018-08-22,12650,12850,12500,12750,162250,2068687500,-0.7782,6181,-5401,-1270,-1569,1499,-387,0,0,-813,500,-10,0
2018-08-23,12700,12850,12450,12850,188590,2423381500,0.7843,2479,-2425,-1054,-2336,796,780,-855,70,491,1000,0,0
2018-08-24,12950,13350,12750,13350,144390,1927606500,3.8911,-2150,2329,-948,-1421,413,-397,434,-26,49,769,0,0
2018-08-27,12800,14400,12250,14300,406490,5812807000,7.1161,-1907,3343,-1746,12488,-2695,-7819,-3396,-124,-200,310,0,0
2018-08-28,14350,15749,14050,14700,194070,2852829000,2.7972,5203,-751,-5369,-2144,73,-2467,-809,0,-22,917,0,0
2018-08-29,14450,15000,14400,14900,83170,1239233000,1.3605,1893,-306,-2133,-33,-784,-906,-610,0,200,535,11,0
2018-08-30,14850,15350,14600,15000,127620,1914300000,0.6711,3777,-740,-4256,0,-429,-528,-3296,0,-3,1232,-13,0
2018-08-31,14899,15500,14700,15150,122480,1855572000,1.0,1504,-407,-2786,0,-2328,-658,-17,0,217,1684,5,0
2018-09-03,15600,15600,14850,14900,130770,1948473000,-1.6502,4691,-1271,-5481,-3550,-619,-500,-815,0,3,2060,1,0
2018-09-04,14800,15500,14749,15450,124670,1926151500,3.6913,778,43,-4333,-3563,184,-364,-513,0,-77,3512,0,0
2018-09-05,15750,16299,15450,15650,213120,3335328000,1.2945,3657,915,-7899,-4185,-2325,-384,-252,0,-753,3393,-66,0
2018-09-06,16000,16900,15500,15850,342450,5427832500,1.278,3878,-1675,-5916,-8343,4868,-225,-1445,0,-21,3749,-36,-750
2018-09-07,15900,16700,15400,16700,183870,3070629000,5.3628,1396,76,-4449,-4479,-423,585,-121,0,-11,2977,0,0
2018-09-10,16900,16900,16250,16450,121990,2006735500,-1.497,2841,-2939,-502,-73,-61,-364,-7,0,3,600,0,0
2018-09-11,16500,16700,15850,16500,234180,3863970000,0.304,-3085,-2422,5192,-4398,11053,-352,136,0,-1247,315,0,0
2018-09-12,16700,16700,15950,16450,140370,2309086500,-0.303,678,-1290,292,-2958,4275,603,48,0,-1850,320,0,174
2018-09-13,16349,16550,15949,16200,119970,1943514000,-1.5198,-916,2248,-1332,-3548,2728,29,-600,0,31,0,0,28
2018-09-14,16200,16200,15400,15500,116950,1812725000,-4.321,891,-119,-1982,-3185,-145,1358,0,0,-10,1210,0,0
2018-09-17,15650,15800,15100,15350,127010,1949603500,-0.9677,954,-751,-953,-3023,2036,0,-277,0,2,750,0,309
2018-09-18,15350,15649,14949,14950,129160,1930942000,-2.6059,834,-1331,-33,922,-423,-1518,0,0,986,380,150,0
2018-09-19,14800,15050,14500,14550,64660,940803000,-2.6756,1163,-490,-1134,-2177,-36,-206,-17,0,1302,460,1,0
2018-09-20,14650,14750,14100,14450,167840,2425288000,-0.6873,1228,-2379,421,-7193,1707,3463,-1257,0,3701,730,0,0
2018-09-21,14400,14800,14350,14500,117640,1705780000,0.346,869,592,-2042,-3286,30,1098,-836,0,952,619,-38,0
2018-09-27,14549,15800,14549,15450,204770,3163696500,6.5517,-292,-452,44,-3157,661,4408,115,206,-2189,700,0,0
2018-09-28,15200,15400,14850,14850,104060,1545291000,-3.8835,-537,2335,-2629,-3140,-954,867,157,0,441,607,224,0
2018-10-01,15200,15400,14849,15250,67500,1029375000,2.6936,-777,1954,-1175,-3374,-43,198,2044,0,0,0,-2,0
2018-10-02,15250,15600,15100,15400,75010,1155154000,0.9836,-1429,2400,-1037,-1275,-97,235,-144,0,244,0,66,0
2018-10-04,15950,15950,15000,15250,56620,863455000,-0.974,-918,-113,1029,-1014,0,555,-81,0,1569,2,0,0
2018-10-05,15100,15200,14250,14650,86910,1273231500,-3.9344,369,-1679,1350,-178,112,-119,-2520,0,4055,0,-40,0
2018-10-08,14650,14999,14400,14650,37160,544394000,0.0,-301,679,-381,-492,-994,0,7,0,1098,0,3,0
2018-10-10,14700,15000,13800,14000,69940,979160000,-4.4369,-526,842,-285,-1284,-75,-1268,-1220,0,3562,0,-31,0
2018-10-11,13200,14050,13200,13600,59650,811240000,-2.8571,-924,-57,997,-621,-792,708,-599,-206,2507,0,-16,0
2018-10-12,13600,13900,13250,13700,53210,728977000,0.7353,-355,-94,452,-1012,10,282,-382,0,1629,0,-3,-75
2018-10-15,13750,13750,13100,13250,48870,647527500,-3.2847,2813,-379,-2431,-1103,-21,-947,-408,0,48,0,-3,0
2018-10-16,13350,13750,13200,13300,64340,855722000,0.3774,-1105,1576,-471,-603,-2,242,-780,0,672,0,0,0
2018-10-17,13550,14000,13300,13800,59290,818202000,3.7594,362,563,-925,-30,-1531,-440,-18,0,1094,0,0,0
2018-10-18,13800,13850,13400,13600,56670,770712000,-1.4493,275,-419,144,520,-315,-491,-1002,0,1432,0,0,0
2018-10-19,13350,13900,13300,13900,21090,293151000,2.2059,-869,831,38,-284,12,-4,0,0,314,0,0,0
2018-10-22,13900,13900,13300,13400,28820,386188000,-3.5971,-177,878,-701,-724,0,-565,-3,0,591,0,0,0
2018-10-23,13400,13500,12650,12800,33540,429312000,-4.4776,243,926,-1169,-860,0,-4,0,0,-192,0,0,-113
2018-10-24,12900,13099,12250,12600,38610,486486000,-1.5625,-657,-459,1116,366,0,0,-6,0,830,0,0,-74
2018-10-25,12000,13500,12000,13150,84040,1105126000,4.3651,-1481,1723,-242,-1780,-413,-1900,-7,0,3858,0,0,0
2018-10-26,13150,13200,12500,12900,42250,545025000,-1.9011,-15,-39,-348,-838,-888,-414,1044,0,748,402,0,0
2018-10-29,12600,13050,11800,12150,40260,489159000,-5.814,-4,-115,187,-315,180,0,-13,0,335,-68,0,0
2018-10-30,12050,12400,11750,12200,42990,524478000,0.4115,178,-466,855,-302,30,-34,20,0,1141,-567,0,0
2018-10-31,12350,12399,11750,11750,42650,501137500,-3.6885,1141,-542,-599,-1804,-414,746,132,0,741,0,0,0
2018-11-01,11950,13099,11800,12600,85970,1083222000,7.234,-714,1175,-461,-1061,17,1100,-716,0,448,0,0,-249
2018-11-02,12550,13500,12550,13200,33330,439956000,4.7619,304,20,-375,-936,271,196,-538,0,632,0,51,0
2018-11-05,13199,13400,12750,13050,22700,296235000,-1.1364,278,-508,230,-348,0,0,-114,0,692,0,0,0
2018-11-06,13050,13050,12650,12700,16140,204978000,-2.682,464,-167,-297,-597,-11,0,-2,0,313,0,0,0
