date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-03-18,130000,169000,130000,169000,876189,148075941000,0.0,176243,-77933,-81994,-4,-13329,-26182,-889,-1202,-27897,-14741,-1575,-12491
2021-03-19,184000,190000,166000,166500,12468903,2076072349500,-1.4793,927881,-684952,-157207,116899,-74406,-112663,22379,-1414,-87510,-90320,4598,-20492
2021-03-22,161000,162500,143000,144000,4675116,673216704000,-13.5135,174818,-168990,-8034,4600,727,-1569,3653,0,-7106,-106,2312,-8339
2021-03-23,147000,149500,138000,140500,2980953,418823896500,-2.4306,60096,-66120,7321,5298,1937,-49,2418,0,-359,-570,-727,-1924
2021-03-24,138000,142000,135500,136500,1707179,233029933500,-2.847,-28188,-9229,35280,27138,3845,-601,3837,500,561,2438,-301,0
2021-03-25,138500,140000,135500,136000,1111829,151208744000,-0.3663,30905,-38174,2225,-1293,-88,0,2775,828,3,5386,-342,0
2021-03-26,136500,138000,131500,132000,1157841,152835012000,-2.9412,23502,-28060,6406,-2025,9301,-700,331,0,-501,-905,-943,0
2021-03-29,132000,132500,123500,123500,1412312,174420532000,-6.4394,34428,-38401,7587,11937,-192,-123,886,0,-4021,-3292,-322,-900
2021-03-30,126500,129500,124500,126500,1269769,160625778500,2.4291,-13384,-22142,37456,53579,-6547,-1202,-269,0,-8105,-2587,657,0
2021-03-31,124500,125500,120000,120500,1016714,122514037000,-4.7431,36994,-33080,-6951,12153,1914,-64,-7189,-500,-13249,1816,1221,-16
2021-04-01,120500,122500,116000,119000,1010819,120287461000,-1.2448,-9957,-401,6410,1491,1180,534,4302,0,-1097,1984,1964,0
2021-04-02,119500,121500,116500,117500,741222,87093585000,-1.2605,214112,-160500,-46534,1863,-6179,-25316,-64,0,-16432,-4949,-2129,-406
2021-04-05,118500,120000,117500,118000,445890,52615020000,0.4255,45036,-47916,2716,450,995,-400,928,0,743,89,75,0
2021-04-06,119000,119500,115000,115500,533232,61588296000,-2.1186,12890,-16855,3258,1879,1099,234,959,0,-913,323,384,0
2021-04-07,115500,116500,113500,114500,398724,45653898000,-0.8658,35784,-33709,-2522,1503,-100,-2500,-24,0,-1401,305,142,0
2021-04-08,114000,127500,111500,125500,2546750,319617125000,9.607,-161036,11250,143572,22358,38013,68995,17045,401,-3240,4355,1859,0
2021-04-09,126000,135000,125500,130500,1855029,242081284500,3.9841,-174740,-2405,166234,27783,25282,95922,23954,-2104,-4603,11572,-661,0
2021-04-12,132500,134500,127500,132000,833695,110047740000,1.1494,-50824,-11552,55911,-60,7494,48400,156,0,-79,5969,496,0
2021-04-13,140000,143000,136500,137500,1445824,198800800000,4.1667,13904,7186,-24151,32763,-14201,-49561,1504,-111,5455,1828,1233,0
