date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2019-03-28,75500,94400,73100,88700,4171304,369994664800,0.0,77590,-303918,202118,56070,35839,122172,14436,-641,-9821,23132,1078,-15937
2019-03-29,92500,94500,80300,82100,1131418,92889417800,-7.4408,89211,-9266,-79524,-948,-1118,-72849,5069,0,-9289,-860,439,-389
2019-04-01,81800,83600,79100,79600,365847,29121421200,-3.0451,17863,-15222,-2640,8230,-8202,-7324,-49,0,4705,171,-172,0
2019-04-02,80200,82400,78700,81100,247372,20061869200,1.8844,-18038,1280,15139,5934,4080,-1783,1438,0,5143,1650,-31,327
2019-04-03,81600,82900,79000,79600,199453,15876458800,-1.8496,10984,-465,-10517,4487,1757,-19589,470,0,1073,0,-2,1285
2019-04-04,79600,80000,78000,78000,111902,8728356000,-2.0101,-2677,82,1950,634,-868,1199,0,0,985,540,105,0
2019-04-05,78400,78500,74200,75200,206446,15524739200,-3.5897,9013,-2077,-7612,3127,-2925,3136,286,0,-12136,1621,-945,900
2019-04-08,75100,77200,73100,76700,153072,11740622400,1.9947,-30394,1869,27746,4250,1036,7160,3454,0,11546,835,-56,300
2019-04-09,77200,80800,75000,80300,241415,19385624500,4.6936,-66436,5615,59994,41272,4714,3657,-664,0,12215,916,-89,-1200
2019-04-10,80300,87500,79100,84100,398111,33481135100,4.7323,-62618,-2595,71519,48347,13160,-6166,8860,-204,7522,-6209,-97,0
2019-04-11,84400,89900,83000,89100,290864,25915982400,5.9453,-51162,18491,36344,29205,19316,-13320,5086,894,-5126,-3759,86,289
2019-04-12,88600,91200,86500,87300,143161,12497955300,-2.0202,2935,-16660,17103,10798,3290,1683,1220,0,1612,-3355,-23,-1500
2019-04-15,87900,88400,85000,86300,113001,9751986300,-1.1455,-11848,4815,7429,11876,-1235,-4156,-202,274,576,-724,328,296
2019-04-16,86500,89400,82800,88500,156540,13853790000,2.5492,-8752,-1530,10835,28942,-2421,-13150,-55,800,-3281,-554,1,0
2019-04-17,90000,91100,87600,88000,90505,7964440000,-0.565,5835,425,-5534,-1095,-952,-1746,50,0,-1791,-738,12,0
2019-04-18,87300,88300,83600,83700,93744,7846372800,-4.8864,19189,85,-17206,0,2528,-10695,1049,0,-9588,-2072,4,-500
2019-04-19,83400,85500,83100,84300,27684,2333761200,0.7168,-3712,196,3516,405,1566,1932,71,0,-458,0,0,0
2019-04-22,84000,84700,81300,81500,67344,5488536000,-3.3215,4605,1646,-6352,76,-2740,-1540,118,47,-2313,210,-109,0
2019-04-23,80500,82000,79900,81600,46667,3808027200,0.1227,-1839,827,1472,395,3183,-1481,679,0,-1304,-461,1,0
2019-04-24,82000,82300,79500,80600,54016,4353689600,-1.2255,11120,842,-9992,-3365,-4684,-1000,1236,-1240,-939,-1980,10,0
2019-04-25,80600,80900,79200,79200,35872,2841062400,-1.737,2669,-404,-1932,1405,-258,-2429,500,0,-1150,7,-340,0
2019-04-26,78800,79600,77900,78400,25472,1997004800,-1.0101,-1113,-208,1321,1173,-45,-701,874,0,20,0,0,0
2019-04-29,76000,79500,75900,79100,128295,10148134500,0.8929,55350,-1376,-48160,7951,-11875,-35331,-1128,0,8823,-5856,42,-16600
