date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2019-02-13,15600,15600,14950,15300,3961223,60606711900,0.0,901864,197570,-1083231,-358071,-146698,-140672,-167392,-8603,-249571,-16931,728,-12224
2019-02-14,15250,16000,15200,16000,2626606,42025696000,4.5752,-590118,859851,-233909,-32368,-135170,8742,-83274,0,8161,-35126,-698,0
2019-02-15,15800,15850,15600,15650,1276624,19979165600,-2.1875,212934,-244031,-7855,-44760,-7637,-20331,8027,-10911,67950,39025,-73,-193
2019-02-18,15700,15800,15650,15750,1034314,16290445500,0.639,-48861,-191699,248419,-11648,-24408,80109,5586,0,198780,-7659,-200,0
2019-02-19,15800,15850,15550,15550,974123,15147612650,-1.2698,-24141,-113216,115245,-11534,-11468,148908,-4128,0,-4533,22623,-511,-2000
2019-02-20,15400,15500,15100,15250,2923220,44579105000,-1.9293,923536,-365791,-614456,-783190,-126166,159795,-14361,-1720,152758,55643,1068,-1572
2019-02-21,15200,15250,15050,15100,883514,13341061400,-0.9836,277568,-233605,-48202,-30544,-21645,8943,-1624,0,-3332,3984,255,0
2019-02-22,14950,15000,14750,14850,1546763,22969430550,-1.6556,739806,-555538,-199002,-139177,-44730,33110,-79039,-206,31040,13946,788,0
2019-02-25,14900,15050,14850,14900,905856,13497254400,0.3367,-71175,-135094,206349,-13925,7677,114890,4644,0,92719,-254,174,344
2019-02-26,14900,14950,14700,14700,890582,13091555400,-1.3423,367649,-331293,-39640,-32811,-24963,5498,-39869,0,52505,2104,1180,0
2019-02-27,14650,14850,14500,14800,1573961,23294622800,0.6803,106870,-430177,-242088,-327579,-72766,73080,-17941,0,103118,565366,29,0
2019-02-28,14800,14800,14600,14800,2377878,35192594400,0.0,10860,-309656,298662,-39662,-100093,80143,-2908,0,360937,79,55,245
2019-03-04,14700,14750,14350,14400,1547446,22283222400,-2.7027,597095,-502278,-92312,-274670,-9439,-146,-54573,0,246279,-4473,1968,237
2019-03-05,14400,14400,14150,14250,1286767,18336429750,-1.0417,229085,-220046,-10579,-17752,-15127,146813,-230227,-8722,114436,1156,384,0
2019-03-06,14350,14450,14150,14350,1117292,16033140200,0.7018,-170648,-45217,99576,-63565,-11451,212020,2644,0,-40072,116005,284,0
2019-03-07,14400,14450,14150,14200,905411,12856836200,-1.0453,121300,-64206,-61544,-66537,-43550,51539,-11321,0,8325,3800,650,0
2019-03-08,14150,14200,14000,14000,651905,9126670000,-1.4085,37058,-70101,40596,-19176,12806,71688,18139,0,-42861,-7598,45,0
2019-03-11,13950,14200,13950,14150,663971,9395189650,1.0714,-135654,66841,80204,7201,-1467,2722,13181,0,65167,-11366,-25,-6600
2019-03-12,14200,14450,14150,14400,841522,12117916800,1.7668,-117438,96470,20233,-42986,-646,16318,-4432,0,51840,1000,-265,139
2019-03-13,14300,14550,14250,14550,715885,10416126750,1.0417,-124981,192048,-63239,-32935,-14352,22186,-12457,-261,-25420,-3700,-128,0
2019-03-14,14550,14600,14350,14350,1578814,22655980900,-1.3746,210481,-58896,-161899,-201347,41291,35530,2120,0,-27370,10304,10,-12123
2019-03-15,14400,14850,14350,14850,3539125,52556006250,3.4843,-721072,272363,451820,8740,-18781,225924,20830,0,215107,-2000,-1111,0
2019-03-18,14900,15000,14750,14950,763184,11409600800,0.6734,-169152,11515,170311,12996,-13134,24185,34227,0,112037,-12104,-570,0
2019-03-19,15000,15050,14800,14900,995019,14825783100,-0.3344,-63747,-75303,120050,6151,24076,7479,31367,0,50977,19000,0,0
