date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2021-08-06,53700,69800,51000,69800,59402373,4146285635400,0.0,-4958334,4151371,1188969,2148197,331853,-4629,432583,-21530,-1605373,-424810,42804,-92132
2021-08-09,69800,89100,69000,78500,44833696,3519445136000,12.4642,931349,-604882,-254522,220330,28170,-223910,109315,0,-388622,-74200,2255,195
2021-08-10,81800,85600,68000,71400,26495122,1891751710800,-9.0446,4947249,117807,880121,827908,39216,-37334,44822,0,4045,-5972258,27081,1464
2021-08-11,71200,77500,68100,74400,21592734,1606499409600,4.2017,-1252037,384975,876676,632078,165599,1179,90684,683,-14836,-9687,73,1289
2021-08-12,73600,75400,72700,73800,5878196,433810864800,-0.8065,-501930,194268,313832,306619,2356,970,20412,0,-16725,-1467,-4703,200
2021-08-13,73500,78600,73500,76600,10907993,835552263800,3.794,-980306,414825,567303,492258,29366,4981,43138,312,-2752,1878,-3700,0
2021-08-17,78100,88300,77500,87400,24272931,2121454169400,14.0992,-1666386,1113791,583120,384806,139146,37188,39981,0,-17801,-5952,-24573,-200
2021-08-18,89600,94400,83800,84500,21008684,1775233798000,-3.3181,-579913,463169,104494,179163,-51729,-32669,19958,-996,-8972,7134,5116,-261
2021-08-19,87300,92300,86400,92000,13606690,1251815480000,8.8757,-751137,438610,326408,268097,37851,26683,13687,-266,-20686,-3931,-9950,1042
2021-08-20,92800,94000,88600,91000,15815275,1439190025000,-1.087,-678653,187557,494558,449949,45368,-6816,20112,-119,-12936,142,-3604,-1000
2021-08-23,91900,92800,87900,89800,4868621,437202165800,-1.3187,-43802,-1092,54948,141318,-866,-57452,-4796,0,-23056,-8332,-1722,-200
2021-08-24,90000,90000,84700,85400,6553145,559638583000,-4.8998,418556,-642304,231028,283494,-27366,-23193,-4446,0,4016,-11306,4026,-1477
2021-08-25,84500,84600,81500,82100,6086152,499673079200,-3.8642,296837,1058290,269130,303037,-6809,-1148,-29900,-2068,6018,-1624335,78,0
2021-08-26,83400,85300,82100,83400,4255489,354907782600,1.5834,168304,-306457,130185,120258,7443,289,1522,0,1107,5199,2769,-434
2021-08-27,82500,84400,82500,83800,2174014,182182373200,0.4796,-137227,-28089,161050,134964,7500,-243,15035,2849,945,-648,4914,0
2021-08-30,84000,84300,81600,81900,1782049,145949813100,-2.2673,-78453,-6369,85170,94574,-12333,-166,-5988,1039,8044,-178,-170,0
2021-08-31,81000,83900,80900,83900,1768789,148401397100,2.442,-305881,213776,93287,104384,-1467,-2184,3284,0,-10730,-1285,103,0
2021-09-01,83800,88900,82900,88800,6376407,566224941600,5.8403,-1002766,836280,174841,143743,15529,4900,25359,91,-14781,290,-8645,0
2021-09-02,81800,83600,81000,81900,22859096,1872159962400,-7.7703,3025170,7977942,-11074110,-11592354,381366,-138022,135826,1432,137383,55228,15770,259
2021-09-03,82900,83000,80200,80800,3987547,322193797600,-1.3431,1399853,-1389420,-27604,19208,-17604,-13614,-322,0,-15272,13496,3675,0
2021-09-06,77000,78400,76000,77400,5252682,406557586800,-4.2079,837431,-889693,58313,293895,-42258,-176830,16645,-2475,-10168,-20585,14534,-20496
2021-09-07,77300,77300,72600,73000,6001690,438123370000,-5.6848,2097151,-1658288,-420539,109762,-135373,-325922,-25131,0,-42575,-17538,-786,-1300
2021-09-08,73400,75800,71400,72300,5849714,422934322200,-0.9589,871338,-951803,73400,302885,-74509,-110046,34829,0,-79549,809,6256,-210
2021-09-09,71300,73000,70300,72000,5748242,413873424000,-0.4149,4022,-2166559,2158761,151175,1485371,174047,388777,0,-38909,3606,170,-1700
2021-09-10,71000,72400,68100,68900,6750339,465098357100,-4.3056,1889978,-1740206,-157028,249979,205276,-355875,24962,-1500,-280999,12908,-5652,1129
2021-09-13,67800,67800,64500,64600,4628803,299020673800,-6.2409,693292,-498114,-200623,-8627,-32924,-116611,-40087,0,-2374,3956,1489,0
2021-09-14,63600,72300,63300,69700,10421448,726374925600,7.8947,-1020659,732356,302214,281785,10813,-64412,41748,290,31990,-11781,-2130,0
2021-09-15,70100,73200,69000,69000,5077664,350358816000,-1.0043,661848,-630378,-35409,149192,-3451,-60562,-736,0,-119852,2785,1154,0
2021-09-16,69900,70000,66700,67100,2452019,164530474900,-2.7536,271349,-280415,-24958,67636,6430,-57409,6006,0,-47621,27224,6800,0
2021-09-17,67100,68600,65000,68000,2461251,167365068000,1.3413,-224786,160231,42776,81772,-3976,-4334,8683,0,-39369,20887,892,0
2021-09-23,66900,67200,66200,66400,1281700,85104880000,-2.3529,-22431,-14602,36581,39610,1443,-3145,-500,0,-1518,1846,-1394,691
2021-09-24,67100,69500,67000,69000,2125450,146656050000,3.9157,-427942,378373,39453,16369,25997,-6709,6930,0,-3427,11777,-1661,293
2021-09-27,69000,69700,67500,69700,1323980,92281406000,1.0145,-296195,262087,34802,12189,9,18543,-1483,0,5544,-1950,1256,0
2021-09-28,70100,71200,69300,70600,1906190,134577014000,1.2912,-553346,584146,-40758,63253,-13834,-8857,-24289,0,-57031,11055,-1097,0
2021-09-29,69300,69800,68300,69300,1151274,79783288200,-1.8414,-51886,143390,-91797,30036,2094,-102502,1876,0,-23301,805,-512,0
2021-09-30,69000,69200,68000,68400,804698,55041343200,-1.2987,-49068,45029,4407,17433,15119,2156,678,0,-30979,-187,-181,0
2021-10-01,67800,67900,65500,65500,1363624,89317372000,-4.2398,236431,-141896,-92757,6573,-12378,-43434,-2944,0,-41144,-11038,9260,570
2021-10-05,63600,64400,59800,60000,3119650,187179000000,-8.3969,792800,-585607,-222539,-71343,-55703,-111361,-15794,642,29420,11459,3887,1600
2021-10-06,60200,60900,57100,58000,2152044,124818552000,-3.3333,181356,-245095,56791,7334,-24078,76858,3824,1000,-8547,3864,3084,400
2021-10-07,58200,60400,58200,60000,1664418,99865080000,3.4483,-59037,12121,46782,-36256,17904,3666,17475,0,43993,1192,-1058,0
2021-10-08,60100,60100,57000,57000,2221905,126648585000,-5.0,742986,-582019,-181552,-38330,-58459,-21110,-25459,0,-38594,14616,5969,400
2021-10-12,55800,56300,54100,55300,2807832,155273109600,-2.9825,301528,-272945,-29866,-29104,-12258,21043,-15360,0,5213,-1268,2551,600
2021-10-13,55200,56900,55200,55900,1242641,69463631900,1.085,-82066,15259,68508,10673,-4730,8147,-670,0,55945,-2685,984,-857
2021-10-14,56200,59000,56100,59000,1626758,95978722000,5.5456,-150754,-73584,215587,132161,12930,26096,966,0,42900,985,7766,534
2021-10-15,60300,60600,58100,60100,1870593,112422639300,1.8644,-126720,-23067,146263,162330,5520,-33590,932,0,14071,1061,2463,-3000
