date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2020-07-02,98000,127000,98000,127000,698642,88727534000,0.0,377910,-379385,9687,7495,4401,3823,400,0,4500,-7790,-422,-10932
2020-07-03,165000,165000,165000,165000,711921,117466965000,29.9213,306155,-311682,10968,13819,5650,-15400,12100,350,-2285,-6588,1147,-3266
2020-07-06,214500,214500,193500,214500,7126211,1528572259500,30.0,1157306,-1517295,385364,293851,85208,-64048,75818,1501,-4348,-63980,38605,-2618
2020-07-07,219000,269500,210000,216500,10105187,2187772985500,0.9324,867580,-915218,92472,75408,26267,2166,1907,-276,-8135,-12724,-32110,-4865
2020-07-08,214500,225000,198000,217000,5990009,1299831953000,0.2309,201807,-478786,284067,194019,22555,15343,17430,1390,33065,-9371,2283,265
2020-07-09,213500,220000,205500,205500,1897646,389966253000,-5.2995,37935,-72675,12321,20034,2197,1026,-827,-100,-10058,23059,-640,49
2020-07-10,200500,213500,198500,205500,1825361,375111685500,0.0,-31330,-1613,26368,26901,9536,-10140,3478,-51,-3291,4745,1830,-65
2020-07-13,206000,207500,199000,199000,1072716,213470484000,-3.163,17479,-23391,5763,15524,749,-3227,1126,0,-8029,-1700,1849,-380
2020-07-14,199500,201500,188000,188500,1389588,261937338000,-5.2764,41449,-58683,19144,30481,-5823,-2156,-1767,-142,-449,-1210,-700,-1000
2020-07-15,190000,191000,174000,177000,1859251,329087427000,-6.1008,126006,-155661,13774,3531,-1427,3642,-1940,-134,10102,14832,1049,0
2020-07-16,179000,197500,179000,183500,3290169,603746011500,3.6723,173129,-159067,3821,3316,9191,486,1046,0,-10218,-18085,202,0
2020-07-17,185000,193000,183500,191000,1109080,211834280000,4.0872,-20206,-21886,44155,33435,25586,-15717,8437,0,-4447,-1973,-90,-3139
2020-07-20,193500,195000,185000,187000,657860,123019820000,-2.0942,25949,-37008,10030,8709,4074,-1286,1579,0,-3046,78,951,0
2020-07-21,186500,189000,184500,185500,564184,104656132000,-0.8021,53976,-43777,-11189,-3897,-6662,12,2866,-529,-2979,715,275,0
2020-07-22,192000,205000,188000,188000,2269779,426718452000,1.3477,4378,3142,-8835,-10133,-4555,-838,1623,90,4653,390,925,325
2020-07-23,189000,190500,183000,186500,572644,106798106000,-0.7979,-25265,18263,5840,10455,-3552,0,16,0,-1079,1104,58,0
2020-07-24,184500,194500,183000,189000,806058,152344962000,1.3405,-58745,46037,11246,8308,-3190,260,1756,48,4064,874,588,0
2020-07-27,192500,199500,190500,191500,913434,174922611000,1.3228,-14354,-6391,17530,14112,1576,157,1253,0,432,4281,-1066,0
2020-07-28,193000,193500,188000,190000,351351,66756690000,-0.7833,-7950,-12386,23313,21686,-45,687,292,27,666,-2506,-471,0
2020-07-29,190500,190500,185500,186500,281090,52423285000,-1.8421,7627,-5298,-2511,2139,-920,300,-628,0,-3402,321,-139,0
2020-07-30,187000,189000,183500,185000,318789,58975965000,-0.8043,29901,-17983,-13188,7974,-3270,-2249,-5447,-836,-9360,-467,1737,0
2020-07-31,184000,184500,182000,182000,222520,40498640000,-1.6216,15438,-6273,-6175,449,-5633,-126,-886,-53,74,-3183,193,0
2020-08-03,174000,178000,170000,175000,748436,130976300000,-3.8462,122220,-15950,-126217,25997,-12788,-104865,491,-1560,-33332,18482,1465,-160
2020-08-04,176500,179000,175000,175500,334937,58781443500,0.2857,41101,-44472,1300,2142,-1014,-786,1957,10,-1115,1329,742,106
2020-08-05,177500,183000,175500,179500,508410,91259595000,2.2792,53290,-94557,27121,12215,5650,-3749,3090,0,9965,13668,478,-50
2020-08-06,182500,182500,178500,179500,257948,46301666000,0.0,-19432,23875,-2650,553,-1809,-2006,2932,272,-3002,-1341,-452,410
2020-08-07,180000,181000,178000,179000,231477,41434383000,-0.2786,-14096,6519,9962,12396,1082,-395,706,63,-3890,-397,-1988,0
2020-08-10,185500,196000,184500,192500,1791403,344845077500,7.5419,-68393,2313,64935,3304,10017,31939,5516,199,13780,1716,-571,180
2020-08-11,196000,196500,190000,191500,547133,104775969500,-0.5195,-15966,12064,1329,7520,417,-8685,-1387,79,3385,2736,-163,0
2020-08-12,193000,195500,188000,191000,419642,80151622000,-0.2611,-12668,8180,507,0,-106,4269,-227,0,-3429,3760,221,0
2020-08-13,192000,193000,184500,186000,491263,91374918000,-2.6178,50155,-12831,-37394,-28394,-1475,-2642,124,-79,-4928,-585,655,0
2020-08-14,184000,184000,177500,178500,512876,91548366000,-4.0323,106774,-29098,-80481,-26688,4681,-27754,363,-27,-31056,1521,1284,0
2020-08-18,175000,178000,170500,171000,429385,73424835000,-4.2017,30292,-13898,-16546,2487,-717,-2665,-1213,0,-14438,-289,441,0
2020-08-19,170500,175000,170500,172000,251460,43251120000,0.5848,31557,-49356,17401,26843,-654,-5168,111,0,-3695,75,323,-36
2020-08-20,171000,174000,165500,167000,321586,53704862000,-2.907,47618,-38317,-8445,-34,5414,-289,80,0,-13616,-1152,296,0
2020-08-21,169000,169500,159500,162500,396107,64367387500,-2.6946,27467,-6760,-23165,-12449,-3414,-165,-1739,0,-5280,1052,1406,-118
2020-08-24,160000,168500,155000,168000,390851,65662968000,3.3846,-36751,18219,12361,8093,3035,50,997,0,186,6163,8,0
2020-08-25,169000,173000,168500,172000,245620,42246640000,2.381,-36310,8634,4952,2512,2488,-1139,1160,0,-69,22816,-92,0
2020-08-26,174000,175000,171000,172000,198839,34200308000,0.0,-11803,16189,-4371,-2841,-1378,-1087,-45,0,980,2253,-2268,0
2020-08-27,172000,172500,167000,167500,193632,32433360000,-2.6163,22016,-1633,-21231,-20247,-972,0,863,0,-875,-561,1409,0
2020-08-28,167500,169000,166500,167000,153232,25589744000,-0.2985,3966,21267,-24819,-20000,-1896,-24,-1488,0,-1411,-578,164,0
2020-08-31,170000,170000,163000,163500,233285,38142097500,-2.0958,17121,13401,-30438,-22512,-5052,170,-2737,-290,-17,238,-322,0
2020-09-01,165000,173000,163500,171000,388140,66371940000,4.5872,-43317,-4232,37639,23954,6862,6792,3399,-1020,-2348,10111,-201,0
